procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
22  2      0 163120     32 4607496    0    0  1825  5081 1458  824 47  7 43  3  0
20  2      0 165816     32 4596688    0    0  8740  7614 33958 55437 75 15  8  2  0
14  0      0 161248     32 4590484    0    0 13016  8292 31224 53377 75 14  9  3  0
14  1      0 162384     32 4581624    0    0  9832  9169 33617 59652 75 14  8  3  0
 6  0      0 160820     32 4574428    0    0 10888  9836 33953 60693 77 13  7  4  0
19  0      0 160812     32 4566960    0    0 11216  9022 34018 59250 76 14  7  4  0
12  1      0 162240     32 4559288    0    0 11336  9092 34598 60471 75 15  7  4  0
16  0      0 166432     32 4550824    0    0  9584  8966 36185 60044 76 14  7  4  0
19  0      0 168120     32 4361612    0    0  8876  8348 32242 54134 72 17  9  4  0
18  0      0 161264     32 4177820    0    0 11944  7750 32726 51706 74 14  9  3  0
20  0      0 161176     32 4172004    0    0 11152 10142 32117 57437 75 14  8  3  0
17  0      0 165080     32 4166500    0    0 11252  9051 32766 60278 74 14  8  4  0
19  1      0 167628     32 4162260    0    0 11996  8436 33745 59073 75 14  8  4  0
 7  0      0 155788     32 4178776    0    0 11796  8590 33991 54653 77 14  6  3  0
14  0      0 162424     32 4173592    0    0 10820  9756 32968 57182 76 14  7  4  0
17  1      0 165320     32 4166984    0    0 10608  8018 31243 60623 73 14  9  4  0
22  0      0 164308     32 4165496    0    0 14304  9168 34069 59676 74 16  7  4  0
 6  2      0 167236     32 4160156    0    0 10948  9242 34924 64038 76 15  6  3  0
17  2      0 168936     32 4153664    0    0  9668  8684 32268 55996 75 15  7  4  0
19  0      0 167992     32 4149628    0    0 11964  9103 33448 57735 76 15  6  3  0
20  1      0 153596     32 4161268    0    0  7968  7620 29109 52435 78 12  7  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
25  1      0 187240     32 4176892    0    0 10832  7834 35142 54692 75 14  8  4  0
 7  0      0 163204     32 4192628    0    0 10720 11578 34566 58148 76 14  6  3  0
22  1      0 168436     32 4187260    0    0 10892  9016 33287 57843 75 15  7  4  0
 6  0      0 155744     32 4201520    0    0  9788  7752 31805 51306 77 14  6  3  0
15  1      0 152624     32 4202388    0    0  6920  6307 25146 46323 75 13  9  3  0
21  1      0 156932     32 4197884    0    0 13780 122848 28026 46543 74 16  7  4  0
19  1      0 151996     32 4211472    0    0  9332  7296 31250 47062 75 16  7  2  0
21  0      0 169536     32 4203112    0    0  9004  7504 30415 47680 74 15  8  4  0
18  0      0 169908     32 4215536    0    0  8884  6951 29575 47730 77 15  6  3  0
17  1      0 182476     32 4225240    0    0  6660  6822 26402 45346 75 14  7  4  0
20  0      0 190232     32 4236616    0    0  7932  6427 25315 39661 76 15  7  3  0
21  1      0 198420     32 4248220    0    0  8112  6316 26578 44669 75 15  7  3  0
20  1      0 196116     32 4262792    0    0 10396  8098 31676 56105 75 15  8  3  0
15  0      0 181532     32 4273944    0    0  7552  6996 30883 52583 75 13  9  3  0
19  1      0 167832     32 4287636    0    0  9184  8890 32136 55890 74 15  7  4  0
17  0      0 163556     32 4279916    0    0  9264 10235 31772 54022 73 14  9  3  0
18  2      0 165348     32 4277876    0    0 10724  8463 33230 60528 76 14  7  4  0
 8  3      0 155172     32 4287180    0    0  9524  8196 30949 54084 75 14  8  3  0
18  1      0 163896     32 4278852    0    0  8680  8914 32379 57359 74 14  8  4  0
19  0      0 150448     32 4293472    0    0 10056  8204 31358 56486 76 15  6  4  0
20  1      0 158384     32 4285360    0    0  9000  8527 30582 60066 75 15  7  4  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
21  1      0 167296     32 4275924    0    0  7636  8544 30888 55347 75 14  8  3  0
21  1      0 151852     32 4292156    0    0 11368  8741 32739 60172 74 15  8  3  0
13  1      0 152016     32 4287632    0    0 12368  8283 31367 56961 75 15  7  4  0
 4  0      0 156832     32 4278512    0    0  8300  7790 26870 49708 79 12  6  3  0
15  1      0 197300     32 4291212    0    0  7928  8780 32893 54350 75 14  7  3  0
11  1      0 179884     32 4305824    0    0 10072  8280 33979 60315 74 14  8  3  0
17  0      0 156732     32 4319752    0    0  9532  9373 32761 55091 73 15  8  4  0
20  1      0 162844     32 4311984    0    0  8708 10020 34131 58104 74 14  8  4  0
 8  1      0 168516     32 4305108    0    0 10072  8040 32268 59882 74 14  9  3  0
16  1      0 157048     32 4316956    0    0  7992  7455 28936 47350 76 13  8  3  0
12  0      0 164480     32 4309640    0    0  9260  7717 33296 54326 74 14  8  3  0
18  0      0 168888     32 4304160    0    0 10528  9878 34923 63373 75 15  6  4  0
23  1      0 151396     32 4303496    0    0  8824 46976 31995 67377 74 15  9  3  0
 6  3      0 157420     32 4304816    0    0 13476 88765 30245 46657 79 14  5  3  0
16  1      0 166960     32 4291916    0    0 30388 23829 34846 55981 77 14  4  5  0
19  1      0 180180     32 4342936    0    0 15692 61285 29517 43667 77 13  8  3  0
18  3      0 285744     32 4397296    0    0 27412 29936 38270 60155 73 16  6  5  0
 8  1      0 258180     32 4454048    0    0 30772 31668 35087 62110 75 15  5  5  0
20  1      0 227492     32 4505436    0    0 26352 29102 32177 53976 77 14  5  4  0
 8  1      0 190376     32 4554536    0    0 23428 29573 31161 55817 75 15  6  4  0
16  0      0 158812     32 4601948    0    0 23168 27851 31422 53309 78 14  5  4  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
14  1      0 151684     32 4612376    0    0 29104 33096 33741 56898 76 15  5  4  0
15  3      0 151088     32 4617412    0    0 26040 30495 34625 63502 76 14  5  5  0
 4  0      0 150584     32 4624636    0    0 27288 31324 33213 55571 75 14  6  5  0
23  2      0 165672     32 4608216    0    0 27888 34187 33771 57960 75 15  6  5  0
15  0      0 154756     32 4619372    0    0 29680 34018 35626 60685 76 15  4  5  0
19  1      0 152300     32 4592892    0    0 26836 45623 32632 54569 75 15  5  5  0
24  1      0 163156     32 4550628    0    0 20020 44435 30792 47732 77 15  5  4  0
23  1      0 164260     32 4545260    0    0 27292 36565 33686 52589 76 15  5  5  0
16  1      0 152720     32 4553328    0    0 28232 31658 34033 55378 75 14  6  5  0
16  1      0 164264     32 4536832    0    0 29064 29562 34576 55525 77 14  5  4  0
13  2      0 159952     32 4533728    0    0 30516 35987 35984 60520 75 15  6  5  0
23  1      0 157168     32 4535404    0    0 29908 31747 32169 50824 77 14  4  4  0
27  0      0 150376     32 4542196    0    0 31136 33555 32772 53919 77 14  4  5  0
13  3      0 162608     32 4528100    0    0 35188 36419 34468 61179 75 15  4  6  0
22  0      0 166532     32 4520568    0    0 26004 52312 33149 59678 75 14  6  5  0
18  1      0 165756     32 4524392    0    0 26144 53202 34115 56934 77 15  4  5  0
14  2      0 153396     32 4535300    0    0 15288 60110 30606 49766 78 14  5  3  0
21  1      0 693188     32 4009980    0    0 11736  9771 29937 49243 78 14  4  4  0
18  0      0 700176     32 4000944    0    0 13312 15385 32353 53928 78 13  6  4  0
18  2      0 670060     32 4025492    0    0 15328 14864 33824 52000 77 15  4  4  0
19  2      0 640076     32 4053648    0    0 17308 13984 33293 53641 76 15  5  4  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
24  0      0 630484     32 4051368    0    0 12900 14745 27764 45817 80 13  5  3  0
19  1      0 594980     32 4075960    0    0 11268 16328 27498 38297 81 14  4  2  0
14  1      0 557780     32 4102996    0    0 12632 16987 25266 40266 81 12  5  3  0
18  1      0 529632     32 4133424    0    0 17492 15120 33477 52630 80 13  3  4  0
20  0      0 491044     32 4159216    0    0 12684 17491 26776 44563 82 12  3  4  0
16  4      0 464548     32 4182428    0    0 12156 16595 29474 47910 80 13  3  4  0
21  2      0 445520     32 4201160    0    0 12720  9943 30485 47178 80 12  4  4  0
11  1      0 482596     32 4176520    0    0 15864 13826 33263 53669 76 15  5  3  0
17  2      0 456328     32 4205988    0    0 18920 13944 32846 53204 77 15  4  4  0
 9  2      0 422684     32 4236000    0    0 19504 15288 31688 52600 78 13  5  4  0
23  2      0 416672     32 4237424    0    0 17740 16108 33241 56111 75 14  6  5  0
 2  0      0 386140     32 4260556    0    0 10256 14119 27497 48820 78 12  8  3  0
20  0      0 358336     32 4286024    0    0 11168 18487 30091 46472 79 13  6  3  0
17  0      0 316312     32 4311772    0    0 11612 16812 30936 59866 78 13  7  2  0
20  1      0 287836     32 4327408    0    0 12416 20344 31294 51188 79 13  6  3  0
19  0      0 260708     32 4348596    0    0 13204  9276 31897 52972 78 13  5  3  0
21  1      0 227200     32 4373272    0    0 11032 14978 28641 44644 82 11  4  3  0
21  0      0 187096     32 4401680    0    0 11232 22033 27945 45772 82 12  3  3  0
20  0      0 178392     32 4421660    0    0  9468 105432 25354 38211 81 12  4  3  0
20  1      0 163712     32 4427380    0    0 12204 20037 30003 48510 83 11  3  3  0
23  2      0 164024     32 4432672    0    0 12968 20376 31408 47663 80 12  5  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
18  1      0 163992     32 4458400    0    0 12704 14871 33626 51258 78 13  5  4  0
10  3      0 163084     32 4477820    0    0 12404 12296 32021 55775 78 13  5  4  0
11  1      0 157864     32 4501924    0    0 14524 13238 32629 54517 77 13  5  4  0
16  2      0 174212     32 4501344    0    0 15132 12040 34440 62479 75 15  6  5  0
17  1      0 222748     32 4459876    0    0 10912 15052 29778 82734 78 13  5  4  0
20  1      0 207448     32 4485292    0    0 11340 17946 29122 46563 82 12  3  2  0
22  0      0 177180     32 4509260    0    0 10532 16074 28702 44147 82 12  5  2  0
20  1      0 162060     32 4519124    0    0 13200 19848 31053 48201 80 12  5  4  0
15  2      0 152664     32 4524112    0    0 17868 14723 35406 54834 76 14  5  4  0
 8  0      0 156696     32 4510536    0    0 20280 14377 33222 63418 79 15  3  4  0
23  1      0 162944     32 4499740    0    0 22484 19557 32477 54543 78 14  3  5  0
17  3      0 168872     32 4493240    0    0 24832 19520 34016 55934 78 15  4  4  0
10  1      0 155768     32 4509916    0    0 22632 21805 35137 62287 78 14  3  5  0
17  2      0 158288     32 4505028    0    0 24532 20028 31670 54592 80 12  2  5  0
 9  1      0 163356     32 4500004    0    0 24528 20905 35069 55647 78 13  5  5  0
22  0      0 152416     32 4512260    0    0 20660 17629 33196 52770 76 13  7  4  0
18  1      0 159608     32 4505512    0    0 27064 16730 34636 51047 78 15  3  4  0
17  3      0 167548     32 4495888    0    0 23220 18884 35510 56580 77 15  3  5  0
16  2      0 156388     32 4501024    0    0 25564 18430 36308 60716 78 15  3  4  0
16  0      0 326140     32 4325560    0    0 19636 22087 30885 53482 76 13  6  5  0
19  2      0 315844     32 4327604    0    0 14536 26891 30221 49408 78 13  6  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
16  1      0 286924     32 4351508    0    0 18728  9552 37261 67321 74 16  5  4  0
10  1      0 262076     32 4375280    0    0 18140 12466 38137 65549 73 15  7  5  0
15  1      0 237440     32 4398168    0    0 17080  9380 37529 65431 74 16  7  4  0
20  1      0 219920     32 4417956    0    0 15028 10258 36249 68406 73 15  7  5  0
16  0      0 201624     32 4435064    0    0 11880  8488 31948 56162 76 13  7  4  0
13  0      0 187484     32 4455188    0    0 15192  9497 34644 58284 76 14  6  4  0
14  3      0 169500     32 4476048    0    0 15704  9220 33905 61019 76 15  6  4  0
21  2      0 158700     32 4485904    0    0 16136 10038 36841 68500 73 14  8  5  0
18  1      0 170040     32 4472276    0    0 15384  8490 37239 64753 76 15  6  4  0
14  2      0 151668     32 4489032    0    0 12396  8859 30195 58856 75 14  8  4  0
11  1      0 169880     32 4462904    0    0 13960  8516 34688 57929 74 14  8  4  0
 2  0      0 158816     32 4462432    0    0 16456 10090 36129 58481 74 15  7  3  0
19  2      0 159764     32 4461164    0    0 15944 11127 37739 63843 74 16  6  4  0
17  1      0 160212     32 4460092    0    0 16080 10261 36433 68267 76 16  5  4  0
13  0      0 165056     32 4454628    0    0 12820  8000 31251 56767 77 13  7  3  0
18  2      0 158220     32 4462404    0    0 13508  9653 35849 64365 74 15  7  4  0
17  1      0 160848     32 4458836    0    0 13764  9592 35577 64083 75 15  7  4  0
12  2      0 162916     32 4456336    0    0 13916 10650 37369 67909 75 15  6  4  0
 9  2      0 160432     32 4452196    0    0 13076  9124 34710 64161 76 16  5  4  0
15  2      0 164564     32 4445372    0    0 11152  8594 30515 56041 77 13  7  4  0
13  1      0 169940     32 4437096    0    0  9876  6952 33957 57454 73 14 10  4  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
22  1      0 168680     32 4432716    0    0 12716  9712 35788 60250 75 16  6  3  0
22  1      0 166632     32 4429208    0    0 13340  9436 36502 63403 75 17  5  3  0
 9  0      0 161776     32 4428304    0    0 15964 12713 35233 60601 76 14  6  3  0
19  1      0 166500     32 4424528    0    0 13676  9033 35363 60680 74 14  7  4  0
13  0      0 150976     32 4439204    0    0 10036  8769 31744 55271 75 14  7  4  0
17  1      0 155924     32 4435468    0    0 13244  9340 37972 68914 75 16  5  4  0
18  3      0 154248     32 4434516    0    0 15732 11285 36976 67059 76 16  5  3  0
14  0      0 157528     32 4431296    0    0 13160  9360 36207 68831 75 15  6  4  0
 6  0      0 158292     32 4429308    0    0 15012 10550 35668 64850 76 15  5  4  0
22  1      0 158136     32 4427668    0    0 15840  7320 32807 56859 76 14  7  3  0
19  1      0 153220     32 4426200    0    0 14504 11202 37283 66241 75 16  6  3  0
19  1      0 149976     32 4423268    0    0 13656  9508 35387 69368 75 16  5  3  0
16  4      0 164524     32 4398312    0    0 12444 10613 35318 65984 74 15  7  4  0
23  1      0 176620     32 4392988    0    0 12680 75048 32639 59230 77 14  7  3  0
12  1      0 158012     32 4411512    0    0 14356  8694 30239 57400 73 13 11  4  0
20  1      0 158664     32 4407620    0    0 13208  8772 38249 65326 74 15  7  4  0
19  2      0 154928     32 4426984    0    0 13932 10913 38142 63823 74 15  7  5  0
17  1      0 157976     32 4436748    0    0 14876  8632 34249 59372 75 15  7  3  0
14  0      0 161372     32 4454224    0    0 12732 10182 34261 62708 74 15  6  4  0
16  1      0 169876     32 4469492    0    0 10560  7856 31234 54620 76 14  8  3  0
15  4      0 165248     32 4487308    0    0 12648 10850 38013 70168 75 15  6  4  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
14  0      0 153556     32 4504596    0    0 11412  9376 37096 68591 75 16  6  3  0
20  1      0 157752     32 4500744    0    0 13136 10590 36637 66653 75 15  7  4  0
18  0      0 152520     32 4497408    0    0 12224 11171 34709 62945 75 16  6  3  0
14  1      0 164360     32 4486984    0    0  9768  7774 33031 55983 75 13  9  3  0
22  0      0 179576     32 4503524    0    0 11192  8592 35343 61371 74 15  8  4  0
 8  1      0 160168     32 4521084    0    0 12528 10582 35643 68824 73 16  7  4  0
23  1      0 168052     32 4517376    0    0 13584  7704 33275 59569 75 14  8  4  0
11  0      0 170044     32 4513092    0    0 12572 10530 33991 58125 76 14  7  4  0
13  3      0 155228     32 4529656    0    0 11864  7804 33165 61390 76 13  7  4  0
17  2      0 160436     32 4524600    0    0 12072 10737 35086 62873 76 14  7  3  0
17  1      0 160312     32 4519144    0    0 11288  7800 34432 56963 76 14  7  3  0
22  0      0 157652     32 4514224    0    0 12304 10768 35606 60470 74 15  8  4  0
 8  1      0 157968     32 4508284    0    0 11032  8289 35051 60752 76 15  6  3  0
21  2      0 157260     32 4489284    0    0 18080 13186 35699 70629 75 15  7  3  0
15  0      0 165512     32 4381776    0    0 23712  7355 32643 57859 74 15  8  4  0
17  1      0 168412     32 4376404    0    0 11536 10306 37688 67170 73 16  8  4  0
10  0      0 150676     32 4392840    0    0 11324  7696 36435 61216 74 16  7  3  0
 9  1      0 161424     32 4385504    0    0  9884 10726 32768 59788 72 14 10  4  0
 9  0      0 165640     32 4379300    0    0 11164  8044 34985 64275 74 14  8  4  0
21  1      0 170076     32 4373760    0    0 11156 10078 35174 61537 75 14  8  4  0
 8  1      0 154908     32 4389208    0    0 10044  8632 35915 65823 74 14  8  4  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 9  2      0 156164     32 4383316    0    0 10400  9806 33271 64472 74 15  7  4  0
15  1      0 155936     32 4377548    0    0 10672  9302 35712 64280 76 15  6  3  0
 9  0      0 155976     32 4373304    0    0 11696 10024 33853 58618 76 15  5  4  0
21  1      0 172164     32 4344628    0    0  9928 11252 30389 55656 76 13  8  3  0
13  2      0 154900     32 4360852    0    0 10148  8852 38330 67228 74 15  8  4  0
22  0      0 159976     32 4355596    0    0 11208  9867 35721 63957 75 15  7  4  0
20  0      0 155348     32 4359524    0    0 11584 80088 32360 56469 72 14 10  4  0
15  2      0 170396     32 4342312    0    0 22280 115552 35060 60502 74 16  5  5  0
21  0      0 162616     32 4351984    0    0 20976 103844 33637 60835 73 16  6  5  0
21  2      0 168884     32 4353836    0    0 22328 82342 36664 63701 74 16  5  5  0
19  0      0 170004     32 4371548    0    0 17092 190016 32290 53790 76 16  5  4  0
23  1      0 150428     32 4418604    0    0  9040 219298 30190 49571 76 15  6  3  0
17  1      0 173788     32 4407800    0    0 11264 132280 31019 49588 77 14  6  3  0
24  1      0 170008     32 4421784    0    0 17932 25265 35057 61427 75 16  5  4  0
19  1      0 173292     32 4458028    0    0 16864 23172 32973 53579 77 14  6  4  0
25  2      0 552768     32 4137420    0    0 18680 25079 31441 49622 77 16  4  4  0
17  0      0 486176     32 4209408    0    0 39232 35954 30455 53259 77 14  4  5  0
14  1      0 427396     32 4268104    0    0 23608 38247 32722 51541 77 14  3  6  0
21  1      0 375460     32 4327800    0    0 24060 41316 33154 56235 77 14  4  6  0
14  6      0 272920     32 4428928    0    0 62748 42232 32183 56454 79 15  2  5  0
 4  2      0 197576     32 4508992    0    0 52420 28780 29542 47682 78 13  4  4  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
23  1      0 162488     32 4544408    0    0 15048 27456 31825 55153 77 14  6  4  0
20  1      0 152304     32 4552908    0    0 16316 22195 32354 51781 75 14  7  4  0
13  2      0 167392     32 4534760    0    0 14132 20670 33777 57654 76 15  5  4  0
19  1      0 280104     32 4413344    0    0 17864 24466 33706 59480 76 15  5  4  0
14  1      0 235124     32 4456292    0    0 19980 27526 35570 66327 78 15  2  4  0
20  2      0 165704     32 4495952    0    0 18496 25108 32825 54276 78 14  4  5  0
 8  2      0 161228     32 4469244    0    0 17748 27267 32445 55607 79 13  3  4  0
12  2      0 287132     32 4332944    0    0 20412 31334 34447 59698 77 15  3  4  0
13  1      0 231532     32 4388280    0    0 24024 36747 35182 61575 77 15  3  5  0
23  1      0 339520     32 4288180    0    0 20528 33498 30263 49975 77 14  4  5  0
16  3      0 286124     32 4342828    0    0 21000 36092 31159 49978 80 13  4  4  0
15  1      0 251984     32 4386100    0    0 17964 32836 29139 45886 79 13  4  4  0
18  1      0 221780     32 4428040    0    0 21052 24484 34933 56845 75 14  6  5  0
 8  1      0 202272     32 4468344    0    0 18684 26104 37787 62135 77 14  4  5  0
21  1      0 183124     32 4505676    0    0 20452 22362 33576 59793 76 15  4  4  0
17  3      0 167348     32 4538316    0    0 16904 19020 32501 59923 76 14  6  5  0
18  1      0 427504     32 4286004    0    0 20160 28613 32671 52928 77 15  4  4  0
22  2      0 368652     32 4321236    0    0 14480 25503 31203 55411 78 13  5  4  0
18  1      0 337544     32 4355688    0    0 17524 20300 35809 65243 77 14  5  4  0
19  1      0 272288     32 4419396    0    0 40268 28920 34609 56229 78 15  4  4  0
16  3      0 235248     32 4455252    0    0 16852 22375 32113 56561 77 15  4  4  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
21  1      0 195028     32 4495876    0    0 18472 25144 33235 53555 77 14  5  5  0
13  1      0 170680     32 4524072    0    0 13404 19374 29193 52941 76 13  7  5  0
22  0      0 156256     32 4540000    0    0 17972 26888 36023 60786 77 15  4  4  0
16  2      0 280132     32 4410580    0    0 18124 35148 33225 61403 76 15  5  4  0
14  1      0 229328     32 4459144    0    0 17132 34792 31882 54434 75 14  6  5  0
21  0      0 176624     32 4506844    0    0 18420 32874 33203 56575 76 15  5  4  0
18  1      0 169660     32 4508156    0    0 18288 35228 34177 57049 77 15  5  4  0
21  2      0 164680     32 4507704    0    0 18980 32735 32986 55928 76 13  6  5  0
12  2      0 166032     32 4535108    0    0 19300 37480 33916 54779 76 14  5  4  0
19  1      0 320184     32 4379504    0    0 21416 32193 31544 54524 78 15  4  4  0
21  1      0 272384     32 4424856    0    0 18528 32293 33345 58303 79 14  3  4  0
16  0      0 223484     32 4475352    0    0 21232 31613 31582 52439 76 14  6  4  0
13  2      0 186084     32 4512172    0    0 15020 27530 34246 55904 75 15  6  4  0
11  1      0 172760     32 4527308    0    0 10816  7227 32819 55732 74 13  9  4  0
14  1      0 156476     32 4543568    0    0 11360  9244 34788 62723 76 14  6  3  0
16  1      0 160540     32 4536956    0    0 12176 10566 37258 65946 74 16  6  4  0
 9  2      0 164044     32 4530104    0    0 11968 10140 36883 67450 74 15  7  4  0
16  0      0 166468     32 4522684    0    0 11736  9425 36437 69370 71 15 10  4  0
21  0      0 164104     32 4454188    0    0 11384  9064 30146 56403 76 15  6  4  0
17  1      0 168636     32 4444448    0    0 10128  8597 35155 55923 74 15  8  3  0
14  1      0 253712     32 4352088    0    0 10324 10506 35061 62037 73 16  8  4  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
16  2      0 234708     32 4369984    0    0 12392  9892 36089 62245 76 15  6  3  0
10  0      0 214296     32 4390104    0    0 14720  9876 36869 66790 76 14  6  4  0
12  1      0 197784     32 4405672    0    0 10452  9441 35868 64252 77 15  4  4  0
17  1      0 182388     32 4421484    0    0 11424  8240 30417 60216 73 12 10  4  0
23  0      0 165220     32 4439096    0    0 11932  9866 36844 60553 75 15  7  3  0
21  0      0 149720     32 4456704    0    0 12080 10124 36977 71995 74 15  8  4  0
 9  0      0 152492     32 4449004    0    0 11056  9702 35748 65739 76 15  6  3  0
23  1      0 358508     32 4271708    0    0  9520 74241 32641 66948 77 14  6  3  0
13  1      0 345244     32 4285432    0    0  8924  8666 29501 53791 77 13  7  3  0
15  1      0 330288     32 4301896    0    0 11496  8952 34990 57941 76 14  7  3  0
17  1      0 313236     32 4319576    0    0 12540 11614 35143 59185 76 15  6  3  0
16  0      0 302804     32 4337760    0    0 12852 10372 35713 64584 76 14  6  4  0
18  0      0 301832     32 4352796    0    0  9888 10088 33112 67663 78 14  5  3  0
20  1      0 296824     32 4363704    0    0  6960  8204 29506 57817 76 13  7  3  0
22  0      0 294620     32 4379588    0    0 10976  9242 35280 61563 75 14  7  4  0
19  1      0 285040     32 4396592    0    0 11596  9588 35332 58039 77 15  5  3  0
14  1      0 267884     32 4416640    0    0 14900  8858 35482 61106 75 15  7  3  0
21  0      0 254684     32 4431708    0    0 10032  9652 35637 64193 75 15  6  3  0
