procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
11  0      0 884516     28 3659884    0    0  2542  4482   68  111 52  8 37  3  0
25  0      0 861268     28 3675660    0    0 13320  2692 20277 20609 80 12  6  2  0
23  1      0 820288     28 3702136    0    0 21136  8806 29741 28206 79 12  5  3  0
16  0      0 784996     28 3728312    0    0 20420  8664 27238 34685 80 13  4  4  0
21  2      0 494388     28 3755536    0    0 21496  8998 26389 32834 75 15  6  4  0
20  2      0 170908     28 3742644    0    0 20104  7004 24359 26793 76 15  5  4  0
22  2      0 159836     28 3582868    0    0 26576  9906 27671 30220 77 16  4  4  0
22  1      0 180744     28 3344548    0    0 19292  6572 24493 23816 82 13  3  3  0
20  1      0 161792     28 3356784    0    0 22552  9771 29318 37740 79 14  3  4  0
19  2      0 178240     28 3333656    0    0 22700  9012 25614 38474 80 12  4  4  0
25  3      0 152468     28 3350088    0    0 26500 12350 27167 34518 80 13  3  5  0
22  1      0 162240     28 3338168    0    0 15616  6660 19998 26865 85 10  3  3  0
21  1      0 158176     28 3342284    0    0 31064  9107 31910 27492 80 13  3  4  0
21  1      0 156788     28 3343240    0    0 27132  8544 25304 28049 81 13  3  4  0
24  1      0 158232     28 3340396    0    0 22516  9910 26940 25234 82 13  2  3  0
24  3      0 159440     28 3339596    0    0 25912  8452 25425 29003 83 13  1  3  0
17  2      0 179912     28 3316236    0    0 19476  8878 23165 27797 83 11  3  3  0
22  1      0 190940     28 3342384    0    0 20580  6668 24629 28007 81 12  5  3  0
14  1      0 282780     28 3370220    0    0 21688  9609 32927 28828 80 14  4  3  0
14  1      0 268644     28 3399480    0    0 22548  8736 24670 29566 81 13  3  4  0
21  1      0 230704     28 3426020    0    0 20632 11981 27062 34478 80 13  4  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
13  3      0 165720     28 3493352    0    0 62908  6840 24913 28952 84 11  1  3  0
 6  6      0 162532     28 3496248    0    0 62420  8820 32442 31881 81 12  4  3  0
15  2      0 151696     28 3506812    0    0 31744  8503 27142 27099 81 12  3  3  0
21  3      0 178336     28 3481292    0    0 21272  9619 25106 30714 82 13  2  4  0
22  2      0 153260     28 3508632    0    0 21364  8312 25026 30429 82 13  3  3  0
18  1      0 155156     28 3502508    0    0 21336  9092 22084 25854 84 11  2  2  0
22  1      0 161420     28 3493524    0    0 18296  6984 21191 20695 84 12  3  2  0
18  1      0 156448     28 3493688    0    0 21856  9748 29160 31239 80 13  3  3  0
15  2      0 162732     28 3479360    0    0 18856  8084 24118 25455 79 13  5  3  0
20  3      0 157860     28 3474364    0    0 20396 10215 24612 29737 81 12  4  3  0
16  2      0 149668     28 3495568    0    0 17240  9541 24832 32153 80 12  5  3  0
16  1      0 160664     28 3483652    0    0 15260  8828 23717 28757 80 11  6  3  0
20  1      0 164560     28 3477400    0    0 19432  8900 27048 28160 80 12  4  4  0
