Linux 4.18.0-425.3.1.el8.x86_64 (l-dbm-labroom-1) 	西元2026年05月19日 	_x86_64_	(4 CPU)

01時54分09秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01時54分10秒  all    4.00    0.00    3.75    0.00    0.50    2.00    0.00    0.00    0.00   89.75
01時54分11秒  all    2.02    0.00    2.78    0.00    0.76    1.26    0.00    0.00    0.00   93.18
01時54分12秒  all    1.77    0.00    3.03    0.00    0.76    1.52    0.00    0.00    0.00   92.93
01時54分13秒  all    2.01    0.00    2.76    0.00    0.50    1.51    0.00    0.00    0.00   93.22
01時54分14秒  all    1.77    0.00    3.03    0.00    0.51    1.52    0.00    0.00    0.00   93.18
01時54分15秒  all    2.49    0.00    3.23    0.00    0.75    1.99    0.00    0.00    0.00   91.54
01時54分16秒  all    2.53    0.00    2.53    0.00    0.51    1.26    0.00    0.00    0.00   93.18
01時54分17秒  all    2.04    0.00    2.29    0.00    1.02    2.04    0.00    0.00    0.00   92.62
01時54分18秒  all    2.01    0.00    3.52    0.00    0.75    1.51    0.00    0.00    0.00   92.21
01時54分19秒  all    2.51    0.00    2.76    0.00    0.50    1.76    0.00    0.00    0.00   92.46
01時54分20秒  all    7.75    0.00    5.00    0.00    1.00    1.25    0.00    0.00    0.00   85.00
01時54分21秒  all    2.26    0.00    2.51    0.00    0.50    1.76    0.00    0.00    0.00   92.96
01時54分22秒  all    2.51    0.00    2.76    0.00    1.01    1.76    0.00    0.00    0.00   91.96
01時54分23秒  all    2.27    0.00    3.02    0.00    0.50    1.51    0.00    0.00    0.00   92.70
01時54分24秒  all    2.02    0.00    2.53    0.00    0.76    1.77    0.00    0.00    0.00   92.93
01時54分25秒  all    2.51    0.00    3.01    0.00    0.75    1.75    0.00    0.00    0.00   91.98
01時54分26秒  all    1.28    0.00    3.06    0.00    0.26    1.53    0.00    0.00    0.00   93.88
01時54分27秒  all    2.26    0.00    2.76    0.00    1.01    1.51    0.00    0.00    0.00   92.46
01時54分28秒  all    2.51    0.00    2.51    0.00    0.75    1.50    0.00    0.00    0.00   92.73
01時54分29秒  all    2.50    0.00    3.25    0.00    0.25    2.00    0.00    0.00    0.00   92.00
01時54分30秒  all    1.77    0.00    2.27    0.00    1.01    1.01    0.00    0.00    0.00   93.94
01時54分31秒  all    2.03    0.00    2.78    0.00    0.76    2.03    0.00    0.00    0.00   92.41
01時54分32秒  all    2.27    0.00    3.28    0.00    0.51    1.52    0.00    0.00    0.00   92.42
01時54分33秒  all    2.26    0.00    2.76    0.00    1.26    1.51    0.00    0.00    0.00   92.21
01時54分34秒  all    2.51    0.00    3.02    0.00    0.00    2.01    0.00    0.00    0.00   92.46
01時54分35秒  all    2.03    0.00    2.03    0.00    0.76    1.27    0.00    0.00    0.00   93.92
01時54分36秒  all    2.01    0.00    2.51    0.00    1.01    1.76    0.00    0.00    0.00   92.71
