Linux 4.18.0-553.124.1.el8_10.x86_64 (l-test-poc-1) 	西元2026年05月19日 	_x86_64_	(4 CPU)

02時08分34秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02時08分35秒  all   72.43    0.00   11.53    5.01    1.50    2.51    0.00    0.00    0.00    7.02
02時08分36秒  all   72.50    0.00   11.50    6.00    1.50    2.75    0.00    0.00    0.00    5.75
02時08分37秒  all   71.18    0.00   10.53    7.02    1.50    2.76    0.00    0.00    0.00    7.02
02時08分38秒  all   72.70    0.00    9.44    5.10    1.02    2.04    0.00    0.00    0.00    9.69
02時08分39秒  all   72.04    0.00   12.09    5.29    1.76    3.02    0.00    0.00    0.00    5.79
02時08分40秒  all   72.98    0.00   10.86    5.30    1.52    2.53    0.00    0.00    0.00    6.82
02時08分41秒  all   73.95    0.00   10.67    4.96    1.24    2.73    0.00    0.00    0.00    6.45
02時08分42秒  all   71.61    0.00   11.31    4.77    1.76    2.76    0.00    0.00    0.00    7.79
02時08分43秒  all   71.54    0.00   11.84    5.04    1.26    2.77    0.00    0.00    0.00    7.56
02時08分44秒  all   73.59    0.00   12.82    4.10    1.28    2.56    0.00    0.00    0.00    5.64
02時08分45秒  all   73.05    0.00   10.33    4.79    1.26    2.52    0.00    0.00    0.00    8.06
02時08分46秒  all   72.98    0.00   10.86    4.80    1.52    2.53    0.00    0.00    0.00    7.32
02時08分47秒  all   71.93    0.00   11.78    5.26    1.50    3.01    0.00    0.00    0.00    6.52
02時08分48秒  all   72.84    0.00   10.66    5.84    1.02    2.28    0.00    0.00    0.00    7.36
02時08分49秒  all   65.57    0.00   10.13   10.63    1.52    2.53    0.00    0.00    0.00    9.62
02時08分50秒  all   59.45    0.00    9.32   15.87    1.26    2.27    0.00    0.00    0.00   11.84
02時08分51秒  all   61.52    0.00    9.11   13.42    1.77    2.03    0.00    0.00    0.00   12.15
02時08分52秒  all   65.57    0.00   10.38   11.65    1.01    2.28    0.00    0.00    0.00    9.11
02時08分53秒  all   65.41    0.00   11.03    9.52    1.75    2.76    0.00    0.00    0.00    9.52
02時08分54秒  all   64.65    0.00   10.61   11.36    1.01    2.27    0.00    0.00    0.00   10.10
02時08分55秒  all   67.50    0.00   11.25    7.25    1.50    2.50    0.00    0.00    0.00   10.00
02時08分56秒  all   66.17    0.00   11.53    7.77    1.50    3.01    0.00    0.00    0.00   10.03
02時08分57秒  all   68.72    0.00   10.77    7.18    1.28    2.05    0.00    0.00    0.00   10.00
02時08分58秒  all   69.77    0.00    9.82    6.55    1.26    2.52    0.00    0.00    0.00   10.08
02時08分59秒  all   66.92    0.00   11.11    8.08    1.77    2.78    0.00    0.00    0.00    9.34
02時09分00秒  all   60.71    0.00   10.58   12.85    1.26    2.52    0.00    0.00    0.00   12.09
02時09分01秒  all   51.88    0.00    9.02   21.05    1.25    2.01    0.00    0.00    0.00   14.79
02時09分02秒  all   62.24    0.00   10.71   12.50    1.53    2.30    0.00    0.00    0.00   10.71
02時09分03秒  all   34.75    0.00    6.25   35.50    1.00    1.75    0.00    0.00    0.00   20.75
02時09分04秒  all   61.27    0.00   10.13   13.92    1.27    2.28    0.00    0.00    0.00   11.14
02時09分05秒  all   59.54    0.00    8.14   16.79    1.27    1.78    0.00    0.00    0.00   12.47
