procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 2598288   7420 4857096    0    0     0     1    0    0  0  0 100  0  0
 0  0      0 2587480   7420 4857132    0    0     0    40 39744 37391  3  8 89  0  0
 0  0      0 2584600   7420 4857136    0    0     0     0 28033 30644  2  4 94  0  0
 0  0      0 2581908   7420 4857136    0    0     0     0 31061 33572  3  6 92  0  0
 0  0      0 2580328   7420 4857136    0    0     0     0 28202 30351  2  4 93  0  0
 0  0      0 2578720   7420 4857136    0    0     0     0 34904 36426  2  7 91  0  0
 1  0      0 2578372   7420 4857136    0    0     0    44 33953 37693  3  6 91  0  0
 0  0      0 2577944   7420 4857136    0    0     0     0 30961 34186  3  6 91  0  0
 1  0      0 2577872   7420 4857136    0    0     0     0 30156 31723  3  7 90  0  0
 0  0      0 2578080   7420 4857136    0    0     0     0 28947 31210  2  5 93  0  0
 1  0      0 2578280   7420 4857136    0    0     0     0 31291 33781  3  6 91  0  0
 0  0      0 2577980   7420 4857144    0    0     0     0 27201 28747  3  6 92  0  0
 1  0      0 2575488   7420 4857144    0    0     0    48 31644 32661  4  7 89  0  0
 0  0      0 2575092   7420 4857144    0    0     0     0 30582 33598  3  7 90  0  0
 0  0      0 2575556   7420 4857152    0    0     0     0 31705 34590  3  5 92  0  0
 4  0      0 2575216   7420 4857156    0    0     0     0 26179 28651  2  5 93  0  0
 0  0      0 2574480   7420 4857156    0    0     0     0 32658 32558  3  6 91  0  0
 0  0      0 2574920   7420 4857156    0    0     0    44 31199 34384  3  6 92  0  0
 0  0      0 2574168   7420 4857156    0    0     0     0 31242 33364  3  6 91  0  0
 0  0      0 2574224   7420 4857156    0    0     0     0 31006 33460  3  6 91  0  0
 0  0      0 2574316   7420 4857156    0    0     0     0 30020 33147  3  5 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 2574504   7420 4857160    0    0     0     0 30353 32653  3  6 91  0  0
 1  0      0 2573736   7420 4857160    0    0     0    44 27519 29342  3  6 92  0  0
