procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
12  0      0 1741740     28 3123404    0    0   255  1114   23  455 27  5 67  1  0
11  0      0 1793508     28 3125040    0    0     0  3641 34702 46999 74 16  7  3  0
 7  0      0 1422968     28 3126748    0    0     0  4750 24255 54753 73 19  6  3  0
23  0      0 1159192     28 3127748    0    0     0  3967 17466 34193 75 12 10  2  0
23  0      0 1155228     28 3129412    0    0     0  3401 24663 43992 78 14  5  3  0
 8  0      0 1151192     28 3131328    0    0     0  6069 22296 58813 75 14  8  4  0
 7  0      0 1147624     28 3132832    0    0     0  4269 18323 54144 77 11  8  4  0
 4  0      0 1145304     28 3134420    0    0     0  5018 23748 43373 75 13  9  3  0
11  0      0 1140884     28 3136276    0    0     0  4315 24223 55970 75 14  7  4  0
 9  0      0 1135428     28 3138024    0    0     0  5824 21815 59472 76 13  6  4  0
15  0      0 1059636     28 3139208    0    0     4  2379 19191 33590 80 11  7  2  0
 7  1      0 1056388     28 3140868    0    0     0  5248 24137 49040 76 14  7  3  0
 9  0      0 1053712     28 3142780    0    0     0  4524 23219 57700 77 13  7  3  0
 4  0      0 1051432     28 3144288    0    0     0  5496 20089 50864 75 13  8  4  0
 9  0      0 1028964     28 3145456    0    0     0  2245 19553 32753 81 11  6  2  0
 6  0      0 1026668     28 3147232    0    0     0  5431 25043 50760 76 15  7  2  0
 9  1      0 1024444     28 3149076    0    0     0  4761 21194 60978 78 13  6  4  0
19  0      0 1022588     28 3150276    0    0     0  4187 18831 34733 81 12  5  2  0
14  1      0 1018824     28 3152148    0    0     0  3651 24752 51333 79 13  4  3  0
 5  0      0 1016404     28 3154000    0    0     0  5982 23782 54442 73 15  9  3  0
14  1      0 1011768     28 3155936    0    0     0  5240 23749 61153 78 13  5  4  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  1      0 942308     28 3157124    0    0     0  3685 20305 30431 80 11  8  2  0
 9  1      0 939008     28 3158916    0    0     0  4458 24979 56216 75 14  6  4  0
16  0      0 935988     28 3160864    0    0     0  6170 23987 59221 77 14  6  3  0
20  1      0 932864     28 3162408    0    0     0  2531 20052 34310 83 13  3  2  0
24  0      0 929528     28 3164044    0    0     0  4448 22477 34379 84 12  2  1  0
13  0      0 926592     28 3165552    0    0     0  4149 21865 54066 77 13  7  3  0
 7  0      0 881268     28 3194344    0    0     0 34054 22043 58404 76 14  7  4  0
15  1      0 877676     28 3195884    0    0     0  3360 18613 43413 79 11  8  2  0
12  1      0 875152     28 3198088    0    0     0  6728 26029 57989 76 15  7  3  0
12  0      0 878460     28 3200180    0    0     0  4540 23367 54521 75 14  7  3  0
17  0      0 879588     28 3202008    0    0     0  5762 20933 51102 79 13  6  3  0
23  0      0 886140     28 3203536    0    0     0  3133 20879 46687 79 11  8  3  0
 5  1      0 886560     28 3205600    0    0     0  5607 25819 52267 79 15  4  1  0
18  1      0 891716     28 3207600    0    0     0  4598 22591 57951 79 14  5  2  0
15  0      0 891728     28 3209120    0    0     0  5191 19515 51161 78 11  9  3  0
11  0      0 887500     28 3210784    0    0     0  3167 22194 46874 77 13  9  2  0
14  0      0 883192     28 3212928    0    0     0  6354 25948 63870 79 15  4  2  0
15  0      0 880320     28 3214856    0    0     0  4034 22163 53324 80 14  4  2  0
18  0      0 881996     28 3216068    0    0     0  3507 17187 26816 83 10  5  1  0
16  0      0 878112     28 3217672    0    0     0  3480 22512 46518 78 15  6  2  0
 9  0      0 874688     28 3219640    0    0     0  6236 24065 56581 79 16  4  2  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0      0 871784     28 3221540    0    0     0  3644 21725 53046 79 14  6  2  0
 6  0      0 868788     28 3223080    0    0     0  5194 19390 52503 78 11  9  3  0
13  1      0 868036     28 3224760    0    0     0  3751 22355 54688 77 12  9  2  0
13  0      0 865432     28 3226736    0    0     0  5782 23277 57241 79 15  5  2  0
11  0      0 860504     28 3228836    0    0     0  3932 22768 55325 79 15  4  2  0
 8  1      0 856844     28 3230400    0    0     0  4783 19781 42475 82 11  6  2  0
 5  1      0 854112     28 3232168    0    0     0  3616 22766 52894 77 14  7  1  0
21  0      0 851156     28 3234044    0    0     0  5965 23909 58827 76 14  9  2  0
22  0      0 846544     28 3236140    0    0     0  3899 24231 52437 80 14  5  1  0
