Linux 4.18.0-425.3.1.el8.x86_64 (l-dbm-labroom-1) 	西元2026年05月29日 	_x86_64_	(4 CPU)

15時16分34秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15時16分35秒  all    4.03    0.00    3.53    0.00    1.01    2.27    0.00    0.00    0.00   89.17
15時16分36秒  all    2.53    0.00    3.79    0.00    0.51    1.77    0.00    0.00    0.00   91.41
15時16分37秒  all    2.54    0.00    3.31    0.00    1.02    1.53    0.00    0.00    0.00   91.60
15時16分38秒  all    3.02    0.00    3.27    0.00    0.76    2.02    0.00    0.00    0.00   90.93
15時16分39秒  all    4.04    0.00    5.05    0.00    1.01    2.02    0.00    0.00    0.00   87.88
15時16分40秒  all    2.77    0.00    3.27    0.00    0.76    1.51    0.00    0.00    0.00   91.69
15時16分41秒  all    2.27    0.00    2.52    0.00    0.50    2.27    0.00    0.00    0.00   92.44
15時16分42秒  all    2.78    0.00    2.78    0.00    1.01    1.27    0.00    0.00    0.00   92.15
15時16分43秒  all    2.02    0.00    3.28    0.00    0.51    2.02    0.00    0.00    0.00   92.17
15時16分44秒  all    3.02    0.00    3.27    0.00    0.75    1.76    0.00    0.00    0.00   91.21
15時16分45秒  all    4.07    0.00    3.56    0.00    1.02    1.53    0.00    0.00    0.00   89.82
15時16分46秒  all    2.27    0.00    2.53    0.00    0.76    1.77    0.00    0.00    0.00   92.68
15時16分47秒  all    2.28    0.00    2.78    0.00    0.76    1.52    0.00    0.00    0.00   92.66
15時16分48秒  all    2.78    0.00    3.03    0.00    0.76    2.02    0.00    0.00    0.00   91.41
15時16分49秒  all    2.54    0.00    2.79    0.00    0.51    1.78    0.00    0.00    0.00   92.39
15時16分50秒  all    2.51    0.00    2.76    0.00    1.01    1.26    0.00    0.00    0.00   92.46
15時16分51秒  all    2.54    0.00    3.81    0.00    0.76    2.03    0.00    0.00    0.00   90.86
15時16分52秒  all    2.54    0.00    2.54    0.00    0.76    1.27    0.00    0.00    0.00   92.89
15時16分53秒  all    2.02    0.00    3.78    0.00    0.76    2.02    0.00    0.00    0.00   91.44
15時16分54秒  all    2.27    0.00    3.03    0.00    0.76    1.52    0.00    0.00    0.00   92.42
15時16分55秒  all    2.53    0.00    2.53    0.00    0.51    1.52    0.00    0.00    0.00   92.91
15時16分56秒  all    2.76    0.00    4.51    0.00    0.75    1.75    0.00    0.00    0.00   90.23
15時16分57秒  all    3.78    0.00    3.53    0.00    1.01    1.51    0.00    0.00    0.00   90.18
15時16分58秒  all    3.02    0.00    3.52    0.00    0.75    2.26    0.00    0.00    0.00   90.45
15時16分59秒  all    2.01    0.00    3.26    0.00    0.75    1.25    0.00    0.00    0.00   92.73
15時17分00秒  all    1.76    0.00    2.27    0.00    0.50    1.26    0.00    0.00    0.00   94.21
15時17分01秒  all    1.27    0.00    2.03    0.00    0.51    1.52    0.00    0.00    0.00   94.67
15時17分02秒  all    5.29    0.00    3.78    0.00    0.76    1.51    0.00    0.00    0.00   88.66
15時17分03秒  all    2.54    0.00    3.05    0.00    0.76    1.27    0.00    0.00    0.00   92.39
15時17分04秒  all    2.27    0.00    2.77    0.00    0.50    1.51    0.00    0.00    0.00   92.95
15時17分05秒  all    1.76    0.00    2.51    0.00    0.75    1.51    0.00    0.00    0.00   93.47
15時17分06秒  all    2.02    0.00    2.78    0.00    0.76    1.26    0.00    0.00    0.00   93.18
15時17分07秒  all    2.26    0.00    2.51    0.00    0.75    1.75    0.00    0.00    0.00   92.73
15時17分08秒  all    3.27    0.00    4.52    0.00    0.75    1.51    0.00    0.00    0.00   89.95
15時17分09秒  all    2.76    0.00    3.01    0.00    0.75    1.50    0.00    0.00    0.00   91.98
15時17分10秒  all    1.53    0.00    2.30    0.00    0.51    1.28    0.00    0.00    0.00   94.39
15時17分11秒  all    2.03    0.00    2.53    0.00    0.51    1.77    0.00    0.00    0.00   93.16
