Linux 4.18.0-553.124.1.el8_10.x86_64 (l-test-poc-1) 	西元2026年05月29日 	_x86_64_	(4 CPU)

16時20分19秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
16時20分20秒  all   72.50    0.00   12.00    3.25    1.25    3.50    0.00    0.00    0.00    7.50
16時20分21秒  all   73.35    0.00   11.93    2.79    0.76    3.05    0.00    0.00    0.00    8.12
16時20分22秒  all   71.75    0.00   13.75    2.75    1.50    3.75    0.00    0.00    0.00    6.50
16時20分23秒  all   73.03    0.00    9.67    2.54    0.51    2.04    0.00    0.00    0.00   12.21
16時20分24秒  all   74.31    0.00   10.58    2.27    1.01    3.53    0.00    0.00    0.00    8.31
16時20分25秒  all   73.30    0.00   10.58    3.78    1.01    3.27    0.00    0.00    0.00    8.06
16時20分26秒  all   75.00    0.00    8.76    2.84    1.03    2.84    0.00    0.00    0.00    9.54
16時20分27秒  all   73.48    0.00   10.10    1.77    1.01    2.78    0.00    0.00    0.00   10.86
16時20分28秒  all   73.23    0.00   11.11    3.28    1.01    3.28    0.00    0.00    0.00    8.08
16時20分29秒  all   76.63    0.00   10.05    3.52    1.26    3.27    0.00    0.00    0.00    5.28
16時20分30秒  all   76.13    0.00   10.05    3.02    1.01    3.27    0.00    0.00    0.00    6.53
16時20分31秒  all   81.66    0.00    9.05    2.01    0.75    2.76    0.00    0.00    0.00    3.77
16時20分32秒  all   76.57    0.00    9.82    3.27    0.76    3.02    0.00    0.00    0.00    6.55
16時20分33秒  all   76.38    0.00   11.56    3.02    1.01    3.27    0.00    0.00    0.00    4.77
16時20分34秒  all   77.61    0.00    8.71    2.99    1.00    2.99    0.00    0.00    0.00    6.72
16時20分35秒  all   73.99    0.00   10.35    3.28    1.26    3.03    0.00    0.00    0.00    8.08
16時20分36秒  all   75.51    0.00   10.86    3.54    1.01    3.28    0.00    0.00    0.00    5.81
16時20分37秒  all   74.44    0.00    9.77    3.76    1.00    3.01    0.00    0.00    0.00    8.02
16時20分38秒  all   76.20    0.00   10.13    3.29    1.01    3.04    0.00    0.00    0.00    6.33
16時20分39秒  all   76.88    0.00    9.05    2.51    1.01    2.76    0.00    0.00    0.00    7.79
16時20分40秒  all   77.30    0.00    9.95    3.06    0.51    3.06    0.00    0.00    0.00    6.12
16時20分41秒  all   76.13    0.00    9.80    2.51    1.01    3.27    0.00    0.00    0.00    7.29
16時20分42秒  all   81.31    0.00    8.84    1.77    1.26    2.78    0.00    0.00    0.00    4.04
16時20分43秒  all   74.44    0.00    9.27    4.01    1.00    3.01    0.00    0.00    0.00    8.27
16時20分44秒  all   74.06    0.00   10.08    3.02    1.01    3.02    0.00    0.00    0.00    8.82
16時20分45秒  all   76.44    0.00   10.28    2.26    1.00    3.26    0.00    0.00    0.00    6.77
16時20分46秒  all   74.25    0.00   10.75    3.00    1.25    3.25    0.00    0.00    0.00    7.50
16時20分47秒  all   78.73    0.00    9.11    2.78    0.76    2.53    0.00    0.00    0.00    6.08
16時20分48秒  all   72.77    0.00   10.15    2.72    0.74    3.22    0.00    0.00    0.00   10.40
16時20分49秒  all   74.24    0.00   10.61    3.03    1.26    3.28    0.00    0.00    0.00    7.58
16時20分50秒  all   76.19    0.00    8.77    3.01    1.00    2.76    0.00    0.00    0.00    8.27
16時20分51秒  all   78.09    0.00   10.58    2.27    1.01    2.77    0.00    0.00    0.00    5.29
16時20分52秒  all   74.56    0.00   10.22    2.24    1.25    3.24    0.00    0.00    0.00    8.48
16時20分53秒  all   79.29    0.00   10.35    1.52    0.76    3.03    0.00    0.00    0.00    5.05
16時20分54秒  all   75.63    0.00    8.88    1.78    0.76    2.79    0.00    0.00    0.00   10.15
16時20分55秒  all   81.05    0.00    9.23    1.50    1.00    2.99    0.00    0.00    0.00    4.24
16時20分56秒  all   77.94    0.00   11.03    1.75    1.25    3.01    0.00    0.00    0.00    5.01
16時20分57秒  all   76.01    0.00   10.61    1.77    1.01    2.78    0.00    0.00    0.00    7.83
16時20分58秒  all   80.30    0.00    8.08    1.52    0.76    2.78    0.00    0.00    0.00    6.57
16時20分59秒  all   75.89    0.00    9.90    1.52    1.02    3.05    0.00    0.00    0.00    8.63
16時21分00秒  all   76.81    0.00    9.73    2.24    1.25    3.24    0.00    0.00    0.00    6.73
16時21分01秒  all   77.19    0.00   10.03    1.25    1.00    3.01    0.00    0.00    0.00    7.52
16時21分02秒  all   75.25    0.00    8.84    1.77    0.76    2.78    0.00    0.00    0.00   10.61
16時21分03秒  all   81.45    0.00   10.53    1.50    0.75    2.76    0.00    0.00    0.00    3.01
16時21分04秒  all   77.02    0.00    9.34    1.52    1.26    3.28    0.00    0.00    0.00    7.58
16時21分05秒  all   78.48    0.00    9.87    1.77    1.27    2.78    0.00    0.00    0.00    5.82
16時21分06秒  all   76.06    0.00    9.73    1.25    1.00    3.24    0.00    0.00    0.00    8.73
16時21分07秒  all   76.46    0.00    9.62    2.03    0.76    2.78    0.00    0.00    0.00    8.35
16時21分08秒  all   80.35    0.00   11.34    1.76    0.76    3.02    0.00    0.00    0.00    2.77
16時21分09秒  all   77.25    0.00   10.75    2.00    1.00    3.25    0.00    0.00    0.00    5.75
16時21分10秒  all   77.83    0.00   10.33    1.51    1.01    3.02    0.00    0.00    0.00    6.30
16時21分11秒  all   75.19    0.00    8.44    2.98    0.99    2.48    0.00    0.00    0.00    9.93
16時21分12秒  all   77.64    0.00   10.80    1.26    1.01    3.27    0.00    0.00    0.00    6.03
16時21分13秒  all   80.75    0.00   10.00    1.75    1.25    3.25    0.00    0.00    0.00    3.00
16時21分14秒  all   74.56    0.00   10.97    2.00    0.75    2.74    0.00    0.00    0.00    8.98
16時21分15秒  all   75.00    0.00    7.07    2.27    0.76    2.27    0.00    0.00    0.00   12.63
16時21分16秒  all   75.82    0.00   10.58    1.51    1.01    3.53    0.00    0.00    0.00    7.56
16時21分17秒  all   73.63    0.00   10.20    1.49    1.24    2.99    0.00    0.00    0.00   10.45
16時21分18秒  all   77.06    0.00   10.72    2.00    1.00    2.99    0.00    0.00    0.00    6.23
16時21分19秒  all   78.59    0.00    9.07    1.51    0.76    3.02    0.00    0.00    0.00    7.05
16時21分20秒  all   80.30    0.00   10.86    1.26    1.01    2.78    0.00    0.00    0.00    3.79
16時21分21秒  all   77.33    0.00   10.83    1.51    0.76    3.53    0.00    0.00    0.00    6.05
16時21分22秒  all   77.19    0.00    9.02    2.01    1.00    2.51    0.00    0.00    0.00    8.27
16時21分23秒  all   79.15    0.00   10.80    1.76    1.01    3.27    0.00    0.00    0.00    4.02
16時21分24秒  all   79.85    0.00    9.95    1.99    1.00    3.23    0.00    0.00    0.00    3.98
16時21分25秒  all   80.70    0.00   10.53    1.75    1.25    3.26    0.00    0.00    0.00    2.51
16時21分26秒  all   79.85    0.00    8.31    2.27    0.76    2.52    0.00    0.00    0.00    6.30
