procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0   2560 1149272   5796 6365448    0    0     0     1    0    0  0  0 100  0  0
 1  0   2560 1137548   5796 6365496    0    0     0     0 26019 26833  3  4 92  0  0
 0  0   2560 1136768   5796 6365496    0    0     0     0 23351 25103  2  4 94  0  0
 1  0   2560 1135796   5796 6365496    0    0     0     0 23702 25022  2  4 94  0  0
 0  0   2560 1134452   5796 6365496    0    0     0     0 26515 28077  2  5 93  0  0
 0  0   2560 1134668   5796 6365496    0    0     0    36 24518 26577  1  4 95  0  0
 0  0   2560 1134048   5796 6365496    0    0     0     0 25599 27720  2  4 94  0  0
 0  0   2560 1133512   5796 6365496    0    0     0     0 24073 26287  2  4 94  0  0
 0  0   2560 1133652   5796 6365496    0    0     0     0 19057 21196  1  3 96  0  0
 0  0   2560 1133612   5796 6365496    0    0     0     0 21251 22988  1  4 95  0  0
 0  0   2560 1133684   5796 6365496    0    0     0     0 23231 25451  2  4 94  0  0
 0  0   2560 1133924   5796 6365500    0    0     0     0 18005 19778  2  3 95  0  0
 1  0   2560 1133836   5796 6365500    0    0     0     0 21903 24043  1  4 94  0  0
 0  0   2560 1133256   5796 6365500    0    0     0     0 20807 22314  2  4 94  0  0
 2  0   2560 1108432   5796 6365508    0    0     0     4 26397 27574  5  6 89  0  0
 2  0   2560 1108268   5796 6365508    0    0     0     0 24997 26643  3  6 92  0  0
 2  0   2560 1107968   5796 6365512    0    0     0     0 24901 26803  2  5 93  0  0
 0  0   2560 1108104   5796 6365512    0    0     0     0 25904 27950  2  4 93  0  0
 0  0   2560 1107856   5796 6365512    0    0     0     0 25317 27199  2  5 93  0  0
 0  0   2560 1107272   5796 6365512    0    0     0     0 26334 27792  3  6 91  0  0
 0  0   2560 1107612   5796 6365512    0    0     0     0 26949 28630  3  6 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 1107884   5796 6365516    0    0     0     0 27201 29305  2  5 92  0  0
 1  0   2560 1108140   5796 6365516    0    0     0     0 25919 27701  2  4 94  0  0
 1  0   2560 1107644   5796 6365516    0    0     0     0 23008 24416  2  5 93  0  0
 0  0   2560 1107668   5796 6365516    0    0     0     0 25315 26420  2  5 93  0  0
 0  0   2560 1107624   5796 6365516    0    0     0     0 27723 28720  2  6 92  0  0
 0  0   2560 1107608   5796 6365516    0    0     0    76 24198 25579  3  5 93  0  0
 2  0   2560 1107400   5796 6365524    0    0     0     0 25435 27019  2  5 93  0  0
 1  0   2560 1107300   5796 6365524    0    0     0     0 27701 29389  3  6 91  0  0
 1  0   2560 1107488   5796 6365524    0    0     0     0 26722 28322  3  5 92  0  0
 1  0   2560 1107408   5796 6365528    0    0     0     0 26617 28424  2  6 92  0  0
 0  0   2560 1107380   5796 6365528    0    0     0    76 25974 27611  3  5 92  0  0
 1  0   2560 1131236   5796 6365532    0    0     0   268 25644 27369  8  7 85  0  0
 1  0   2560 1130980   5796 6365532    0    0     0     0 24708 26480  2  4 93  0  0
 0  0   2560 1131744   5796 6365532    0    0     0     0 27156 28466  3  6 92  0  0
 1  0   2560 1132196   5796 6365532    0    0     0     0 27771 29661  3  6 92  0  0
 0  0   2560 1132288   5796 6365532    0    0     0     0 24812 26242  3  6 91  0  0
 1  0   2560 1131728   5796 6365532    0    0     0     0 27389 29139  3  5 92  0  0
 0  0   2560 1132136   5796 6365532    0    0     0     0 26883 28451  3  6 91  0  0
 0  0   2560 1132264   5796 6365540    0    0     0     0 24939 25972  3  5 92  0  0
 1  0   2560 1132456   5796 6365548    0    0     0     0 27654 29293  3  5 92  0  0
 0  0   2560 1132276   5796 6365552    0    0     0     0 27141 28763  3  5 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 1132212   5796 6365556    0    0     0     0 27421 29360  2  5 93  0  0
 0  0   2560 1131724   5796 6365560    0    0     0     0 26582 27982  2  5 92  0  0
 1  0   2560 1131476   5796 6365568    0    0     0     0 25371 26810  3  5 92  0  0
 1  0   2560 1131600   5796 6365568    0    0     0     0 26337 28092  3  5 93  0  0
 2  0   2560 1131648   5796 6365568    0    0     0     8 20968 22406  2  4 94  0  0
 0  0   2560 1131804   5796 6365568    0    0     0     0 22343 24329  2  4 94  0  0
 0  0   2560 1132004   5796 6365568    0    0     0     0 23060 24553  2  5 93  0  0
 0  0   2560 1131712   5796 6365568    0    0     0     0 24799 26286  3  5 93  0  0
 1  0   2560 1132268   5796 6365568    0    0     0     0 22402 23860  2  4 94  0  0
 0  0   2560 1132176   5796 6365572    0    0     0     0 24413 25996  2  5 93  0  0
 0  0   2560 1132060   5796 6365576    0    0     0     0 24151 25634  2  4 94  0  0
 0  0   2560 1131868   5796 6365584    0    0     0     0 26515 28080  2  4 94  0  0
 0  0   2560 1131856   5796 6365584    0    0     0     0 25650 27274  2  5 93  0  0
 0  0   2560 1132200   5796 6365584    0    0     0     0 25494 26867  2  5 93  0  0
 1  0   2560 1132020   5796 6365584    0    0     0     0 26654 28206  2  5 93  0  0
 1  0   2560 1132008   5796 6365584    0    0     0    81 27434 29162  2  4 94  0  0
 0  0   2560 1131992   5796 6365584    0    0     0     0 26734 27963  3  6 92  0  0
 0  0   2560 1131804   5796 6365588    0    0     0     0 26234 27743  2  5 93  0  0
 1  0   2560 1131984   5796 6365588    0    0     0     0 23436 25032  2  5 94  0  0
 0  0   2560 1131876   5796 6365588    0    0     0     0 26869 28709  2  5 93  0  0
 0  0   2560 1131976   5796 6365588    0    0     0    88 26611 28505  2  5 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 1131628   5796 6365588    0    0     0     0 25776 27515  2  4 94  0  0
 1  0   2560 1131464   5796 6365592    0    0     0     0 24852 26775  2  5 94  0  0
 0  0   2560 1132004   5796 6365600    0    0     0     0 26442 28554  2  5 93  0  0
 0  0   2560 1132128   5796 6365600    0    0     0     0 26447 28258  2  5 93  0  0
 0  0   2560 1131792   5796 6365600    0    0     0    36 26147 27787  2  5 93  0  0
 0  0   2560 1131660   5796 6365600    0    0     0     0 25828 27225  3  6 92  0  0
 0  0   2560 1131236   5796 6365600    0    0     0     0 25252 26289  2  6 92  0  0
 1  0   2560 1131312   5796 6365600    0    0     0     0 27615 29330  3  6 91  0  0
 0  0   2560 1131388   5796 6365600    0    0     0     0 26477 28259  2  5 92  0  0
 0  0   2560 1131740   5796 6365600    0    0     0    16 26043 27695  2  4 94  0  0
 0  0   2560 1131796   5796 6365600    0    0     0     0 27549 29273  2  5 93  0  0
 4  0   2560 1107560   5796 6365604    0    0     0     4 27234 28624  4  5 91  0  0
 0  0   2560 1106828   5796 6365608    0    0     0     0 27848 29293  3  5 92  0  0
 0  0   2560 1106852   5796 6365608    0    0     0     0 24442 26429  2  5 93  0  0
 1  0   2560 1106888   5796 6365608    0    0     0     0 27278 29133  2  5 93  0  0
 0  0   2560 1107116   5796 6365616    0    0     0     0 27183 28515  2  5 92  0  0
 0  0   2560 1107292   5796 6365616    0    0     0     0 26152 27709  3  6 91  0  0
 1  0   2560 1106888   5796 6365620    0    0     0     0 25230 26968  3  4 93  0  0
