2026/05/30 17:23:46 maxprocs: Leaving GOMAXPROCS=4: CPU quota undefined
[Current] DELIVERY - Takes(s): 9.4, Count: 214, TPM: 1369.1, Sum(ms): 52271.4, Avg(ms): 244.2, 50th(ms): 243.3, 90th(ms): 318.8, 95th(ms): 369.1, 99th(ms): 503.3, 99.9th(ms): 604.0, Max(ms): 604.0
[Current] NEW_ORDER - Takes(s): 9.7, Count: 2517, TPM: 15614.4, Sum(ms): 266580.0, Avg(ms): 105.9, 50th(ms): 100.7, 90th(ms): 159.4, 95th(ms): 184.5, 99th(ms): 218.1, 99.9th(ms): 268.4, Max(ms): 369.1
[Current] ORDER_STATUS - Takes(s): 9.7, Count: 238, TPM: 1475.6, Sum(ms): 13573.4, Avg(ms): 57.0, 50th(ms): 52.4, 90th(ms): 96.5, 95th(ms): 121.6, 99th(ms): 167.8, 99.9th(ms): 176.2, Max(ms): 176.2
[Current] PAYMENT - Takes(s): 9.7, Count: 2551, TPM: 15723.4, Sum(ms): 161999.0, Avg(ms): 63.5, 50th(ms): 58.7, 90th(ms): 100.7, 95th(ms): 117.4, 99th(ms): 159.4, 99.9th(ms): 234.9, Max(ms): 352.3
[Current] STOCK_LEVEL - Takes(s): 9.4, Count: 228, TPM: 1456.3, Sum(ms): 122351.6, Avg(ms): 536.7, 50th(ms): 453.0, 90th(ms): 1140.9, 95th(ms): 1140.9, 99th(ms): 1208.0, 99.9th(ms): 1342.2, Max(ms): 1342.2
[Current] DELIVERY - Takes(s): 10.0, Count: 234, TPM: 1404.9, Sum(ms): 67126.9, Avg(ms): 287.0, 50th(ms): 285.2, 90th(ms): 369.1, 95th(ms): 402.7, 99th(ms): 520.1, 99.9th(ms): 704.6, Max(ms): 704.6
[Current] NEW_ORDER - Takes(s): 10.0, Count: 2848, TPM: 17088.0, Sum(ms): 338998.0, Avg(ms): 119.0, 50th(ms): 113.2, 90th(ms): 167.8, 95th(ms): 184.5, 99th(ms): 243.3, 99.9th(ms): 318.8, Max(ms): 385.9
[Current] ORDER_STATUS - Takes(s): 9.9, Count: 231, TPM: 1399.5, Sum(ms): 13872.2, Avg(ms): 60.1, 50th(ms): 58.7, 90th(ms): 96.5, 95th(ms): 104.9, 99th(ms): 142.6, 99.9th(ms): 159.4, Max(ms): 159.4
[Current] PAYMENT - Takes(s): 10.0, Count: 2671, TPM: 16026.3, Sum(ms): 194466.5, Avg(ms): 72.8, 50th(ms): 67.1, 90th(ms): 104.9, 95th(ms): 121.6, 99th(ms): 167.8, 99.9th(ms): 218.1, Max(ms): 243.3
[Current] STOCK_LEVEL - Takes(s): 10.0, Count: 232, TPM: 1392.0, Sum(ms): 19876.4, Avg(ms): 85.7, 50th(ms): 88.1, 90th(ms): 142.6, 95th(ms): 159.4, 99th(ms): 184.5, 99.9th(ms): 218.1, Max(ms): 218.1
[Current] DELIVERY - Takes(s): 10.0, Count: 242, TPM: 1454.6, Sum(ms): 64622.8, Avg(ms): 267.5, 50th(ms): 268.4, 90th(ms): 335.5, 95th(ms): 369.1, 99th(ms): 453.0, 99.9th(ms): 486.5, Max(ms): 486.5
[Current] NEW_ORDER - Takes(s): 10.0, Count: 2961, TPM: 17779.5, Sum(ms): 343929.3, Avg(ms): 116.2, 50th(ms): 113.2, 90th(ms): 167.8, 95th(ms): 184.5, 99th(ms): 226.5, 99.9th(ms): 302.0, Max(ms): 369.1
[Current] ORDER_STATUS - Takes(s): 10.0, Count: 267, TPM: 1609.8, Sum(ms): 15605.6, Avg(ms): 58.5, 50th(ms): 54.5, 90th(ms): 96.5, 95th(ms): 113.2, 99th(ms): 130.0, 99.9th(ms): 151.0, Max(ms): 151.0
