procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0   2560 725872   5796 6791532    0    0     0     1    1    0  0  0 100  0  0
 0  0   2560 715876   5796 6791596    0    0     0     0 45194 40415  4  8 88  0  0
 0  0   2560 707732   5796 6791604    0    0     0     0 32396 35017  2  6 92  0  0
 0  0   2560 704920   5796 6791604    0    0     0     0 27509 28817  2  4 94  0  0
 1  0   2560 702580   5796 6791604    0    0     0     0 31427 31201  2  5 93  0  0
 0  0   2560 701228   5796 6791604    0    0     0     0 37295 37255  3  7 90  0  0
 0  0   2560 700596   5796 6791604    0    0     0     0 36949 39661  3  7 91  0  0
 0  0   2560 700164   5796 6791604    0    0     0     0 34641 37560  3  6 91  0  0
 2  0   2560 699616   5796 6791604    0    0     0     0 33813 37188  3  6 91  0  0
 1  0   2560 699928   5796 6791604    0    0     0     0 28903 31141  2  5 93  0  0
 2  0   2560 699196   5796 6791604    0    0     0     0 36111 36077  3  7 90  0  0
 0  0   2560 698660   5796 6791604    0    0     0     0 36831 40238  3  6 91  0  0
 0  0   2560 698668   5796 6791608    0    0     0     0 34423 38070  3  6 92  0  0
 0  0   2560 698568   5796 6791608    0    0     0     0 33507 35778  2  5 93  0  0
 1  0   2560 698644   5796 6791616    0    0     0     0 33287 35464  3  5 92  0  0
 0  0   2560 698420   5796 6791620    0    0     0     0 36995 38243  3  6 92  0  0
 0  0   2560 698404   5796 6791620    0    0     0     0 39034 41203  2  6 91  0  0
 0  0   2560 698320   5796 6791620    0    0     0     0 37238 40243  2  6 92  0  0
 1  0   2560 698936   5796 6791620    0    0     0     0 36384 39295  2  6 92  0  0
 0  0   2560 698756   5796 6791620    0    0     0     0 28933 30669  2  5 93  0  0
 0  0   2560 698452   5796 6791620    0    0     0    36 35011 35330  2  7 91  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0   2560 696816   5796 6791624    0    0     0     0 37576 40701  3  6 91  0  0
 0  0   2560 696872   5796 6791624    0    0     0     0 35702 38348  3  7 91  0  0
 0  0   2560 696940   5796 6791624    0    0     0     0 34091 36564  2  5 92  0  0
 1  0   2560 696948   5796 6791624    0    0     0     0 32600 35323  3  5 92  0  0
 2  0   2560 696672   5796 6791624    0    0     0   136 36947 38646  2  6 92  0  0
 0  0   2560 696800   5796 6791624    0    0     0     0 36650 40103  2  6 92  0  0
 0  0   2560 697176   5796 6791628    0    0     0     0 36411 39155  3  6 92  0  0
 0  0   2560 672244   5796 6791632    0    0     0     4 34486 37138  5  7 88  0  0
 2  0   2560 672328   5796 6791632    0    0     0     0 29379 31398  2  5 93  0  0
 0  0   2560 672104   5796 6791636    0    0     0     0 39159 39092  3  7 90  0  0
 1  0   2560 671292   5796 6791640    0    0     0    44 38445 42278  3  7 91  0  0
 0  0   2560 671516   5796 6791640    0    0     0     0 38171 41366  3  6 91  0  0
 1  0   2560 671820   5796 6791644    0    0     0     0 33349 35763  2  6 92  0  0
 0  0   2560 671788   5796 6791644    0    0     0     0 28298 30742  2  5 94  0  0
 0  0   2560 671468   5796 6791644    0    0     0     0 36481 37607  3  6 91  0  0
 0  0   2560 671652   5796 6791644    0    0     0    40 36646 40525  3  6 91  0  0
 0  0   2560 671848   5796 6791644    0    0     0     0 35736 38278  2  6 92  0  0
 0  0   2560 671440   5796 6791644    0    0     0     0 36321 39901  3  6 91  0  0
 1  0   2560 672128   5796 6791644    0    0     0     0 29325 31107  2  5 93  0  0
 0  0   2560 671496   5796 6791656    0    0     0     0 40540 40335  3  7 90  0  0
 0  0   2560 671120   5796 6791664    0    0     0     0 38977 42024  3  6 91  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 670796   5796 6791664    0    0     0     0 39808 42413  3  8 90  0  0
 0  0   2560 671608   5796 6791676    0    0     0     0 36029 39132  3  5 92  0  0
 0  0   2560 671812   5796 6791676    0    0     0     0 32735 35238  2  6 92  0  0
 1  0   2560 671456   5796 6791680    0    0     0     0 38460 39215  3  7 90  0  0
 0  0   2560 695340   5796 6791680    0    0     0   276 35121 39063  9  8 83  0  0
 1  0   2560 695348   5796 6791680    0    0     0     0 37439 41631  3  6 91  0  0
 0  0   2560 695152   5796 6791680    0    0     0     0 35069 37616  2  6 92  0  0
 1  0   2560 694992   5796 6791680    0    0     0     0 31536 33627  2  5 93  0  0
 0  0   2560 695124   5796 6791680    0    0     0     0 38713 38967  3  7 89  0  0
 0  0   2560 695060   5796 6791680    0    0     0     0 39019 41712  3  6 90  0  0
 0  0   2560 695312   5796 6791680    0    0     0     0 36870 39925  3  6 92  0  0
 1  0   2560 695768   5796 6791692    0    0     0     0 28745 30990  2  5 93  0  0
 2  0   2560 695760   5796 6791692    0    0     0     0 38106 38566  2  6 91  0  0
 0  0   2560 696476   5796 6791692    0    0     0    60 38221 40769  3  7 90  0  0
 2  0   2560 696016   5796 6791692    0    0     0     0 35803 38814  3  6 91  0  0
 0  0   2560 696016   5796 6791692    0    0     0     0 36912 39644  3  7 91  0  0
 0  0   2560 695916   5796 6791692    0    0     0     0 28698 30491  2  5 93  0  0
 0  0   2560 696020   5796 6791696    0    0     0     0 35669 34872  3  7 90  0  0
 0  0   2560 695500   5796 6791696    0    0     0     0 36235 38654  3  7 91  0  0
 0  0   2560 695152   5796 6791696    0    0     0    12 33188 35208  3  6 91  0  0
 0  0   2560 695372   5796 6791696    0    0     0     0 33290 35713  3  6 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 695220   5796 6791696    0    0     0     0 30451 32795  3  6 92  0  0
 1  0   2560 695748   5796 6791704    0    0     0     0 31115 31960  3  6 92  0  0
 0  0   2560 695784   5796 6791708    0    0     0     0 37394 37309  3  7 90  0  0
 1  0   2560 695552   5796 6791708    0    0     0    92 38312 40940  4  7 90  0  0
 1  0   2560 695804   5796 6791708    0    0     0     0 35400 38101  3  7 90  0  0
 0  0   2560 695528   5796 6791708    0    0     0     0 36166 39054  3  6 91  0  0
 2  0   2560 695488   5796 6791708    0    0     0     0 30435 32493  2  6 92  0  0
 0  0   2560 695488   5796 6791708    0    0     0     0 38615 38229  3  7 90  0  0
 0  0   2560 695744   5796 6791712    0    0     0     0 36056 39214  3  7 91  0  0
 0  0   2560 695936   5796 6791712    0    0     0    16 36821 39884  3  7 91  0  0
 0  0   2560 696224   5796 6791712    0    0     0     0 32441 35796  2  6 92  0  0
 2  0   2560 695852   5796 6791716    0    0     0     0 30640 32628  3  6 91  0  0
 1  0   2560 695912   5796 6791720    0    0     0     0 39733 40129  3  7 90  0  0
 0  0   2560 695804   5796 6791720    0    0     0     0 36858 39890  2  7 91  0  0
 0  0   2560 695808   5796 6791724    0    0     0    36 35341 38335  3  6 91  0  0
 0  0   2560 696176   5796 6791728    0    0     0     0 35650 38117  3  7 91  0  0
 2  0   2560 695944   5796 6791728    0    0     0     0 30877 33244  2  6 92  0  0
 1  0   2560 695400   5796 6791728    0    0     0     0 40087 38392  3  8 89  0  0
 1  0   2560 695464   5796 6791736    0    0     0     0 37604 41410  3  7 90  0  0
 0  0   2560 695180   5796 6791736    0    0     0     0 37784 41071  3  7 90  0  0
 1  0   2560 695688   5796 6791736    0    0     0     0 34139 37042  3  6 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 695004   5796 6791736    0    0     0     0 32047 34339  3  6 91  0  0
 0  0   2560 695468   5796 6791740    0    0     0   160 36860 39215  3  7 91  0  0
 1  0   2560 695504   5796 6791740    0    0     0     0 38724 42174  3  7 90  0  0
 0  0   2560 670432   5796 6791740    0    0     0     4 35936 39494  5  7 88  0  0
 0  0   2560 670416   5796 6791748    0    0     0     0 31161 34014  2  6 92  0  0
 0  0   2560 670724   5796 6791752    0    0     0     0 35397 35400  3  7 90  0  0
