procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0   2560 665628   5796 6843916    0    0     0     1    0    0  0  0 100  0  0
 0  0   2560 655396   5796 6843960    0    0     0     0 51663 45583  5 10 85  0  0
 0  0   2560 645468   5796 6843968    0    0     0     0 41392 44891  4  8 88  0  0
 1  0   2560 643252   5796 6843968    0    0     0     0 37598 40449  3  7 90  0  0
 1  0   2560 641928   5796 6843968    0    0     0     0 42865 46123  3  8 88  0  0
 0  0   2560 640956   5796 6844004    0    0     0    95 43643 46807  4  8 88  0  0
 0  0   2560 641488   5796 6844016    0    0     0     0 43111 46081  4  8 88  0  0
 1  0   2560 641140   5796 6844016    0    0     0     0 38568 41000  3  6 91  0  0
 1  0   2560 641220   5796 6844016    0    0     0     0 45737 48043  3  9 88  0  0
 0  0   2560 640896   5796 6844016    0    0     0   140 45380 47860  3  8 89  0  0
 0  0   2560 640940   5796 6844016    0    0     0     0 36048 38144  3  7 90  0  0
 0  0   2560 638284   5796 6844060    0    0     0    24 44712 47363  5 10 86  0  0
 0  0   2560 640296   5796 6844056    0    0     0     0 44785 46866  4  9 87  0  0
 1  0   2560 640520   5796 6844056    0    0     0     0 43371 45993  3  7 89  0  0
 0  0   2560 640560   5796 6844068    0    0     0     0 40238 42827  3  7 89  0  0
 0  0   2560 640464   5796 6844068    0    0     0     0 45649 48181  3  8 89  0  0
 1  0   2560 640080   5796 6844068    0    0     0     0 48400 51224  3  8 89  0  0
 0  0   2560 616604   5796 6844100    0    0     0    50 33395 35789  7  8 85  0  0
 0  0   2560 617056   5796 6844100    0    0     0     0 47484 50407  4  8 88  0  0
 0  0   2560 616956   5796 6844100    0    0     0     0 45960 48951  3  8 89  0  0
 0  0   2560 616464   5796 6844100    0    0     0     0 41518 44196  3  8 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 616300   5796 6844108    0    0     0     0 41916 44642  4  8 88  0  0
 0  0   2560 614456   5796 6844124    0    0     0     0 44993 47929  4  8 88  0  0
 1  0   2560 613724   5796 6844136    0    0     0    34 44489 47469  5 10 85  0  0
 1  0   2560 613812   5796 6844136    0    0     0     0 37680 40952  3  7 90  0  0
 0  0   2560 613560   5796 6844136    0    0     0     0 44853 48145  4  7 89  0  0
 2  0   2560 615208   5796 6844136    0    0     0     0 45436 48847  3  8 88  0  0
 1  0   2560 614728   5796 6844144    0    0     0     0 43516 46468  3  8 89  0  0
 5  0   2560 612040   5796 6844176    0    0     0    25 38222 41023  4  9 87  0  0
 0  0   2560 613992   5796 6844172    0    0     0     0 45975 48463  4  9 88  0  0
 2  0   2560 613988   5796 6844172    0    0     0     0 48629 51630  4  8 88  0  0
 1  0   2560 614588   5796 6844172    0    0     0     0 37506 40317  3  6 90  0  0
 0  0   2560 614100   5796 6844176    0    0     0     0 43067 45091  4  8 88  0  0
 0  0   2560 614728   5796 6844176    0    0     0     0 46116 48906  4  9 87  0  0
 0  0   2560 613900   5796 6844208    0    0     0    27 41305 43913  5 10 85  0  0
 1  0   2560 635652   5796 6844208    0    0     0   136 38727 41680  6  8 85  0  0
 2  0   2560 638044   5796 6844208    0    0     0   236 46018 49218  6  9 84  0  0
 0  0   2560 638756   5796 6844208    0    0     0     0 46885 49806  3  8 88  0  0
 0  0   2560 638844   5796 6844208    0    0     0     0 36284 38644  3  7 90  0  0
 2  0   2560 636700   5796 6844224    0    0     0   128 47343 49554  5 10 86  0  0
 1  0   2560 637896   5796 6844244    0    0     0     0 48102 51327  5  9 86  0  0
 0  0   2560 638512   5796 6844244    0    0     0    12 41022 44135  4  7 89  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0   2560 638300   5796 6844252    0    0     0     0 41866 44030  4  8 89  0  0
 2  0   2560 638384   5796 6844260    0    0     0     0 48480 50740  4  9 87  0  0
 0  0   2560 638188   5796 6844260    0    0     0     0 44325 47543  4  8 88  0  0
 3  0   2560 638428   5796 6844292    0    0     0    50 41315 44139  5  9 86  0  0
 0  0   2560 638668   5796 6844296    0    0     0     0 50971 53866  5  9 86  0  0
 1  0   2560 638320   5796 6844296    0    0     0     0 47549 50680  4  8 88  0  0
 1  0   2560 637840   5796 6844296    0    0     0     0 37152 39428  4  8 89  0  0
 0  0   2560 638248   5796 6844296    0    0     0     0 43243 45849  4  8 88  0  0
 0  0   2560 637256   5796 6844296    0    0     0     0 41666 44630  3  8 89  0  0
 1  0   2560 637872   5796 6844328    0    0     0    35 38851 41216  5 10 85  0  0
 0  0   2560 638412   5796 6844332    0    0     0     0 31415 33602  3  7 90  0  0
 0  0   2560 638456   5796 6844340    0    0     0     0 45292 46692  4  9 87  0  0
 1  0   2560 638280   5796 6844340    0    0     0     0 47195 50056  4  9 87  0  0
 0  0   2560 638444   5796 6844340    0    0     0     0 44309 47126  4  8 89  0  0
 0  0   2560 637600   5796 6844360    0    0     0     0 38072 40775  4  8 88  0  0
 0  0   2560 638020   5796 6844376    0    0     0    26 46919 50404  4  9 87  0  0
 1  0   2560 637660   5796 6844376    0    0     0     0 45917 48528  4  9 87  0  0
 0  0   2560 637936   5796 6844376    0    0     0     0 36797 39616  3  7 90  0  0
 2  0   2560 638404   5796 6844376    0    0     0     0 47887 50564  4  9 87  0  0
 2  0   2560 637944   5796 6844380    0    0     0     0 47030 49991  4  9 87  0  0
 0  0   2560 635876   5796 6844412    0    0     0    23 40783 43170  5 10 85  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 639016   5796 6844404    0    0     0     0 37871 40196  4  8 89  0  0
 0  0   2560 638964   5796 6844412    0    0     0     0 46358 49293  4  9 87  0  0
 1  0   2560 638804   5796 6844416    0    0     0     0 43805 46303  4  8 88  0  0
 1  0   2560 638904   5796 6844416    0    0     0     0 37472 40013  3  6 91  0  0
 1  0   2560 638256   5796 6844416    0    0     0   132 46800 49317  4  9 88  0  0
 0  0   2560 637340   5796 6844448    0    0     0    27 45011 47759  6 10 84  0  0
 1  0   2560 637516   5796 6844448    0    0     0   216 43825 46693  3  8 89  0  0
 0  0   2560 637496   5796 6844452    0    0     0     0 41018 44076  3  7 90  0  0
 1  0   2560 638232   5796 6844452    0    0     0     0 47280 50308  5  9 87  0  0
 2  0   2560 637788   5796 6844452    0    0     0    36 45794 48525  4  9 87  0  0
 3  2   2560 634616   5796 6844452    0    0     0     8 37624 40304  4  7 89  0  0
 0  0   2560 637084   5796 6844476    0    0     0    24 44332 46960  5 10 85  0  0
 0  0   2560 637108   5796 6844476    0    0     0     0 45674 48573  4  8 88  0  0
 0  0   2560 637304   5796 6844476    0    0     0     0 40361 43216  3  7 90  0  0
 0  0   2560 613852   5796 6844480    0    0     0     4 36485 38869  6  8 87  0  0
 0  0   2560 614000   5796 6844484    0    0     0     0 47140 49893  4  9 87  0  0
 1  0   2560 610876   5796 6844496    0    0     0     0 44088 46992  4  9 87  0  0
 2  0   2560 611216   5796 6844512    0    0     0    33 34444 36562  3  7 90  0  0
 0  0   2560 611240   5796 6844516    0    0     0     0 45013 46920  4  9 87  0  0
 0  0   2560 610696   5796 6844516    0    0     0    16 43610 45852  4  9 87  0  0
 0  0   2560 611216   5796 6844520    0    0     0     0 43342 46153  5  9 87  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0   2560 611168   5796 6844520    0    0     0     0 32186 34569  3  6 91  0  0
 0  0   2560 610468   5796 6844548    0    0     0    28 43637 45988  5 10 84  0  0
 2  0   2560 611136   5796 6844552    0    0     0     0 44424 47066  4  9 87  0  0
 0  0   2560 611672   5796 6844552    0    0     0     0 42980 45790  4  8 89  0  0
 0  0   2560 611156   5796 6844560    0    0     0     0 36906 38611  3  7 90  0  0
 0  0   2560 611940   5796 6844560    0    0     0     0 45276 48824  4  8 88  0  0
 0  0   2560 610788   5796 6844564    0    0     0     0 45454 48700  4  9 87  0  0
 0  0   2560 611284   5796 6844608    0    0     0    25 37712 40072  4  9 87  0  0
 0  0   2560 611780   5796 6844608    0    0     0   140 43233 46390  4  8 88  0  0
 1  0   2560 612064   5796 6844608    0    0     0     0 47005 50101  4  9 87  0  0
 1  0   2560 612372   5796 6844608    0    0     0     0 44778 47715  4  8 88  0  0
 2  0   2560 636024   5796 6844616    0    0     0   276 32225 35143 10  8 83  0  0
 1  0   2560 633624   5796 6844628    0    0     0    32 46159 48275  5 10 85  0  0
 1  0   2560 636780   5796 6844640    0    0     0     0 45823 48973  5 10 86  0  0
 1  0   2560 637272   5796 6844640    0    0     0     0 42774 45606  4  9 87  0  0
 1  0   2560 636992   5796 6844640    0    0     0   228 40251 43225  3  7 90  0  0
 0  0   2560 636480   5796 6844640    0    0     0     0 45606 48579  4  9 88  0  0
 0  0   2560 636232   5796 6844644    0    0     0     0 45996 48750  4  8 87  0  0
 1  0   2560 636420   5796 6844668    0    0     0    50 34630 36962  5  9 86  0  0
 0  0   2560 635772   5796 6844676    0    0     0     0 47841 49130  5  9 86  0  0
 0  0   2560 635552   5796 6844684    0    0     0     0 49264 52094  5  9 87  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 636144   5796 6844684    0    0     0     0 45746 48896  3  8 89  0  0
 0  0   2560 636548   5796 6844688    0    0     0     0 46029 49024  4  8 88  0  0
 0  0   2560 634900   5796 6844688    0    0     0     0 47468 50839  5  9 87  0  0
 0  0   2560 636168   5796 6844716    0    0     0    26 46538 49140  6 11 83  0  0
 0  0   2560 636452   5796 6844716    0    0     0     0 35762 38287  3  7 90  0  0
 1  0   2560 636680   5796 6844716    0    0     0     0 43282 46202  3  8 89  0  0
 1  0   2560 636908   5796 6844716    0    0     0     0 45072 47563  4 10 86  0  0
 1  0   2560 636976   5796 6844720    0    0     0     0 38439 41103  4  8 89  0  0
 0  0   2560 634356   5796 6844744    0    0     0    26 41217 43675  5  9 85  0  0
 0  0   2560 636620   5796 6844744    0    0     0     0 48126 51285  5 10 85  0  0
 0  0   2560 635900   5796 6844744    0    0     0     0 49270 52845  4  9 88  0  0
 1  0   2560 635800   5796 6844752    0    0     0     0 36210 39079  3  7 90  0  0
 0  0   2560 635696   5796 6844756    0    0     0     0 49911 52810  4  9 87  0  0
 0  0   2560 635912   5796 6844756    0    0     0     0 47929 50852  5  9 86  0  0
 0  0   2560 635580   5796 6844784    0    0     0    21 36009 38272  4  9 87  0  0
 0  0   2560 635748   5796 6844784    0    0     0     0 44096 46160  3  8 89  0  0
 1  0   2560 636004   5796 6844788    0    0     0     0 43741 46402  4  8 87  0  0
 0  0   2560 635568   5796 6844788    0    0     0     0 43072 45558  4  8 88  0  0
 1  0   2560 635580   5796 6844788    0    0     0    52 36541 38753  3  7 90  0  0
 0  0   2560 643044   5796 6836612    0    0     0     0 44730 47445  5  9 87  0  0
 2  0   2560 643984   5796 6836616    0    0     0    15 45157 47873  4  9 86  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 643564   5796 6836616    0    0     0     0 42060 44637  4  7 89  0  0
 1  0   2560 643492   5796 6836624    0    0     0     0 44174 46613  4  8 88  0  0
 0  0   2560 643480   5796 6836624    0    0     0   100 43547 46531  4  8 88  0  0
 1  0   2560 644168   5796 6836628    0    0     0   106 42399 45363  4  8 88  0  0
 0  0   2560 642004   5796 6836660    0    0     0    23 32656 35105  4  7 90  0  0
 0  0   2560 644264   5796 6836660    0    0     0    24 41914 44141  4  9 88  0  0
 0  0   2560 643936   5796 6836660    0    0     0     0 43753 47153  3  8 88  0  0
 0  0   2560 643660   5796 6836668    0    0     0    16 43909 46895  4  8 88  0  0
 0  0   2560 643820   5796 6836668    0    0     0     0 36339 38778  3  6 91  0  0
 0  0   2560 644708   5796 6836668    0    0     0     0 42241 45284  3  8 89  0  0
 2  0   2560 643704   5796 6836688    0    0     0    28 45818 48656  5 10 85  0  0
 0  0   2560 622328   5796 6836688    0    0     0     4 39591 42552  6  8 86  0  0
 2  0   2560 621912   5796 6836696    0    0     0   100 41322 43923  4  8 88  0  0
 0  0   2560 622048   5796 6836696    0    0     0     0 45592 48935  3  8 88  0  0
 0  0   2560 621444   5796 6836700    0    0     0     0 46830 49467  4  8 89  0  0
 2  0   2560 618704   5796 6836700    0    0     0     0 37165 39750  4  8 88  0  0
 1  0   2560 620460   5796 6836724    0    0     0    33 43964 47095  5 10 85  0  0
 0  0   2560 620072   5796 6836724    0    0     0     0 47323 50726  4  9 87  0  0
 0  0   2560 620148   5796 6836724    0    0     0     0 42699 45888  4  8 88  0  0
 0  0   2560 619936   5796 6836724    0    0     0     0 37808 40408  3  7 90  0  0
 1  0   2560 620536   5796 6836724    0    0     0     0 44672 47655  4  8 88  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 617832   5796 6836736    0    0     0    27 45562 48444  5 10 85  0  0
 0  0   2560 619636   5796 6836748    0    0     0     0 37165 39818  3  8 89  0  0
 1  0   2560 619444   5796 6836752    0    0     0     0 44783 47039  4  8 88  0  0
 3  0   2560 619208   5796 6836752    0    0     0     0 49852 52439  3  8 88  0  0
 0  0   2560 619408   5796 6836752    0    0     0     0 43053 45400  4  9 88  0  0
 0  0   2560 619416   5796 6836752    0    0     0     0 37922 40182  3  8 90  0  0
 2  0   2560 619000   5796 6836768    0    0     0    23 49316 52226  6 12 83  0  0
 1  0   2560 618920   5796 6836776    0    0     0   100 48022 51140  4  8 88  0  0
 3  0   2560 640136   5796 6836780    0    0     0   184 35270 38528  8  8 83  0  0
 1  0   2560 642700   5796 6836780    0    0     0    92 47890 50656  5  9 86  0  0
 1  0   2560 643432   5796 6836780    0    0     0     0 47627 50669  4  8 88  0  0
 1  0   2560 642740   5796 6836780    0    0     0     0 38740 41228  4  7 89  0  0
 0  0   2560 643652   5796 6836808    0    0     0    54 42985 45837  5 10 85  0  0
 0  0   2560 643520   5796 6836808    0    0     0   268 46225 48948  4  9 87  0  0
 0  0   2560 643560   5796 6836812    0    0     0     0 45529 48056  5  8 87  0  0
 2  0   2560 643576   5796 6836816    0    0     0     0 35293 37397  3  7 90  0  0
 1  0   2560 643092   5796 6836816    0    0     0     0 50662 53307  4 10 87  0  0
 0  0   2560 641508   5796 6836820    0    0     0   112 48383 51572  4  9 87  0  0
 0  0   2560 643320   5796 6836832    0    0     0    33 39075 42882  4  8 88  0  0
 1  0   2560 643084   5796 6836836    0    0     0     0 49126 52119  4  9 87  0  0
 0  0   2560 642860   5796 6836836    0    0     0     0 46687 50055  4  9 87  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
