procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 9  0      0 9789464   1072 1026060    0    0   677  1583   98   82 31  6 63  1  0
 6  0      0 9791640   1072 1026132    0    0     0   250 34161 11908 64 13 23  0  0
 7  0      0 9791576   1072 1026140    0    0     0   282 24260 12703 65 12 24  0  0
 6  0      0 9791672   1072 1026152    0    0     0   266 20913 11515 68 10 22  0  0
 4  0      0 9792184   1072 1026164    0    0     0   254 23815 13847 65 11 24  0  0
 6  0      0 9791512   1072 1026176    0    0     0   368 23575 13853 65 12 23  0  0
 6  0      0 9791044   1072 1026184    0    0     0   270 22958 13731 67 11 22  0  0
 8  0      0 9710840   1072 1026196    0    0     0   258 23246 14695 64 12 24  0  0
 3  0      0 9537308   1072 1026204    0    0     0   274 22175 12967 67 12 21  0  0
 9  0      0 9536608   1072 1026220    0    0     0   264 24632 14887 65 12 23  0  0
 6  0      0 9537528   1072 1026232    0    0     0   274 25540 17037 65 11 23  0  0
 6  0      0 9537212   1072 1026236    0    0     0   274 20466 13198 66 10 24  0  0
 3  0      0 9537116   1072 1026252    0    0     0   282 23088 13436 66 11 24  0  0
 6  0      0 9536512   1072 1026268    0    0     0   256 25597 17381 65 12 23  0  0
11  0      0 9536772   1072 1026276    0    0     0   274 23970 16464 65 11 24  0  0
 8  0      0 9536424   1072 1026288    0    0     0   278 23091 13867 64 12 25  0  0
 1  0      0 9549312   1072 1026300    0    0     0   250 22108 11126 66 11 23  0  0
 5  0      0 9549284   1072 1026304    0    0     0   296 23694 14709 65 11 23  0  0
 5  0      0 9548424   1072 1026320    0    0     0   274 22689 13199 65 12 24  0  0
 6  0      0 9549160   1072 1026328    0    0     0   278 22743 13372 67 10 23  0  0
 3  0      0 9548936   1072 1026340    0    0     0   270 24246 14316 65 12 23  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 9548392   1072 1026352    0    0     0   417 23240 13448 65 12 23  0  0
 6  0      0 9548972   1072 1026368    0    0     0   278 23870 14448 65 12 23  0  0
 7  0      0 9550476   1072 1026368    0    0     0   270 19434 11189 67 11 22  0  0
 5  0      0 9586416   1072 1026384    0    0     0   258 25129 14116 66 12 22  0  0
10  0      0 9586228   1072 1026400    0    0     0   272 24000 13895 65 11 24  0  0
 4  0      0 9586068   1072 1026408    0    0     0   282 24309 16487 65 12 23  0  0
 7  0      0 9586576   1072 1026420    0    0     0   258 22013 13123 67 10 23  0  0
 4  0      0 9586176   1072 1026436    0    0     0   284 24482 13535 65 11 23  0  0
 6  0      0 9586512   1072 1026444    0    0     0   274 24198 14380 65 12 23  0  0
 6  0      0 9587020   1072 1026456    0    0     0   254 22355 13964 66 11 23  0  0
 3  0      0 9586832   1072 1026468    0    0     0   298 21410 13229 67 11 23  0  0
 3  0      0 9586480   1072 1026480    0    0     0   283 25048 15017 65 11 23  0  0
 2  0      0 9586228   1072 1026488    0    0     0   254 22886 13618 65 11 24  0  0
 6  0      0 9585944   1072 1026504    0    0     0   278 25387 17539 65 11 24  0  0
 5  0      0 9586352   1072 1026508    0    0     0   270 22230 12635 67 10 22  0  0
 5  0      0 9586132   1072 1026524    0    0     0   352 23591 14451 66 11 23  0  0
 5  0      0 9586384   1072 1026532    0    0     0   278 23369 13410 66 11 23  0  0
 8  0      0 9586576   1072 1026548    0    0     0   274 23603 14488 66 11 22  0  0
 8  0      0 9586512   1072 1026552    0    0     0   274 21630 11216 68 10 22  0  0
 6  0      0 9585844   1072 1026568    0    0     0   252 23047 13903 65 12 23  0  0
 7  0      0 9586228   1072 1026576    0    0     0   274 23985 15504 64 11 25  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 9586036   1072 1026588    0    0     0   274 23737 14711 66 10 24  0  0
 6  0      0 9585556   1072 1026596    0    0     0   250 22025 13994 65 10 25  0  0
 3  0      0 9586128   1072 1026608    0    0     0   288 25634 17121 63 12 25  0  0
 5  0      0 9586220   1072 1026624    0    0     0   274 26411 21233 62 11 27  0  0
 2  0      0 9586100   1072 1026632    0    0     0   278 25859 17034 65 11 24  0  0
 5  0      0 9585496   1072 1026648    0    0     0   276 23855 15156 68 10 22  0  0
 8  0      0 9585588   1072 1026656    0    0     0   278 24192 15700 63 12 25  0  0
 2  0      0 9585716   1072 1026660    0    0     0   278 26690 18477 62 12 26  0  0
 6  0      0 9585812   1072 1026676    0    0     0   274 24518 17347 64 11 24  0  0
 4  0      0 9585880   1072 1026692    0    0     0   431 23020 13821 67 10 23  0  0
 6  0      0 9586192   1072 1026700    0    0     0   282 25728 17219 65 11 23  0  0
 4  0      0 9585584   1072 1026712    0    0     0   258 25775 20949 63 11 26  0  0
 6  0      0 9586064   1072 1026728    0    0     0   280 25264 17700 64 12 24  0  0
 4  0      0 9585560   1072 1026736    0    0     0   278 24338 16312 67 11 22  0  0
 7  0      0 9585972   1072 1026748    0    0     0   278 27667 22683 62 11 27  0  0
 7  0      0 9585848   1072 1026756    0    0     0   268 25666 18228 62 11 26  0  0
 2  0      0 9585464   1072 1026772    0    0     0   270 24329 18518 64 11 25  0  0
 4  0      0 9585592   1072 1026784    0    0     0   278 27817 23337 61 12 28  0  0
 9  0      0 9584188   1072 1026784    0    0     0   258 25701 19732 62 12 27  0  0
 4  0      0 9585460   1072 1026816    0    0     0   299 27519 25520 57 12 31  0  0
 4  0      0 9585832   1072 1026832    0    0     0   274 24477 14533 67 11 22  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0      0 9585548   1072 1026844    0    0     0   274 24575 16217 64 11 25  0  0
 7  0      0 9585196   1072 1026848    0    0     0   254 25552 17679 63 12 25  0  0
 7  0      0 9585868   1072 1026868    0    0     0   280 21596 13124 64 12 23  0  0
 8  1      0 9584944   1072 1026872    0    0     0   262 21837 12331 66 11 22  0  0
 5  0      0 9585672   1072 1026884    0    0     0   346 24806 12872 66 12 22  0  0
 3  0      0 9585580   1072 1026892    0    0     0   278 23515 12904 66 12 22  0  0
 4  0      0 9586188   1072 1026904    0    0     0   250 23963 14539 65 11 23  0  0
 5  0      0 9586088   1072 1026912    0    0     0   284 24066 15029 65 12 24  0  0
 6  0      0 9586216   1072 1026924    0    0     0   266 21601 13639 67 10 23  0  0
 8  1      0 9586120   1072 1026940    0    0     0   270 22863 13155 64 12 24  0  0
 7  0      0 9586100   1072 1026952    0    0     0   266 25325 17294 64 11 25  0  0
 5  0      0 9586568   1072 1026964    0    0     0   276 24459 16159 64 11 24  0  0
 4  0      0 9586316   1072 1026976    0    0     0   274 23595 14963 65 11 24  0  0
 8  0      0 9586376   1072 1026984    0    0     0   254 26390 17118 63 12 25  0  0
 5  0      0 9586660   1072 1027000    0    0     0   296 22824 13669 64 12 24  0  0
 4  0      0 9585676   1072 1027012    0    0     0   274 23520 14837 63 11 26  0  0
 5  0      0 9586252   1072 1027020    0    0     0   250 22462 13139 67 11 22  0  0
10  0      0 9585648   1072 1027032    0    0     0   278 25008 16141 66 11 23  0  0
 4  0      0 9586340   1072 1027040    0    0     0   347 23970 15330 65 11 23  0  0
 6  0      0 9586248   1072 1027052    0    0     0   374 23434 14291 65 12 23  0  0
 8  0      0 9585796   1072 1027064    0    0     0   274 22049 13539 68 10 22  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 9  0      0 9586404   1072 1027076    0    0     0   270 24190 13815 65 11 24  0  0
 5  0      0 9586056   1072 1027084    0    0     0   264 24242 15135 65 11 24  0  0
 5  0      0 9586184   1072 1027096    0    0     0   278 25150 16541 64 12 24  0  0
 8  0      0 9586248   1072 1027112    0    0     0   278 21714 13020 66 10 23  0  0
 7  0      0 9585832   1072 1027120    0    0     0   260 24382 15449 65 12 23  0  0
 6  0      0 9586500   1072 1027132    0    0     0   270 23647 13999 64 12 24  0  0
 7  0      0 9585864   1072 1027140    0    0     0   274 23859 14699 66 11 23  0  0
 5  0      0 9586212   1072 1027152    0    0     0   246 22112 14013 68 12 20  0  0
 5  0      0 9585704   1072 1027152    0    0     0   306 23303 13402 66 10 24  0  0
 4  0      0 9586184   1072 1027176    0    0     0   279 22710 13006 65 12 23  0  0
 7  0      0 9586596   1072 1027184    0    0     0   258 23497 14444 66 12 22  0  0
 7  0      0 9585292   1072 1027196    0    0     0   270 21731 13469 67 10 23  0  0
 4  0      0 9585692   1072 1027228    0    0     0   271 24076 14035 65 12 22  0  0
 7  0      0 9584868   1072 1027240    0    0     0   372 24887 15583 64 12 24  0  0
 8  0      0 9585476   1072 1027244    0    0     0   250 22999 13626 66 12 23  0  0
 6  0      0 9585760   1072 1027260    0    0     0   266 21423 11828 70 10 20  0  0
 7  0      0 9584780   1072 1027272    0    0     0   274 23642 13568 66 11 23  0  0
 9  0      0 9584904   1072 1027280    0    0     0   254 23246 13308 65 11 24  0  0
 4  0      0 9584364   1072 1027296    0    0     0   288 23782 16180 63 11 26  0  0
10  0      0 9584428   1072 1027308    0    0     0   270 21906 12872 68 10 22  0  0
 6  0      0 9584748   1072 1027320    0    0     0   250 24808 15751 65 11 24  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0      0 9585128   1072 1027320    0    0     0   274 24200 15673 65 11 24  0  0
 7  0      0 9583920   1072 1027340    0    0     0   254 23364 15571 64 11 25  0  0
 6  0      0 9584844   1072 1027356    0    0     0   296 22288 13441 65 12 23  0  0
 6  0      0 9584396   1072 1027356    0    0     0   274 22789 12498 66 11 23  0  0
 4  0      0 9585160   1072 1027372    0    0     0   250 23523 13051 64 12 24  0  0
 3  0      0 9584932   1072 1027388    0    0     0   280 23376 13956 65 11 24  0  0
