Linux 4.18.0-553.124.1.el8_10.x86_64 (l-test-poc-1) 	西元2026年05月31日 	_x86_64_	(4 CPU)

10時18分29秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10時18分30秒  all   66.50    0.00   12.25    6.50    1.75    3.00    0.00    0.00    0.00   10.00
10時18分31秒  all   68.59    0.00   12.31    6.28    1.26    3.02    0.00    0.00    0.00    8.54
10時18分32秒  all   65.49    0.00   11.59    7.30    1.01    2.77    0.00    0.00    0.00   11.84
10時18分33秒  all   65.58    0.00   10.30    6.03    1.51    2.26    0.00    0.00    0.00   14.32
10時18分34秒  all   68.18    0.00   11.87    5.30    1.01    3.28    0.00    0.00    0.00   10.35
10時18分35秒  all   67.93    0.00   11.62    5.56    1.52    3.28    0.00    0.00    0.00   10.10
10時18分36秒  all   65.15    0.00   11.87    4.80    1.26    3.03    0.00    0.00    0.00   13.89
10時18分37秒  all   67.44    0.00   11.79    5.90    1.28    2.56    0.00    0.00    0.00   11.03
10時18分38秒  all   66.67    0.00   11.53    6.52    1.25    3.26    0.00    0.00    0.00   10.78
10時18分39秒  all   65.82    0.00   11.39    5.57    1.52    2.78    0.00    0.00    0.00   12.91
10時18分40秒  all   69.29    0.00   10.41    5.33    0.76    2.54    0.00    0.00    0.00   11.68
10時18分41秒  all   65.82    0.00   11.90    5.82    1.27    2.78    0.00    0.00    0.00   12.41
10時18分42秒  all   67.77    0.00   10.91    4.57    1.02    3.05    0.00    0.00    0.00   12.69
10時18分43秒  all   67.51    0.00   10.41    5.58    1.78    3.05    0.00    0.00    0.00   11.68
10時18分44秒  all   68.51    0.00   10.33    5.04    1.01    2.77    0.00    0.00    0.00   12.34
10時18分45秒  all   68.69    0.00   12.12    5.56    1.01    2.78    0.00    0.00    0.00    9.85
10時18分46秒  all   67.00    0.00   12.00    6.50    1.50    3.25    0.00    0.00    0.00    9.75
10時18分47秒  all   64.03    0.00   11.22    7.91    1.28    3.06    0.00    0.00    0.00   12.50
10時18分48秒  all   68.80    0.00   10.74    6.14    1.02    3.07    0.00    0.00    0.00   10.23
10時18分49秒  all   69.75    0.00   11.50    5.50    1.00    3.00    0.00    0.00    0.00    9.25
10時18分50秒  all   70.18    0.00   10.53    4.76    1.25    3.01    0.00    0.00    0.00   10.28
10時18分51秒  all   70.38    0.00   12.15    5.57    1.52    2.78    0.00    0.00    0.00    7.59
10時18分52秒  all   68.10    0.00   11.65    5.32    1.01    3.04    0.00    0.00    0.00   10.89
10時18分53秒  all   66.92    0.00   11.36    6.31    1.26    2.78    0.00    0.00    0.00   11.36
10時18分54秒  all   68.18    0.00   10.61    6.06    1.01    2.78    0.00    0.00    0.00   11.36
10時18分55秒  all   71.46    0.00   11.36    5.05    1.01    3.03    0.00    0.00    0.00    8.08
10時18分56秒  all   67.42    0.00   12.12    5.56    1.26    3.28    0.00    0.00    0.00   10.35
10時18分57秒  all   66.25    0.00   11.34    4.79    1.51    2.77    0.00    0.00    0.00   13.35
10時18分58秒  all   67.26    0.00   11.42    4.82    1.27    2.79    0.00    0.00    0.00   12.44
10時18分59秒  all   67.18    0.00   11.45    6.11    1.02    3.31    0.00    0.00    0.00   10.94
10時19分00秒  all   67.34    0.00   12.06    5.28    1.26    2.76    0.00    0.00    0.00   11.31
10時19分01秒  all   66.67    0.00   12.63    7.07    1.01    3.03    0.00    0.00    0.00    9.60
10時19分02秒  all   64.82    0.00   12.56    7.79    1.76    3.27    0.00    0.00    0.00    9.80
10時19分03秒  all   67.85    0.00   11.65    6.58    1.01    3.29    0.00    0.00    0.00    9.62
10時19分04秒  all   68.59    0.00   12.31    6.03    1.51    3.27    0.00    0.00    0.00    8.29
10時19分05秒  all   70.03    0.00   11.08    6.30    1.26    3.02    0.00    0.00    0.00    8.31
10時19分06秒  all   66.84    0.00   12.76    7.14    1.02    3.06    0.00    0.00    0.00    9.18
10時19分07秒  all   69.80    0.00   12.44    5.08    1.52    3.05    0.00    0.00    0.00    8.12
10時19分08秒  all   67.26    0.00   12.44    6.85    1.02    3.05    0.00    0.00    0.00    9.39
10時19分09秒  all   65.84    0.00   11.97    6.98    1.50    3.24    0.00    0.00    0.00   10.47
10時19分10秒  all   68.62    0.00   12.24    5.61    1.28    3.06    0.00    0.00    0.00    9.18
10時19分11秒  all   66.08    0.00   12.56    6.78    1.26    3.27    0.00    0.00    0.00   10.05
10時19分12秒  all   64.25    0.00   12.00    6.75    1.50    3.00    0.00    0.00    0.00   12.50
10時19分13秒  all   67.09    0.00   11.65    7.59    1.27    3.29    0.00    0.00    0.00    9.11
10時19分14秒  all   66.67    0.00   10.61    7.07    1.26    3.28    0.00    0.00    0.00   11.11
10時19分15秒  all   69.92    0.00   11.78    6.02    1.50    2.76    0.00    0.00    0.00    8.02
10時19分16秒  all   67.18    0.00   12.21    7.12    1.02    3.31    0.00    0.00    0.00    9.16
10時19分17秒  all   66.33    0.00   11.22    7.14    1.28    3.32    0.00    0.00    0.00   10.71
10時19分18秒  all   67.01    0.00   11.68    5.84    1.02    3.05    0.00    0.00    0.00   11.42
10時19分19秒  all   65.49    0.00   11.84    6.55    1.76    3.27    0.00    0.00    0.00   11.08
10時19分20秒  all   67.68    0.00   11.36    8.08    1.52    3.03    0.00    0.00    0.00    8.33
10時19分21秒  all   67.00    0.00   12.34    7.05    1.01    3.02    0.00    0.00    0.00    9.57
10時19分22秒  all   67.76    0.00   12.59    6.55    1.26    3.27    0.00    0.00    0.00    8.56
10時19分23秒  all   64.19    0.00   11.00    7.42    1.28    3.07    0.00    0.00    0.00   13.04
10時19分24秒  all   66.00    0.00   12.50    7.00    1.75    3.25    0.00    0.00    0.00    9.50
10時19分25秒  all   71.03    0.00   10.83    5.04    1.26    3.27    0.00    0.00    0.00    8.56
10時19分26秒  all   63.45    0.00   13.20    6.85    1.27    3.05    0.00    0.00    0.00   12.18
10時19分27秒  all   63.38    0.00   11.62    5.05    1.01    3.03    0.00    0.00    0.00   15.91
10時19分28秒  all   63.68    0.00   11.25    4.09    1.02    3.32    0.00    0.00    0.00   16.62
10時19分29秒  all   64.97    0.00   12.18    3.81    1.52    3.30    0.00    0.00    0.00   14.21
10時19分30秒  all   65.24    0.00   12.09    4.28    1.51    3.27    0.00    0.00    0.00   13.60
10時19分31秒  all   63.13    0.00   13.89    5.05    1.26    3.03    0.00    0.00    0.00   13.64
10時19分32秒  all   66.07    0.00   12.24    4.08    1.28    3.57    0.00    0.00    0.00   12.76
10時19分33秒  all   63.04    0.00   12.15    4.30    1.27    3.04    0.00    0.00    0.00   16.20
10時19分34秒  all   63.10    0.00   10.94    5.60    1.53    3.05    0.00    0.00    0.00   15.78
10時19分35秒  all   64.89    0.00   12.21    2.80    1.02    3.31    0.00    0.00    0.00   15.78
10時19分36秒  all   62.56    0.00   12.06    4.77    1.51    3.52    0.00    0.00    0.00   15.58
10時19分37秒  all   64.38    0.00   10.94    4.58    1.53    3.05    0.00    0.00    0.00   15.52
10時19分38秒  all   65.23    0.00   10.91    4.57    1.02    3.05    0.00    0.00    0.00   15.23
10時19分39秒  all   67.83    0.00   10.72    4.24    1.25    3.24    0.00    0.00    0.00   12.72
10時19分40秒  all   63.20    0.00   12.44    3.55    1.78    3.30    0.00    0.00    0.00   15.74
10時19分41秒  all   63.78    0.00   11.22    4.08    1.28    3.32    0.00    0.00    0.00   16.33
10時19分42秒  all   62.66    0.00   10.74    4.60    1.02    3.32    0.00    0.00    0.00   17.65
10時19分43秒  all   59.70    0.00   11.34    5.04    1.51    3.27    0.00    0.00    0.00   19.14
10時19分44秒  all   63.96    0.00   11.17    3.81    1.27    3.05    0.00    0.00    0.00   16.75
10時19分45秒  all   63.59    0.00   12.82    3.59    1.03    3.33    0.00    0.00    0.00   15.64
10時19分46秒  all   60.55    0.00   12.81    4.02    1.51    3.27    0.00    0.00    0.00   17.84
10時19分47秒  all   62.22    0.00   11.59    3.78    1.26    3.53    0.00    0.00    0.00   17.63
10時19分48秒  all   62.05    0.00   11.54    3.85    1.54    3.59    0.00    0.00    0.00   17.44
10時19分49秒  all   65.32    0.00   12.15    3.29    1.01    2.78    0.00    0.00    0.00   15.44
10時19分50秒  all   64.99    0.00   12.09    3.53    1.51    3.53    0.00    0.00    0.00   14.36
10時19分51秒  all   63.52    0.00   12.50    4.08    1.02    2.81    0.00    0.00    0.00   16.07
10時19分52秒  all   62.12    0.00   12.37    4.04    1.77    3.54    0.00    0.00    0.00   16.16
10時19分53秒  all   62.78    0.00   10.63    4.56    1.27    3.04    0.00    0.00    0.00   17.72
10時19分54秒  all   63.57    0.00   11.81    3.77    1.26    3.27    0.00    0.00    0.00   16.33
10時19分55秒  all   63.89    0.00   12.88    4.55    1.01    3.28    0.00    0.00    0.00   14.39
10時19分56秒  all   63.20    0.00   11.68    3.81    1.52    3.55    0.00    0.00    0.00   16.24
10時19分57秒  all   62.18    0.00   12.44    3.81    1.52    3.30    0.00    0.00    0.00   16.75
10時19分58秒  all   63.61    0.00   10.18    4.83    1.02    2.80    0.00    0.00    0.00   17.56
10時19分59秒  all   65.05    0.00   10.97    4.85    1.28    3.57    0.00    0.00    0.00   14.29
10時20分00秒  all   63.59    0.00   12.72    4.24    1.50    3.49    0.00    0.00    0.00   14.46
10時20分01秒  all   64.27    0.00   11.57    4.11    1.03    3.60    0.00    0.00    0.00   15.42
10時20分02秒  all   63.29    0.00   11.14    3.80    1.52    3.29    0.00    0.00    0.00   16.96
10時20分03秒  all   64.29    0.00   12.24    4.08    1.53    3.06    0.00    0.00    0.00   14.80
10時20分04秒  all   68.27    0.00   10.91    2.79    1.02    3.30    0.00    0.00    0.00   13.71
10時20分05秒  all   65.66    0.00   13.03    4.01    1.50    3.26    0.00    0.00    0.00   12.53
10時20分06秒  all   63.87    0.00   12.72    3.82    1.02    3.56    0.00    0.00    0.00   15.01
10時20分07秒  all   65.83    0.00   12.81    3.77    1.76    3.27    0.00    0.00    0.00   12.56
10時20分08秒  all   66.33    0.00   12.06    3.52    1.01    3.52    0.00    0.00    0.00   13.57
10時20分09秒  all   67.94    0.00   11.96    3.05    1.27    3.56    0.00    0.00    0.00   12.21
10時20分10秒  all   66.16    0.00   12.72    2.54    1.27    3.56    0.00    0.00    0.00   13.74
10時20分11秒  all   66.16    0.00   12.63    3.79    1.26    3.54    0.00    0.00    0.00   12.63
10時20分12秒  all   63.84    0.00   12.97    3.74    1.50    3.49    0.00    0.00    0.00   14.46
10時20分13秒  all   64.30    0.00   11.90    3.54    1.01    3.54    0.00    0.00    0.00   15.70
10時20分14秒  all   66.33    0.00   11.22    3.06    1.28    2.55    0.00    0.00    0.00   15.56
10時20分15秒  all   66.92    0.00   11.87    3.03    1.52    3.54    0.00    0.00    0.00   13.13
10時20分16秒  all   65.66    0.00   13.28    2.76    1.50    3.51    0.00    0.00    0.00   13.28
10時20分17秒  all   65.90    0.00   11.20    3.05    1.27    3.31    0.00    0.00    0.00   15.27
10時20分18秒  all   66.17    0.00   12.78    3.51    1.50    3.51    0.00    0.00    0.00   12.53
10時20分19秒  all   65.83    0.00   11.56    3.27    1.01    3.52    0.00    0.00    0.00   14.82
10時20分20秒  all   64.19    0.00   11.76    3.84    1.28    3.58    0.00    0.00    0.00   15.35
10時20分21秒  all   63.16    0.00   13.03    3.76    1.50    3.51    0.00    0.00    0.00   15.04
10時20分22秒  all   65.90    0.00   12.05    3.59    1.03    2.82    0.00    0.00    0.00   14.62
10時20分23秒  all   64.74    0.00   12.34    3.53    1.26    3.53    0.00    0.00    0.00   14.61
10時20分24秒  all   67.51    0.00   12.59    2.52    1.51    3.53    0.00    0.00    0.00   12.34
10時20分25秒  all   67.00    0.00   12.34    3.27    1.51    3.53    0.00    0.00    0.00   12.34
10時20分26秒  all   65.24    0.00   12.34    3.27    1.01    3.53    0.00    0.00    0.00   14.61
10時20分27秒  all   65.65    0.00   12.98    2.54    1.53    3.56    0.00    0.00    0.00   13.74
10時20分28秒  all   65.06    0.00   12.41    3.29    1.27    3.04    0.00    0.00    0.00   14.94
10時20分29秒  all   65.15    0.00   11.62    3.79    1.01    3.28    0.00    0.00    0.00   15.15
10時20分30秒  all   65.74    0.00   12.34    2.52    1.51    3.53    0.00    0.00    0.00   14.36
10時20分31秒  all   68.09    0.00   12.31    2.76    1.26    3.52    0.00    0.00    0.00   12.06
10時20分32秒  all   61.42    0.00   13.45    3.81    1.52    3.55    0.00    0.00    0.00   16.24
10時20分33秒  all   64.54    0.00   12.50    3.32    1.28    3.06    0.00    0.00    0.00   15.31
10時20分34秒  all   65.16    0.00   12.03    3.76    1.25    3.51    0.00    0.00    0.00   14.29
10時20分35秒  all   66.41    0.00   11.70    3.31    1.53    3.31    0.00    0.00    0.00   13.74
10時20分36秒  all   63.68    0.00   12.53    4.09    1.02    3.84    0.00    0.00    0.00   14.83
10時20分37秒  all   66.33    0.00   12.66    2.78    1.27    3.54    0.00    0.00    0.00   13.42
10時20分38秒  all   66.16    0.00   12.37    3.79    1.26    3.03    0.00    0.00    0.00   13.38
10時20分39秒  all   66.33    0.00   11.56    2.76    1.76    3.52    0.00    0.00    0.00   14.07
10時20分40秒  all   68.53    0.00   10.66    2.28    1.02    3.30    0.00    0.00    0.00   14.21
10時20分41秒  all   66.50    0.00   11.68    3.05    1.27    3.55    0.00    0.00    0.00   13.96
10時20分42秒  all   66.41    0.00   11.45    3.31    1.27    3.31    0.00    0.00    0.00   14.25
10時20分43秒  all   66.33    0.00   11.97    2.99    1.75    3.49    0.00    0.00    0.00   13.47
10時20分44秒  all   66.08    0.00   12.22    3.99    1.00    3.24    0.00    0.00    0.00   13.47
10時20分45秒  all   70.89    0.00   12.15    2.28    1.01    3.29    0.00    0.00    0.00   10.38
10時20分46秒  all   65.56    0.00   12.50    4.59    1.28    3.32    0.00    0.00    0.00   12.76
10時20分47秒  all   63.38    0.00   11.87    3.79    1.52    3.54    0.00    0.00    0.00   15.91
10時20分48秒  all   63.96    0.00   11.93    3.81    1.02    3.30    0.00    0.00    0.00   15.99
10時20分49秒  all   63.57    0.00   12.81    3.27    1.51    3.52    0.00    0.00    0.00   15.33
10時20分50秒  all   67.59    0.00   11.14    3.29    1.27    2.78    0.00    0.00    0.00   13.92
10時20分51秒  all   64.90    0.00   11.87    2.53    1.26    3.28    0.00    0.00    0.00   16.16
10時20分52秒  all   60.71    0.00   12.50    3.83    1.28    3.57    0.00    0.00    0.00   18.11
10時20分53秒  all   62.53    0.00   12.41    3.80    1.27    3.29    0.00    0.00    0.00   16.71
10時20分54秒  all   64.38    0.00   12.21    3.05    1.27    3.82    0.00    0.00    0.00   15.27
10時20分55秒  all   65.99    0.00   10.33    3.78    1.26    3.02    0.00    0.00    0.00   15.62
10時20分56秒  all   63.33    0.00   12.82    3.59    1.28    3.33    0.00    0.00    0.00   15.64
10時20分57秒  all   65.06    0.00   11.90    3.29    1.52    3.54    0.00    0.00    0.00   14.68
10時20分58秒  all   64.23    0.00   11.34    3.02    1.26    3.53    0.00    0.00    0.00   16.62
10時20分59秒  all   64.23    0.00   11.84    3.27    1.26    3.02    0.00    0.00    0.00   16.37
10時21分00秒  all   65.91    0.00   12.28    2.76    1.50    3.51    0.00    0.00    0.00   14.04
10時21分01秒  all   67.93    0.00   11.87    2.53    1.01    3.28    0.00    0.00    0.00   13.38
10時21分02秒  all   64.05    0.00   12.41    3.04    1.27    3.29    0.00    0.00    0.00   15.95
10時21分03秒  all   63.59    0.00   13.08    3.08    1.28    3.59    0.00    0.00    0.00   15.38
10時21分04秒  all   65.83    0.00   12.06    3.27    1.51    3.02    0.00    0.00    0.00   14.32
10時21分05秒  all   66.24    0.00   12.44    3.05    1.27    3.30    0.00    0.00    0.00   13.71
10時21分06秒  all   63.20    0.00   12.18    3.30    1.02    3.30    0.00    0.00    0.00   17.01
10時21分07秒  all   63.41    0.00   11.53    3.01    1.50    3.51    0.00    0.00    0.00   17.04
10時21分08秒  all   64.54    0.00   12.50    3.06    1.53    3.32    0.00    0.00    0.00   15.05
10時21分09秒  all   63.01    0.00   12.50    2.81    1.28    3.32    0.00    0.00    0.00   17.09
10時21分10秒  all   66.00    0.00   11.25    3.25    1.25    3.50    0.00    0.00    0.00   14.75
10時21分11秒  all   68.61    0.00   11.65    2.78    1.01    3.29    0.00    0.00    0.00   12.66
10時21分12秒  all   63.34    0.00   12.22    3.74    1.75    3.24    0.00    0.00    0.00   15.71
10時21分13秒  all   62.44    0.00   11.93    3.05    1.02    3.30    0.00    0.00    0.00   18.27
10時21分14秒  all   65.14    0.00   11.45    3.82    1.53    3.05    0.00    0.00    0.00   15.01
10時21分15秒  all   65.83    0.00   12.06    3.27    1.01    3.52    0.00    0.00    0.00   14.32
10時21分16秒  all   65.66    0.00   11.11    3.28    1.26    3.28    0.00    0.00    0.00   15.40
10時21分17秒  all   63.73    0.00   12.34    3.27    1.76    3.53    0.00    0.00    0.00   15.37
10時21分18秒  all   65.25    0.00   12.00    3.25    1.25    3.50    0.00    0.00    0.00   14.75
10時21分19秒  all   65.90    0.00   11.70    2.80    1.02    3.56    0.00    0.00    0.00   15.01
10時21分20秒  all   62.94    0.00   12.94    3.81    1.27    3.05    0.00    0.00    0.00   15.99
10時21分21秒  all   63.29    0.00   11.90    3.04    1.52    3.04    0.00    0.00    0.00   17.22
10時21分22秒  all   65.65    0.00   11.70    3.31    1.27    3.56    0.00    0.00    0.00   14.50
10時21分23秒  all   61.58    0.00   12.21    4.07    1.27    3.56    0.00    0.00    0.00   17.30
