procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0   2560 679776   5796 6815944    0    0     0     1    1    0  0  0 100  0  0
 0  0   2560 689668   5796 6815996    0    0     0   323 27799 31022 11  8 81  0  0
 0  0   2560 688600   5796 6815996    0    0     0     0 27417 29456  2  6 92  0  0
 0  0   2560 688176   5796 6815996    0    0     0    20 31754 33819  3  6 91  0  0
 0  0   2560 687768   5796 6815996    0    0     0     0 32555 35288  3  6 92  0  0
 0  0   2560 686868   5796 6816000    0    0     0    24 31312 34072  3  7 90  0  0
 0  0   2560 686652   5796 6816012    0    0     0    25 32781 35722  3  6 91  0  0
 2  0   2560 685960   5796 6816012    0    0     0     0 30777 33068  3  6 92  0  0
 1  0   2560 686036   5796 6816012    0    0     0    16 32649 34459  3  6 92  0  0
 2  0   2560 685844   5796 6816012    0    0     0     0 34941 37582  2  7 91  0  0
 2  0   2560 686164   5796 6816012    0    0     0   232 29658 32419  2  5 92  0  0
 0  0   2560 684492   5796 6816044    0    0     0    25 32298 34966  3  6 91  0  0
 6  0   2560 686056   5796 6816044    0    0     0     0 33111 35674  3  6 91  0  0
 0  0   2560 685804   5796 6816044    0    0     0    16 30956 33950  2  5 93  0  0
 0  0   2560 685796   5796 6816052    0    0     0     0 29480 31479  3  6 92  0  0
 0  0   2560 685092   5796 6816052    0    0     0     0 32724 34494  3  6 91  0  0
 0  0   2560 685620   5796 6816052    0    0     0     0 31439 33954  2  6 92  0  0
 0  0   2560 684904   5796 6816080    0    0     0    26 31556 33460  4  7 90  0  0
 2  0   2560 685104   5796 6816080    0    0     0     0 33247 35692  2  6 93  0  0
 2  0   2560 684724   5796 6816080    0    0     0     0 32882 35539  3  6 92  0  0
 2  0   2560 684880   5796 6816080    0    0     0     0 34388 37218  3  6 91  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 685196   5796 6816084    0    0     0     0 34666 38087  2  6 92  0  0
 1  0   2560 683120   5796 6816084    0    0     0     0 29225 32081  2  5 93  0  0
 0  0   2560 684816   5796 6816104    0    0     0    22 29501 31097  3  7 90  0  0
 1  0   2560 685440   5796 6816104    0    0     0     0 33783 35769  2  6 92  0  0
 1  0   2560 685436   5796 6816108    0    0     0     0 36093 38852  3  6 91  0  0
 0  0   2560 685216   5796 6816108    0    0     0     0 33559 36832  3  6 91  0  0
 1  0   2560 684840   5796 6816116    0    0     0     0 31343 34666  2  5 93  0  0
 0  0   2560 685000   5796 6816124    0    0     0    25 33696 36230  4  8 89  0  0
 1  0   2560 684884   5796 6816144    0    0     0     0 34810 37603  3  7 90  0  0
 1  0   2560 684932   5796 6816144    0    0     0     0 34489 37432  2  7 91  0  0
 0  0   2560 684032   5796 6816144    0    0     0     0 31527 34581  2  4 94  0  0
 0  0   2560 685048   5796 6816148    0    0     0     0 33031 35526  3  6 92  0  0
 0  0   2560 685136   5796 6816148    0    0     0     0 32478 35267  2  5 93  0  0
