Linux 4.18.0-553.124.1.el8_10.x86_64 (l-test-poc-1) 	西元2026年06月01日 	_x86_64_	(4 CPU)

03時37分08秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03時37分09秒  all   70.15    0.00   13.43    4.98    1.49    3.23    0.00    0.00    0.00    6.72
03時37分10秒  all   72.54    0.00   11.59    4.53    1.26    3.27    0.00    0.00    0.00    6.80
03時37分11秒  all   69.87    0.00   11.39    6.33    1.27    3.04    0.00    0.00    0.00    8.10
03時37分12秒  all   73.42    0.00   10.63    5.57    1.01    2.78    0.00    0.00    0.00    6.58
03時37分13秒  all   69.10    0.00   13.07    6.03    1.26    3.02    0.00    0.00    0.00    7.54
03時37分14秒  all   68.45    0.00   13.74    6.11    1.27    2.80    0.00    0.00    0.00    7.63
03時37分15秒  all   70.35    0.00   14.07    6.03    1.51    3.02    0.00    0.00    0.00    5.03
03時37分16秒  all   70.10    0.00   11.56    7.29    1.01    2.76    0.00    0.00    0.00    7.29
03時37分17秒  all   70.71    0.00   11.36    6.82    1.26    2.78    0.00    0.00    0.00    7.07
03時37分18秒  all   64.63    0.00   10.43    8.91    1.02    2.80    0.00    0.00    0.00   12.21
03時37分19秒  all   69.52    0.00   10.83    6.80    1.51    2.52    0.00    0.00    0.00    8.82
03時37分20秒  all   73.16    0.00   10.13    6.08    1.27    2.78    0.00    0.00    0.00    6.58
03時37分21秒  all   73.30    0.00   10.83    5.79    1.26    2.77    0.00    0.00    0.00    6.05
03時37分22秒  all   71.68    0.00   12.03    4.26    1.25    3.01    0.00    0.00    0.00    7.77
03時37分23秒  all   69.47    0.00   11.45    5.34    1.02    2.80    0.00    0.00    0.00    9.92
03時37分24秒  all   68.92    0.00   10.78    6.52    1.50    2.76    0.00    0.00    0.00    9.52
03時37分25秒  all   68.09    0.00   10.80    7.54    1.26    3.02    0.00    0.00    0.00    9.30
03時37分26秒  all   69.95    0.00   10.86    6.31    1.26    2.78    0.00    0.00    0.00    8.84
03時37分27秒  all   68.53    0.00   10.15    7.61    1.27    3.05    0.00    0.00    0.00    9.39
03時37分28秒  all   70.18    0.00   11.28    6.27    1.25    2.76    0.00    0.00    0.00    8.27
03時37分29秒  all   74.94    0.00   10.28    5.01    1.50    2.51    0.00    0.00    0.00    5.76
03時37分30秒  all   70.10    0.00   11.81    6.28    1.01    3.02    0.00    0.00    0.00    7.79
03時37分31秒  all   70.96    0.00   10.61    6.82    1.26    2.78    0.00    0.00    0.00    7.58
03時37分32秒  all   70.45    0.00   10.61    6.57    1.52    2.53    0.00    0.00    0.00    8.33
03時37分33秒  all   72.04    0.00   12.09    5.29    1.01    3.02    0.00    0.00    0.00    6.55
03時37分34秒  all   74.50    0.00   11.00    4.25    1.25    2.75    0.00    0.00    0.00    6.25
03時37分35秒  all   72.54    0.00   10.58    5.29    1.26    2.77    0.00    0.00    0.00    7.56
03時37分36秒  all   72.47    0.00   10.86    4.80    1.52    3.28    0.00    0.00    0.00    7.07
03時37分37秒  all   68.78    0.00   10.66    6.60    1.02    2.54    0.00    0.00    0.00   10.41
03時37分38秒  all   68.51    0.00   11.08    7.30    1.26    2.77    0.00    0.00    0.00    9.07
