Linux 4.18.0-425.3.1.el8.x86_64 (l-dbm-labroom-1) 	西元2026年06月01日 	_x86_64_	(4 CPU)

03時57分43秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03時57分44秒  all    5.61    0.00    6.12    0.00    1.02    4.08    0.00    0.00    0.00   83.16
03時57分45秒  all    4.57    0.00    6.60    0.00    1.02    3.05    0.00    0.00    0.00   84.77
03時57分46秒  all    4.05    0.00    4.56    0.00    1.01    3.29    0.00    0.00    0.00   87.09
03時57分47秒  all    3.08    0.00    3.59    0.00    1.28    2.56    0.00    0.00    0.00   89.49
03時57分48秒  all    3.29    0.00    3.80    0.00    0.76    2.53    0.00    0.00    0.00   89.62
03時57分49秒  all    2.77    0.00    4.28    0.25    0.76    1.76    0.00    0.00    0.00   90.18
03時57分50秒  all    3.01    0.00    3.76    0.00    1.00    2.76    0.00    0.00    0.00   89.47
03時57分51秒  all    5.10    0.00    5.61    0.00    0.77    2.30    0.00    0.00    0.00   86.22
03時57分52秒  all    3.55    0.00    4.06    0.00    1.27    2.79    0.00    0.00    0.00   88.32
03時57分53秒  all    3.04    0.00    4.05    0.00    0.76    2.53    0.00    0.00    0.00   89.62
03時57分54秒  all    3.54    0.00    4.80    0.00    1.01    2.53    0.00    0.00    0.00   88.13
03時57分55秒  all    3.59    0.00    4.62    0.00    0.77    3.08    0.00    0.00    0.00   87.95
03時57分56秒  all    5.33    0.00    5.58    0.00    1.27    3.05    0.00    0.00    0.00   84.77
03時57分57秒  all    4.56    0.00    5.57    0.00    1.01    3.29    0.00    0.00    0.00   85.57
03時57分58秒  all    4.07    0.00    3.56    0.00    1.27    3.31    0.00    0.00    0.00   87.79
03時57分59秒  all    3.83    0.00    4.08    0.00    1.02    2.81    0.00    0.00    0.00   88.27
03時58分00秒  all    4.81    0.00    4.30    0.00    1.27    3.29    0.00    0.00    0.00   86.33
03時58分01秒  all    5.90    0.00    4.62    0.00    1.03    3.59    0.00    0.00    0.00   84.87
03時58分02秒  all    6.06    0.00    6.82    0.00    1.26    3.54    0.00    0.00    0.00   82.32
03時58分03秒  all    4.82    0.00    3.81    0.00    1.27    3.30    0.00    0.00    0.00   86.80
03時58分04秒  all    4.87    0.00    3.85    0.00    1.03    3.33    0.00    0.00    0.00   86.92
03時58分05秒  all    5.58    0.00    4.31    0.00    1.02    3.81    0.00    0.00    0.00   85.28
03時58分06秒  all    5.05    0.00    3.79    0.00    1.01    3.28    0.00    0.00    0.00   86.87
03時58分07秒  all    5.15    0.00    3.87    0.00    1.29    3.61    0.00    0.00    0.00   86.08
03時58分08秒  all    5.57    0.00    5.82    0.00    1.01    3.80    0.00    0.00    0.00   83.80
