procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0   2560 1060120   5796 6442308    0    0     0     1    0    0  0  0 100  0  0
 0  0   2560 1043524   5796 6442380    0    0     0    32 61937 50990  5 12 83  0  0
 0  0   2560 1036604   5796 6442408    0    0     0    21 47526 49613  5 10 85  0  0
 1  0   2560 1034752   5796 6442420    0    0     0     0 47968 49945  4  9 87  0  0
 0  0   2560 1033824   5796 6442420    0    0     0     0 48563 52579  3  8 89  0  0
 0  0   2560 1033624   5796 6442420    0    0     0     0 42660 46106  3  7 90  0  0
 0  0   2560 1033572   5796 6442420    0    0     0   313 39137 41841  3  7 90  0  0
 0  0   2560 1032672   5796 6442424    0    0     0     0 41788 44217  3  7 90  0  0
 0  0   2560 1032868   5796 6442452    0    0     0    23 40912 43744  5  9 86  0  0
 0  0   2560 1032860   5796 6442452    0    0     0     0 44143 46948  4  8 88  0  0
 1  0   2560 1032664   5796 6442452    0    0     0     0 41179 43959  3  8 89  0  0
 0  0   2560 1033328   5796 6442456    0    0     0     0 42583 44878  3  8 89  0  0
 1  0   2560 1032920   5796 6442456    0    0     0     0 46121 48135  4  9 87  0  0
 2  0   2560 1030976   5796 6442480    0    0     0    26 50348 52999  5 10 85  0  0
 0  0   2560 1032248   5796 6442500    0    0     0    21 52848 55387  5 10 86  0  0
 0  0   2560 1032704   5796 6442500    0    0     0     0 52740 55626  4  7 88  0  0
 1  0   2560 1032724   5796 6442500    0    0     0    84 55052 58472  4  8 88  0  0
 1  0   2560 1032588   5796 6442500    0    0     0     0 60085 63444  5  9 86  0  0
 1  0   2560 1008276   5796 6442500    0    0     0     4 52181 55870  6  9 85  0  0
 0  0   2560 1007788   5796 6442540    0    0     0    28 54413 58238  6 11 83  0  0
 1  0   2560 1005516   5796 6442540    0    0     0     0 56300 59493  5  8 87  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0   2560 1005972   5796 6442548    0    0     0     0 59998 62976  5  9 86  0  0
 4  0   2560 1005644   5796 6442548    0    0     0     0 57405 59832  6  9 86  0  0
 4  0   2560 1005568   5796 6442548    0    0     0     0 55443 58642  5  8 87  0  0
 0  0   2560 1003824   5796 6442548    0    0     0     0 61506 64769  5  9 86  0  0
 1  0   2560 1005548   5796 6442584    0    0     0    26 58663 62677  6 10 84  0  0
 1  0   2560 1005424   5796 6442584    0    0     0     0 54705 57822  4  8 88  0  0
 0  0   2560 1006496   5796 6442592    0    0     0     0 49707 52903  4  7 89  0  0
 0  0   2560 1005820   5796 6442592    0    0     0     0 48134 50722  4  8 88  0  0
 0  0   2560 1005648   5796 6442592    0    0     0     0 50692 52866  5  9 87  0  0
 2  0   2560 1003972   5796 6442604    0    0     0    26 49842 53015  5  9 86  0  0
 0  0   2560 1005904   5796 6442616    0    0     0     0 52745 55884  4 10 86  0  0
 0  0   2560 1005084   5796 6442620    0    0     0   104 51762 54896  4  9 87  0  0
 0  0   2560 1005188   5796 6442620    0    0     0     0 53853 56908  4 10 86  0  0
 0  0   2560 1005860   5796 6442620    0    0     0     0 54777 58322  5 10 85  0  0
 0  0   2560 1005968   5796 6442620    0    0     0     0 60280 63765  5 10 85  0  0
 4  0   2560 1005720   5796 6442628    0    0     0   185 57213 61337  6 11 83  0  0
 0  0   2560 1029896   5796 6442640    0    0     0   264 51392 56743 11 10 79  0  0
 0  0   2560 1030316   5796 6442640    0    0     0     0 59582 62903  5  9 86  0  0
 0  0   2560 1030192   5796 6442640    0    0     0     0 59138 62564  5  9 86  0  0
 0  0   2560 1030452   5796 6442660    0    0     0     0 59117 62062  5  9 87  0  0
 6  0   2560 1029964   5796 6442664    0    0     0     0 57087 60055  5  9 86  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0   2560 1030288   5796 6442688    0    0     0   204 55892 59623  6 11 83  0  0
 1  0   2560 1030300   5796 6442700    0    0     0     0 57541 60644  5  9 86  0  0
 0  0   2560 1030216   5796 6442704    0    0     0     0 57009 60183  5  9 86  0  0
 1  0   2560 1030012   5796 6442704    0    0     0     0 61263 64938  5 10 86  0  0
 1  0   2560 1029536   5796 6442704    0    0     0     0 54609 57025  4  8 88  0  0
 0  0   2560 1027660   5796 6442724    0    0     0     0 53781 56971  5  9 87  0  0
 0  0   2560 1029520   5796 6442728    0    0     0    30 54482 57767  6 11 83  0  0
 0  0   2560 1029732   5796 6442728    0    0     0     0 56630 60143  5  9 86  0  0
 0  0   2560 1029424   5796 6442728    0    0     0     0 53081 55927  4  9 87  0  0
 0  0   2560 1030248   5796 6442728    0    0     0     0 55201 58009  5  9 86  0  0
 1  0   2560 1029656   5796 6442728    0    0     0     0 56847 59619  5  9 87  0  0
 0  0   2560 1028068   5796 6442768    0    0     0    26 56471 60125  6 10 84  0  0
 0  0   2560 1029932   5796 6442764    0    0     0     0 60198 63622  5 10 85  0  0
 0  0   2560 1029792   5796 6442768    0    0     0     0 60738 64405  4  9 87  0  0
 2  0   2560 1029676   5796 6442768    0    0     0     0 55344 59114  4  8 88  0  0
 1  0   2560 1029416   5796 6442768    0    0     0     0 57657 60965  5  9 86  0  0
 1  0   2560 1029520   5796 6442768    0    0     0     0 61835 66105  6 10 84  0  0
 0  0   2560 1029816   5796 6442788    0    0     0    22 50427 53871  6 10 85  0  0
 2  0   2560 1029596   5796 6442788    0    0     0     0 59870 63342  5  8 87  0  0
 0  0   2560 1029732   5796 6442792    0    0     0     0 55036 57937  5  9 87  0  0
 3  0   2560 1029648   5796 6442792    0    0     0     0 60697 64187  6 10 85  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 1030332   5796 6442792    0    0     0     0 53594 56484  5  9 87  0  0
 0  0   2560 1029436   5796 6442816    0    0     0    26 57035 60326  6 10 85  0  0
 0  0   2560 1029644   5796 6442824    0    0     0     0 60659 64224  5  9 86  0  0
 0  0   2560 1028836   5796 6442824    0    0     0     0 56927 59989  4  9 87  0  0
 0  0   2560 1029180   5796 6442824    0    0     0   160 60586 64444  4  9 86  0  0
 0  0   2560 1029364   5796 6442824    0    0     0   128 57537 60943  5  9 86  0  0
 1  0   2560 1029728   5796 6442828    0    0     0     0 60498 64309  5  9 85  0  0
 0  0   2560 1029480   5796 6442840    0    0     0    43 54522 58588  6  9 84  0  0
 1  0   2560 1029900   5796 6442844    0    0     0     0 52074 54846  5  9 86  0  0
 0  0   2560 1030316   5796 6442844    0    0     0     0 58278 61451  5 10 85  0  0
 1  0   2560 1029548   5796 6442844    0    0     0     0 56099 59345  5  9 85  0  0
 0  0   2560 1029756   5796 6442848    0    0     0     0 59664 63066  5 10 85  0  0
 0  0   2560 1029284   5796 6442848    0    0     0     0 53859 56800  5  9 86  0  0
 1  0   2560 1030052   5796 6442872    0    0     0    23 57031 60588  6 10 84  0  0
 1  0   2560 1029676   5796 6442876    0    0     0     0 59263 62573  5  9 86  0  0
 0  0   2560 1005232   5796 6442876    0    0     0     4 54161 57299  7 10 83  0  0
 0  0   2560 1004904   5796 6442880    0    0     0     0 56265 59606  4  9 87  0  0
 0  0   2560 1005584   5796 6442884    0    0     0     0 53696 56544  5  8 87  0  0
 2  0   2560 1002704   5796 6442908    0    0     0     0 55760 58680  5  9 86  0  0
 0  0   2560 1004860   5796 6442916    0    0     0    32 54642 57109  6 12 82  0  0
 1  0   2560 1004876   5796 6442920    0    0     0     0 60293 64458  5 10 85  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 1004868   5796 6442920    0    0     0     0 60778 64572  5  9 86  0  0
 0  0   2560 1004336   5796 6442924    0    0     0     0 59583 63214  5  9 87  0  0
 0  0   2560 1004628   5796 6442924    0    0     0     0 57282 60612  4  8 88  0  0
 0  0   2560 1003052   5796 6442956    0    0     0    26 51982 55712  5 10 85  0  0
 4  0   2560 1004468   5796 6442960    0    0     0     0 56867 60280  5 10 85  0  0
 0  0   2560 1004412   5796 6442960    0    0     0     0 54575 57746  5  9 87  0  0
 0  0   2560 1004392   5796 6442964    0    0     0     0 57210 60380  5 10 85  0  0
 0  0   2560 1004984   5796 6442972    0    0     0     0 58411 61614  5  9 87  0  0
 1  0   2560 1004552   5796 6442972    0    0     0     0 59964 62938  6  9 85  0  0
 0  0   2560 1004960   5796 6443000    0    0     0    27 57302 61088  6 11 83  0  0
 0  0   2560 1005600   5796 6443000    0    0     0     0 59052 62416  5  9 87  0  0
 1  0   2560 1004636   5796 6443004    0    0     0     0 55628 58929  4  8 88  0  0
 3  0   2560 1029464   5796 6443004    0    0     0   264 50747 56239 10 10 80  0  0
 0  0   2560 1028880   5796 6443008    0    0     0   100 59294 62255  4  9 87  0  0
 1  0   2560 1027768   5796 6443012    0    0     0    20 58130 62118  6  9 85  0  0
 0  0   2560 1028996   5796 6443036    0    0     0   111 52997 56711  6  9 84  0  0
 1  0   2560 1029688   5796 6443036    0    0     0     0 58286 62455  4  9 87  0  0
 1  0   2560 1029336   5796 6443040    0    0     0     0 58086 61673  4  8 87  0  0
 1  0   2560 1029752   5796 6443040    0    0     0     0 58074 61471  5  9 86  0  0
 0  0   2560 1029256   5796 6443040    0    0     0     0 60033 64015  4  9 87  0  0
 1  0   2560 1028160   5796 6443064    0    0     0    44 52412 56134  5  9 86  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 1028976   5796 6443068    0    0     0    24 60293 64177  5  9 86  0  0
 2  0   2560 1030204   5796 6443072    0    0     0     0 56844 59887  4  8 87  0  0
 0  0   2560 1029044   5796 6443072    0    0     0     0 58022 61397  5  8 87  0  0
 0  0   2560 1028896   5796 6443072    0    0     0     0 57471 61147  5 10 85  0  0
 0  0   2560 1030120   5796 6443072    0    0     0     8 51210 53954  5  9 86  0  0
 0  0   2560 1027356   5796 6443092    0    0     0    26 46460 49009  5 10 85  0  0
 0  0   2560 1029392   5796 6443096    0    0     0     0 52684 54740  5  9 86  0  0
 1  0   2560 1029800   5796 6443096    0    0     0     0 46926 49260  5  8 87  0  0
 1  0   2560 1029312   5796 6443096    0    0     0     0 52742 54945  4 10 86  0  0
 1  0   2560 1029568   5796 6443096    0    0     0     0 54767 58129  5  9 86  0  0
 1  0   2560 1029524   5796 6443096    0    0     0     0 50925 53804  5  9 85  0  0
 1  0   2560 1029676   5796 6443120    0    0     0    27 50204 53033  5 10 84  0  0
 1  0   2560 1029528   5796 6443128    0    0     0     0 53711 56635  4  9 87  0  0
 0  0   2560 1029612   5796 6443128    0    0     0     0 48289 49940  5  9 86  0  0
 0  0   2560 1029112   5796 6443128    0    0     0     0 47884 50117  5  9 86  0  0
 0  0   2560 1029180   5796 6443132    0    0     0     0 47424 48713  4  8 88  0  0
 0  0   2560 1027876   5796 6443140    0    0     0     0 51825 53804  5 10 84  0  0
 0  0   2560 1029420   5796 6443168    0    0     0    23 52052 54638  7 12 80  0  0
 2  0   2560 1029312   5796 6443168    0    0     0     0 51598 54375  5  9 86  0  0
 0  0   2560 1028980   5796 6443168    0    0     0     0 55335 59350  5 10 85  0  0
 0  0   2560 1028756   5796 6443172    0    0     0     0 46527 49151  4  8 88  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 1028912   5796 6443172    0    0     0     0 53825 56458  5  9 86  0  0
 0  0   2560 1027392   5796 6443188    0    0     0   201 48781 51172  5 10 85  0  0
 0  0   2560 1029520   5796 6443196    0    0     0    25 51272 54376  5 10 84  0  0
 0  0   2560 1028796   5796 6443200    0    0     0     0 50089 52352  5  9 86  0  0
 1  0   2560 1028932   5796 6443204    0    0     0   120 51308 54176  5  9 86  0  0
 0  0   2560 1029220   5796 6443208    0    0     0     0 49239 51489  4  9 87  0  0
 0  0   2560 1028920   5796 6443212    0    0     0     0 49696 51877  5  9 85  0  0
 0  0   2560 1029032   5796 6443248    0    0     0    28 47778 51043  6 11 83  0  0
 2  0   2560 1028764   5796 6443248    0    0     0     0 46609 48445  5  8 87  0  0
 0  0   2560 1029372   5796 6443248    0    0     0    28 50636 52834  5  9 86  0  0
 1  0   2560 1029132   5796 6443248    0    0     0     0 54582 57694  4 10 86  0  0
 0  0   2560 1029004   5796 6443252    0    0     0     0 49488 52336  5  9 87  0  0
 1  0   2560 1005144   5796 6443256    0    0     0     4 49553 52396  6 11 83  0  0
 0  0   2560 1003784   5796 6443284    0    0     0    23 51500 53554  6 12 82  0  0
 0  0   2560 1004408   5796 6443284    0    0     0     0 49874 52755  5  9 86  0  0
 0  0   2560 1004084   5796 6443292    0    0     0     0 48875 50726  5  9 86  0  0
 4  0   2560 1003940   5796 6443292    0    0     0     0 52069 53802  5 11 84  0  0
 0  0   2560 1004408   5796 6443296    0    0     0     0 51840 55104  5 10 85  0  0
 0  0   2560 1001672   5796 6443296    0    0     0     0 51436 53544  5 10 85  0  0
 0  0   2560 1003352   5796 6443328    0    0     0    38 50175 53688  6 10 84  0  0
 0  0   2560 1003808   5796 6443328    0    0     0     0 53783 57102  5 10 85  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 1004696   5796 6443328    0    0     0     0 52255 54759  4 10 86  0  0
 1  0   2560 1004604   5796 6443332    0    0     0     0 49918 53144  5  9 86  0  0
 1  0   2560 1004636   5796 6443332    0    0     0     0 53281 56234  5 10 85  0  0
 0  0   2560 1001628   5796 6443344    0    0     0    28 53561 57267  6 11 84  0  0
 1  0   2560 1004332   5796 6443352    0    0     0     0 50892 54462  5 10 85  0  0
 0  0   2560 1004780   5796 6443356    0    0     0     0 55012 58480  4 11 85  0  0
 0  0   2560 1005028   5796 6443356    0    0     0     0 53345 56178  5 10 85  0  0
 0  0   2560 1004692   5796 6443360    0    0     0     0 56036 59506  5  9 85  0  0
 0  0   2560 1004520   5796 6443360    0    0     0     4 52282 55228  4  9 88  0  0
 7  0   2560 1022520   5796 6443372    0    0     0    71 54102 57896  8 12 81  0  0
 1  0   2560 1028372   5796 6443384    0    0     0   455 49265 53657  9 10 81  0  0
 2  0   2560 1029172   5796 6443384    0    0     0     0 54225 57785  5 10 85  0  0
 0  0   2560 1028600   5796 6443388    0    0     0     0 55288 58643  5 10 85  0  0
 0  0   2560 1029224   5796 6443388    0    0     0    44 54275 57613  5  9 87  0  0
 1  0   2560 1028716   5796 6443392    0    0     0     0 52006 54774  5  9 86  0  0
 0  0   2560 1028720   5796 6443388    0    0     0    27 50055 52188  6 11 83  0  0
 0  0   2560 1029308   5796 6443424    0    0     0     0 53199 56940  6 10 84  0  0
 0  0   2560 1028700   5796 6443424    0    0     0     0 52045 55420  4  9 87  0  0
 0  0   2560 1028728   5796 6443428    0    0     0    40 53893 57476  4  9 87  0  0
 1  0   2560 1028604   5796 6443428    0    0     0     0 55618 58673  5 10 86  0  0
 0  0   2560 1027556   5796 6443432    0    0     0     0 57067 60516  5 10 86  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 1028680   5796 6443464    0    0     0    27 49692 53200  6 11 83  0  0
 0  0   2560 1028796   5796 6443468    0    0     0     0 48927 51934  4  9 87  0  0
 1  0   2560 1028728   5796 6443472    0    0     0    40 48893 51813  3  8 89  0  0
 0  0   2560 1028944   5796 6443472    0    0     0     0 49561 50981  4  9 87  0  0
 0  0   2560 1029068   5796 6443472    0    0     0     0 50707 53409  5  9 87  0  0
 5  0   2560 1028696   5796 6443492    0    0     0    19 49192 51965  5 10 86  0  0
 0  0   2560 1028812   5796 6443496    0    0     0     0 50095 52638  5  9 86  0  0
 0  0   2560 1029172   5796 6443500    0    0     0     0 54639 57652  5  9 86  0  0
 0  0   2560 1029088   5796 6443504    0    0     0     0 54427 57028  4  9 86  0  0
 1  0   2560 1029464   5796 6443504    0    0     0     0 50078 52759  4  8 88  0  0
 0  0   2560 1029024   5796 6443508    0    0     0     0 50511 52868  5 10 85  0  0
 0  0   2560 1028724   5796 6443524    0    0     0    27 53216 56354  6 11 83  0  0
 0  0   2560 1029052   5796 6443540    0    0     0     0 50900 53884  4  8 88  0  0
 0  0   2560 1028632   5796 6443548    0    0     0    16 50092 52278  4  9 87  0  0
 0  0   2560 1029000   5796 6443548    0    0     0     0 52658 55067  5 10 85  0  0
 0  0   2560 1028944   5796 6443548    0    0     0     0 53551 56487  5  9 86  0  0
 0  0   2560 1029060   5796 6443548    0    0     0     0 52506 55631  4  9 86  0  0
 0  0   2560 1028172   5796 6443572    0    0     0    49 53488 56733  6 10 84  0  0
 1  0   2560 1028468   5796 6443572    0    0     0     0 54068 57272  4  8 88  0  0
 0  0   2560 1029184   5796 6443576    0    0     0   140 55550 59046  5  9 86  0  0
