procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
21  0      0 900204     28 4780008    0    0   674  1639   35   14 22  4 72  1  0
18  2      0 826860     28 4832100    0    0 44992 13076 53771 81777 68 21  6  5  0
12  1      0 716896     28 4921960    0    0 17760 78110 38092 90122 69 17  8  6  0
15  0      0 655984     28 4954860    0    0 25996 12066 40829 83574 65 18 10  6  0
 9  1      0 635328     28 4973600    0    0 12920 11116 38724 78292 65 18  9  8  0
 5  0      0 589412     28 5018212    0    0 37356 12264 39092 77326 66 18  9  6  0
 2  3      0 577652     28 5045896    0    0 20553 12736 42141 85166 64 18 12  5  0
13  1      0 570480     28 5069104    0    0 16360 11565 40819 83934 68 17 10  5  0
12  1      0 508296     28 5114856    0    0 39164 14886 40165 81314 70 18  8  4  0
13  1      0 538692     28 5130960    0    0  9536 11301 38207 81184 71 17  7  5  0
17  3      0 373564     28 5149304    0    0 11564 13164 44040 89758 64 19 11  6  0
16  0      0 209064     28 5167732    0    0 11044 13234 46389 100781 63 18 12  7  0
14  1      0 170044     28 5049196    0    0 11064 13466 46924 101341 61 19 13  7  0
11  1      0 163712     28 4903456    0    0 15612 13254 43425 95011 62 19 11  7  0
15  0      0 153952     28 4776264    0    0 10044 13053 44449 92800 63 19 13  6  0
10  1      0 170756     28 4606432    0    0 10660 12480 46130 96746 57 19 16  7  0
11  2      0 167976     28 4448756    0    0 13144 15298 42928 87680 64 20 11  6  0
 7  3      0 171400     28 4293868    0    0 16328 12898 46870 93106 63 20 10  6  0
15  0      0 172620     28 4142612    0    0 15484 13008 42707 92081 64 19 11  7  0
10  5      0 163648     28 4117948    0    0 13412 12393 42417 84903 66 18 10  6  0
16  0      0 171336     28 4113940    0    0 15968 12180 44820 94221 63 18 13  7  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
21  0      0 167996     28 4110512    0    0 16048 13805 45397 94149 64 18 10  7  0
 9  1      0 168956     28 4103412    0    0 13416 12184 41560 86019 63 18 12  7  0
 3  1      0 156032     28 4097484    0    0 12016 12949 41278 84620 64 17 12  6  0
16  1      0 293636     28 3984048    0    0 14656 12798 37056 75504 66 17 10  6  0
11  1      0 281988     28 4004176    0    0 13000 12355 45977 93203 63 17 12  7  0
 5  2      0 265660     28 4023568    0    0 12772 12600 46722 100661 62 17 14  7  0
 9  3      0 195120     28 4098052    0    0 30372 48247 43958 105924 66 19  9  7  0
 9  1      0 163012     28 4145880    0    0 36324 44257 44229 88486 66 18  8  8  0
12  2      0 159872     28 4169848    0    0 37020 47319 43776 88831 62 17 12 10  0
 6  3      0 170736     28 4180236    0    0 22964 45266 41425 84541 65 15 11  9  0
