2026/06/01 01:31:18 maxprocs: Leaving GOMAXPROCS=4: CPU quota undefined
[Current] DELIVERY - Takes(s): 9.7, Count: 245, TPM: 1515.9, Sum(ms): 36102.4, Avg(ms): 147.4, 50th(ms): 134.2, 90th(ms): 209.7, 95th(ms): 285.2, 99th(ms): 419.4, 99.9th(ms): 436.2, Max(ms): 436.2
[Current] NEW_ORDER - Takes(s): 9.8, Count: 2733, TPM: 16680.7, Sum(ms): 166180.9, Avg(ms): 60.8, 50th(ms): 58.7, 90th(ms): 88.1, 95th(ms): 100.7, 99th(ms): 125.8, 99.9th(ms): 159.4, Max(ms): 176.2
[Current] ORDER_STATUS - Takes(s): 9.9, Count: 239, TPM: 1454.8, Sum(ms): 54139.4, Avg(ms): 226.5, 50th(ms): 23.1, 90th(ms): 1073.7, 95th(ms): 1744.8, 99th(ms): 2013.3, 99.9th(ms): 2080.4, Max(ms): 2080.4
[Current] PAYMENT - Takes(s): 9.8, Count: 2762, TPM: 16830.7, Sum(ms): 91827.7, Avg(ms): 33.3, 50th(ms): 29.4, 90th(ms): 46.1, 95th(ms): 56.6, 99th(ms): 88.1, 99.9th(ms): 142.6, Max(ms): 1811.9
[Current] STOCK_LEVEL - Takes(s): 9.5, Count: 228, TPM: 1444.9, Sum(ms): 261262.0, Avg(ms): 1148.4, 50th(ms): 1342.2, 90th(ms): 2080.4, 95th(ms): 2281.7, 99th(ms): 2415.9, 99.9th(ms): 2415.9, Max(ms): 2415.9
[Current] DELIVERY - Takes(s): 10.0, Count: 311, TPM: 1869.4, Sum(ms): 54911.2, Avg(ms): 176.5, 50th(ms): 167.8, 90th(ms): 260.0, 95th(ms): 285.2, 99th(ms): 318.8, 99.9th(ms): 385.9, Max(ms): 385.9
[Current] NEW_ORDER - Takes(s): 10.0, Count: 3588, TPM: 21529.6, Sum(ms): 269712.5, Avg(ms): 75.2, 50th(ms): 71.3, 90th(ms): 113.2, 95th(ms): 125.8, 99th(ms): 159.4, 99.9th(ms): 209.7, Max(ms): 369.1
[Current] ORDER_STATUS - Takes(s): 9.9, Count: 299, TPM: 1812.0, Sum(ms): 29376.1, Avg(ms): 98.3, 50th(ms): 28.3, 90th(ms): 335.5, 95th(ms): 536.9, 99th(ms): 838.9, 99.9th(ms): 1073.7, Max(ms): 1073.7
[Current] PAYMENT - Takes(s): 10.0, Count: 3257, TPM: 19542.9, Sum(ms): 155099.8, Avg(ms): 47.6, 50th(ms): 41.9, 90th(ms): 67.1, 95th(ms): 83.9, 99th(ms): 184.5, 99.9th(ms): 704.6, Max(ms): 1073.7
[Current] STOCK_LEVEL - Takes(s): 10.0, Count: 348, TPM: 2094.6, Sum(ms): 137689.8, Avg(ms): 395.4, 50th(ms): 302.0, 90th(ms): 939.5, 95th(ms): 1040.2, 99th(ms): 1275.1, 99.9th(ms): 1342.2, Max(ms): 1342.2
[Current] DELIVERY - Takes(s): 10.0, Count: 399, TPM: 2394.0, Sum(ms): 70281.6, Avg(ms): 176.3, 50th(ms): 176.2, 90th(ms): 218.1, 95th(ms): 234.9, 99th(ms): 335.5, 99.9th(ms): 486.5, Max(ms): 486.5
[Current] NEW_ORDER - Takes(s): 10.0, Count: 4196, TPM: 25197.2, Sum(ms): 335370.6, Avg(ms): 80.0, 50th(ms): 79.7, 90th(ms): 109.1, 95th(ms): 121.6, 99th(ms): 151.0, 99.9th(ms): 184.5, Max(ms): 226.5
[Current] ORDER_STATUS - Takes(s): 10.0, Count: 351, TPM: 2112.7, Sum(ms): 10396.8, Avg(ms): 29.6, 50th(ms): 27.3, 90th(ms): 46.1, 95th(ms): 50.3, 99th(ms): 60.8, 99.9th(ms): 75.5, Max(ms): 75.5
[Current] PAYMENT - Takes(s): 10.0, Count: 4074, TPM: 24445.7, Sum(ms): 194052.4, Avg(ms): 47.7, 50th(ms): 46.1, 90th(ms): 67.1, 95th(ms): 79.7, 99th(ms): 104.9, 99.9th(ms): 151.0, Max(ms): 184.5
[Current] STOCK_LEVEL - Takes(s): 9.9, Count: 379, TPM: 2291.8, Sum(ms): 23196.7, Avg(ms): 61.2, 50th(ms): 54.5, 90th(ms): 121.6, 95th(ms): 151.0, 99th(ms): 192.9, 99.9th(ms): 260.0, Max(ms): 260.0
[Current] DELIVERY - Takes(s): 10.0, Count: 407, TPM: 2446.0, Sum(ms): 69343.8, Avg(ms): 170.7, 50th(ms): 167.8, 90th(ms): 209.7, 95th(ms): 268.4, 99th(ms): 352.3, 99.9th(ms): 385.9, Max(ms): 385.9
[Current] NEW_ORDER - Takes(s): 10.0, Count: 4486, TPM: 26916.5, Sum(ms): 341290.0, Avg(ms): 76.1, 50th(ms): 75.5, 90th(ms): 104.9, 95th(ms): 113.2, 99th(ms): 142.6, 99.9th(ms): 184.5, Max(ms): 209.7
[Current] ORDER_STATUS - Takes(s): 10.0, Count: 361, TPM: 2170.3, Sum(ms): 10342.6, Avg(ms): 28.7, 50th(ms): 27.3, 90th(ms): 44.0, 95th(ms): 48.2, 99th(ms): 56.6, 99.9th(ms): 67.1, Max(ms): 67.1
[Current] PAYMENT - Takes(s): 10.0, Count: 4267, TPM: 25611.2, Sum(ms): 196097.0, Avg(ms): 46.0, 50th(ms): 44.0, 90th(ms): 65.0, 95th(ms): 79.7, 99th(ms): 104.9, 99.9th(ms): 142.6, Max(ms): 176.2
[Current] STOCK_LEVEL - Takes(s): 10.0, Count: 406, TPM: 2444.2, Sum(ms): 16683.5, Avg(ms): 41.1, 50th(ms): 29.4, 90th(ms): 79.7, 95th(ms): 96.5, 99th(ms): 134.2, 99.9th(ms): 176.2, Max(ms): 176.2
[Current] DELIVERY - Takes(s): 10.0, Count: 385, TPM: 2312.5, Sum(ms): 64632.5, Avg(ms): 167.8, 50th(ms): 167.8, 90th(ms): 218.1, 95th(ms): 226.5, 99th(ms): 302.0, 99.9th(ms): 520.1, Max(ms): 520.1
[Current] NEW_ORDER - Takes(s): 10.0, Count: 4509, TPM: 27067.7, Sum(ms): 350295.5, Avg(ms): 77.7, 50th(ms): 75.5, 90th(ms): 104.9, 95th(ms): 117.4, 99th(ms): 151.0, 99.9th(ms): 192.9, Max(ms): 218.1
[Current] ORDER_STATUS - Takes(s): 10.0, Count: 404, TPM: 2424.9, Sum(ms): 11562.9, Avg(ms): 28.6, 50th(ms): 27.3, 90th(ms): 41.9, 95th(ms): 46.1, 99th(ms): 56.6, 99.9th(ms): 75.5, Max(ms): 75.5
[Current] PAYMENT - Takes(s): 10.0, Count: 4208, TPM: 25255.2, Sum(ms): 195257.0, Avg(ms): 46.4, 50th(ms): 44.0, 90th(ms): 65.0, 95th(ms): 79.7, 99th(ms): 109.1, 99.9th(ms): 159.4, Max(ms): 192.9
[Current] STOCK_LEVEL - Takes(s): 10.0, Count: 377, TPM: 2262.9, Sum(ms): 10885.8, Avg(ms): 28.9, 50th(ms): 24.1, 90th(ms): 48.2, 95th(ms): 58.7, 99th(ms): 83.9, 99.9th(ms): 104.9, Max(ms): 104.9
[Current] DELIVERY - Takes(s): 10.0, Count: 359, TPM: 2155.1, Sum(ms): 64133.5, Avg(ms): 178.6, 50th(ms): 176.2, 90th(ms): 234.9, 95th(ms): 251.7, 99th(ms): 302.0, 99.9th(ms): 369.1, Max(ms): 369.1
[Current] NEW_ORDER - Takes(s): 10.0, Count: 4075, TPM: 24462.3, Sum(ms): 349411.9, Avg(ms): 85.8, 50th(ms): 83.9, 90th(ms): 121.6, 95th(ms): 134.2, 99th(ms): 167.8, 99.9th(ms): 209.7, Max(ms): 260.0
[Current] ORDER_STATUS - Takes(s): 10.0, Count: 380, TPM: 2285.0, Sum(ms): 11599.9, Avg(ms): 30.5, 50th(ms): 28.3, 90th(ms): 46.1, 95th(ms): 52.4, 99th(ms): 62.9, 99.9th(ms): 79.7, Max(ms): 79.7
[Current] PAYMENT - Takes(s): 10.0, Count: 3880, TPM: 23285.1, Sum(ms): 200418.7, Avg(ms): 51.7, 50th(ms): 48.2, 90th(ms): 75.5, 95th(ms): 92.3, 99th(ms): 125.8, 99.9th(ms): 159.4, Max(ms): 209.7
[Current] STOCK_LEVEL - Takes(s): 9.9, Count: 316, TPM: 1908.0, Sum(ms): 8756.4, Avg(ms): 27.7, 50th(ms): 25.2, 90th(ms): 44.0, 95th(ms): 52.4, 99th(ms): 75.5, 99.9th(ms): 88.1, Max(ms): 88.1
[Current] DELIVERY - Takes(s): 10.0, Count: 385, TPM: 2311.6, Sum(ms): 67051.3, Avg(ms): 174.2, 50th(ms): 167.8, 90th(ms): 234.9, 95th(ms): 260.0, 99th(ms): 318.8, 99.9th(ms): 436.2, Max(ms): 436.2
[Current] NEW_ORDER - Takes(s): 10.0, Count: 4287, TPM: 25723.0, Sum(ms): 345478.0, Avg(ms): 80.6, 50th(ms): 79.7, 90th(ms): 113.2, 95th(ms): 130.0, 99th(ms): 159.4, 99.9th(ms): 201.3, Max(ms): 234.9
[Current] ORDER_STATUS - Takes(s): 10.0, Count: 376, TPM: 2263.4, Sum(ms): 10698.1, Avg(ms): 28.5, 50th(ms): 27.3, 90th(ms): 39.8, 95th(ms): 46.1, 99th(ms): 58.7, 99.9th(ms): 88.1, Max(ms): 88.1
[Current] PAYMENT - Takes(s): 10.0, Count: 4178, TPM: 25069.0, Sum(ms): 201355.7, Avg(ms): 48.2, 50th(ms): 44.0, 90th(ms): 75.5, 95th(ms): 88.1, 99th(ms): 117.4, 99.9th(ms): 159.4, Max(ms): 184.5
[Current] STOCK_LEVEL - Takes(s): 10.0, Count: 357, TPM: 2145.3, Sum(ms): 9070.3, Avg(ms): 25.4, 50th(ms): 24.1, 90th(ms): 35.7, 95th(ms): 44.0, 99th(ms): 56.6, 99.9th(ms): 100.7, Max(ms): 100.7
[Current] DELIVERY - Takes(s): 10.0, Count: 380, TPM: 2280.3, Sum(ms): 69959.9, Avg(ms): 184.2, 50th(ms): 176.2, 90th(ms): 234.9, 95th(ms): 260.0, 99th(ms): 352.3, 99.9th(ms): 604.0, Max(ms): 604.0
[Current] NEW_ORDER - Takes(s): 10.0, Count: 4266, TPM: 25597.1, Sum(ms): 341309.7, Avg(ms): 80.0, 50th(ms): 79.7, 90th(ms): 109.1, 95th(ms): 121.6, 99th(ms): 151.0, 99.9th(ms): 192.9, Max(ms): 218.1
[Current] ORDER_STATUS - Takes(s): 10.0, Count: 386, TPM: 2316.1, Sum(ms): 10921.2, Avg(ms): 28.3, 50th(ms): 27.3, 90th(ms): 39.8, 95th(ms): 44.0, 99th(ms): 56.6, 99.9th(ms): 65.0, Max(ms): 65.0
[Current] PAYMENT - Takes(s): 10.0, Count: 4118, TPM: 24709.1, Sum(ms): 201201.3, Avg(ms): 48.9, 50th(ms): 46.1, 90th(ms): 71.3, 95th(ms): 83.9, 99th(ms): 113.2, 99.9th(ms): 151.0, Max(ms): 176.2
[Current] STOCK_LEVEL - Takes(s): 10.0, Count: 405, TPM: 2434.0, Sum(ms): 9774.7, Avg(ms): 24.1, 50th(ms): 23.1, 90th(ms): 31.5, 95th(ms): 35.7, 99th(ms): 48.2, 99.9th(ms): 60.8, Max(ms): 60.8
[Current] DELIVERY - Takes(s): 9.9, Count: 375, TPM: 2263.8, Sum(ms): 67439.6, Avg(ms): 180.2, 50th(ms): 176.2, 90th(ms): 226.5, 95th(ms): 243.3, 99th(ms): 302.0, 99.9th(ms): 385.9, Max(ms): 385.9
[Current] NEW_ORDER - Takes(s): 10.0, Count: 4293, TPM: 25760.1, Sum(ms): 344787.7, Avg(ms): 80.3, 50th(ms): 79.7, 90th(ms): 109.1, 95th(ms): 121.6, 99th(ms): 151.0, 99.9th(ms): 176.2, Max(ms): 201.3
[Current] ORDER_STATUS - Takes(s): 9.9, Count: 428, TPM: 2588.5, Sum(ms): 12365.9, Avg(ms): 28.9, 50th(ms): 27.3, 90th(ms): 44.0, 95th(ms): 48.2, 99th(ms): 58.7, 99.9th(ms): 88.1, Max(ms): 88.1
[Current] PAYMENT - Takes(s): 10.0, Count: 4024, TPM: 24150.0, Sum(ms): 199187.6, Avg(ms): 49.5, 50th(ms): 46.1, 90th(ms): 71.3, 95th(ms): 88.1, 99th(ms): 117.4, 99.9th(ms): 159.4, Max(ms): 176.2
[Current] STOCK_LEVEL - Takes(s): 9.9, Count: 382, TPM: 2305.3, Sum(ms): 8873.1, Avg(ms): 23.3, 50th(ms): 22.0, 90th(ms): 30.4, 95th(ms): 35.7, 99th(ms): 41.9, 99.9th(ms): 60.8, Max(ms): 60.8
[Current] DELIVERY - Takes(s): 9.9, Count: 369, TPM: 2228.2, Sum(ms): 68888.8, Avg(ms): 186.5, 50th(ms): 184.5, 90th(ms): 234.9, 95th(ms): 260.0, 99th(ms): 335.5, 99.9th(ms): 402.7, Max(ms): 402.7
[Current] NEW_ORDER - Takes(s): 10.0, Count: 4219, TPM: 25314.3, Sum(ms): 345233.9, Avg(ms): 81.9, 50th(ms): 79.7, 90th(ms): 113.2, 95th(ms): 125.8, 99th(ms): 159.4, 99.9th(ms): 192.9, Max(ms): 218.1
[Current] ORDER_STATUS - Takes(s): 10.0, Count: 377, TPM: 2263.9, Sum(ms): 10784.2, Avg(ms): 28.6, 50th(ms): 27.3, 90th(ms): 41.9, 95th(ms): 46.1, 99th(ms): 65.0, 99.9th(ms): 79.7, Max(ms): 79.7
[Current] PAYMENT - Takes(s): 10.0, Count: 4068, TPM: 24427.6, Sum(ms): 199310.0, Avg(ms): 49.0, 50th(ms): 46.1, 90th(ms): 71.3, 95th(ms): 83.9, 99th(ms): 117.4, 99.9th(ms): 176.2, Max(ms): 218.1
[Current] STOCK_LEVEL - Takes(s): 9.9, Count: 386, TPM: 2327.7, Sum(ms): 9803.0, Avg(ms): 25.4, 50th(ms): 24.1, 90th(ms): 35.7, 95th(ms): 39.8, 99th(ms): 58.7, 99.9th(ms): 92.3, Max(ms): 92.3
[Current] DELIVERY - Takes(s): 10.0, Count: 385, TPM: 2315.6, Sum(ms): 66764.6, Avg(ms): 173.2, 50th(ms): 167.8, 90th(ms): 226.5, 95th(ms): 243.3, 99th(ms): 302.0, 99.9th(ms): 419.4, Max(ms): 419.4
[Current] NEW_ORDER - Takes(s): 10.0, Count: 4350, TPM: 26108.2, Sum(ms): 342102.7, Avg(ms): 78.7, 50th(ms): 75.5, 90th(ms): 109.1, 95th(ms): 121.6, 99th(ms): 142.6, 99.9th(ms): 184.5, Max(ms): 218.1
[Current] ORDER_STATUS - Takes(s): 10.0, Count: 393, TPM: 2368.9, Sum(ms): 11009.0, Avg(ms): 28.0, 50th(ms): 27.3, 90th(ms): 39.8, 95th(ms): 48.2, 99th(ms): 62.9, 99.9th(ms): 92.3, Max(ms): 92.3
[Current] PAYMENT - Takes(s): 10.0, Count: 4265, TPM: 25601.1, Sum(ms): 203431.8, Avg(ms): 47.7, 50th(ms): 44.0, 90th(ms): 71.3, 95th(ms): 83.9, 99th(ms): 113.2, 99.9th(ms): 159.4, Max(ms): 201.3
[Current] STOCK_LEVEL - Takes(s): 10.0, Count: 430, TPM: 2587.4, Sum(ms): 10038.5, Avg(ms): 23.4, 50th(ms): 23.1, 90th(ms): 30.4, 95th(ms): 35.7, 99th(ms): 46.1, 99.9th(ms): 71.3, Max(ms): 71.3
