2026/06/09 00:11:43 maxprocs: Leaving GOMAXPROCS=4: CPU quota undefined
[Current] DELIVERY - Takes(s): 9.1, Count: 185, TPM: 1221.4, Sum(ms): 110995.6, Avg(ms): 600.2, 50th(ms): 570.4, 90th(ms): 805.3, 95th(ms): 1006.6, 99th(ms): 1275.1, 99.9th(ms): 1342.2, Max(ms): 1342.2
[Current] NEW_ORDER - Takes(s): 9.4, Count: 2240, TPM: 14320.6, Sum(ms): 654014.0, Avg(ms): 292.1, 50th(ms): 268.4, 90th(ms): 453.0, 95th(ms): 520.1, 99th(ms): 771.8, 99.9th(ms): 1073.7, Max(ms): 1409.3
[Current] ORDER_STATUS - Takes(s): 9.5, Count: 192, TPM: 1211.2, Sum(ms): 17887.1, Avg(ms): 93.2, 50th(ms): 88.1, 90th(ms): 134.2, 95th(ms): 167.8, 99th(ms): 218.1, 99.9th(ms): 251.7, Max(ms): 251.7
[Current] PAYMENT - Takes(s): 9.5, Count: 2176, TPM: 13772.0, Sum(ms): 361554.8, Avg(ms): 166.1, 50th(ms): 151.0, 90th(ms): 268.4, 95th(ms): 335.5, 99th(ms): 453.0, 99.9th(ms): 771.8, Max(ms): 1275.1
[Current] STOCK_LEVEL - Takes(s): 9.5, Count: 219, TPM: 1385.8, Sum(ms): 15397.3, Avg(ms): 70.3, 50th(ms): 60.8, 90th(ms): 104.9, 95th(ms): 130.0, 99th(ms): 192.9, 99.9th(ms): 226.5, Max(ms): 226.5
[Current] DELIVERY - Takes(s): 10.0, Count: 213, TPM: 1280.7, Sum(ms): 125601.0, Avg(ms): 589.9, 50th(ms): 520.1, 90th(ms): 805.3, 95th(ms): 939.5, 99th(ms): 1476.4, 99.9th(ms): 2147.5, Max(ms): 2147.5
[Current] NEW_ORDER - Takes(s): 10.0, Count: 2570, TPM: 15427.8, Sum(ms): 718116.1, Avg(ms): 279.5, 50th(ms): 251.7, 90th(ms): 419.4, 95th(ms): 486.5, 99th(ms): 738.2, 99.9th(ms): 1006.6, Max(ms): 1476.4
[Current] ORDER_STATUS - Takes(s): 10.0, Count: 223, TPM: 1338.5, Sum(ms): 21837.3, Avg(ms): 97.8, 50th(ms): 88.1, 90th(ms): 134.2, 95th(ms): 159.4, 99th(ms): 369.1, 99.9th(ms): 436.2, Max(ms): 436.2
[Current] PAYMENT - Takes(s): 10.0, Count: 2360, TPM: 14160.8, Sum(ms): 381884.8, Avg(ms): 161.9, 50th(ms): 142.6, 90th(ms): 251.7, 95th(ms): 302.0, 99th(ms): 486.5, 99.9th(ms): 637.5, Max(ms): 637.5
[Current] STOCK_LEVEL - Takes(s): 10.0, Count: 257, TPM: 1543.5, Sum(ms): 17203.8, Avg(ms): 66.9, 50th(ms): 58.7, 90th(ms): 96.5, 95th(ms): 113.2, 99th(ms): 151.0, 99.9th(ms): 352.3, Max(ms): 352.3
[Current] DELIVERY - Takes(s): 10.0, Count: 230, TPM: 1384.7, Sum(ms): 125633.8, Avg(ms): 545.8, 50th(ms): 503.3, 90th(ms): 738.2, 95th(ms): 872.4, 99th(ms): 1140.9, 99.9th(ms): 1275.1, Max(ms): 1275.1
