procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0   2560 794980   5796 6705152    0    0     0     1    0    0  0  0 100  0  0
 0  0   2560 775748   5796 6705348    0    0     0     0 43354 40883  7 10 83  0  0
 1  0   2560 767656   5796 6705348    0    0     0     0 33256 36118  2  6 92  0  0
 1  0   2560 765032   5796 6705348    0    0     0     0 31846 34753  3  5 92  0  0
 1  0   2560 763172   5796 6705348    0    0     0     0 29574 31166  2  5 92  0  0
 0  0   2560 762288   5796 6705352    0    0     0     0 35804 36246  3  7 90  0  0
 3  0   2560 760584   5796 6705360    0    0     0     0 35173 37909  2  6 92  0  0
 0  0   2560 760576   5796 6705360    0    0     0     0 36874 39746  4  8 89  0  0
 0  0   2560 760372   5796 6705360    0    0     0    36 33130 35215  3  7 90  0  0
 0  0   2560 760452   5796 6705364    0    0     0     0 34711 37299  4  7 89  0  0
 1  0   2560 760740   5796 6705364    0    0     0     0 33915 36508  3  6 90  0  0
 0  0   2560 759952   5796 6705384    0    0     0     0 35364 38126  4  7 90  0  0
 0  0   2560 759932   5796 6705384    0    0     0     0 32971 35259  3  6 91  0  0
 0  0   2560 759912   5796 6705388    0    0     0     0 37361 39659  4  7 89  0  0
 1  0   2560 759200   5796 6705392    0    0     0     0 33133 35711  4  7 90  0  0
 2  0   2560 759448   5796 6705396    0    0     0     0 37152 40118  3  7 90  0  0
 0  0   2560 759364   5796 6705404    0    0     0     0 36526 38952  3  7 90  0  0
 0  0   2560 759308   5796 6705408    0    0     0     0 32950 35161  3  7 90  0  0
 0  0   2560 758732   5796 6705408    0    0     0     0 36733 39920  4  8 89  0  0
 2  0   2560 735048   5796 6705408    0    0     0     4 31874 34226  6  7 87  0  0
 0  0   2560 734788   5796 6705420    0    0     0     0 33597 36108  3  6 91  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0   2560 734336   5796 6705436    0    0     0     0 31945 34780  4  6 90  0  0
 1  0   2560 734780   5796 6705436    0    0     0     0 38554 41659  3  7 90  0  0
 0  0   2560 735080   5796 6705436    0    0     0    58 38223 41299  4  7 90  0  0
 2  0   2560 734412   5796 6705440    0    0     0     4 34226 36092  4  7 89  0  0
 0  0   2560 734668   5796 6705448    0    0     0     0 32751 34911  3  6 91  0  0
 0  0   2560 733384   5796 6705448    0    0     0     0 38244 40734  4  7 89  0  0
 2  0   2560 733372   5796 6705452    0    0     0     0 38147 40774  4  7 89  0  0
 1  0   2560 733908   5796 6705456    0    0     0     0 37952 40619  4  8 88  0  0
 0  0   2560 731256   5796 6705460    0    0     0     0 37025 39442  4  7 89  0  0
