Linux 4.18.0-553.124.1.el8_10.x86_64 (l-test-poc-1) 	西元2026年06月08日 	_x86_64_	(4 CPU)

22時26分59秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
22時27分00秒        lo     11.00     11.00      1.13      1.13      0.00      0.00      0.00      0.00
22時27分00秒     ens33  21971.00  19956.00   7418.16   8873.93      0.00      0.00      0.00      0.73
22時27分00秒      cni0  12967.00  13195.00   7158.04   5766.42      0.00      0.00      0.00      0.00
22時27分00秒 vethbdca3de6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22時27分00秒 veth854270a4      2.00      2.00      0.13      0.25      0.00      0.00      0.00      0.00
22時27分00秒 veth0c9b2fa5      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22時27分00秒 veth8c54fcdc     75.00     72.00      6.90     12.23      0.00      0.00      0.00      0.00
22時27分00秒 veth31d8334d   7384.00   7492.00   5536.95   4985.88      0.00      0.00      0.00      0.45
22時27分00秒 veth8017ce2c   8139.00   8263.00   3321.54   2298.56      0.00      0.00      0.00      0.27

22時27分00秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
22時27分01秒        lo     15.00     15.00      6.88      6.88      0.00      0.00      0.00      0.00
22時27分01秒     ens33  22735.00  20870.00   7482.57   8545.78      0.00      0.00      0.00      0.70
22時27分01秒      cni0  13871.00  13959.00   6763.90   5777.67      0.00      0.00      0.00      0.00
22時27分01秒 vethbdca3de6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22時27分01秒 veth854270a4     11.00     12.00      3.34      1.31      0.00      0.00      0.00      0.00
22時27分01秒 veth0c9b2fa5     29.00     29.00      5.84      3.69      0.00      0.00      0.00      0.00
22時27分01秒 veth8c54fcdc    160.00    166.00     14.99     23.20      0.00      0.00      0.00      0.00
22時27分01秒 veth31d8334d   7550.00   7563.00   4899.50   4864.13      0.00      0.00      0.00      0.40
22時27分01秒 veth8017ce2c   9205.00   9270.00   3666.99   2521.65      0.00      0.00      0.00      0.30

22時27分01秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
22時27分02秒        lo      8.00      8.00      0.91      0.91      0.00      0.00      0.00      0.00
22時27分02秒     ens33  21116.00  19140.00   7194.71   7926.75      0.00      0.00      0.00      0.65
22時27分02秒      cni0  12695.00  12868.00   6291.87   5627.31      0.00      0.00      0.00      0.00
22時27分02秒 vethbdca3de6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22時27分02秒 veth854270a4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22時27分02秒 veth0c9b2fa5      6.00      6.00      1.34      0.81      0.00      0.00      0.00      0.00
22時27分02秒 veth8c54fcdc     84.00     92.00     14.72     13.67      0.00      0.00      0.00      0.00
22時27分02秒 veth31d8334d   7017.00   7086.00   4461.54   4638.48      0.00      0.00      0.00      0.38
22時27分02秒 veth8017ce2c   8166.00   8264.00   3299.11   2286.14      0.00      0.00      0.00      0.27

22時27分02秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
22時27分03秒        lo     14.00     14.00      2.06      2.06      0.00      0.00      0.00      0.00
22時27分03秒     ens33  22165.00  20251.00   7406.63   8072.98      0.00      0.00      0.00      0.66
22時27分03秒      cni0  13358.00  13506.00   6373.11   5776.93      0.00      0.00      0.00      0.00
22時27分03秒 vethbdca3de6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22時27分03秒 veth854270a4     10.00     13.00      3.27      1.38      0.00      0.00      0.00      0.00
22時27分03秒 veth0c9b2fa5     11.00     11.00      1.81      1.25      0.00      0.00      0.00      0.00
22時27分03秒 veth8c54fcdc     89.00     87.00      8.65      9.35      0.00      0.00      0.00      0.00
22時27分03秒 veth31d8334d   7211.00   7290.00   4549.62   4850.08      0.00      0.00      0.00      0.40
22時27分03秒 veth8017ce2c   8786.00   8855.00   3488.37   2410.97      0.00      0.00      0.00      0.29

22時27分03秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
22時27分04秒        lo      2.00      2.00      0.29      0.29      0.00      0.00      0.00      0.00
22時27分04秒     ens33  23214.00  21137.00   7707.69   9282.33      0.00      0.00      0.00      0.76
22時27分04秒      cni0  13867.00  14134.00   7478.92   5979.13      0.00      0.00      0.00      0.00
22時27分04秒 vethbdca3de6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22時27分04秒 veth854270a4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22時27分04秒 veth0c9b2fa5      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22時27分04秒 veth8c54fcdc     50.00     55.00      5.18      9.90      0.00      0.00      0.00      0.00
22時27分04秒 veth31d8334d   7717.00   7891.00   5734.08   5159.23      0.00      0.00      0.00      0.47
22時27分04秒 veth8017ce2c   9069.00   9156.00   3651.69   2532.32      0.00      0.00      0.00      0.30

22時27分04秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
22時27分05秒        lo      4.00      4.00      0.86      0.86      0.00      0.00      0.00      0.00
22時27分05秒     ens33  22095.00  20058.00   7426.93   8782.79      0.00      0.00      0.00      0.72
22時27分05秒      cni0  13034.00  13260.00   7028.27   5738.18      0.00      0.00      0.00      0.00
22時27分05秒 vethbdca3de6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22時27分05秒 veth854270a4     10.00     13.00      3.27      1.38      0.00      0.00      0.00      0.00
22時27分05秒 veth0c9b2fa5     29.00     29.00      5.84      3.69      0.00      0.00      0.00      0.00
22時27分05秒 veth8c54fcdc    126.00    139.00     16.75     19.99      0.00      0.00      0.00      0.00
22時27分05秒 veth31d8334d   7354.00   7497.00   5315.96   4839.06      0.00      0.00      0.00      0.44
22時27分05秒 veth8017ce2c   8172.00   8239.00   3213.37   2222.78      0.00      0.00      0.00      0.26

22時27分05秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
22時27分06秒        lo     12.00     12.00      1.23      1.23      0.00      0.00      0.00      0.00
22時27分06秒     ens33  24255.00  22042.00   8241.64   9253.58      0.00      0.00      0.00      0.76
22時27分06秒      cni0  14398.00  14610.00   7315.42   6373.43      0.00      0.00      0.00      0.00
22時27分06秒 vethbdca3de6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22時27分06秒 veth854270a4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22時27分06秒 veth0c9b2fa5      6.00      6.00      1.34      0.81      0.00      0.00      0.00      0.00
22時27分06秒 veth8c54fcdc     70.00     77.00      6.53      7.38      0.00      0.00      0.00      0.00
22時27分06秒 veth31d8334d   7983.00   8105.00   5319.62   5282.15      0.00      0.00      0.00      0.44
22時27分06秒 veth8017ce2c   9065.00   9147.00   3599.72   2497.63      0.00      0.00      0.00      0.29

22時27分06秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
22時27分07秒        lo     17.00     17.00      2.56      2.56      0.00      0.00      0.00      0.00
22時27分07秒     ens33  21915.00  20088.00   7105.70   7859.22      0.00      0.00      0.00      0.64
22時27分07秒      cni0  12991.00  13187.00   6108.47   5426.23      0.00      0.00      0.00      0.00
22時27分07秒 vethbdca3de6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22時27分07秒 veth854270a4     10.00     13.00      3.27      1.38      0.00      0.00      0.00      0.00
