procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 9  0      0 4292076     24 2455356    0    0 32843  1844   29  130 11  5 81  2  0
 6  0      0 4294780     24 2454608    0    0  6108  9588 53728 110062 38 24 31  6  0
15  1      0 4294508     24 2450728    0    0  6672 10722 52125 104435 41 25 28  7  0
17  2      0 4294692     24 2446592    0    0  5976  9948 51524 104856 39 23 30  7  0
12  2      0 4294496     24 2443000    0    0  7404 11174 56175 113375 40 23 30  7  0
 5  1      0 4294784     24 2438468    0    0  5864 10578 55365 114877 38 24 31  7  0
 3  1      0 4296000     24 2427512    0    0  5008 14128 53061 109071 40 22 32  7  0
12  1      0 4293956     24 2429140    0    0  6272 10492 56968 116927 38 24 30  8  0
10  0      0 4293220     24 2428792    0    0  4948 11275 54824 114779 38 23 31  7  0
 6  1      0 4294084     24 2428664    0    0  6056 10760 56931 115242 38 24 30  8  0
 6  1      0 4292980     24 2429312    0    0  7692 11238 56021 115816 38 23 32  8  0
11  1      0 4293416     24 2430332    0    0  5704 10000 54672 112707 38 23 33  7  0
14  1      0 4294388     24 2430968    0    0  5420 11854 55487 114124 39 25 28  7  0
 6  1      0 4294256     24 2430500    0    0  6276 10320 55370 117409 37 24 32  7  0
11  0      0 4307372     24 2429588    0    0  4604 11427 50732 106932 40 22 31  7  0
10  1      0 4307272     24 2425328    0    0  5028 10892 57633 115673 38 25 29  7  0
 8  1      0 4306756     24 2420708    0    0  4580 11704 54224 111738 38 24 31  7  0
 7  2      0 4308048     24 2414028    0    0  7508 189716 50787 107554 44 25 23  8  0
 5  2      0 4307268     24 2412332    0    0 39924 53849 54684 107720 39 25 22 14  0
 8  1      0 4307528     24 2409552    0    0 39500 55389 57448 112859 41 26 21 12  0
12  1      0 4308844     24 2421016    0    0 38212 80133 55031 111609 40 24 23 12  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  2      0 4310516     24 2441216    0    0 36848 78901 51970 101183 41 24 23 13  0
10  1      0 4309928     24 2463304    0    0 39592 50370 57292 112978 41 25 22 12  0
 8  2      0 4307840     24 2487984    0    0 36156 82543 53688 109692 39 23 25 13  0
14  1      0 4309336     24 2509360    0    0 40496 52879 56678 112745 41 25 20 14  0
 9  2      0 4309004     24 2524516    0    0 44644 51817 56471 114574 41 23 21 15  0
10  1      0 4309212     24 2530652    0    0 42720 51513 52698 101388 39 24 22 15  0
 6  1      0 4308224     24 2531804    0    0 41900 51462 54456 112266 41 24 21 14  0
 2  2      0 4308644     24 2527436    0    0 41588 50727 56505 111863 42 25 21 13  0
12  2      0 4307992     24 2524064    0    0 35372 111099 52517 106466 42 23 21 14  0
11  1      0 4308260     24 2519216    0    0 40136 56452 53867 113761 40 25 21 14  0
 1  0      0 4308988     24 2514676    0    0 40244 66394 53865 106618 39 25 22 15  0
10  2      0 4307412     24 2505564    0    0 38184 83680 52055 100704 39 24 23 15  0
11  0      0 4307592     24 2504280    0    0 39980 55405 56020 115930 40 25 21 14  0
 7  1      0 4307520     24 2504080    0    0 39740 51251 55193 107736 40 25 22 14  0
 8  1      0 4924356     24 1893132    0    0 22540 38178 53273 102860 45 25 19 11  0
 3  2      0 4882904     24 1938368    0    0 22152 30550 52602 101029 45 24 19 11  0
 6  1      0 4836024     24 1984648    0    0 23088 28312 50996 98142 44 23 22 12  0
 4  0      0 4789216     24 2030828    0    0 22960 31131 55807 113116 44 25 20 11  0
 8  0      0 4741680     24 2075968    0    0 22264 29712 51890 100631 43 22 22 12  0
 2  0      0 4692788     24 2122140    0    0 23120 30294 51820 100922 42 23 22 13  0
 2  1      0 4813500     24 1994200    0    0 23512 29326 54772 108725 45 25 19 12  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
12  1      0 4753160     24 2050296    0    0 27332 37196 53413 104394 45 24 19 12  0
17  2      0 4697148     24 2104208    0    0 26608 32428 48413 94189 47 21 22 10  0
16  1      0 4634932     24 2160884    0    0 28260 34525 53504 104199 47 25 16 12  0
 3  2      0 4572784     24 2220856    0    0 29228 37320 52754 100178 47 24 19 10  0
 6  2      0 4502800     24 2282584    0    0 29120 40901 51832 98634 48 25 18  9  0
 8  2      0 4447920     24 2335724    0    0 26124 31910 54192 107711 45 24 20 11  0
 3  1      0 4396284     24 2386972    0    0 25236 33821 54835 103271 45 24 19 12  0
15  0      0 4348724     24 2435428    0    0 23864 30260 53578 104120 44 25 21 10  0
 3  1      0 4309536     24 2473560    0    0 24652 33892 52789 104799 45 24 19 12  0
12  0      0 4307656     24 2474672    0    0 24900 31824 51018 104867 45 22 21 12  0
 6  0      0 4534424     24 2472620    0    0 26048 34632 53840 106993 46 25 18 11  0
 9  0      0 5183912     24 2122856    0    0 19672 33355 48974 94994 49 23 19 10  0
12  1      0 5133240     24 2172836    0    0 24328 33326 52719 103282 47 24 19 10  0
 5  1      0 5075460     24 2225908    0    0 26228 31436 54836 104499 47 25 18 10  0
 3  1      0 5020364     24 2275776    0    0 24288 34072 52035 104068 45 24 20 11  0
10  1      0 4963764     24 2327032    0    0 25736 30212 53986 106662 47 24 18 11  0
16  0      0 4902388     24 2380448    0    0 26100 35391 51548 100162 45 22 20 12  0
 3  2      0 5027640     24 2255024    0    0 19600 36757 51083 102405 47 23 20 10  0
 8  0      0 4974464     24 2306184    0    0 24632 35776 53444 107150 46 24 20 11  0
 3  1      0 4924828     24 2356652    0    0 25940 29548 47909 96780 46 22 20 12  0
 4  2      0 4819972     24 2405084    0    0 23924 30875 49032 93809 48 24 17 10  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  1      0 4716388     24 2444216    0    0 23084 29658 49292 95843 45 24 21 10  0
14  0      0 4821352     24 2269212    0    0 23188 31050 48586 94687 47 25 17 12  0
12  1      0 4688580     24 2325700    0    0 27784 35593 50491 99266 47 24 18 11  0
 5  1      0 4626224     24 2320168    0    0 28928 37552 51236 101018 47 24 19 10  0
 1  2      0 4542128     24 2372032    0    0 26332 30728 49974 98428 47 23 18 12  0
 6  1      0 4486252     24 2422908    0    0 25252 32537 53629 103170 47 24 18 11  0
11  1      0 4470648     24 2431744    0    0 26136 34792 51171 102899 46 23 20 11  0
 5  1      0 4582540     24 2315852    0    0 11480 40303 50107 98320 49 24 19  9  0
 8  2      0 4525472     24 2365892    0    0 10564 46381 47147 91860 48 22 22  8  0
11  1      0 4478316     24 2410852    0    0  9540 41500 48485 95260 49 23 21  8  0
12  1      0 4472900     24 2414956    0    0 11040 39400 48113 97146 45 22 24  8  0
 7  1      0 4528056     24 2357956    0    0 11712 40021 47155 88218 47 22 22  8  0
 9  1      0 4486452     24 2401560    0    0  9788 38808 48980 93038 48 23 21  7  0
 6  0      0 4470612     24 2414860    0    0  9748 42124 46828 91182 50 22 20  8  0
14  0      0 4470736     24 2413380    0    0 10692 39692 49211 97597 47 23 22  8  0
10  0      0 4537808     24 2347192    0    0 12252 39693 48865 95986 48 23 20  9  0
 6  1      0 4486844     24 2389996    0    0 20708 26232 51516 99838 46 23 19 12  0
11  1      0 4465116     24 2403376    0    0 20548 29792 52133 100935 45 24 19 11  0
14  0      0 4463956     24 2396728    0    0 21148 27400 49231 96007 47 24 19 10  0
13  0      0 4463444     24 2393728    0    0 30156 29316 51817 98080 46 24 19 11  0
15  1      0 4462972     24 2388488    0    0 23720 26304 55086 104158 47 24 18 11  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  2      0 4464116     24 2384604    0    0 24232 29315 50457 101766 44 23 20 13  0
14  2      0 4462220     24 2382952    0    0 24976 26848 54513 108713 44 25 18 12  0
 8  0      0 4563452     24 2283164    0    0 24248 33318 53461 105953 46 24 17 12  0
 7  1      0 4503260     24 2343184    0    0 17544 47479 48315 97989 47 21 20 12  0
 2  2      0 4460612     24 2393008    0    0 22060 52119 50923 100584 48 23 19 10  0
10  0      0 4459104     24 2389924    0    0 15056 109449 44014 85213 51 23 19  8  0
 7  0      0 4560080     24 2290960    0    0 10924 36920 54569 106802 44 24 23  9  0
 1  1      0 4561112     24 2298228    0    0  3180 10658 55717 115047 37 23 33  7  0
 4  0      0 4560948     24 2305548    0    0  3228 11885 54998 111863 37 23 32  8  0
 6  1      0 4567116     24 2313964    0    0  3964 10748 57343 119728 39 24 30  7  0
10  0      0 4575512     24 2323120    0    0  4872 12014 54636 114120 37 23 33  7  0
 5  1      0 4589280     24 2331152    0    0  3548 10708 58887 121342 38 24 31  7  0
 8  0      0 4577788     24 2338388    0    0  3180 11685 51095 107628 38 21 34  7  0
 9  0      0 4578752     24 2345348    0    0  3064 12120 55609 118529 37 22 34  7  0
 0  1      0 4573456     24 2352820    0    0  3196 12723 57522 118516 36 24 32  7  0
11  1      0 4566344     24 2360080    0    0  3056  9916 56052 117357 37 23 34  7  0
10  1      0 4557488     24 2367624    0    0  3316 12930 57970 124550 39 24 31  7  0
13  1      0 4547652     24 2376284    0    0  4332 10200 55989 120204 38 23 32  7  0
13  1      0 4538308     24 2383800    0    0  3188 12490 54666 114202 36 22 36  7  0
 3  1      0 4528484     24 2391380    0    0  3464 10148 56597 118323 38 23 32  7  0
 0  0      0 4518560     24 2398024    0    0  2572 11822 52796 107916 36 21 36  7  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  1      0 4508680     24 2406220    0    0  3712 10516 57073 118137 39 24 30  7  0
 0  1      0 4495376     24 2413620    0    0  3036 12979 55244 114290 39 23 31  8  0
 1  1      0 4481476     24 2421488    0    0  3728 10992 57758 121379 37 23 33  7  0
12  0      0 4468348     24 2429192    0    0  3272 13269 55758 119552 37 23 32  7  0
 7  0      0 4455816     24 2436800    0    0  3268  9892 52285 116328 37 22 33  7  0
