procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0   2560 821140   5796 6680860    0    0     0     1    0    0  0  0 100  0  0
 1  0   2560 798952   5796 6680980    0    0     0     0 28497 28948  7  8 85  0  0
 0  0   2560 798476   5796 6680980    0    0     0     0 25044 27866  2  5 94  0  0
 0  0   2560 798196   5796 6680980    0    0     0     0 25269 28162  2  5 93  0  0
 0  0   2560 797824   5796 6680980    0    0     0     0 26205 29300  2  5 93  0  0
 1  0   2560 797136   5796 6680984    0    0     0     0 27325 30157  3  5 92  0  0
 1  0   2560 796736   5796 6680992    0    0     0   100 26275 29139  2  5 93  0  0
 1  0   2560 796696   5796 6680992    0    0     0     0 26560 29524  2  5 93  0  0
 0  0   2560 796152   5796 6680992    0    0     0     0 27651 30177  3  5 92  0  0
 0  0   2560 795768   5796 6681000    0    0     0     0 26836 29345  2  5 92  0  0
 0  0   2560 795316   5796 6681000    0    0     0     0 26544 29148  2  5 93  0  0
 0  0   2560 795232   5796 6681020    0    0     0   104 26162 28952  2  5 93  0  0
 1  0   2560 795748   5796 6681020    0    0     0     0 25407 27983  2  5 94  0  0
 2  0   2560 795212   5796 6681024    0    0     0     0 28062 30689  2  5 92  0  0
 0  0   2560 795580   5796 6681032    0    0     0     0 25304 27529  2  5 93  0  0
 0  0   2560 795896   5796 6681032    0    0     0     0 25436 27780  3  6 92  0  0
 0  0   2560 795712   5796 6681040    0    0     0     0 27632 30076  2  5 93  0  0
 0  0   2560 795856   5796 6681044    0    0     0    84 27561 29839  2  5 93  0  0
 0  0   2560 795576   5796 6681044    0    0     0     0 28647 31324  2  5 93  0  0
 1  0   2560 794704   5796 6681044    0    0     0     0 29438 31939  3  6 91  0  0
 0  0   2560 794752   5796 6681056    0    0     0     0 28428 30746  2  6 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 794908   5796 6681068    0    0     0     0 24544 27050  2  4 94  0  0
 0  0   2560 794904   5796 6681068    0    0     0   100 27967 30295  2  6 92  0  0
 0  0   2560 794228   5796 6681068    0    0     0     0 29179 31540  2  5 93  0  0
 1  0   2560 794220   5796 6681072    0    0     0     0 26693 29039  2  5 93  0  0
 1  0   2560 794256   5796 6681080    0    0     0     0 28309 31213  2  5 92  0  0
 0  0   2560 794356   5796 6681080    0    0     0     0 27387 29672  2  5 93  0  0
 1  0   2560 794200   5796 6681084    0    0     0     0 29133 31545  3  5 92  0  0
 0  0   2560 794568   5796 6681088    0    0     0     0 26216 28647  2  5 93  0  0
 0  0   2560 794080   5796 6681092    0    0     0     0 27755 30900  2  5 93  0  0
 0  0   2560 794096   5796 6681100    0    0     0   166 29464 32500  2  5 93  0  0
 0  0   2560 794192   5796 6681104    0    0     0     0 27212 29821  2  5 93  0  0
 1  0   2560 794256   5796 6681120    0    0     0     0 26758 29078  2  5 93  0  0
 1  0   2560 794156   5796 6681120    0    0     0   124 27791 30850  2  4 93  0  0
 1  0   2560 794332   5796 6681120    0    0     0     0 29696 32210  2  6 92  0  0
 2  0   2560 792268   5796 6681128    0    0     0     0 26191 28717  2  5 93  0  0
 0  0   2560 768608   5796 6681132    0    0     0     4 28979 31444  5  6 89  0  0
 0  0   2560 767752   5796 6681132    0    0     0     0 27342 29393  2  6 92  0  0
 1  0   2560 768104   5796 6681132    0    0     0     0 28269 30716  2  4 94  0  0
 0  0   2560 768108   5796 6681148    0    0     0     0 28563 31299  3  5 92  0  0
 0  0   2560 767924   5796 6681164    0    0     0     0 28910 31865  2  5 93  0  0
 0  0   2560 768224   5796 6681164    0    0     0     0 25589 27896  2  5 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0   2560 768852   5796 6681176    0    0     0     0 26925 29207  2  5 93  0  0
 0  0   2560 768536   5796 6681196    0    0     0     0 27240 29510  2  5 93  0  0
 0  0   2560 767952   5796 6681208    0    0     0     0 27135 30170  2  5 93  0  0
 0  0   2560 767100   5796 6681208    0    0     0     0 27260 30021  3  6 92  0  0
 0  0   2560 767328   5796 6681208    0    0     0     0 27288 30164  2  5 93  0  0
 0  0   2560 767540   5796 6681212    0    0     0     0 27619 30557  2  5 93  0  0
 0  0   2560 766996   5796 6681212    0    0     0     0 27850 30827  2  4 94  0  0
 1  0   2560 767576   5796 6681220    0    0     0     0 28816 31536  2  5 93  0  0
 0  0   2560 767292   5796 6681220    0    0     0     0 24026 26629  2  4 95  0  0
 0  0   2560 766732   5796 6681228    0    0     0     0 27469 29836  3  5 93  0  0
 0  0   2560 766812   5796 6681232    0    0     0     0 29825 32248  2  5 93  0  0
 1  0   2560 766504   5796 6681244    0    0     0     0 28765 31051  2  5 93  0  0
 2  0   2560 787464   5796 6681252    0    0     0    20 27385 29689  3  5 92  0  0
 0  0   2560 788868   5796 6681260    0    0     0   256 27275 29908  8  6 87  0  0
 0  0   2560 789096   5796 6681260    0    0     0     0 28841 31933  2  5 93  0  0
