Linux 4.18.0-553.124.1.el8_10.x86_64 (l-test-poc-3) 	西元2026年06月08日 	_x86_64_	(4 CPU)

22時48分02秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
22時48分03秒  all   41.96    0.00   15.83    6.28    2.01    8.04    0.00    0.00    0.00   25.88
22時48分04秒  all   37.03    0.00   14.11    8.31    1.76    7.30    0.00    0.00    0.00   31.49
22時48分05秒  all   37.02    0.00   12.08   11.31    2.06    6.68    0.00    0.00    0.00   30.85
22時48分06秒  all   36.22    0.00   12.76    8.67    2.04    6.89    0.00    0.00    0.00   33.42
22時48分07秒  all   34.61    0.00   11.45    9.92    1.78    6.62    0.00    0.00    0.00   35.62
22時48分08秒  all   34.01    0.00   12.69    8.38    1.52    6.35    0.00    0.00    0.00   37.06
22時48分09秒  all   35.10    0.00   11.87    8.08    2.02    6.82    0.00    0.00    0.00   36.11
22時48分10秒  all   33.00    0.00   11.84    9.32    1.76    6.55    0.00    0.00    0.00   37.53
22時48分11秒  all   34.54    0.00   11.08    9.54    2.06    6.44    0.00    0.00    0.00   36.34
22時48分12秒  all   35.35    0.00   12.63    9.09    1.52    6.06    0.00    0.00    0.00   35.35
22時48分13秒  all   34.18    0.00   10.20    9.18    1.53    5.87    0.00    0.00    0.00   39.03
22時48分14秒  all   33.16    0.00   10.89    9.62    2.03    6.33    0.00    0.00    0.00   37.97
22時48分15秒  all   32.91    0.00   11.48   10.20    1.53    6.38    0.00    0.00    0.00   37.50
22時48分16秒  all   32.23    0.00   11.42   10.41    1.78    6.35    0.00    0.00    0.00   37.82
22時48分17秒  all   35.86    0.00   11.62    9.09    1.77    6.82    0.00    0.00    0.00   34.85
22時48分18秒  all   37.31    0.00   11.17   10.15    1.52    5.84    0.00    0.00    0.00   34.01
22時48分19秒  all   33.42    0.00   11.14    9.16    1.98    6.19    0.00    0.00    0.00   38.12
22時48分20秒  all   36.50    0.00   12.25    7.75    1.75    6.50    0.00    0.00    0.00   35.25
22時48分21秒  all   33.84    0.00   11.96    9.67    1.53    6.11    0.00    0.00    0.00   36.90
22時48分22秒  all   36.11    0.00   11.62    8.84    2.02    6.06    0.00    0.00    0.00   35.35
22時48分23秒  all   33.75    0.00   11.75    9.00    1.50    6.25    0.00    0.00    0.00   37.75
22時48分24秒  all   34.94    0.00   11.90    8.61    1.77    6.58    0.00    0.00    0.00   36.20
22時48分25秒  all   31.41    0.00   11.31   10.05    1.76    6.28    0.00    0.00    0.00   39.20
22時48分26秒  all   33.08    0.00   10.78    9.52    2.01    6.02    0.00    0.00    0.00   38.60
22時48分27秒  all   34.26    0.00   11.08    8.82    1.76    6.05    0.00    0.00    0.00   38.04
22時48分28秒  all   37.13    0.00   12.38    8.91    1.73    6.68    0.00    0.00    0.00   33.17
22時48分29秒  all   34.27    0.00   12.02    9.46    2.05    6.39    0.00    0.00    0.00   35.81
22時48分30秒  all   30.28    0.00   11.20    8.65    1.27    6.11    0.00    0.00    0.00   42.49
22時48分31秒  all   33.76    0.00   10.41    9.14    2.03    6.60    0.00    0.00    0.00   38.07
22時48分32秒  all   37.85    0.00   12.79    8.95    1.79    6.14    0.00    0.00    0.00   32.48
22時48分33秒  all   31.90    0.00   10.63    9.62    1.77    6.08    0.00    0.00    0.00   40.00
22時48分34秒  all   32.41    0.00   10.55    9.55    2.01    6.53    0.00    0.00    0.00   38.94
22時48分35秒  all   33.92    0.00   11.65    9.62    1.27    5.82    0.00    0.00    0.00   37.72
22時48分36秒  all   30.79    0.00   10.69    9.41    1.78    6.11    0.00    0.00    0.00   41.22
22時48分37秒  all   31.99    0.00   10.58    8.56    2.02    5.54    0.00    0.00    0.00   41.31
22時48分38秒  all   35.88    0.00   10.43    8.65    1.53    6.36    0.00    0.00    0.00   37.15
22時48分39秒  all   33.67    0.00   11.99    9.18    1.53    6.38    0.00    0.00    0.00   37.24
22時48分40秒  all   34.50    0.00   11.50    8.50    2.00    6.00    0.00    0.00    0.00   37.50
22時48分41秒  all   30.56    0.00   11.87    8.59    1.77    6.06    0.00    0.00    0.00   41.16
22時48分42秒  all   34.75    0.00   12.25    9.50    1.75    6.50    0.00    0.00    0.00   35.25
22時48分43秒  all   30.10    0.00   10.71    8.67    1.79    5.61    0.00    0.00    0.00   43.11
22時48分44秒  all   35.43    0.00    9.80    9.55    1.76    6.28    0.00    0.00    0.00   37.19
22時48分45秒  all   31.04    0.00   10.18    8.14    1.53    5.60    0.00    0.00    0.00   43.51
22時48分46秒  all   31.67    0.00   11.97    8.48    1.50    6.73    0.00    0.00    0.00   39.65
22時48分47秒  all   34.53    0.00   10.74    8.70    1.53    6.14    0.00    0.00    0.00   38.36
22時48分48秒  all   34.33    0.00   10.70    8.46    1.74    5.72    0.00    0.00    0.00   39.05
22時48分49秒  all   35.64    0.00   11.03    8.46    1.54    6.41    0.00    0.00    0.00   36.92
22時48分50秒  all   32.58    0.00   10.61    8.59    2.02    6.06    0.00    0.00    0.00   40.15
22時48分51秒  all   33.33    0.00   11.62    9.60    2.02    6.31    0.00    0.00    0.00   37.12
22時48分52秒  all   34.26    0.00   10.91    7.87    1.52    6.60    0.00    0.00    0.00   38.83
22時48分53秒  all   33.76    0.00   12.18    8.88    1.78    6.35    0.00    0.00    0.00   37.06
22時48分54秒  all   33.16    0.00   10.71    9.44    1.79    5.87    0.00    0.00    0.00   39.03
22時48分55秒  all   29.52    0.00   10.18    8.40    1.53    5.85    0.00    0.00    0.00   44.53
22時48分56秒  all   30.50    0.00   12.00    9.00    2.00    6.50    0.00    0.00    0.00   40.00
22時48分57秒  all   32.23    0.00    9.90    9.14    1.52    5.84    0.00    0.00    0.00   41.37
22時48分58秒  all   33.58    0.00   10.95    8.71    1.74    5.72    0.00    0.00    0.00   39.30
22時48分59秒  all   32.23    0.00   10.49    8.70    1.79    6.14    0.00    0.00    0.00   40.66
22時49分00秒  all   33.16    0.00   11.39    7.85    1.77    6.08    0.00    0.00    0.00   39.75
22時49分01秒  all   32.56    0.00   11.03    9.49    1.79    6.41    0.00    0.00    0.00   38.72
22時49分02秒  all   36.76    0.00   11.05    7.97    1.80    6.43    0.00    0.00    0.00   35.99
22時49分03秒  all   36.52    0.00   12.09    7.81    1.76    6.55    0.00    0.00    0.00   35.26
22時49分04秒  all   35.52    0.00   11.59    8.06    1.76    7.05    0.00    0.00    0.00   36.02
22時49分05秒  all   34.44    0.00   11.48    8.42    1.79    6.38    0.00    0.00    0.00   37.50
22時49分06秒  all   33.42    0.00   12.13    7.92    1.98    6.19    0.00    0.00    0.00   38.37
22時49分07秒  all   31.27    0.00    9.82    8.79    1.81    6.20    0.00    0.00    0.00   42.12
22時49分08秒  all   36.04    0.00   10.66    9.14    1.52    6.60    0.00    0.00    0.00   36.04
22時49分09秒  all   32.58    0.00   11.62    8.84    1.77    5.81    0.00    0.00    0.00   39.39
22時49分10秒  all   30.25    0.00   11.25    9.25    1.75    5.50    0.00    0.00    0.00   42.00
22時49分11秒  all   32.49    0.00   10.41    9.14    1.52    6.35    0.00    0.00    0.00   40.10
22時49分12秒  all   33.42    0.00   10.47    8.23    2.00    5.74    0.00    0.00    0.00   40.15
22時49分13秒  all   32.14    0.00   10.20    8.67    1.28    5.87    0.00    0.00    0.00   41.84
22時49分14秒  all   30.89    0.00   11.14    9.11    1.77    6.08    0.00    0.00    0.00   41.01
22時49分15秒  all   31.47    0.00   10.91    9.90    2.03    6.35    0.00    0.00    0.00   39.34
22時49分16秒  all   32.32    0.00   10.61    7.83    1.52    5.81    0.00    0.00    0.00   41.92
22時49分17秒  all   36.27    0.00   11.08    9.57    1.76    6.30    0.00    0.00    0.00   35.01
22時49分18秒  all   32.65    0.00   11.73    8.42    2.04    6.12    0.00    0.00    0.00   39.03
22時49分19秒  all   31.71    0.00   10.23    8.95    1.79    5.88    0.00    0.00    0.00   41.43
22時49分20秒  all   30.30    0.00   10.86    9.09    1.26    5.81    0.00    0.00    0.00   42.68
22時49分21秒  all   32.75    0.00   11.00    9.50    1.75    6.25    0.00    0.00    0.00   38.75
22時49分22秒  all   34.94    0.00   10.89    9.37    2.03    6.33    0.00    0.00    0.00   36.46
