Linux 4.18.0-425.3.1.el8.x86_64 (l-dbm-labroom-1) 	西元2026年06月08日 	_x86_64_	(4 CPU)

23時29分35秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
23時29分36秒  all    7.65    0.00    5.36    0.00    0.77    2.04    0.00    0.00    0.00   84.18
23時29分37秒  all    3.27    0.00    3.27    0.00    1.26    2.01    0.00    0.00    0.00   90.20
23時29分38秒  all    2.80    0.00    3.05    0.00    0.25    2.29    0.00    0.00    0.00   91.60
23時29分39秒  all    2.54    0.00    3.30    0.00    1.02    1.78    0.00    0.00    0.00   91.37
23時29分40秒  all    3.79    0.00    3.28    0.00    1.01    2.02    0.00    0.00    0.00   89.90
23時29分41秒  all    2.81    0.00    3.32    0.00    0.77    2.05    0.00    0.00    0.00   91.05
23時29分42秒  all    3.03    0.00    3.54    0.00    0.76    2.02    0.00    0.00    0.00   90.66
23時29分43秒  all    2.28    0.00    2.28    0.00    1.02    1.78    0.00    0.00    0.00   92.64
23時29分44秒  all    2.57    0.00    3.34    0.00    0.51    1.80    0.00    0.00    0.00   91.77
23時29分45秒  all    2.53    0.00    3.28    0.00    1.01    2.02    0.00    0.00    0.00   91.16
23時29分46秒  all    2.81    0.00    2.56    0.00    0.77    1.79    0.00    0.00    0.00   92.07
23時29分47秒  all    3.05    0.00    3.55    0.00    1.27    2.03    0.00    0.00    0.00   90.10
23時29分48秒  all    2.53    0.00    3.29    0.00    0.51    2.03    0.00    0.00    0.00   91.65
23時29分49秒  all    2.54    0.00    3.05    0.00    0.76    1.78    0.00    0.00    0.00   91.86
23時29分50秒  all    3.06    0.00    3.32    0.00    0.77    2.04    0.00    0.00    0.00   90.82
23時29分51秒  all    3.28    0.00    3.54    0.00    1.01    2.27    0.00    0.00    0.00   89.90
23時29分52秒  all    2.81    0.00    2.81    0.00    0.77    1.79    0.00    0.00    0.00   91.84
23時29分53秒  all    2.53    0.00    3.28    0.00    1.01    2.02    0.00    0.00    0.00   91.16
23時29分54秒  all    3.02    0.00    3.52    0.00    0.75    1.76    0.00    0.00    0.00   90.95
23時29分55秒  all    2.54    0.00    3.05    0.00    0.76    1.53    0.00    0.00    0.00   92.11
23時29分56秒  all    3.30    0.00    3.30    0.00    0.76    1.78    0.00    0.00    0.00   90.86
23時29分57秒  all    2.30    0.00    2.81    0.00    1.02    2.30    0.00    0.00    0.00   91.58
23時29分58秒  all    2.78    0.00    3.54    0.00    0.76    1.77    0.00    0.00    0.00   91.14
23時29分59秒  all    3.02    0.00    3.02    0.00    0.76    1.76    0.00    0.00    0.00   91.44
23時30分00秒  all    3.53    0.00    3.78    0.00    1.01    2.02    0.00    0.00    0.00   89.67
23時30分01秒  all    4.33    0.00    3.56    0.00    0.51    1.78    0.00    0.00    0.00   89.82
23時30分02秒  all    3.78    0.00    3.27    0.00    1.26    2.27    0.00    0.00    0.00   89.42
23時30分03秒  all    2.81    0.00    4.08    0.00    0.77    2.04    0.00    0.00    0.00   90.31
23時30分04秒  all    3.77    0.00    4.02    0.00    0.75    2.51    0.00    0.00    0.00   88.94
23時30分05秒  all    2.28    0.00    3.30    0.00    1.27    2.03    0.00    0.00    0.00   91.12
23時30分06秒  all    3.06    0.00    4.08    0.00    0.26    1.79    0.00    0.00    0.00   90.82
23時30分07秒  all    2.80    0.00    3.56    0.00    1.27    2.04    0.00    0.00    0.00   90.33
23時30分08秒  all    3.03    0.00    3.54    0.00    0.76    2.02    0.00    0.00    0.00   90.66
23時30分09秒  all    2.52    0.00    3.02    0.00    0.76    1.76    0.00    0.00    0.00   91.94
23時30分10秒  all    2.28    0.00    3.80    0.00    0.76    2.03    0.00    0.00    0.00   91.14
23時30分11秒  all    3.31    0.00    4.07    0.00    1.02    1.78    0.00    0.00    0.00   89.82
23時30分12秒  all    3.31    0.00    2.54    0.00    0.76    2.29    0.00    0.00    0.00   91.09
23時30分13秒  all    2.51    0.00    4.02    0.00    1.01    2.26    0.00    0.00    0.00   90.20
23時30分14秒  all    2.78    0.00    2.78    0.00    1.01    2.02    0.00    0.00    0.00   91.41
23時30分15秒  all    2.79    0.00    3.30    0.00    0.51    1.52    0.00    0.00    0.00   91.88
23時30分16秒  all    2.79    0.00    3.30    0.00    0.76    1.78    0.00    0.00    0.00   91.37
23時30分17秒  all    3.05    0.00    3.30    0.00    1.02    1.78    0.00    0.00    0.00   90.86
23時30分18秒  all    3.01    0.00    3.76    0.00    0.25    2.01    0.00    0.00    0.00   90.98
23時30分19秒  all    2.78    0.00    2.53    0.00    1.26    1.77    0.00    0.00    0.00   91.67
23時30分20秒  all    9.64    0.00    5.84    0.00    0.51    2.03    0.00    0.00    0.00   81.98
23時30分21秒  all    2.31    0.00    2.82    0.00    1.03    1.79    0.00    0.00    0.00   92.05
23時30分22秒  all    2.75    0.00    4.25    0.00    1.00    2.00    0.00    0.00    0.00   90.00
23時30分23秒  all    3.03    0.00    3.28    0.00    0.25    1.77    0.00    0.00    0.00   91.67
23時30分24秒  all    2.26    0.00    3.51    0.00    1.25    1.75    0.00    0.00    0.00   91.23
23時30分25秒  all    2.30    0.00    2.30    0.00    0.51    1.79    0.00    0.00    0.00   93.09
23時30分26秒  all    2.03    0.00    3.05    0.00    0.76    2.03    0.00    0.00    0.00   92.13
23時30分27秒  all    3.02    0.00    3.78    0.00    0.76    1.76    0.00    0.00    0.00   90.68
23時30分28秒  all    2.78    0.00    2.78    0.00    1.01    1.52    0.00    0.00    0.00   91.92
23時30分29秒  all    2.53    0.00    2.78    0.00    0.76    1.77    0.00    0.00    0.00   92.15
23時30分30秒  all    2.77    0.00    3.78    0.00    0.76    1.76    0.00    0.00    0.00   90.93
23時30分31秒  all    2.81    0.00    3.06    0.00    0.77    1.79    0.00    0.00    0.00   91.58
23時30分32秒  all    3.05    0.00    2.79    0.00    0.76    2.03    0.00    0.00    0.00   91.37
23時30分33秒  all    2.56    0.00    2.56    0.00    0.51    1.79    0.00    0.00    0.00   92.58
23時30分34秒  all    3.02    0.00    3.27    0.00    1.01    2.02    0.00    0.00    0.00   90.68
23時30分35秒  all    3.02    0.00    3.27    0.00    0.76    1.76    0.00    0.00    0.00   91.18
23時30分36秒  all    4.08    0.00    3.32    0.00    0.77    2.04    0.00    0.00    0.00   89.80
23時30分37秒  all    3.02    0.00    3.27    0.00    1.26    2.01    0.00    0.00    0.00   90.45
23時30分38秒  all    3.54    0.00    3.54    0.00    0.51    2.03    0.00    0.00    0.00   90.38
23時30分39秒  all    2.29    0.00    2.80    0.00    0.76    1.27    0.00    0.00    0.00   92.88
23時30分40秒  all    3.29    0.00    3.04    0.00    1.01    2.28    0.00    0.00    0.00   90.38
23時30分41秒  all    2.56    0.00    3.32    0.00    0.51    1.79    0.00    0.00    0.00   91.82
23時30分42秒  all    3.03    0.00    3.28    0.00    0.76    2.02    0.00    0.00    0.00   90.91
23時30分43秒  all    2.04    0.00    3.31    0.00    1.27    1.78    0.00    0.00    0.00   91.60
23時30分44秒  all    2.78    0.00    3.29    0.00    0.51    2.03    0.00    0.00    0.00   91.39
23時30分45秒  all    2.53    0.00    3.04    0.00    0.76    1.77    0.00    0.00    0.00   91.90
23時30分46秒  all    2.76    0.00    3.77    0.00    1.26    2.01    0.00    0.00    0.00   90.20
23時30分47秒  all    3.30    0.00    3.30    0.00    0.51    1.52    0.00    0.00    0.00   91.37
23時30分48秒  all    2.54    0.00    3.05    0.00    1.02    2.03    0.00    0.00    0.00   91.37
23時30分49秒  all    2.29    0.00    2.80    0.00    0.25    2.04    0.00    0.00    0.00   92.62
23時30分50秒  all    3.49    0.00    3.24    0.00    1.00    1.75    0.00    0.00    0.00   90.52
23時30分51秒  all    2.30    0.00    3.06    0.00    0.77    1.79    0.00    0.00    0.00   92.09
23時30分52秒  all    2.52    0.00    3.27    0.00    1.01    1.51    0.00    0.00    0.00   91.69
23時30分53秒  all    3.05    0.00    2.54    0.00    0.51    2.04    0.00    0.00    0.00   91.86
23時30分54秒  all    2.27    0.00    2.78    0.00    1.01    1.77    0.00    0.00    0.00   92.17
23時30分55秒  all    2.54    0.00    3.55    0.00    0.76    1.78    0.00    0.00    0.00   91.37
23時30分56秒  all    2.78    0.00    3.79    0.00    1.01    2.02    0.00    0.00    0.00   90.40
23時30分57秒  all    3.28    0.00    3.28    0.00    0.76    1.77    0.00    0.00    0.00   90.91
23時30分58秒  all    2.04    0.00    3.06    0.00    0.26    1.53    0.00    0.00    0.00   93.11
23時30分59秒  all    2.75    0.00    3.25    0.00    1.25    1.75    0.00    0.00    0.00   91.00
23時31分00秒  all    2.78    0.00    3.04    0.00    0.51    2.03    0.00    0.00    0.00   91.65
23時31分01秒  all    2.78    0.00    3.80    0.00    0.76    2.28    0.00    0.00    0.00   90.38
23時31分02秒  all    5.32    0.00    3.80    0.00    0.76    1.77    0.00    0.00    0.00   88.35
23時31分03秒  all    2.28    0.00    3.29    0.00    1.01    1.77    0.00    0.00    0.00   91.65
23時31分04秒  all    2.53    0.00    2.78    0.00    0.76    1.77    0.00    0.00    0.00   92.15
23時31分05秒  all    2.54    0.00    3.30    0.00    0.76    2.03    0.00    0.00    0.00   91.37
23時31分06秒  all    3.02    0.00    3.27    0.00    1.01    2.01    0.00    0.00    0.00   90.70
23時31分07秒  all    2.54    0.00    3.55    0.00    0.76    1.78    0.00    0.00    0.00   91.37
23時31分08秒  all    2.53    0.00    3.54    0.00    0.76    1.52    0.00    0.00    0.00   91.67
23時31分09秒  all    2.28    0.00    3.54    0.00    0.76    1.77    0.00    0.00    0.00   91.65
23時31分10秒  all    3.02    0.00    4.02    0.00    0.75    2.01    0.00    0.00    0.00   90.20
23時31分11秒  all    2.54    0.00    3.31    0.00    0.76    2.04    0.00    0.00    0.00   91.35
23時31分12秒  all    3.02    0.00    3.27    0.00    1.01    2.02    0.00    0.00    0.00   90.68
23時31分13秒  all    2.78    0.00    3.54    0.00    0.76    1.77    0.00    0.00    0.00   91.16
23時31分14秒  all    2.29    0.00    2.80    0.00    0.76    1.53    0.00    0.00    0.00   92.62
23時31分15秒  all    2.52    0.00    3.78    0.00    1.01    1.76    0.00    0.00    0.00   90.93
23時31分16秒  all    2.53    0.00    3.03    0.00    0.25    1.77    0.00    0.00    0.00   92.42
