Linux 4.18.0-425.3.1.el8.x86_64 (l-dbm-labroom-1) 	西元2026年06月08日 	_x86_64_	(4 CPU)

20時41分04秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20時41分05秒  all    7.91    0.00    7.14    0.00    1.28    3.57    0.00    0.00    0.00   80.10
20時41分06秒  all    2.78    0.00    4.30    0.00    0.76    2.53    0.00    0.00    0.00   89.62
20時41分07秒  all    2.84    0.00    2.84    0.00    0.78    2.33    0.00    0.00    0.00   91.21
20時41分08秒  all    3.74    0.00    3.74    0.00    1.00    2.24    0.00    0.00    0.00   89.28
20時41分09秒  all    2.26    0.00    4.02    0.00    0.75    2.26    0.00    0.00    0.00   90.70
20時41分10秒  all    3.60    0.00    2.57    0.00    1.03    2.06    0.00    0.00    0.00   90.75
20時41分11秒  all    3.29    0.00    3.80    0.00    0.51    2.28    0.00    0.00    0.00   90.13
20時41分12秒  all    3.30    0.00    3.30    0.00    1.27    2.03    0.00    0.00    0.00   90.10
20時41分13秒  all    2.54    0.00    4.33    0.00    0.51    2.29    0.00    0.00    0.00   90.33
20時41分14秒  all    3.03    0.00    3.54    0.00    1.01    2.27    0.00    0.00    0.00   90.15
20時41分15秒  all    3.01    0.00    4.76    0.00    1.25    2.26    0.00    0.00    0.00   88.72
20時41分16秒  all    3.81    0.00    4.57    0.00    0.76    3.05    0.00    0.00    0.00   87.82
20時41分17秒  all    4.07    0.00    4.58    0.00    1.02    2.80    0.00    0.00    0.00   87.53
20時41分18秒  all    4.06    0.00    4.31    0.00    1.27    3.05    0.00    0.00    0.00   87.31
20時41分19秒  all    4.02    0.00    4.52    0.00    1.26    3.02    0.00    0.00    0.00   87.19
20時41分20秒  all    9.95    0.00    6.12    0.00    0.77    2.81    0.00    0.00    0.00   80.36
20時41分21秒  all    4.33    0.00    4.33    0.00    1.02    2.54    0.00    0.00    0.00   87.79
20時41分22秒  all    4.58    0.00    5.09    0.00    1.02    3.31    0.00    0.00    0.00   86.01
20時41分23秒  all    3.75    0.00    4.00    0.00    1.25    2.75    0.00    0.00    0.00   88.25
20時41分24秒  all    3.33    0.00    4.62    0.00    1.03    2.31    0.00    0.00    0.00   88.72
20時41分25秒  all    3.81    0.00    4.31    0.00    0.76    3.30    0.00    0.00    0.00   87.82
20時41分26秒  all    4.11    0.00    4.37    0.00    1.29    3.08    0.00    0.00    0.00   87.15
20時41分27秒  all    5.04    0.00    4.03    0.00    1.26    3.53    0.00    0.00    0.00   86.15
20時41分28秒  all    4.11    0.00    4.11    0.00    1.03    2.57    0.00    0.00    0.00   88.17
20時41分29秒  all    3.30    0.00    3.30    0.00    1.27    2.79    0.00    0.00    0.00   89.34
20時41分30秒  all    3.83    0.00    5.10    0.00    0.77    3.32    0.00    0.00    0.00   86.99
20時41分31秒  all    4.59    0.00    4.85    0.00    1.28    3.06    0.00    0.00    0.00   86.22
20時41分32秒  all    4.36    0.00    4.36    0.00    1.28    3.59    0.00    0.00    0.00   86.41
20時41分33秒  all    3.79    0.00    4.80    0.00    1.01    2.02    0.00    0.00    0.00   88.38
