procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0   2560 853080   5796 6649004    0    0     0     1    0    0  0  0 100  0  0
 3  0   2560 830168   5796 6649088    0    0     0     0 30584 30454  7  8 85  0  0
 1  0   2560 828804   5796 6649088    0    0     0     0 29097 31913  2  5 92  0  0
 1  0   2560 827712   5796 6649088    0    0     0     0 25398 27695  2  5 94  0  0
 1  0   2560 827224   5796 6649088    0    0     0    92 29186 31168  2  6 92  0  0
 0  0   2560 826516   5796 6649092    0    0     0     0 28194 30771  3  5 92  0  0
 0  0   2560 826500   5796 6649096    0    0     0     0 27146 29655  2  5 93  0  0
 2  0   2560 825760   5796 6649100    0    0     0     0 30033 32938  3  6 92  0  0
 0  0   2560 825996   5796 6649100    0    0     0     0 28356 31596  2  5 93  0  0
 0  0   2560 825780   5796 6649104    0    0     0    80 28006 30987  2  5 93  0  0
 0  0   2560 825940   5796 6649108    0    0     0     0 28690 31577  2  5 93  0  0
 0  0   2560 826172   5796 6649120    0    0     0     0 26928 29279  3  5 93  0  0
 0  0   2560 826480   5796 6649124    0    0     0     0 28829 31164  2  5 92  0  0
 0  0   2560 826164   5796 6649128    0    0     0     0 27242 29604  2  5 93  0  0
 0  0   2560 825836   5796 6649140    0    0     0     0 25837 28189  2  4 94  0  0
 1  0   2560 826216   5796 6649140    0    0     0   108 27862 29927  3  5 92  0  0
 0  0   2560 825928   5796 6649140    0    0     0     0 27298 30196  2  5 93  0  0
 0  0   2560 826040   5796 6649144    0    0     0     0 28157 31084  3  5 92  0  0
 0  0   2560 825716   5796 6649152    0    0     0     0 25182 27840  2  5 94  0  0
 0  0   2560 825784   5796 6649152    0    0     0     0 28689 30546  2  5 93  0  0
 0  0   2560 825852   5796 6649156    0    0     0     0 27099 29359  2  5 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 825512   5796 6649168    0    0     0    88 28934 31617  2  5 93  0  0
 2  0   2560 826364   5796 6649168    0    0     0     0 27749 30394  3  6 92  0  0
 0  0   2560 825736   5796 6649176    0    0     0   166 27127 29685  2  4 94  0  0
 2  0   2560 825996   5796 6649180    0    0     0     0 28076 30903  2  6 92  0  0
 0  0   2560 825476   5796 6649180    0    0     0     0 28639 31466  2  5 93  0  0
 0  0   2560 825352   5796 6649180    0    0     0    88 29609 32532  3  6 92  0  0
 1  0   2560 802336   5796 6649188    0    0     0     4 27017 30188  4  5 91  0  0
 0  0   2560 802292   5796 6649196    0    0     0     0 29182 32023  2  5 93  0  0
 0  0   2560 801752   5796 6649200    0    0     0     0 27548 30661  2  5 93  0  0
 1  0   2560 801552   5796 6649200    0    0     0     0 28399 30949  2  5 93  0  0
 0  0   2560 802084   5796 6649204    0    0     0     0 29637 32370  2  6 93  0  0
 0  0   2560 801976   5796 6649220    0    0     0   124 29382 32293  3  6 92  0  0
 0  0   2560 802012   5796 6649220    0    0     0     0 29351 32470  2  5 93  0  0
 0  0   2560 802452   5796 6649224    0    0     0     0 27196 30244  2  4 94  0  0
 0  0   2560 802204   5796 6649228    0    0     0     0 29997 33024  3  5 92  0  0
 0  0   2560 802560   5796 6649232    0    0     0     0 27713 30658  3  5 92  0  0
 0  0   2560 801824   5796 6649232    0    0     0    76 27420 29589  2  6 92  0  0
 0  0   2560 801812   5796 6649232    0    0     0     0 28526 31347  2  5 93  0  0
 0  0   2560 801488   5796 6649240    0    0     0     0 29138 32140  2  5 93  0  0
 1  0   2560 802380   5796 6649264    0    0     0     0 29382 32381  2  5 93  0  0
 1  0   2560 802024   5796 6649268    0    0     0     0 26312 28767  2  5 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 801844   5796 6649280    0    0     0     0 30065 32778  3  6 92  0  0
 1  0   2560 801808   5796 6649304    0    0     0   128 28089 31247  3  6 92  0  0
 1  0   2560 801688   5796 6649308    0    0     0     0 28818 31957  2  5 93  0  0
 2  0   2560 801920   5796 6649312    0    0     0     0 29142 32428  2  6 92  0  0
 4  0   2560 825036   5796 6649312    0    0     0   272 26470 29226  8  8 84  0  0
 0  0   2560 824248   5796 6649316    0    0     0     0 30943 33776  3  5 92  0  0
 0  0   2560 823868   5796 6649320    0    0     0     0 30042 33320  2  5 93  0  0
 1  0   2560 823824   5796 6649320    0    0     0     0 28212 31291  2  4 94  0  0
 0  0   2560 824364   5796 6649324    0    0     0     0 29204 32430  2  5 93  0  0
 0  0   2560 824412   5796 6649332    0    0     0     0 28761 31876  2  5 92  0  0
 0  0   2560 824536   5796 6649336    0    0     0     0 28174 30991  2  6 92  0  0
 1  0   2560 824544   5796 6649352    0    0     0   290 27548 30287  3  5 92  0  0
 2  0   2560 824680   5796 6649352    0    0     0     0 26451 28532  2  5 93  0  0
 0  0   2560 824556   5796 6649356    0    0     0     0 27942 30348  2  5 93  0  0
 1  0   2560 824212   5796 6649364    0    0     0     0 26795 29242  2  6 92  0  0
 0  0   2560 824372   5796 6649364    0    0     0     0 28820 31104  3  5 92  0  0
 0  0   2560 824124   5796 6649372    0    0     0     0 28911 31315  2  5 93  0  0
 0  0   2560 824368   5796 6649372    0    0     0     0 28092 30716  2  5 93  0  0
 0  0   2560 824520   5796 6649372    0    0     0     0 25986 28261  2  5 93  0  0
 0  0   2560 824184   5796 6649380    0    0     0     0 26553 28478  3  5 92  0  0
 0  0   2560 824272   5796 6649384    0    0     0     0 27391 29232  3  5 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0   2560 824348   5796 6649384    0    0     0     0 28182 30844  2  5 93  0  0
 0  0   2560 823836   5796 6649396    0    0     0     0 26631 29493  2  5 93  0  0
 0  0   2560 824192   5796 6649404    0    0     0     0 29368 32187  2  5 92  0  0
 0  0   2560 823856   5796 6649408    0    0     0     0 27841 30472  3  5 93  0  0
 0  0   2560 824256   5796 6649412    0    0     0     0 28998 32008  2  5 93  0  0
