procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
31  2      0 211264     12 2360720    0    0   208  1257  125    9  6  3 90  1  0
13  0      0 182692     12 2377884    0    0 10216  9008 56817 58134 59 29  9  3  0
18  0      0 155884     12 2395048    0    0 11196 10507 40008 62740 58 27 12  4  0
20  1      0 160888     12 2379544    0    0  8720 13040 37232 59647 62 25  9  4  0
22  1      0 159132     12 2380876    0    0  9652 11183 38315 60422 60 26 10  3  0
16  1      0 170952     12 2367840    0    0  9844 11376 43294 66589 62 26  9  3  0
19  0      0 155452     12 2384088    0    0  8916 10558 41667 68431 61 26 10  3  0
22  0      0 154416     12 2381828    0    0 20348  9536 39943 61926 60 25 13  2  0
24  0      0 150084     12 2381764    0    0  7676 12127 40440 74024 60 26 10  4  0
19  1      0 159928     12 2365676    0    0  6732  9508 40320 63432 59 27 12  3  0
13  0      0 161372     12 2257292    0    0  9748 10284 39392 65632 61 28  9  3  0
16  0      0 153876     12 2054272    0    0  9644 14071 38468 69664 58 29  9  4  0
 8  0      0 161276     12 1964592    0    0  5848  9723 38284 65213 60 26 11  4  0
19  1      0 169524     12 1955504    0    0  8424  9248 39534 58108 61 28 10  2  0
19  2      0 156136     12 1967916    0    0  5968 10299 39483 65716 60 27 11  2  0
25  0      0 154744     12 1969740    0    0  7352 11992 41484 68023 61 26 10  3  0
14  0      0 154380     12 1964328    0    0  5004  9774 38800 67347 61 25 11  3  0
22  0      0 153904     12 1959720    0    0  6196 10312 40717 65050 58 27 13  3  0
18  0      0 157848     12 1949932    0    0  6132  9971 40472 66099 60 26 13  2  0
15  1      0 153684     12 1947164    0    0 10788  9988 41866 73184 61 27  9  3  0
13  0      0 151700     12 1944660    0    0  5828 12282 40231 68687 60 26 12  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
20  0      0 153100     12 1941988    0    0  8388  9752 39215 65860 60 27 12  2  0
19  1      0 151884     12 1943564    0    0  9048 10758 39915 71535 62 27  9  2  0
18  1      0 154032     12 1938724    0    0 13576 11254 41216 72496 58 27 11  4  0
17  0      0 150420     12 1940096    0    0  7088 10074 39927 67276 61 26 10  3  0
16  2      0 169716     12 1929252    0    0  6352  9584 37574 61942 59 25 13  3  0
23  1      0 216904     12 1943428    0    0  6880 10903 42790 68259 62 27  9  2  0
19  0      0 202796     12 1955280    0    0  5144 11156 38096 62701 60 26 10  4  0
 7  1      0 184272     12 1967436    0    0  5776 11530 38176 67142 60 27 10  3  0
17  0      0 166124     12 1979676    0    0  5392 12211 41657 75253 60 26 10  4  0
15  0      0 151304     12 1996212    0    0  9912 11742 40274 68590 64 25  9  2  0
17  0      0 152996     12 1990940    0    0  5732 10636 42442 75238 59 28 10  4  0
14  0      0 171484     12 1972484    0    0  5144 11427 41191 68184 59 28 10  3  0
14  0      0 155512     12 1985716    0    0  6212 10784 42102 73618 56 27 13  4  0
13  2      0 149904     12 1988712    0    0  7376 11334 42756 66145 61 27 10  3  0
