Linux 4.18.0-553.124.1.el8_10.x86_64 (l-test-poc-1) 	西元2026年06月08日 	_x86_64_	(4 CPU)

19時24分14秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
19時24分15秒        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19時24分15秒     ens33  31770.00  27151.00  10602.08  11313.76      0.00      0.00      0.00      0.93
19時24分15秒      cni0  18100.00  19978.00   9095.05   8452.98      0.00      0.00      0.00      0.00
19時24分15秒 vethbdca3de6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19時24分15秒 veth854270a4     12.00     13.00      3.40      1.51      0.00      0.00      0.00      0.00
19時24分15秒 veth0c9b2fa5     11.00     11.00      1.81      1.25      0.00      0.00      0.00      0.00
19時24分15秒 vethba68c3a0   6024.00   6410.00    719.57    716.76      0.00      0.00      0.00      0.06
19時24分15秒 veth0a72e473   6171.00   7960.00   5878.94   6676.56      0.00      0.00      0.00      0.55
19時24分15秒 veth575532b7  13158.00  12863.00   5280.70   3599.34      0.00      0.00      0.00      0.43

19時24分15秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
19時24分16秒        lo     10.00     10.00      1.48      1.48      0.00      0.00      0.00      0.00
19時24分16秒     ens33  34028.00  28852.00  11985.38  12675.94      0.00      0.00      0.00      1.04
19時24分16秒      cni0  19442.00  21224.00  10309.16   9670.62      0.00      0.00      0.00      0.00
19時24分16秒 vethbdca3de6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19時24分16秒 veth854270a4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19時24分16秒 veth0c9b2fa5     12.00     12.00      2.69      1.63      0.00      0.00      0.00      0.00
19時24分16秒 vethba68c3a0   5978.00   6389.00    703.24    713.99      0.00      0.00      0.00      0.06
19時24分16秒 veth0a72e473   6718.00   8458.00   6407.17   7380.43      0.00      0.00      0.00      0.60
19時24分16秒 veth575532b7  14863.00  14491.00   6095.83   4208.00      0.00      0.00      0.00      0.50

19時24分16秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
19時24分17秒        lo      2.00      2.00      0.25      0.25      0.00      0.00      0.00      0.00
19時24分17秒     ens33  31858.00  27319.00  11425.62  11813.97      0.00      0.00      0.00      0.97
19時24分17秒      cni0  18775.00  19869.00   9593.18   9239.94      0.00      0.00      0.00      0.00
19時24分17秒 vethbdca3de6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19時24分17秒 veth854270a4     11.00     13.00      3.36      1.38      0.00      0.00      0.00      0.00
19時24分17秒 veth0c9b2fa5     23.00     23.00      4.50      2.88      0.00      0.00      0.00      0.00
19時24分17秒 vethba68c3a0   5158.00   5472.00    618.58    621.69      0.00      0.00      0.00      0.05
19時24分17秒 veth0a72e473   7552.00   8565.00   5979.99   7188.76      0.00      0.00      0.00      0.59
19時24分17秒 veth575532b7  14336.00  14101.00   6042.99   4224.77      0.00      0.00      0.00      0.50

19時24分17秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
19時24分18秒        lo     26.00     26.00      4.64      4.64      0.00      0.00      0.00      0.00
19時24分18秒     ens33  34183.00  29849.00  12111.64  13069.37      0.00      0.00      0.00      1.07
19時24分18秒      cni0  20660.00  21466.00  10721.00   9821.43      0.00      0.00      0.00      0.00
19時24分18秒 vethbdca3de6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19時24分18秒 veth854270a4      1.00      1.00      0.06      0.22      0.00      0.00      0.00      0.00
19時24分18秒 veth0c9b2fa5      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19時24分18秒 vethba68c3a0   5639.00   5964.00    672.90    676.28      0.00      0.00      0.00      0.06
19時24分18秒 veth0a72e473   7946.00   8807.00   6762.78   7706.29      0.00      0.00      0.00      0.63
19時24分18秒 veth575532b7  16068.00  15688.00   6565.53   4436.45      0.00      0.00      0.00      0.54

