Linux 4.18.0-553.124.1.el8_10.x86_64 (l-test-poc-2) 	西元2026年06月08日 	_x86_64_	(4 CPU)

20時06分25秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20時06分26秒  all   37.84    0.00   11.03    6.52    1.75    6.77    0.00    0.00    0.00   36.09
20時06分27秒  all   31.89    0.00    9.95    7.14    1.28    5.87    0.00    0.00    0.00   43.88
20時06分28秒  all   37.31    0.00    9.90    6.35    2.03    6.09    0.00    0.00    0.00   38.32
20時06分29秒  all   28.97    0.00    8.72    8.97    1.54    5.13    0.00    0.00    0.00   46.67
20時06分30秒  all   31.44    0.00    9.28    8.76    1.55    5.93    0.00    0.00    0.00   43.04
20時06分31秒  all   29.77    0.00    9.41    8.91    1.78    5.09    0.00    0.00    0.00   45.04
20時06分32秒  all   34.44    0.00    9.95    7.65    1.53    6.12    0.00    0.00    0.00   40.31
20時06分33秒  all   44.73    0.00   12.08    6.43    1.54    6.17    0.00    0.00    0.00   29.05
20時06分34秒  all   37.66    0.00   12.47    7.38    1.78    6.36    0.00    0.00    0.00   34.35
20時06分35秒  all   33.84    0.00   11.45    6.87    1.53    5.60    0.00    0.00    0.00   40.71
20時06分36秒  all   32.99    0.00   11.17    6.60    1.52    5.84    0.00    0.00    0.00   41.88
20時06分37秒  all   33.59    0.00   12.12    6.57    1.77    5.30    0.00    0.00    0.00   40.66
20時06分38秒  all   38.62    0.00    9.21    6.91    1.28    5.63    0.00    0.00    0.00   38.36
20時06分39秒  all   34.53    0.00    9.46    8.18    1.79    5.63    0.00    0.00    0.00   40.41
20時06分40秒  all   34.86    0.00    8.65    7.89    1.53    5.60    0.00    0.00    0.00   41.48
20時06分41秒  all   39.59    0.00   10.15    7.11    1.52    6.85    0.00    0.00    0.00   34.77
20時06分42秒  all   36.86    0.00   10.82    6.70    1.55    6.44    0.00    0.00    0.00   37.63
20時06分43秒  all   43.01    0.00    9.07    6.22    1.55    6.22    0.00    0.00    0.00   33.94
20時06分44秒  all   33.85    0.00    9.23    7.69    1.79    5.64    0.00    0.00    0.00   41.79
20時06分45秒  all   33.33    0.00    9.41    6.62    1.53    5.60    0.00    0.00    0.00   43.51
20時06分46秒  all   35.19    0.00   10.38    6.58    1.52    5.82    0.00    0.00    0.00   40.51
20時06分47秒  all   38.58    0.00   10.41    7.61    1.78    6.60    0.00    0.00    0.00   35.03
20時06分48秒  all   35.70    0.00    9.37    7.34    1.52    5.82    0.00    0.00    0.00   40.25
20時06分49秒  all   36.18    0.00   10.05    6.28    1.51    5.78    0.00    0.00    0.00   40.20
20時06分50秒  all   38.62    0.00   10.23    6.65    1.28    6.14    0.00    0.00    0.00   37.08
20時06分51秒  all   39.85    0.00   11.03    7.52    2.01    6.52    0.00    0.00    0.00   33.08
20時06分52秒  all   36.92    0.00    9.74    7.18    1.28    5.90    0.00    0.00    0.00   38.97
20時06分53秒  all   36.09    0.00    9.77    8.02    2.01    6.02    0.00    0.00    0.00   38.10
20時06分54秒  all   37.02    0.00   10.54    7.46    1.54    6.17    0.00    0.00    0.00   37.28
20時06分55秒  all   41.56    0.00    9.57    6.80    1.51    6.05    0.00    0.00    0.00   34.51
20時06分56秒  all   39.18    0.00   11.08    6.70    1.55    6.44    0.00    0.00    0.00   35.05
20時06分57秒  all   36.96    0.00    9.37    7.09    1.52    6.08    0.00    0.00    0.00   38.99
20時06分58秒  all   37.47    0.00    9.62    6.84    1.27    5.32    0.00    0.00    0.00   39.49
20時06分59秒  all   36.25    0.00    9.51    6.94    1.54    6.43    0.00    0.00    0.00   39.33
20時07分00秒  all   42.11    0.00    8.77    6.52    2.01    5.76    0.00    0.00    0.00   34.84
