procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0   2560 833876   5796 6664872    0    0     0     1    0    0  0  0 100  0  0
 0  0   2560 813096   5796 6664960    0    0     0     0 42192 36298  8 10 82  0  0
 1  0   2560 810048   5796 6664960    0    0     0     0 33033 34391  3  6 91  0  0
 0  0   2560 805920   5796 6664960    0    0     0     0 40709 43385  3  7 90  0  0
 1  0   2560 804304   5796 6664960    0    0     0    32 34090 36409  3  6 91  0  0
 0  0   2560 803816   5796 6664964    0    0     0     0 32903 35051  3  5 92  0  0
 0  0   2560 803208   5796 6664968    0    0     0     0 34167 36098  3  6 91  0  0
 0  0   2560 803584   5796 6664972    0    0     0     0 35609 38052  3  7 91  0  0
 0  0   2560 803884   5796 6664972    0    0     0     0 36245 38365  3  6 91  0  0
 1  0   2560 803460   5796 6664976    0    0     0     0 37050 39536  3  6 91  0  0
 0  0   2560 803528   5796 6664980    0    0     0     0 37246 39603  4  7 89  0  0
 0  0   2560 803388   5796 6664992    0    0     0     0 38810 40897  4  8 88  0  0
 0  0   2560 780180   5796 6664996    0    0     0     4 33095 34926  5  7 88  0  0
 1  0   2560 778472   5796 6665000    0    0     0     0 36040 38476  3  7 90  0  0
 0  0   2560 777836   5796 6665012    0    0     0     4 40487 42777  3  7 90  0  0
 0  0   2560 777296   5796 6665012    0    0     0     0 35624 37600  3  6 91  0  0
 0  0   2560 777336   5796 6665012    0    0     0     0 38837 40852  3  8 89  0  0
 0  0   2560 777312   5796 6665016    0    0     0     0 39698 41820  3  7 89  0  0
 0  0   2560 778000   5796 6665024    0    0     0     0 40163 42449  3  7 90  0  0
 0  0   2560 777764   5796 6665024    0    0     0     0 35571 37601  3  6 91  0  0
 0  0   2560 777692   5796 6665028    0    0     0     0 33522 35386  3  6 91  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0   2560 777116   5796 6665044    0    0     0     0 37831 40141  3  8 89  0  0
 1  0   2560 777268   5796 6665044    0    0     0     0 39623 41902  4  8 89  0  0
 0  0   2560 776788   5796 6665052    0    0     0     0 39342 41528  4  6 90  0  0
 0  0   2560 776956   5796 6665056    0    0     0   192 38110 40126  3  7 90  0  0
 1  0   2560 776824   5796 6665056    0    0     0     0 40256 42613  3  7 90  0  0
 1  0   2560 777204   5796 6665056    0    0     0     0 41897 44192  4  8 88  0  0
 0  0   2560 777364   5796 6665064    0    0     0     0 40983 43075  4  8 88  0  0
 3  0   2560 777408   5796 6665068    0    0     0     0 39885 42281  3  7 90  0  0
 0  0   2560 777168   5796 6665076    0    0     0     0 37003 38822  3  7 90  0  0
 1  0   2560 799188   5796 6665076    0    0     0   356 35383 37676  9  9 82  0  0
 1  0   2560 799908   5796 6665080    0    0     0     0 40234 42282  4  7 89  0  0
 0  0   2560 799716   5796 6665096    0    0     0     0 41438 43607  4  8 89  0  0
 1  0   2560 799752   5796 6665096    0    0     0     0 37848 39828  3  7 90  0  0
 0  0   2560 798956   5796 6665100    0    0     0   114 39606 41711  4  7 90  0  0
 1  0   2560 799568   5796 6665104    0    0     0     0 39650 41518  4  7 89  0  0
 0  0   2560 799648   5796 6665108    0    0     0     0 36448 38240  3  7 90  0  0
 0  0   2560 799436   5796 6665108    0    0     0     0 34476 36087  4  7 89  0  0
 0  0   2560 799724   5796 6665108    0    0     0     0 36346 38337  3  6 91  0  0
 0  0   2560 799764   5796 6665116    0    0     0     0 36208 38173  3  6 91  0  0
 0  0   2560 799704   5796 6665140    0    0     0     0 33781 35643  3  7 91  0  0
 1  0   2560 799504   5796 6665140    0    0     0     0 40152 42541  3  7 89  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 799164   5796 6665152    0    0     0     0 39406 41640  4  7 89  0  0
 0  0   2560 799232   5796 6665164    0    0     0     0 37382 39782  4  7 90  0  0
 3  0   2560 799372   5796 6665176    0    0     0     0 37733 39812  3  7 90  0  0
 0  0   2560 799668   5796 6665184    0    0     0   220 37519 39468  3  6 90  0  0
 0  0   2560 799816   5796 6665184    0    0     0     0 38343 40286  3  7 90  0  0
 0  0   2560 799536   5796 6665188    0    0     0     0 37987 40079  3  7 90  0  0
 2  0   2560 799332   5796 6665192    0    0     0     0 37729 39854  4  8 89  0  0
 1  0   2560 799744   5796 6665192    0    0     0     0 36019 38054  3  6 91  0  0
 0  0   2560 799816   5796 6665196    0    0     0     0 38702 40898  3  7 89  0  0
 4  0   2560 799784   5796 6665204    0    0     0     0 35682 37711  3  7 90  0  0
 1  0   2560 799096   5796 6665212    0    0     0     0 35556 37634  4  6 90  0  0
 1  0   2560 799012   5796 6665224    0    0     0     0 38980 41241  3  7 90  0  0
 2  0   2560 798824   5796 6665224    0    0     0     0 35976 38081  3  6 90  0  0
 1  0   2560 798460   5796 6665228    0    0     0     0 37807 39905  3  7 90  0  0
 1  0   2560 798880   5796 6665236    0    0     0     0 41085 43458  3  8 89  0  0
 0  0   2560 799216   5796 6665236    0    0     0     0 41665 43492  3  8 88  0  0
 0  0   2560 799544   5796 6665240    0    0     0     0 38805 40767  3  7 90  0  0
 0  0   2560 799908   5796 6665240    0    0     0     0 39756 41939  3  7 90  0  0
 3  0   2560 798780   5796 6665244    0    0     0     0 43132 45125  4  8 88  0  0
 0  0   2560 799796   5796 6665252    0    0     0     0 34116 35719  4  7 89  0  0
 1  0   2560 799060   5796 6665256    0    0     0     0 40702 42623  4  8 88  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 799092   5796 6665256    0    0     0     0 41365 43161  3  8 89  0  0
 0  0   2560 799072   5796 6665268    0    0     0   191 41227 43441  4  7 90  0  0
 0  0   2560 799232   5796 6665276    0    0     0     0 41492 43574  3  7 90  0  0
 0  0   2560 798916   5796 6665280    0    0     0     0 39745 41753  4  7 89  0  0
 0  0   2560 798544   5796 6665284    0    0     0     0 40086 41900  3  8 89  0  0
 0  0   2560 799488   5796 6665284    0    0     0     0 42573 44185  4  8 88  0  0
 0  0   2560 799632   5796 6665288    0    0     0     0 37685 39682  3  6 91  0  0
 0  0   2560 799548   5796 6665292    0    0     0     0 41567 43874  4  8 89  0  0
 0  0   2560 776708   5796 6665292    0    0     0     4 41217 43441  6  9 85  0  0
 0  0   2560 776512   5796 6665296    0    0     0     0 42192 44352  4  8 88  0  0
 0  0   2560 776588   5796 6665300    0    0     0     0 37249 39173  3  7 90  0  0
 1  0   2560 776304   5796 6665316    0    0     0     0 35192 36803  3  7 90  0  0
 0  0   2560 775324   5796 6665320    0    0     0     0 38470 40403  4  8 89  0  0
 3  0   2560 775976   5796 6665320    0    0     0   196 41438 43445  4  8 89  0  0
 0  0   2560 776468   5796 6665328    0    0     0     0 43172 45216  4  9 87  0  0
 1  0   2560 776336   5796 6665336    0    0     0     0 41042 42652  4  8 88  0  0
 0  0   2560 776356   5796 6665336    0    0     0     0 38848 40878  3  6 91  0  0
 0  0   2560 776392   5796 6665340    0    0     0     0 41327 43003  4  8 88  0  0
 0  0   2560 776808   5796 6665356    0    0     0    16 39994 41691  4  7 89  0  0
 0  0   2560 776376   5796 6665360    0    0     0     0 39802 41834  3  8 89  0  0
 0  0   2560 776540   5796 6665364    0    0     0     0 39277 41341  3  7 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 776912   5796 6665364    0    0     0     0 40036 42480  3  7 90  0  0
 0  0   2560 776968   5796 6665380    0    0     0     0 40195 42433  4  7 89  0  0
 0  0   2560 777148   5796 6665384    0    0     0     0 39690 41800  4  8 89  0  0
 0  0   2560 776704   5796 6665384    0    0     0     0 39210 40417  4  7 89  0  0
 1  0   2560 776856   5796 6665400    0    0     0     0 39101 40992  4  8 89  0  0
 0  0   2560 774948   5796 6665408    0    0     0     0 39235 41125  4  7 90  0  0
 0  0   2560 797916   5796 6665424    0    0     0   272 35293 37514  9  9 82  0  0
 0  0   2560 798128   5796 6665428    0    0     0     0 38731 40211  4  8 88  0  0
 0  0   2560 798132   5796 6665428    0    0     0    12 44236 46100  4  8 87  0  0
 0  0   2560 798780   5796 6665448    0    0     0    32 37976 40604  5  8 87  0  0
 1  0   2560 799160   5796 6665460    0    0     0     0 38507 40471  3  6 91  0  0
 0  0   2560 798976   5796 6665472    0    0     0   227 41241 43125  4  8 89  0  0
 0  0   2560 799112   5796 6665476    0    0     0     0 38145 39498  4  8 89  0  0
 1  0   2560 799088   5796 6665476    0    0     0     0 36075 37609  4  7 89  0  0
 1  0   2560 799196   5796 6665476    0    0     0     0 33751 35229  3  7 90  0  0
 0  0   2560 799104   5796 6665484    0    0     0     0 34825 36893  3  7 90  0  0
 1  0   2560 798600   5796 6665488    0    0     0     0 39682 41823  3  8 89  0  0
 1  0   2560 798380   5796 6665492    0    0     0     0 41000 42869  4  8 88  0  0
 0  0   2560 798988   5796 6665492    0    0     0     8 40907 42535  4  8 89  0  0
 2  0   2560 799264   5796 6665500    0    0     0     0 38717 40656  4  7 89  0  0
 0  0   2560 798936   5796 6665508    0    0     0     0 39268 41587  3  7 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 799160   5796 6665512    0    0     0     0 34866 36681  3  7 90  0  0
 2  0   2560 799040   5796 6665524    0    0     0     0 39143 41205  4  7 89  0  0
 1  0   2560 798652   5796 6665528    0    0     0   176 42049 44191  4  9 87  0  0
 0  0   2560 798588   5796 6665532    0    0     0     0 41724 43890  4  8 88  0  0
 5  0   2560 799112   5796 6665532    0    0     0     0 37786 39717  3  6 91  0  0
 0  0   2560 798892   5796 6665536    0    0     0     0 38322 40370  4  8 88  0  0
 0  0   2560 799032   5796 6665544    0    0     0     0 39747 41907  3  7 90  0  0
 0  0   2560 799276   5796 6665544    0    0     0    76 40664 42712  4  8 89  0  0
 0  0   2560 799504   5796 6665544    0    0     0     0 36356 38438  3  7 91  0  0
 0  0   2560 799000   5796 6665544    0    0     0     0 36608 38589  3  6 91  0  0
 0  0   2560 798864   5796 6665552    0    0     0     0 37687 39622  3  7 90  0  0
 1  0   2560 798732   5796 6665568    0    0     0     0 41629 43261  4  8 89  0  0
 0  0   2560 798788   5796 6665572    0    0     0     0 40201 42044  4  7 89  0  0
 0  0   2560 798552   5796 6665572    0    0     0     0 38108 39937  3  7 90  0  0
 0  0   2560 798620   5796 6665580    0    0     0     0 40572 42724  3  7 90  0  0
 0  0   2560 798500   5796 6665584    0    0     0     0 43356 45651  4  9 87  0  0
 1  0   2560 798916   5796 6665604    0    0     0     0 33531 34904  4  7 90  0  0
 0  0   2560 799584   5796 6665604    0    0     0    52 38627 40249  4  7 90  0  0
 0  0   2560 799272   5796 6665608    0    0     0     0 40354 42579  3  7 90  0  0
 0  0   2560 798772   5796 6665612    0    0     0     0 37815 39876  3  6 91  0  0
 0  0   2560 799116   5796 6665612    0    0     0    88 40476 42687  4  7 89  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0   2560 798648   5796 6665612    0    0     0     0 36032 37893  3  7 90  0  0
 1  0   2560 798596   5796 6665632    0    0     0    32 40022 42082  4  7 89  0  0
 2  0   2560 799020   5796 6665636    0    0     0     0 40387 42439  4  8 89  0  0
 1  0   2560 798744   5796 6665640    0    0     0     0 39237 41356  3  7 90  0  0
 0  0   2560 798888   5796 6665644    0    0     0     0 39335 40953  3  8 89  0  0
 1  0   2560 799324   5796 6665648    0    0     0     0 37925 39691  4  7 90  0  0
 0  0   2560 776096   5796 6665656    0    0     0     4 41589 43534  7  8 85  0  0
 0  0   2560 775728   5796 6665676    0    0     0     0 41571 43762  4  7 89  0  0
 0  0   2560 776184   5796 6665680    0    0     0     0 42293 44250  3  6 91  0  0
 0  0   2560 775916   5796 6665680    0    0     0     0 38851 40367  3  6 91  0  0
 1  0   2560 775948   5796 6665680    0    0     0     0 39006 40367  3  7 91  0  0
 0  0   2560 776292   5796 6665696    0    0     0     0 34148 35811  3  6 91  0  0
 0  0   2560 775796   5796 6665704    0    0     0    40 39026 40856  4  8 89  0  0
 0  0   2560 776172   5796 6665704    0    0     0     0 27831 28999  2  6 92  0  0
 0  0   2560 775812   5796 6665704    0    0     0     0 36726 37353  4  7 89  0  0
 1  0   2560 775084   5796 6665716    0    0     0     0 40540 42451  4  8 88  0  0
 0  0   2560 775276   5796 6665720    0    0     0     0 42255 44135  3  8 89  0  0
 0  0   2560 775872   5796 6665724    0    0     0   196 39990 41749  3  7 90  0  0
 2  0   2560 775424   5796 6665724    0    0     0     0 35016 36634  3  6 92  0  0
 0  0   2560 775804   5796 6665728    0    0     0     0 37144 38675  3  7 90  0  0
 1  0   2560 775300   5796 6665732    0    0     0     0 38090 39782  3  7 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
