2026/06/08 17:53:24 maxprocs: Leaving GOMAXPROCS=4: CPU quota undefined
[Current] DELIVERY - Takes(s): 9.7, Count: 250, TPM: 1551.3, Sum(ms): 60881.7, Avg(ms): 243.7, 50th(ms): 192.9, 90th(ms): 352.3, 95th(ms): 704.6, 99th(ms): 906.0, 99.9th(ms): 1040.2, Max(ms): 1040.2
[Current] NEW_ORDER - Takes(s): 9.8, Count: 2927, TPM: 17889.0, Sum(ms): 286021.1, Avg(ms): 97.8, 50th(ms): 96.5, 90th(ms): 130.0, 95th(ms): 151.0, 99th(ms): 184.5, 99.9th(ms): 251.7, Max(ms): 469.8
[Current] ORDER_STATUS - Takes(s): 9.9, Count: 246, TPM: 1493.9, Sum(ms): 9888.3, Avg(ms): 40.3, 50th(ms): 31.5, 90th(ms): 54.5, 95th(ms): 75.5, 99th(ms): 352.3, 99.9th(ms): 453.0, Max(ms): 453.0
[Current] PAYMENT - Takes(s): 9.9, Count: 2838, TPM: 17254.7, Sum(ms): 179070.7, Avg(ms): 63.1, 50th(ms): 52.4, 90th(ms): 88.1, 95th(ms): 109.1, 99th(ms): 318.8, 99.9th(ms): 671.1, Max(ms): 1040.2
[Current] STOCK_LEVEL - Takes(s): 9.6, Count: 241, TPM: 1513.2, Sum(ms): 85834.4, Avg(ms): 356.6, 50th(ms): 285.2, 90th(ms): 805.3, 95th(ms): 973.1, 99th(ms): 1476.4, 99.9th(ms): 2080.4, Max(ms): 2080.4
[Current] DELIVERY - Takes(s): 10.0, Count: 305, TPM: 1837.4, Sum(ms): 58481.5, Avg(ms): 191.6, 50th(ms): 192.9, 90th(ms): 234.9, 95th(ms): 260.0, 99th(ms): 335.5, 99.9th(ms): 369.1, Max(ms): 369.1
[Current] NEW_ORDER - Takes(s): 10.0, Count: 3471, TPM: 20826.2, Sum(ms): 322233.1, Avg(ms): 92.8, 50th(ms): 92.3, 90th(ms): 121.6, 95th(ms): 134.2, 99th(ms): 167.8, 99.9th(ms): 226.5, Max(ms): 260.0
[Current] ORDER_STATUS - Takes(s): 10.0, Count: 325, TPM: 1951.5, Sum(ms): 10591.7, Avg(ms): 32.6, 50th(ms): 30.4, 90th(ms): 50.3, 95th(ms): 60.8, 99th(ms): 83.9, 99.9th(ms): 121.6, Max(ms): 121.6
[Current] PAYMENT - Takes(s): 10.0, Count: 3431, TPM: 20586.4, Sum(ms): 203697.9, Avg(ms): 59.4, 50th(ms): 54.5, 90th(ms): 83.9, 95th(ms): 100.7, 99th(ms): 142.6, 99.9th(ms): 176.2, Max(ms): 192.9
[Current] STOCK_LEVEL - Takes(s): 10.0, Count: 321, TPM: 1929.0, Sum(ms): 39619.6, Avg(ms): 123.4, 50th(ms): 113.2, 90th(ms): 234.9, 95th(ms): 268.4, 99th(ms): 402.7, 99.9th(ms): 570.4, Max(ms): 570.4
[Current] DELIVERY - Takes(s): 10.0, Count: 323, TPM: 1941.0, Sum(ms): 61974.6, Avg(ms): 191.8, 50th(ms): 192.9, 90th(ms): 243.3, 95th(ms): 260.0, 99th(ms): 335.5, 99.9th(ms): 385.9, Max(ms): 385.9
[Current] NEW_ORDER - Takes(s): 10.0, Count: 3648, TPM: 21889.0, Sum(ms): 328506.3, Avg(ms): 90.1, 50th(ms): 88.1, 90th(ms): 117.4, 95th(ms): 134.2, 99th(ms): 167.8, 99.9th(ms): 201.3, Max(ms): 209.7
[Current] ORDER_STATUS - Takes(s): 9.9, Count: 341, TPM: 2072.8, Sum(ms): 10062.2, Avg(ms): 29.5, 50th(ms): 29.4, 90th(ms): 44.0, 95th(ms): 50.3, 99th(ms): 56.6, 99.9th(ms): 79.7, Max(ms): 79.7
[Current] PAYMENT - Takes(s): 10.0, Count: 3586, TPM: 21523.3, Sum(ms): 212248.1, Avg(ms): 59.2, 50th(ms): 54.5, 90th(ms): 88.1, 95th(ms): 104.9, 99th(ms): 142.6, 99.9th(ms): 184.5, Max(ms): 285.2
[Current] STOCK_LEVEL - Takes(s): 10.0, Count: 340, TPM: 2044.7, Sum(ms): 20569.1, Avg(ms): 60.5, 50th(ms): 50.3, 90th(ms): 121.6, 95th(ms): 159.4, 99th(ms): 226.5, 99.9th(ms): 285.2, Max(ms): 285.2
[Current] DELIVERY - Takes(s): 10.0, Count: 324, TPM: 1944.5, Sum(ms): 63113.1, Avg(ms): 194.7, 50th(ms): 184.5, 90th(ms): 260.0, 95th(ms): 302.0, 99th(ms): 402.7, 99.9th(ms): 536.9, Max(ms): 536.9
[Current] NEW_ORDER - Takes(s): 10.0, Count: 3379, TPM: 20284.2, Sum(ms): 327957.4, Avg(ms): 97.1, 50th(ms): 96.5, 90th(ms): 130.0, 95th(ms): 151.0, 99th(ms): 192.9, 99.9th(ms): 260.0, Max(ms): 335.5
[Current] ORDER_STATUS - Takes(s): 10.0, Count: 270, TPM: 1620.3, Sum(ms): 8189.2, Avg(ms): 30.3, 50th(ms): 28.3, 90th(ms): 46.1, 95th(ms): 54.5, 99th(ms): 71.3, 99.9th(ms): 83.9, Max(ms): 83.9
[Current] PAYMENT - Takes(s): 10.0, Count: 3332, TPM: 20008.8, Sum(ms): 221280.2, Avg(ms): 66.4, 50th(ms): 60.8, 90th(ms): 100.7, 95th(ms): 117.4, 99th(ms): 167.8, 99.9th(ms): 243.3, Max(ms): 369.1
[Current] STOCK_LEVEL - Takes(s): 10.0, Count: 309, TPM: 1859.0, Sum(ms): 14171.5, Avg(ms): 45.9, 50th(ms): 37.7, 90th(ms): 88.1, 95th(ms): 113.2, 99th(ms): 167.8, 99.9th(ms): 318.8, Max(ms): 318.8
[Current] DELIVERY - Takes(s): 9.9, Count: 343, TPM: 2068.7, Sum(ms): 66762.6, Avg(ms): 194.7, 50th(ms): 184.5, 90th(ms): 268.4, 95th(ms): 302.0, 99th(ms): 352.3, 99.9th(ms): 402.7, Max(ms): 402.7
[Current] NEW_ORDER - Takes(s): 10.0, Count: 3595, TPM: 21583.0, Sum(ms): 332455.4, Avg(ms): 92.5, 50th(ms): 92.3, 90th(ms): 125.8, 95th(ms): 142.6, 99th(ms): 176.2, 99.9th(ms): 234.9, Max(ms): 260.0
[Current] ORDER_STATUS - Takes(s): 10.0, Count: 305, TPM: 1830.4, Sum(ms): 9216.8, Avg(ms): 30.2, 50th(ms): 30.4, 90th(ms): 44.0, 95th(ms): 50.3, 99th(ms): 75.5, 99.9th(ms): 75.5, Max(ms): 75.5
[Current] PAYMENT - Takes(s): 10.0, Count: 3395, TPM: 20416.4, Sum(ms): 214160.4, Avg(ms): 63.1, 50th(ms): 58.7, 90th(ms): 92.3, 95th(ms): 113.2, 99th(ms): 151.0, 99.9th(ms): 209.7, Max(ms): 251.7
[Current] STOCK_LEVEL - Takes(s): 10.0, Count: 320, TPM: 1927.7, Sum(ms): 10953.3, Avg(ms): 34.2, 50th(ms): 27.3, 90th(ms): 58.7, 95th(ms): 71.3, 99th(ms): 125.8, 99.9th(ms): 176.2, Max(ms): 176.2
[Current] DELIVERY - Takes(s): 10.0, Count: 348, TPM: 2096.3, Sum(ms): 65175.5, Avg(ms): 187.5, 50th(ms): 184.5, 90th(ms): 234.9, 95th(ms): 268.4, 99th(ms): 318.8, 99.9th(ms): 419.4, Max(ms): 419.4
[Current] NEW_ORDER - Takes(s): 10.0, Count: 3687, TPM: 22124.8, Sum(ms): 331203.5, Avg(ms): 89.9, 50th(ms): 88.1, 90th(ms): 117.4, 95th(ms): 130.0, 99th(ms): 167.8, 99.9th(ms): 201.3, Max(ms): 251.7
[Current] ORDER_STATUS - Takes(s): 10.0, Count: 341, TPM: 2054.0, Sum(ms): 10054.2, Avg(ms): 29.5, 50th(ms): 28.3, 90th(ms): 44.0, 95th(ms): 50.3, 99th(ms): 60.8, 99.9th(ms): 75.5, Max(ms): 75.5
[Current] PAYMENT - Takes(s): 10.0, Count: 3607, TPM: 21644.6, Sum(ms): 217711.0, Avg(ms): 60.4, 50th(ms): 54.5, 90th(ms): 88.1, 95th(ms): 109.1, 99th(ms): 151.0, 99.9th(ms): 192.9, Max(ms): 260.0
[Current] STOCK_LEVEL - Takes(s): 10.0, Count: 350, TPM: 2105.6, Sum(ms): 9947.4, Avg(ms): 28.4, 50th(ms): 25.2, 90th(ms): 44.0, 95th(ms): 48.2, 99th(ms): 71.3, 99.9th(ms): 251.7, Max(ms): 251.7
[Current] DELIVERY - Takes(s): 10.0, Count: 293, TPM: 1758.4, Sum(ms): 63737.9, Avg(ms): 217.8, 50th(ms): 218.1, 90th(ms): 268.4, 95th(ms): 302.0, 99th(ms): 369.1, 99.9th(ms): 520.1, Max(ms): 520.1
[Current] NEW_ORDER - Takes(s): 10.0, Count: 3299, TPM: 19801.4, Sum(ms): 336851.8, Avg(ms): 102.1, 50th(ms): 100.7, 90th(ms): 134.2, 95th(ms): 151.0, 99th(ms): 209.7, 99.9th(ms): 302.0, Max(ms): 520.1
[Current] ORDER_STATUS - Takes(s): 10.0, Count: 284, TPM: 1706.1, Sum(ms): 9336.4, Avg(ms): 32.9, 50th(ms): 31.5, 90th(ms): 48.2, 95th(ms): 52.4, 99th(ms): 71.3, 99.9th(ms): 113.2, Max(ms): 113.2
