procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0   2560 892336   5796 6561828    0    0     0     1    0    0  0  0 100  0  0
 1  0   2560 863588   5796 6562120    0    0     0     0 14514 13456  9  7 84  0  0
 0  0   2560 863076   5796 6562120    0    0     0     0 11463 12562  2  3 95  0  0
 0  0   2560 862948   5796 6562140    0    0     0   152 10248 11348  1  2 96  0  0
 0  0   2560 862756   5796 6562140    0    0     0     0 9455 10357  1  3 96  0  0
 0  0   2560 863016   5796 6562140    0    0     0     0 11373 12660  1  3 96  0  0
 0  0   2560 863024   5796 6562140    0    0     0     0 10645 11810  1  2 97  0  0
 1  0   2560 863316   5796 6562140    0    0     0     0 8861 10025  1  2 98  0  0
 0  0   2560 862808   5796 6562160    0    0     0     0 11486 12499  2  3 95  0  0
 0  0   2560 863036   5796 6562160    0    0     0    64 10702 11777  1  3 96  0  0
 1  0   2560 862876   5796 6562160    0    0     0     0 12295 13632  1  2 97  0  0
 2  0   2560 863072   5796 6562172    0    0     0     0 10538 11655  1  2 97  0  0
 0  0   2560 863232   5796 6562172    0    0     0     0 9996 10995  1  3 96  0  0
 1  0   2560 863104   5796 6562172    0    0     0     0 11813 12998  2  3 96  0  0
 1  0   2560 860868   5796 6562184    0    0     0     0 12427 13783  2  3 95  0  0
 1  0   2560 860776   5796 6562192    0    0     0     0 8961 9919  1  2 97  0  0
 0  0   2560 860200   5796 6562192    0    0     0     0 9372 10453  1  2 97  0  0
 1  0   2560 882932   5796 6562192    0    0     0   200 11464 12221  6  4 90  0  0
 0  0   2560 884764   5796 6562192    0    0     0    72 10102 11138  3  3 95  0  0
 1  0   2560 884412   5796 6562192    0    0     0     0 11097 12141  1  3 96  0  0
 0  0   2560 884508   5796 6562192    0    0     0     0 10710 11945  1  2 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 884764   5796 6562200    0    0     0     0 10884 11932  1  2 96  0  0
 0  0   2560 884732   5796 6562204    0    0     0     0 10662 11745  1  2 97  0  0
 0  0   2560 884732   5796 6562204    0    0     0    80 10648 11913  2  3 96  0  0
 0  0   2560 884508   5796 6562204    0    0     0     0 11570 13053  1  3 96  0  0
 0  0   2560 884636   5796 6562204    0    0     0   152 8817 9816  1  2 97  0  0
 0  0   2560 884092   5796 6562204    0    0     0     0 6299 6991  1  1 98  0  0
 0  0   2560 884252   5796 6562216    0    0     0     0 7826 8804  1  2 97  0  0
 0  0   2560 884444   5796 6562224    0    0     0     0 5960 6668  1  2 97  0  0
 0  0   2560 884444   5796 6562224    0    0     0     0 7193 7834  1  3 97  0  0
 0  0   2560 884348   5796 6562224    0    0     0     0 8168 8975  1  2 98  0  0
 0  0   2560 884476   5796 6562224    0    0     0     0 7485 8426  1  1 98  0  0
 0  0   2560 884444   5796 6562224    0    0     0     0 5859 6611  1  2 97  0  0
 0  0   2560 884412   5796 6562236    0    0     0     0 5474 6090  1  2 97  0  0
 0  0   2560 884372   5796 6562236    0    0     0     0 6756 7596  1  2 97  0  0
 0  0   2560 884484   5796 6562236    0    0     0   104 6211 6988  1  2 98  0  0
 0  0   2560 884804   5796 6562236    0    0     0     0 6530 7259  1  1 98  0  0
 0  0   2560 884424   5796 6562236    0    0     0     0 6805 7595  1  2 97  0  0
 0  0   2560 884584   5796 6562236    0    0     0     0 7401 8203  1  2 97  0  0
 0  0   2560 884456   5796 6562236    0    0     0     0 7360 8288  1  2 97  0  0
 0  0   2560 884296   5796 6562248    0    0     0     0 6837 7705  1  2 98  0  0
 1  0   2560 884432   5796 6562268    0    0     0   100 7649 8488  1  2 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 884800   5796 6562272    0    0     0     0 8316 9112  1  2 97  0  0
 0  0   2560 884900   5796 6562288    0    0     0     0 5910 6436  1  2 98  0  0
 0  0   2560 884292   5796 6562300    0    0     0     0 5958 6538  1  2 98  0  0
 1  0   2560 884168   5796 6562300    0    0     0     0 7424 8115  1  2 97  0  0
 0  0   2560 884456   5796 6562300    0    0     0   100 7697 8509  1  1 98  0  0
 0  0   2560 884552   5796 6562300    0    0     0     0 8181 9138  1  1 98  0  0
 1  0   2560 884296   5796 6562300    0    0     0     0 8238 9362  1  2 97  0  0
 0  0   2560 884744   5796 6562300    0    0     0     0 8739 9884  1  2 97  0  0
 0  0   2560 884968   5796 6562300    0    0     0     0 7118 7953  1  2 97  0  0
 0  0   2560 884936   5796 6562304    0    0     0    72 7397 8137  1  2 98  0  0
 0  0   2560 884712   5796 6562304    0    0     0     0 6867 7743  1  2 97  0  0
 0  0   2560 884284   5796 6562332    0    0     0   293 7833 8684  1  2 96  0  0
 0  0   2560 883900   5796 6562332    0    0     0     0 7200 7978  1  2 97  0  0
 1  0   2560 884124   5796 6562332    0    0     0     0 5637 6302  1  1 98  0  0
 0  0   2560 884060   5796 6562332    0    0     0     0 7143 7959  1  2 98  0  0
 0  0   2560 884508   5796 6562332    0    0     0    92 9776 10813  1  2 97  0  0
 0  0   2560 884124   5796 6562336    0    0     0     0 7378 8218  1  2 97  0  0
 0  0   2560 859276   5796 6562352    0    0     0     4 7854 8726  4  3 93  0  0
 1  0   2560 859620   5796 6562352    0    0     0     0 7466 8285  1  2 97  0  0
 0  0   2560 859756   5796 6562352    0    0     0     0 8019 8658  2  2 96  0  0
 0  0   2560 859660   5796 6562356    0    0     0    96 7935 8884  1  2 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0   2560 859444   5796 6562356    0    0     0     0 5990 6635  1  2 97  0  0
 0  0   2560 859380   5796 6562368    0    0     0     0 6683 7326  1  2 97  0  0
 2  0   2560 859604   5796 6562372    0    0     0     0 6058 6768  0  2 98  0  0
 0  0   2560 859648   5796 6562384    0    0     0     0 7197 7931  1  1 98  0  0
 0  0   2560 859496   5796 6562384    0    0     0     0 6682 7653  1  2 98  0  0
 0  0   2560 859364   5796 6562384    0    0     0     0 7081 7899  1  2 97  0  0
 0  0   2560 859700   5796 6562400    0    0     0     0 6970 7748  1  3 97  0  0
 2  0   2560 859188   5796 6562400    0    0     0     0 5590 6189  1  1 98  0  0
 0  0   2560 859828   5796 6562400    0    0     0     0 6582 7216  1  2 97  0  0
 0  0   2560 859476   5796 6562404    0    0     0     0 6497 7244  1  2 97  0  0
 0  0   2560 859636   5796 6562404    0    0     0     0 8631 9431  1  2 97  0  0
 0  0   2560 859860   5796 6562412    0    0     0     0 7744 8569  1  2 97  0  0
 0  0   2560 859892   5796 6562416    0    0     0     0 7527 8491  1  2 97  0  0
 0  0   2560 859796   5796 6562416    0    0     0     0 6111 6825  1  2 98  0  0
 0  0   2560 884212   5796 6562420    0    0     0   272 7469 7995  7  4 89  0  0
 0  0   2560 884440   5796 6562420    0    0     0     0 7731 8593  1  2 97  0  0
 0  0   2560 884564   5796 6562432    0    0     0     0 7844 8796  1  2 97  0  0
 0  0   2560 884244   5796 6562432    0    0     0     0 7314 8328  1  2 98  0  0
 0  0   2560 884404   5796 6562448    0    0     0     0 6300 7152  1  2 98  0  0
 1  0   2560 884052   5796 6562448    0    0     0     0 4886 5454  1  1 98  0  0
 0  0   2560 884308   5796 6562448    0    0     0   240 4706 5263  1  2 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0   2560 884372   5796 6562448    0    0     0     0 5300 5823  1  2 97  0  0
 0  0   2560 884084   5796 6562452    0    0     0     0 5402 6013  1  1 98  0  0
 0  0   2560 884244   5796 6562460    0    0     0     0 5553 6264  1  1 98  0  0
 0  0   2560 883892   5796 6562476    0    0     0     0 5505 6177  1  2 98  0  0
 0  0   2560 883892   5796 6562476    0    0     0     0 5799 6595  1  1 98  0  0
 0  0   2560 883988   5796 6562476    0    0     0     0 5600 6307  1  1 98  0  0
 0  0   2560 883956   5796 6562480    0    0     0     0 5194 5689  1  1 98  0  0
 0  0   2560 883860   5796 6562500    0    0     0     0 4692 5396  1  1 98  0  0
 1  0   2560 884148   5796 6562500    0    0     0     0 5452 6103  1  2 98  0  0
 0  0   2560 883924   5796 6562500    0    0     0     0 6027 6879  1  2 97  0  0
 0  0   2560 884340   5796 6562500    0    0     0     0 6081 6833  1  2 97  0  0
 0  0   2560 884116   5796 6562504    0    0     0     0 5596 6326  1  1 98  0  0
 0  0   2560 884404   5796 6562512    0    0     0     0 5831 6645  1  1 98  0  0
 0  0   2560 883956   5796 6562512    0    0     0     0 5478 6199  1  1 98  0  0
 0  0   2560 883348   5796 6562512    0    0     0     0 5113 5729  1  2 98  0  0
 0  0   2560 883508   5796 6562512    0    0     0     0 5371 6018  1  2 98  0  0
 1  0   2560 883220   5796 6562512    0    0     0     0 5198 5875  1  1 98  0  0
 0  0   2560 883476   5796 6562512    0    0     0     0 6069 6766  1  2 98  0  0
 0  0   2560 883444   5796 6562512    0    0     0     0 5157 5682  1  2 97  0  0
 2  0   2560 883508   5796 6562516    0    0     0     0 5231 5868  1  2 98  0  0
 0  0   2560 883572   5796 6562524    0    0     0   152 5197 5791  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 883892   5796 6562532    0    0     0     0 5608 6212  1  2 98  0  0
 1  0   2560 884244   5796 6562536    0    0     0     0 6141 6830  1  2 98  0  0
 0  0   2560 884340   5796 6562544    0    0     0     0 5590 6344  1  2 98  0  0
 0  0   2560 884084   5796 6562544    0    0     0     0 4972 5651  1  1 98  0  0
