procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 12524896     24 1456244    0    0     7   745  179   89  3  2 94  1  0
 2  1      0 12527420     24 1456244    0    0     0 20872 44547 45171 24 11 50 15  0
 1  1      0 12520836     24 1459288    0    0     0 23484 41137 47749 27 10 46 17  0
 6  0      0 12440668     24 1507284    0    0     0 87588 31907 35281 44 10 30 17  0
 2  1      0 12485080     24 1457064    0    0     0 42308 40092 47862 30 10 43 17  0
 1  1      0 12484892     24 1457068    0    0     0 20800 41241 51929 25  8 49 17  0
 3  0      0 12484448     24 1457068    0    0     0 16776 37899 48604 21  8 56 16  0
 0  1      0 12482776     24 1457068    0    0     0 19303 40328 49361 23  8 52 17  0
 3  1      0 12481204     24 1457068    0    0     0 20708 40038 48349 26 10 47 17  0
 0  1      0 12470216     24 1462844    0    0     0 37448 36734 43808 30  9 44 17  0
 1  1      0 12469932     24 1462852    0    0     0 19884 41540 50423 24 10 50 16  0
 0  1      0 12468888     24 1462852    0    0     0 19652 41700 51563 25  9 50 16  0
 2  1      0 12468008     24 1462852    0    0     0 19691 39356 49231 24  9 51 16  0
 2  1      0 12466620     24 1462852    0    0     0 18800 38465 49936 21  8 56 16  0
 2  1      0 12465900     24 1462852    0    0     0 17060 39671 49417 23  8 53 16  0
 1  0      0 12526064     24 1462852    0    0     0 17656 38724 46444 24  9 51 16  0
 2  1      0 12509720     24 1493944    0    0     0 62467 31318 33756 39  9 35 17  0
 4  0      0 12481612     24 1519692    0    0     0 93032 33443 37522 42  9 32 16  0
 2  1      0 12551892     24 1445556    0    0     0 54121 38060 43968 31 10 42 17  0
 1  1      0 12552276     24 1445560    0    0     0 19868 40985 50165 24  9 50 16  0
 2  1      0 12552524     24 1445560    0    0     0 18940 40924 50934 23  9 51 17  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  1      0 12553124     24 1445560    0    0     0 20296 41969 51401 25 10 48 17  0
 3  1      0 12545792     24 1454648    0    0     0 36302 37883 46059 30  8 45 17  0
 0  1      0 12546164     24 1451396    0    0     0 31272 37907 45545 30  9 44 16  0
 2  0      0 12545280     24 1451400    0    0     0 18276 37762 44995 27  9 49 16  0
 1  1      0 12544140     24 1451400    0    0     0 19136 39812 48421 24 10 50 16  0
 4  1      0 12543256     24 1451400    0    0     0 18504 38412 46756 27  8 48 17  0
 1  1      0 12543100     24 1451400    0    0     0 16812 35983 44765 22  9 54 15  0
 2  1      0 12542404     24 1451400    0    0     0 18428 37215 47072 22  9 54 16  0
 3  1      0 12532740     24 1461176    0    0     0 37453 36878 43720 31  9 43 16  0
 3  0      0 12533460     24 1457248    0    0     0 25513 41352 49351 27 10 47 16  0
 1  1      0 12532668     24 1457248    0    0     0 19280 40751 49484 25  9 49 17  0
 1  0      0 12532292     24 1457248    0    0     0 19000 40271 50879 24  8 52 16  0
 2  0      0 12532388     24 1457248    0    0     0 20140 40323 49750 25  9 50 16  0
 4  0      0 12532292     24 1457248    0    0     0 17620 38792 48646 25  9 50 16  0
 0  1      0 12531588     24 1457248    0    0     0 20036 40593 49525 25  9 50 16  0
 3  1      0 12526908     24 1460172    0    0     0 56766 36389 43257 34  9 40 17  0
 4  1      0 12530580     24 1455268    0    0     0 19834 42728 52169 25 10 49 16  0
 5  0      0 12538956     24 1455268    0    0     0 20264 38085 44428 27  9 48 15  0
 0  1      0 12567520     24 1455268    0    0     0 18856 41629 49583 25  9 49 17  0
 3  0      0 12571144     24 1455268    0    0     0 18396 39892 49397 25  9 50 17  0
 4  0      0 12571232     24 1455268    0    0     0 18608 38180 47510 23  8 53 16  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 12570228     24 1455268    0    0     0 18436 39592 49173 22  8 53 17  0
 8  0      0 12503676     24 1516376    0    0     0 101902 31454 34340 38 10 33 18  0
 5  0      0 12502000     24 1514576    0    0     0 81691 31044 32999 43 10 33 15  0
 2  1      0 12517572     24 1499680    0    0     0 82655 31735 33250 43 10 31 16  0
 5  2      0 12550948     24 1493004    0    0     0 119985 32312 32342 41 11 31 17  0
 1  1      0 12686384     24 1445884    0    0     0 38947 40466 46583 27  9 47 17  0
 1  1      0 12703356     24 1445888    0    0     0 19924 38879 47232 24  9 51 15  0
 4  1      0 12693300     24 1453096    0    0     0 30866 35069 41571 32  8 43 17  0
 2  1      0 12647280     24 1496400    0    0     0 71525 28634 32786 39  9 36 15  0
 3  1      0 12685864     24 1450928    0    0     0 43505 36655 44236 28  9 47 16  0
 0  1      0 12681576     24 1450932    0    0     0 20476 41661 50525 23  9 50 17  0
 2  0      0 12675724     24 1450932    0    0     0 21256 42324 50940 25 10 49 17  0
 0  1      0 12671852     24 1450936    0    0     0 19372 41099 50772 26  9 49 17  0
 1  1      0 12668484     24 1450936    0    0     0 18492 37287 47767 23  8 53 16  0
 4  0      0 12655484     24 1455816    0    0     0 46750 36489 42470 33  9 41 17  0
 0  1      0 12666176     24 1444928    0    0     0 19600 41994 50337 26 10 48 16  0
 0  1      0 12668672     24 1444928    0    0     0 22308 41837 50406 26 10 48 17  0
 2  1      0 12668000     24 1444928    0    0     0 18636 39790 49522 25  9 49 17  0
 3  0      0 12667952     24 1444936    0    0     0 20144 41121 50761 25  9 49 16  0
 2  0      0 12663636     24 1444968    0    0     0 18764 39637 49082 25  9 50 16  0
 4  0      0 12598384     24 1452428    0    0     0 28472 38349 46980 26  9 48 16  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 12559468     24 1450780    0    0     0 33115 33466 39828 31  9 45 15  0
 3  1      0 12559096     24 1450784    0    0     0 20356 45223 55287 26 10 48 16  0
 0  1      0 12556168     24 1450784    0    0     0 21600 41788 51908 25  9 49 17  0
 1  1      0 12552072     24 1450784    0    0     0 20524 40782 50074 26  9 49 17  0
 3  0      0 12548512     24 1450784    0    0     0 18832 39712 49486 23 10 51 16  0
 3  0      0 12536324     24 1459480    0    0     0 31312 38457 46200 29  9 46 16  0
 4  0      0 12536140     24 1456644    0    0     0 30684 38572 46475 28  9 47 16  0
 1  1      0 12535324     24 1456648    0    0     0 19712 41949 50855 24 10 50 16  0
 2  1      0 12532608     24 1456648    0    0     0 20024 42571 52950 26 10 47 17  0
 1  1      0 12529520     24 1456648    0    0     0 20883 41730 51887 26  9 49 16  0
 3  1      0 12527536     24 1456648    0    0     0 20840 39002 47250 27 10 47 16  0
 1  1      0 12618504     24 1456652    0    0     0 18136 39551 47036 27  9 48 16  0
 1  1      0 12584140     24 1493236    0    0     0 71819 33132 38098 38  9 36 17  0
 2  0      0 12568024     24 1505644    0    0     0 98026 28735 33032 38  9 35 18  0
 2  1      0 12609156     24 1462056    0    0     0 44270 39038 46206 29  9 44 17  0
 3  1      0 12608080     24 1462056    0    0     0 21068 41325 50934 27  9 49 16  0
 0  1      0 12607040     24 1462056    0    0     0 20208 42023 51808 26 10 48 17  0
 1  1      0 12605936     24 1462056    0    0     0 18924 41422 50262 26  9 48 17  0
