2026/06/22 23:04:39 maxprocs: Leaving GOMAXPROCS=4: CPU quota undefined
[Current] DELIVERY - Takes(s): 9.7, Count: 121, TPM: 745.9, Sum(ms): 9017.5, Avg(ms): 74.7, 50th(ms): 71.3, 90th(ms): 96.5, 95th(ms): 109.1, 99th(ms): 130.0, 99.9th(ms): 159.4, Max(ms): 159.4
[Current] NEW_ORDER - Takes(s): 9.9, Count: 1337, TPM: 8116.9, Sum(ms): 81151.4, Avg(ms): 60.7, 50th(ms): 52.4, 90th(ms): 92.3, 95th(ms): 121.6, 99th(ms): 209.7, 99.9th(ms): 352.3, Max(ms): 352.3
[Current] ORDER_STATUS - Takes(s): 9.9, Count: 120, TPM: 730.4, Sum(ms): 938.3, Avg(ms): 7.8, 50th(ms): 7.3, 90th(ms): 11.5, 95th(ms): 13.1, 99th(ms): 15.7, 99.9th(ms): 15.7, Max(ms): 15.7
[Current] PAYMENT - Takes(s): 9.9, Count: 1359, TPM: 8225.2, Sum(ms): 64865.7, Avg(ms): 47.7, 50th(ms): 39.8, 90th(ms): 92.3, 95th(ms): 109.1, 99th(ms): 151.0, 99.9th(ms): 192.9, Max(ms): 209.7
[Current] STOCK_LEVEL - Takes(s): 9.9, Count: 105, TPM: 638.9, Sum(ms): 1030.9, Avg(ms): 9.8, 50th(ms): 8.9, 90th(ms): 14.7, 95th(ms): 16.8, 99th(ms): 26.2, 99.9th(ms): 28.3, Max(ms): 28.3
[Current] DELIVERY - Takes(s): 10.0, Count: 119, TPM: 714.5, Sum(ms): 10342.6, Avg(ms): 87.0, 50th(ms): 79.7, 90th(ms): 130.0, 95th(ms): 142.6, 99th(ms): 167.8, 99.9th(ms): 226.5, Max(ms): 226.5
[Current] NEW_ORDER - Takes(s): 10.0, Count: 1269, TPM: 7617.0, Sum(ms): 81781.8, Avg(ms): 64.4, 50th(ms): 54.5, 90th(ms): 100.7, 95th(ms): 130.0, 99th(ms): 226.5, 99.9th(ms): 570.4, Max(ms): 1208.0
[Current] ORDER_STATUS - Takes(s): 9.9, Count: 115, TPM: 698.3, Sum(ms): 906.9, Avg(ms): 7.9, 50th(ms): 7.9, 90th(ms): 11.5, 95th(ms): 13.6, 99th(ms): 18.9, 99.9th(ms): 23.1, Max(ms): 23.1
[Current] PAYMENT - Takes(s): 10.0, Count: 1212, TPM: 7277.1, Sum(ms): 64159.0, Avg(ms): 52.9, 50th(ms): 44.0, 90th(ms): 104.9, 95th(ms): 130.0, 99th(ms): 176.2, 99.9th(ms): 268.4, Max(ms): 318.8
[Current] STOCK_LEVEL - Takes(s): 10.0, Count: 121, TPM: 728.8, Sum(ms): 1353.6, Avg(ms): 11.2, 50th(ms): 10.0, 90th(ms): 17.8, 95th(ms): 19.9, 99th(ms): 32.5, 99.9th(ms): 32.5, Max(ms): 32.5
[Current] DELIVERY - Takes(s): 10.0, Count: 87, TPM: 524.4, Sum(ms): 8205.5, Avg(ms): 94.5, 50th(ms): 83.9, 90th(ms): 134.2, 95th(ms): 176.2, 99th(ms): 234.9, 99.9th(ms): 285.2, Max(ms): 285.2
[Current] NEW_ORDER - Takes(s): 10.0, Count: 1204, TPM: 7229.9, Sum(ms): 86310.6, Avg(ms): 71.7, 50th(ms): 60.8, 90th(ms): 117.4, 95th(ms): 151.0, 99th(ms): 268.4, 99.9th(ms): 419.4, Max(ms): 503.3
[Current] ORDER_STATUS - Takes(s): 9.8, Count: 114, TPM: 697.0, Sum(ms): 989.7, Avg(ms): 8.7, 50th(ms): 8.4, 90th(ms): 13.1, 95th(ms): 14.2, 99th(ms): 22.0, 99.9th(ms): 27.3, Max(ms): 27.3
[Current] PAYMENT - Takes(s): 10.0, Count: 1137, TPM: 6823.3, Sum(ms): 61759.5, Avg(ms): 54.3, 50th(ms): 46.1, 90th(ms): 100.7, 95th(ms): 125.8, 99th(ms): 176.2, 99.9th(ms): 218.1, Max(ms): 234.9
[Current] STOCK_LEVEL - Takes(s): 9.9, Count: 101, TPM: 612.9, Sum(ms): 1236.0, Avg(ms): 12.2, 50th(ms): 11.0, 90th(ms): 18.9, 95th(ms): 26.2, 99th(ms): 31.5, 99.9th(ms): 39.8, Max(ms): 39.8
[Current] DELIVERY - Takes(s): 10.0, Count: 119, TPM: 715.2, Sum(ms): 10319.6, Avg(ms): 86.6, 50th(ms): 79.7, 90th(ms): 134.2, 95th(ms): 151.0, 99th(ms): 201.3, 99.9th(ms): 209.7, Max(ms): 209.7
[Current] NEW_ORDER - Takes(s): 10.0, Count: 1366, TPM: 8208.9, Sum(ms): 85792.2, Avg(ms): 62.8, 50th(ms): 54.5, 90th(ms): 96.5, 95th(ms): 121.6, 99th(ms): 192.9, 99.9th(ms): 402.7, Max(ms): 436.2
[Current] ORDER_STATUS - Takes(s): 9.8, Count: 110, TPM: 675.1, Sum(ms): 924.9, Avg(ms): 8.4, 50th(ms): 8.4, 90th(ms): 11.5, 95th(ms): 14.7, 99th(ms): 17.8, 99.9th(ms): 18.9, Max(ms): 18.9
[Current] PAYMENT - Takes(s): 10.0, Count: 1217, TPM: 7304.9, Sum(ms): 60577.3, Avg(ms): 49.8, 50th(ms): 44.0, 90th(ms): 92.3, 95th(ms): 109.1, 99th(ms): 159.4, 99.9th(ms): 192.9, Max(ms): 251.7
[Current] STOCK_LEVEL - Takes(s): 9.8, Count: 119, TPM: 731.3, Sum(ms): 1384.8, Avg(ms): 11.7, 50th(ms): 11.0, 90th(ms): 16.8, 95th(ms): 19.9, 99th(ms): 26.2, 99.9th(ms): 29.4, Max(ms): 29.4
[Current] DELIVERY - Takes(s): 9.9, Count: 101, TPM: 613.0, Sum(ms): 8767.8, Avg(ms): 86.9, 50th(ms): 83.9, 90th(ms): 121.6, 95th(ms): 125.8, 99th(ms): 159.4, 99.9th(ms): 209.7, Max(ms): 209.7
[Current] NEW_ORDER - Takes(s): 10.0, Count: 1235, TPM: 7419.9, Sum(ms): 79577.0, Avg(ms): 64.5, 50th(ms): 52.4, 90th(ms): 104.9, 95th(ms): 142.6, 99th(ms): 243.3, 99.9th(ms): 419.4, Max(ms): 671.1
[Current] ORDER_STATUS - Takes(s): 10.0, Count: 104, TPM: 624.9, Sum(ms): 909.7, Avg(ms): 8.8, 50th(ms): 8.4, 90th(ms): 12.6, 95th(ms): 13.6, 99th(ms): 18.9, 99.9th(ms): 25.2, Max(ms): 25.2
[Current] PAYMENT - Takes(s): 10.0, Count: 1215, TPM: 7293.7, Sum(ms): 67686.4, Avg(ms): 55.7, 50th(ms): 46.1, 90th(ms): 109.1, 95th(ms): 134.2, 99th(ms): 218.1, 99.9th(ms): 260.0, Max(ms): 268.4
[Current] STOCK_LEVEL - Takes(s): 10.0, Count: 95, TPM: 570.4, Sum(ms): 1105.3, Avg(ms): 11.6, 50th(ms): 10.5, 90th(ms): 17.8, 95th(ms): 22.0, 99th(ms): 39.8, 99.9th(ms): 60.8, Max(ms): 60.8
[Current] DELIVERY - Takes(s): 10.0, Count: 118, TPM: 709.3, Sum(ms): 10726.9, Avg(ms): 91.1, 50th(ms): 83.9, 90th(ms): 125.8, 95th(ms): 151.0, 99th(ms): 201.3, 99.9th(ms): 251.7, Max(ms): 251.7
[Current] NEW_ORDER - Takes(s): 10.0, Count: 1232, TPM: 7396.1, Sum(ms): 83683.3, Avg(ms): 67.9, 50th(ms): 54.5, 90th(ms): 109.1, 95th(ms): 134.2, 99th(ms): 285.2, 99.9th(ms): 453.0, Max(ms): 1208.0
[Current] ORDER_STATUS - Takes(s): 9.8, Count: 105, TPM: 644.9, Sum(ms): 920.5, Avg(ms): 8.7, 50th(ms): 8.4, 90th(ms): 13.6, 95th(ms): 15.2, 99th(ms): 22.0, 99.9th(ms): 24.1, Max(ms): 24.1
[Current] PAYMENT - Takes(s): 10.0, Count: 1166, TPM: 6998.1, Sum(ms): 62463.2, Avg(ms): 53.6, 50th(ms): 46.1, 90th(ms): 100.7, 95th(ms): 121.6, 99th(ms): 167.8, 99.9th(ms): 209.7, Max(ms): 218.1
[Current] STOCK_LEVEL - Takes(s): 9.9, Count: 112, TPM: 679.6, Sum(ms): 1311.8, Avg(ms): 11.7, 50th(ms): 10.5, 90th(ms): 19.9, 95th(ms): 23.1, 99th(ms): 33.6, 99.9th(ms): 35.7, Max(ms): 35.7
[Current] DELIVERY - Takes(s): 9.9, Count: 116, TPM: 703.3, Sum(ms): 10005.6, Avg(ms): 86.5, 50th(ms): 79.7, 90th(ms): 121.6, 95th(ms): 151.0, 99th(ms): 192.9, 99.9th(ms): 251.7, Max(ms): 251.7
[Current] NEW_ORDER - Takes(s): 10.0, Count: 1261, TPM: 7567.2, Sum(ms): 79482.6, Avg(ms): 63.0, 50th(ms): 52.4, 90th(ms): 96.5, 95th(ms): 134.2, 99th(ms): 285.2, 99.9th(ms): 604.0, Max(ms): 704.6
[Current] ORDER_STATUS - Takes(s): 9.8, Count: 99, TPM: 606.4, Sum(ms): 816.2, Avg(ms): 8.3, 50th(ms): 7.9, 90th(ms): 13.6, 95th(ms): 14.7, 99th(ms): 18.9, 99.9th(ms): 26.2, Max(ms): 26.2
[Current] PAYMENT - Takes(s): 10.0, Count: 1235, TPM: 7413.4, Sum(ms): 66717.5, Avg(ms): 54.1, 50th(ms): 44.0, 90th(ms): 104.9, 95th(ms): 134.2, 99th(ms): 184.5, 99.9th(ms): 268.4, Max(ms): 318.8
[Current] STOCK_LEVEL - Takes(s): 10.0, Count: 137, TPM: 824.8, Sum(ms): 1580.7, Avg(ms): 11.6, 50th(ms): 10.0, 90th(ms): 18.9, 95th(ms): 23.1, 99th(ms): 32.5, 99.9th(ms): 54.5, Max(ms): 54.5
[Current] DELIVERY - Takes(s): 10.0, Count: 121, TPM: 726.1, Sum(ms): 10262.5, Avg(ms): 85.0, 50th(ms): 79.7, 90th(ms): 121.6, 95th(ms): 130.0, 99th(ms): 151.0, 99.9th(ms): 159.4, Max(ms): 159.4
[Current] NEW_ORDER - Takes(s): 10.0, Count: 1286, TPM: 7725.3, Sum(ms): 82573.7, Avg(ms): 64.2, 50th(ms): 52.4, 90th(ms): 100.7, 95th(ms): 142.6, 99th(ms): 318.8, 99.9th(ms): 704.6, Max(ms): 838.9
[Current] ORDER_STATUS - Takes(s): 9.6, Count: 110, TPM: 687.8, Sum(ms): 878.5, Avg(ms): 8.0, 50th(ms): 7.3, 90th(ms): 11.0, 95th(ms): 15.2, 99th(ms): 28.3, 99.9th(ms): 33.6, Max(ms): 33.6
[Current] PAYMENT - Takes(s): 10.0, Count: 1259, TPM: 7562.9, Sum(ms): 64014.3, Avg(ms): 50.8, 50th(ms): 41.9, 90th(ms): 96.5, 95th(ms): 121.6, 99th(ms): 176.2, 99.9th(ms): 285.2, Max(ms): 352.3
[Current] STOCK_LEVEL - Takes(s): 9.8, Count: 97, TPM: 592.5, Sum(ms): 1021.8, Avg(ms): 10.5, 50th(ms): 9.4, 90th(ms): 14.7, 95th(ms): 16.3, 99th(ms): 31.5, 99.9th(ms): 44.0, Max(ms): 44.0
[Current] DELIVERY - Takes(s): 10.0, Count: 113, TPM: 680.5, Sum(ms): 10404.3, Avg(ms): 92.1, 50th(ms): 83.9, 90th(ms): 130.0, 95th(ms): 151.0, 99th(ms): 184.5, 99.9th(ms): 243.3, Max(ms): 243.3
[Current] NEW_ORDER - Takes(s): 10.0, Count: 1264, TPM: 7592.2, Sum(ms): 83376.2, Avg(ms): 66.0, 50th(ms): 56.6, 90th(ms): 104.9, 95th(ms): 142.6, 99th(ms): 234.9, 99.9th(ms): 570.4, Max(ms): 604.0
[Current] ORDER_STATUS - Takes(s): 9.9, Count: 97, TPM: 585.0, Sum(ms): 787.7, Avg(ms): 8.1, 50th(ms): 8.4, 90th(ms): 11.5, 95th(ms): 12.1, 99th(ms): 15.7, 99.9th(ms): 18.9, Max(ms): 18.9
[Current] PAYMENT - Takes(s): 10.0, Count: 1180, TPM: 7084.2, Sum(ms): 62852.9, Avg(ms): 53.3, 50th(ms): 46.1, 90th(ms): 100.7, 95th(ms): 121.6, 99th(ms): 167.8, 99.9th(ms): 234.9, Max(ms): 234.9
[Current] STOCK_LEVEL - Takes(s): 10.0, Count: 124, TPM: 746.3, Sum(ms): 1428.9, Avg(ms): 11.5, 50th(ms): 10.0, 90th(ms): 16.3, 95th(ms): 24.1, 99th(ms): 31.5, 99.9th(ms): 71.3, Max(ms): 71.3
[Current] DELIVERY - Takes(s): 9.9, Count: 103, TPM: 623.3, Sum(ms): 9610.1, Avg(ms): 93.4, 50th(ms): 88.1, 90th(ms): 125.8, 95th(ms): 142.6, 99th(ms): 184.5, 99.9th(ms): 260.0, Max(ms): 260.0
