procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
12  1      0 11519416   3740 1971760    0    0    40   300  610  998  1  1 98  0  0
14  0      0 11516172   3740 1976376    0    0   140  9626 40214 98807 23 13 58  7  0
 8  1      0 11507948   3740 1980356    0    0     0  9739 41209 98257 22 12 60  7  0
 4  1      0 11499804   3740 1984616    0    0     0  9605 41068 100823 23 11 59  6  0
 8  1      0 11490888   3740 1989012    0    0     0 10731 43425 108537 24 12 57  7  0
 0  1      0 11483696   3740 1993148    0    0     0 10052 43414 106385 23 12 59  6  0
 2  0      0 11475852   3740 1997428    0    0     0 10998 44413 111289 22 12 58  8  0
 0  1      0 11468780   3740 2001000    0    0     0 10097 42584 106283 22 12 58  7  0
 1  0      0 11460620   3740 2005392    0    0     0  9682 40715 100182 26 13 55  6  0
 0  0      0 11455304   3740 2009524    0    0     0  9757 40041 97918 25 14 55  6  0
 2  0      0 11447868   3740 2013064    0    0     0  9291 40707 98528 25 13 56  6  0
 3  0      0 11440300   3740 2017316    0    0     0  9567 41185 101266 24 13 56  6  0
 7  0      0 11433516   3740 2020652    0    0     0  9600 40138 97066 20 11 62  7  0
10  1      0 11427076   3740 2024816    0    0     0  9451 40530 100690 22 12 60  6  0
 5  0      0 11419072   3740 2028804    0    0     0  9640 41837 102388 24 12 57  7  0
 1  1      0 11410960   3740 2033088    0    0     0 10075 42823 104812 22 13 58  7  0
 0  0      0 11399084   3740 2037104    0    0     0 11616 41021 100471 23 12 58  7  0
 4  0      0 11393604   3740 2041040    0    0     0  9806 41786 101054 24 12 57  7  0
 3  0      0 11388764   3740 2045368    0    0     0 10266 43262 110459 24 11 57  8  0
 3  0      0 11386392   3740 2050076    0    0     0 10761 44158 111367 24 12 57  7  0
 3  1      0 11381384   3740 2054496    0    0     0 10550 42456 107285 23 12 58  7  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
15  1      0 11378048   3740 2058768    0    0     0  9712 42515 104445 25 12 56  7  0
 8  1      0 11379120   3740 2063628    0    0     0 10588 42877 107785 26 13 54  7  0
 7  0      0 11373608   3740 2067800    0    0     0 10106 40435 101597 23 13 57  7  0
 6  0      0 11366688   3740 2072444    0    0     0 10428 43030 108593 27 13 54  7  0
 7  0      0 11358896   3740 2076864    0    0     0  9959 44958 108407 25 13 56  6  0
 0  1      0 11350384   3740 2080948    0    0     0 10413 41824 105731 25 13 55  7  0
 0  1      0 11341796   3740 2085244    0    0     0  9659 42015 102477 23 12 59  6  0
 0  0      0 11333644   3740 2089704    0    0     0 10805 45119 111713 23 12 58  7  0
 1  0      0 11323620   3740 2094396    0    0     0 10691 43085 108838 24 12 57  6  0
 4  1      0 11316116   3740 2098916    0    0     0 11025 45300 115932 27 13 53  7  0
 4  1      0 11308376   3740 2103528    0    0     0 10710 41800 107478 26 13 55  7  0
 7  1      0 11301888   3740 2107980    0    0     0 10420 45094 114078 27 13 54  7  0
 8  0      0 11296772   3740 2112096    0    0     0 10055 41485 101649 25 12 56  7  0
 0  1      0 11288548   3740 2116832    0    0     0 10930 42893 110862 26 13 54  7  0
 0  0      0 11281092   3740 2121476    0    0     0 11112 45248 117833 24 12 56  7  0
 1  0      0 11273084   3740 2125784    0    0     0 10198 41142 107676 24 11 57  8  0
 1  1      0 11265956   3740 2130264    0    0     0 10534 44771 111251 25 12 56  7  0
 5  1      0 11257472   3740 2134456    0    0     0  9650 41551 101830 23 11 59  7  0
 6  1      0 11249756   3740 2138908    0    0     0 10495 45358 111241 24 13 57  7  0
 4  1      0 11238724   3740 2143172    0    0     0 11764 40352 104358 25 12 57  6  0
 0  0      0 11234252   3740 2147968    0    0     0 10785 44935 112559 27 12 54  7  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 11228288   3740 2152344    0    0     0 10468 44874 108695 22 13 58  7  0
 1  1      0 11227944   3740 2156756    0    0     0 10494 42981 107194 26 12 55  6  0
 2  1      0 11225688   3740 2161160    0    0     0 10912 46459 110087 24 13 55  8  0
 1  0      0 11228168   3740 2166032    0    0     0  9977 44731 110343 25 11 57  7  0
 2  0      0 11223096   3740 2170120    0    0     0 10472 43415 110291 25 13 55  7  0
 7  0      0 11219232   3740 2174596    0    0     0  9861 43554 104733 23 11 59  7  0
 3  0      0 11211800   3740 2179004    0    0     0 10817 44393 108518 24 12 58  7  0
 2  0      0 11205188   3740 2183744    0    0     0 11101 45314 114601 26 11 56  7  0
 4  0      0 11196792   3740 2188960    0    0     0 11848 45249 119925 25 12 55  7  0
 6  1      0 11188712   3740 2193696    0    0     0 10722 42621 112220 27 12 54  7  0
 4  0      0 11181180   3740 2198164    0    0     0 11243 46475 116589 27 14 51  7  0
 2  1      0 11173564   3740 2202556    0    0     0  9736 41709 104303 25 13 56  6  0
 2  0      0 11166668   3740 2206608    0    0     0 10529 44030 110273 25 12 55  8  0
 8  0      0 11159216   3740 2211212    0    0     0 10947 44613 116197 25 12 56  6  0
 5  1      0 11152112   3740 2215976    0    0     0 10204 42477 106414 26 12 55  7  0
 0  1      0 11144784   3740 2220492    0    0     0 10453 44913 108366 26 12 54  7  0
 3  0      0 11136984   3740 2224728    0    0     0 10230 42467 104002 24 12 57  7  0
 3  1      0 11127888   3740 2229780    0    0     0 10874 47212 116134 26 12 55  7  0
 2  0      0 11120820   3740 2233516    0    0     0  9272 36528 92178 21 11 62  6  0
 0  0      0 11119812   3740 2233632    0    0     0    25 4388 6971  2  1 97  0  0
 1  0      0 11119684   3740 2233632    0    0     0  1062 4693 7307  2  1 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 11122960   3740 2233632    0    0     0    24 3587 6045  1  1 98  0  0
 2  0      0 11126224   3740 2233636    0    0     0    26 4060 6478  1  1 97  0  0
