procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0   2560 855296   5796 6615232    0    0     0     1    0    0  0  0 100  0  0
 0  0   2560 846500   5796 6615392    0    0     0     0 9447 8717  5  6 89  0  0
 1  0   2560 843232   5796 6615392    0    0     0     0 4109 4331  1  1 98  0  0
 0  0   2560 842900   5796 6615392    0    0     0     0 4513 4662  1  1 98  0  0
 0  0   2560 842552   5796 6615392    0    0     0     0 4478 4651  1  2 97  0  0
 0  0   2560 842200   5796 6615392    0    0     0     0 4694 4771  1  2 98  0  0
 0  0   2560 842028   5796 6615392    0    0     0     0 4488 4668  1  1 98  0  0
 0  0   2560 841852   5796 6615392    0    0     0     0 4291 4530  1  2 98  0  0
 0  0   2560 841452   5796 6615392    0    0     0     0 4522 4671  1  2 98  0  0
 1  0   2560 841324   5796 6615392    0    0     0     0 4950 5098  1  2 98  0  0
 0  0   2560 841060   5796 6615392    0    0     0     0 4726 4757  1  1 98  0  0
 0  0   2560 840932   5796 6615396    0    0     0     0 4405 4522  1  2 98  0  0
 0  0   2560 840704   5796 6615396    0    0     0     0 5009 5211  1  1 98  0  0
 0  0   2560 840744   5796 6615396    0    0     0     0 4170 4286  1  1 98  0  0
 0  0   2560 840496   5796 6615400    0    0     0     0 4994 5061  1  2 97  0  0
 0  0   2560 840244   5796 6615408    0    0     0     0 4418 4473  1  2 98  0  0
 0  0   2560 839992   5796 6615408    0    0     0   128 4359 4577  1  1 98  0  0
 0  0   2560 840096   5796 6615408    0    0     0     0 4447 4676  1  1 98  0  0
 0  0   2560 840132   5796 6615408    0    0     0     0 4556 4818  1  1 98  0  0
 0  0   2560 839972   5796 6615408    0    0     0     0 4697 4842  1  1 98  0  0
 1  0   2560 839748   5796 6615408    0    0     0     0 4121 4191  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0   2560 839500   5796 6615412    0    0     0     0 3816 3968  1  1 98  0  0
 0  0   2560 839536   5796 6615412    0    0     0     0 3923 4162  1  1 99  0  0
 0  0   2560 838220   5796 6615412    0    0     0     0 4092 4253  1  2 98  0  0
 0  0   2560 838092   5796 6615412    0    0     0     0 4636 4697  1  1 98  0  0
 0  0   2560 838284   5796 6615412    0    0     0     0 4398 4534  1  2 98  0  0
 1  0   2560 838252   5796 6615412    0    0     0     0 4921 5081  1  1 98  0  0
 0  0   2560 837964   5796 6615420    0    0     0     0 4744 5064  1  1 98  0  0
 0  0   2560 838060   5796 6615420    0    0     0     0 4370 4564  0  1 99  0  0
 0  0   2560 838188   5796 6615420    0    0     0    12 4510 4504  1  1 97  0  0
 0  0   2560 813664   5796 6615420    0    0     0     4 5469 5604  3  3 94  0  0
 0  0   2560 813356   5796 6615424    0    0     0     0 4761 5068  1  1 98  0  0
 0  0   2560 813280   5796 6615444    0    0     0     0 4041 4336  1  1 98  0  0
 0  0   2560 813036   5796 6615444    0    0     0     0 4574 4760  1  1 98  0  0
 0  0   2560 813004   5796 6615444    0    0     0     0 4532 4784  1  2 98  0  0
 0  0   2560 812660   5796 6615444    0    0     0   160 4326 4324  1  2 97  0  0
 0  0   2560 812824   5796 6615444    0    0     0     0 4430 4569  1  1 98  0  0
 0  0   2560 812856   5796 6615444    0    0     0     0 4893 5079  0  1 98  0  0
 0  0   2560 812796   5796 6615444    0    0     0     0 4144 4334  0  1 99  0  0
 0  0   2560 812384   5796 6615444    0    0     0     0 4930 5187  1  2 97  0  0
 1  0   2560 812316   5796 6615460    0    0     0     0 4532 4722  1  1 98  0  0
 0  0   2560 812288   5796 6615464    0    0     0     0 4663 4982  1  2 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0   2560 812096   5796 6615468    0    0     0     0 4599 4823  1  1 99  0  0
 0  0   2560 812032   5796 6615472    0    0     0     0 4332 4431  1  2 98  0  0
 0  0   2560 812096   5796 6615472    0    0     0     0 4187 4240  1  2 98  0  0
 0  0   2560 811968   5796 6615476    0    0     0     0 4575 4741  1  2 98  0  0
 0  0   2560 811820   5796 6615480    0    0     0   176 4350 4603  1  1 98  0  0
 0  0   2560 812132   5796 6615480    0    0     0     0 4328 4566  1  2 98  0  0
 1  0   2560 832088   5796 6615480    0    0     0    44 5189 5466  2  2 96  0  0
 0  0   2560 836112   5796 6615496    0    0     0   228 5488 5449  5  3 93  0  0
 1  0   2560 835872   5796 6615496    0    0     0     0 4608 4734  1  2 98  0  0
 0  0   2560 835840   5796 6615500    0    0     0     0 4368 4615  1  1 98  0  0
 0  0   2560 835840   5796 6615504    0    0     0     0 4348 4566  1  1 98  0  0
 0  0   2560 835744   5796 6615512    0    0     0     0 4112 4252  1  2 98  0  0
 0  0   2560 835848   5796 6615512    0    0     0     0 4829 4975  1  2 97  0  0
 1  0   2560 835916   5796 6615512    0    0     0     0 4033 4119  1  2 97  0  0
 0  0   2560 835756   5796 6615512    0    0     0     0 4244 4325  1  1 98  0  0
 1  0   2560 835572   5796 6615512    0    0     0     0 4668 5011  1  1 98  0  0
 0  0   2560 835452   5796 6615512    0    0     0     0 5069 5293  1  1 98  0  0
 0  0   2560 835716   5796 6615512    0    0     0     0 4450 4633  1  2 98  0  0
 0  0   2560 835628   5796 6615516    0    0     0     0 4720 4802  1  1 98  0  0
 0  0   2560 836004   5796 6615516    0    0     0     0 4855 4927  1  2 97  0  0
 0  0   2560 835976   5796 6615516    0    0     0     0 4123 4236  1  2 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 836136   5796 6615516    0    0     0     0 4208 4183  1  1 98  0  0
 0  0   2560 836072   5796 6615524    0    0     0     0 4811 4931  1  1 98  0  0
 0  0   2560 836168   5796 6615528    0    0     0    56 4245 4357  1  2 98  0  0
 0  0   2560 836040   5796 6615528    0    0     0     0 4671 4889  1  1 98  0  0
 0  0   2560 836008   5796 6615528    0    0     0     0 4512 4860  1  1 98  0  0
 0  0   2560 835980   5796 6615528    0    0     0     0 4360 4634  1  1 98  0  0
 0  0   2560 835884   5796 6615528    0    0     0     0 4544 4789  1  2 98  0  0
 1  0   2560 835628   5796 6615528    0    0     0    44 4262 4216  1  1 98  0  0
 0  0   2560 835756   5796 6615528    0    0     0     0 4280 4420  1  1 99  0  0
 0  0   2560 835532   5796 6615528    0    0     0     0 4276 4622  1  1 98  0  0
 0  0   2560 835468   5796 6615528    0    0     0     0 4121 4208  1  1 98  0  0
 0  0   2560 835468   5796 6615532    0    0     0     0 4520 4618  1  2 98  0  0
 0  0   2560 835276   5796 6615532    0    0     0     0 3384 3441  1  1 98  0  0
 0  0   2560 835508   5796 6615536    0    0     0     8 5144 5459  1  1 98  0  0
 0  0   2560 835372   5796 6615540    0    0     0   112 4589 4856  1  2 98  0  0
 0  0   2560 835400   5796 6615544    0    0     0     0 4515 4699  1  2 98  0  0
 1  0   2560 835400   5796 6615544    0    0     0     0 4589 4799  1  1 98  0  0
 0  0   2560 835384   5796 6615548    0    0     0     0 4176 4364  1  2 97  0  0
 0  0   2560 835060   5796 6615548    0    0     0    36 4526 4862  1  1 98  0  0
 1  0   2560 835532   5796 6615552    0    0     0     0 5070 5309  1  1 98  0  0
 0  0   2560 835376   5796 6615552    0    0     0     0 4691 4762  1  2 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 835568   5796 6615552    0    0     0     0 4744 4851  1  2 98  0  0
 1  0   2560 835536   5796 6615556    0    0     0     0 5042 5166  1  2 98  0  0
 0  0   2560 835760   5796 6615556    0    0     0     0 4796 4853  1  2 98  0  0
 0  0   2560 835728   5796 6615560    0    0     0     0 4647 4784  1  1 98  0  0
 1  0   2560 835904   5796 6615560    0    0     0     0 4343 4461  1  1 98  0  0
 0  0   2560 835800   5796 6615560    0    0     0     0 4567 4620  1  2 97  0  0
 0  0   2560 811328   5796 6615564    0    0     0     4 4749 4701  3  2 95  0  0
 0  0   2560 811264   5796 6615580    0    0     0     4 4639 4996  1  2 98  0  0
 0  0   2560 811296   5796 6615580    0    0     0     0 4664 4920  1  2 98  0  0
 0  0   2560 811220   5796 6615600    0    0     0     0 4512 4785  1  1 98  0  0
 0  0   2560 811092   5796 6615600    0    0     0     0 4370 4607  1  1 98  0  0
 0  0   2560 811480   5796 6615604    0    0     0     0 5046 5251  1  2 97  0  0
 0  0   2560 811608   5796 6615604    0    0     0    48 4523 4705  1  2 98  0  0
 0  0   2560 811672   5796 6615604    0    0     0     0 4479 4782  1  1 98  0  0
 0  0   2560 811784   5796 6615604    0    0     0     0 4628 4839  1  1 98  0  0
 0  0   2560 811816   5796 6615604    0    0     0     0 4460 4613  1  2 97  0  0
 1  0   2560 811648   5796 6615604    0    0     0     0 4705 4860  1  2 98  0  0
 0  0   2560 811524   5796 6615604    0    0     0    40 4672 4879  1  2 98  0  0
 0  0   2560 811396   5796 6615604    0    0     0     0 4743 5005  1  1 98  0  0
 0  0   2560 811236   5796 6615608    0    0     0     0 3793 3917  1  1 98  0  0
 0  0   2560 811076   5796 6615612    0    0     0     0 4123 4383  1  2 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 810788   5796 6615616    0    0     0     0 4244 4489  1  2 98  0  0
 0  0   2560 810692   5796 6615620    0    0     0     0 5015 5333  1  1 98  0  0
 0  0   2560 810628   5796 6615620    0    0     0    77 5539 5560  1  1 98  0  0
