Linux 4.18.0-553.124.1.el8_10.x86_64 (l-test-poc-2) 	西元2026年07月03日 	_x86_64_	(4 CPU)

03時15分30秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03時15分31秒  all    4.27    0.00    1.76    0.25    0.00    0.25    0.00    0.00    0.00   93.47
03時15分32秒  all    2.75    0.00    0.75    0.00    0.50    0.50    0.00    0.00    0.00   95.50
03時15分33秒  all    2.02    0.00    0.76    0.00    0.25    0.51    0.00    0.00    0.00   96.46
03時15分34秒  all    2.98    0.00    0.99    0.00    0.25    0.00    0.00    0.00    0.00   95.78
03時15分35秒  all    1.79    0.00    0.51    0.00    0.00    0.00    0.00    0.00    0.00   97.70
03時15分36秒  all    2.25    0.00    1.00    0.00    0.75    0.25    0.00    0.00    0.00   95.75
03時15分37秒  all    2.25    0.00    1.00    0.00    0.25    0.50    0.00    0.00    0.00   96.00
03時15分38秒  all    2.27    0.00    0.76    0.00    0.00    0.50    0.00    0.00    0.00   96.47
03時15分39秒  all    2.26    0.00    1.25    0.00    0.50    0.00    0.00    0.00    0.00   95.99
03時15分40秒  all    2.26    0.00    1.00    0.00    0.50    0.50    0.00    0.00    0.00   95.74
03時15分41秒  all    2.77    0.00    0.76    0.00    0.25    0.25    0.00    0.00    0.00   95.97
03時15分42秒  all    3.27    0.00    1.01    0.00    0.25    0.25    0.00    0.00    0.00   95.21
03時15分43秒  all    2.27    0.00    0.50    0.00    0.25    0.25    0.00    0.00    0.00   96.73
03時15分44秒  all    2.25    0.00    1.00    0.00    0.50    0.50    0.00    0.00    0.00   95.75
03時15分45秒  all    2.50    0.00    1.00    0.00    0.25    0.25    0.00    0.00    0.00   96.00
03時15分46秒  all    3.02    0.00    2.52    0.00    0.50    0.25    0.00    0.00    0.00   93.70
03時15分47秒  all    2.27    0.00    0.76    0.00    0.00    0.00    0.00    0.00    0.00   96.97
03時15分48秒  all    2.51    0.00    0.50    0.00    0.25    0.25    0.00    0.00    0.00   96.49
03時15分49秒  all    2.76    0.00    0.75    0.00    0.25    0.75    0.00    0.00    0.00   95.49
03時15分50秒  all    2.26    0.00    1.01    0.00    0.50    0.00    0.00    0.00    0.00   96.23
03時15分51秒  all    2.26    0.00    1.01    0.00    0.25    0.25    0.00    0.00    0.00   96.23
03時15分52秒  all    3.24    0.00    1.00    0.00    0.25    0.25    0.00    0.00    0.00   95.26
03時15分53秒  all    2.27    0.00    0.76    0.00    0.50    0.25    0.00    0.00    0.00   96.22
03時15分54秒  all    2.26    0.00    0.75    0.00    0.25    0.25    0.00    0.00    0.00   96.48
03時15分55秒  all    3.25    0.00    0.50    0.00    0.50    0.25    0.00    0.00    0.00   95.50
03時15分56秒  all    2.53    0.00    1.01    0.00    0.00    0.51    0.00    0.00    0.00   95.96
03時15分57秒  all    2.27    0.00    0.50    0.00    0.25    0.00    0.00    0.00    0.00   96.98
03時15分58秒  all    2.76    0.00    1.50    0.00    0.75    0.25    0.00    0.00    0.00   94.74
03時15分59秒  all    2.52    0.00    1.01    0.00    0.00    0.25    0.00    0.00    0.00   96.22
03時16分00秒  all    2.51    0.00    1.01    0.00    0.00    0.50    0.00    0.00    0.00   95.98
03時16分01秒  all    3.48    0.00    1.00    0.00    0.75    0.25    0.00    0.00    0.00   94.53
03時16分02秒  all    2.27    0.00    1.01    0.00    0.25    0.50    0.00    0.00    0.00   95.97
03時16分03秒  all    2.53    0.00    0.51    0.00    0.25    0.00    0.00    0.00    0.00   96.72
03時16分04秒  all    2.50    0.00    1.00    0.00    0.25    0.50    0.00    0.00    0.00   95.75
03時16分05秒  all    2.99    0.00    1.25    0.00    0.50    0.00    0.00    0.00    0.00   95.26
03時16分06秒  all    2.02    0.00    0.76    0.00    0.25    0.50    0.00    0.00    0.00   96.47
03時16分07秒  all    2.26    0.00    0.75    0.00    0.00    0.50    0.00    0.00    0.00   96.48
03時16分08秒  all    3.49    0.00    1.00    0.00    0.75    0.00    0.00    0.00    0.00   94.76
03時16分09秒  all    2.26    0.00    0.75    0.00    0.25    0.25    0.00    0.00    0.00   96.48
03時16分10秒  all    1.78    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   97.21
03時16分11秒  all    2.76    0.00    0.50    0.00    0.50    0.75    0.00    0.00    0.00   95.49
03時16分12秒  all    2.01    0.00    1.01    0.00    0.50    0.25    0.00    0.00    0.00   96.23
03時16分13秒  all    2.53    0.00    0.76    0.00    0.00    0.25    0.00    0.00    0.00   96.46
03時16分14秒  all    2.76    0.00    1.01    0.00    0.25    0.00    0.00    0.00    0.00   95.98
03時16分15秒  all    2.49    0.00    1.00    0.00    0.75    0.50    0.00    0.00    0.00   95.26
03時16分16秒  all    2.27    0.00    0.51    0.00    0.00    0.25    0.00    0.00    0.00   96.97
03時16分17秒  all    2.28    0.00    0.51    0.00    0.25    0.00    0.00    0.00    0.00   96.95
03時16分18秒  all    2.72    0.00    1.23    0.00    0.74    0.49    0.00    0.00    0.00   94.81
03時16分19秒  all    2.52    0.00    0.76    0.00    0.00    0.25    0.00    0.00    0.00   96.47
03時16分20秒  all    2.51    0.00    0.50    0.00    0.25    0.50    0.00    0.00    0.00   96.23
03時16分21秒  all    3.27    0.00    1.01    0.00    0.50    0.00    0.00    0.00    0.00   95.23
