Linux 4.18.0-553.124.1.el8_10.x86_64 (l-test-poc-1) 	西元2026年06月22日 	_x86_64_	(4 CPU)

13時54分13秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
13時54分14秒  all   57.36    0.00   13.97    2.24    1.25    3.74    0.00    0.00    0.00   21.45
13時54分15秒  all   53.73    0.00   12.08    2.57    1.54    3.34    0.00    0.00    0.00   26.74
13時54分16秒  all   52.30    0.00   10.20    3.32    1.53    3.06    0.00    0.00    0.00   29.59
13時54分17秒  all   51.14    0.00   11.39    3.29    1.52    2.78    0.00    0.00    0.00   29.87
13時54分18秒  all   53.40    0.00   10.08    3.27    1.51    3.27    0.00    0.00    0.00   28.46
13時54分19秒  all   52.53    0.00   11.36    2.78    1.26    2.78    0.00    0.00    0.00   29.29
13時54分20秒  all   52.93    0.00   10.94    3.31    1.53    2.80    0.00    0.00    0.00   28.50
13時54分21秒  all   50.25    0.00   10.70    3.98    1.74    3.48    0.00    0.00    0.00   29.85
13時54分22秒  all   54.73    0.00   10.74    3.07    1.02    3.07    0.00    0.00    0.00   27.37
13時54分23秒  all   51.28    0.00   10.20    3.57    2.04    2.55    0.00    0.00    0.00   30.36
13時54分24秒  all   56.23    0.00   10.69    2.80    1.02    3.31    0.00    0.00    0.00   25.95
13時54分25秒  all   56.39    0.00   11.53    3.01    1.75    3.26    0.00    0.00    0.00   24.06
13時54分26秒  all   53.81    0.00   10.91    3.81    1.52    3.30    0.00    0.00    0.00   26.65
13時54分27秒  all   53.30    0.00   10.66    2.79    1.52    3.05    0.00    0.00    0.00   28.68
13時54分28秒  all   55.73    0.00   10.94    3.05    1.53    3.05    0.00    0.00    0.00   25.70
13時54分29秒  all   54.29    0.00   10.86    3.03    1.01    2.78    0.00    0.00    0.00   28.03
13時54分30秒  all   51.51    0.00   10.80    3.77    2.01    3.02    0.00    0.00    0.00   28.89
13時54分31秒  all   54.45    0.00   10.18    3.82    1.02    3.05    0.00    0.00    0.00   27.48
13時54分32秒  all   53.96    0.00   10.74    3.07    1.53    3.07    0.00    0.00    0.00   27.62
13時54分33秒  all   54.80    0.00   11.11    2.78    1.77    3.28    0.00    0.00    0.00   26.26
13時54分34秒  all   56.46    0.00   10.89    2.78    1.27    3.04    0.00    0.00    0.00   25.57
13時54分35秒  all   51.79    0.00   10.51    3.33    1.54    3.08    0.00    0.00    0.00   29.74
13時54分36秒  all   53.54    0.00   11.87    3.28    1.52    3.28    0.00    0.00    0.00   26.52
13時54分37秒  all   51.78    0.00   11.93    3.81    1.52    3.30    0.00    0.00    0.00   27.66
13時54分38秒  all   55.70    0.00   11.65    3.29    1.01    3.04    0.00    0.00    0.00   25.32
13時54分39秒  all   54.31    0.00   11.17    3.30    1.78    2.79    0.00    0.00    0.00   26.65
13時54分40秒  all   46.10    0.00    9.32    2.77    1.51    2.77    0.00    0.00    0.00   37.53
13時54分41秒  all   64.81    0.00   10.89    2.28    1.01    2.53    0.00    0.00    0.00   18.48
13時54分42秒  all   68.72    0.00   10.00    2.05    1.28    2.56    0.00    0.00    0.00   15.38
13時54分43秒  all   68.43    0.00    9.60    2.53    1.26    2.27    0.00    0.00    0.00   15.91
13時54分44秒  all   52.88    0.00   11.03    3.76    1.25    3.26    0.00    0.00    0.00   27.82
13時54分45秒  all   45.27    0.00   10.49    2.56    1.53    3.07    0.00    0.00    0.00   37.08
13時54分46秒  all   54.99    0.00   11.51    3.32    1.53    3.07    0.00    0.00    0.00   25.58
13時54分47秒  all   50.76    0.00   10.86    3.03    1.52    3.28    0.00    0.00    0.00   30.56
13時54分48秒  all   54.06    0.00   11.68    3.05    1.52    3.30    0.00    0.00    0.00   26.40
13時54分49秒  all   52.05    0.00   11.28    3.33    1.28    2.82    0.00    0.00    0.00   29.23
13時54分50秒  all   54.20    0.00   11.70    3.31    1.53    3.05    0.00    0.00    0.00   26.21
13時54分51秒  all   51.79    0.00   11.22    3.32    1.53    3.32    0.00    0.00    0.00   28.83
13時54分52秒  all   55.84    0.00    9.90    3.55    1.52    3.30    0.00    0.00    0.00   25.89
13時54分53秒  all   54.45    0.00   10.94    3.82    1.53    2.80    0.00    0.00    0.00   26.46
13時54分54秒  all   54.68    0.00   11.39    3.29    1.52    3.29    0.00    0.00    0.00   25.82
13時54分55秒  all   53.45    0.00   11.00    2.81    1.79    3.32    0.00    0.00    0.00   27.62
13時54分56秒  all   56.23    0.00   11.70    3.05    1.27    3.56    0.00    0.00    0.00   24.17
13時54分57秒  all   54.59    0.00    9.69    3.83    1.28    2.55    0.00    0.00    0.00   28.06
13時54分58秒  all   54.20    0.00   11.20    3.31    1.53    3.31    0.00    0.00    0.00   26.46
13時54分59秒  all   52.02    0.00   10.61    3.28    1.52    2.78    0.00    0.00    0.00   29.80
13時55分00秒  all   55.08    0.00   10.41    3.05    1.52    3.30    0.00    0.00    0.00   26.65
13時55分01秒  all   56.23    0.00   11.45    2.29    1.27    3.05    0.00    0.00    0.00   25.70
13時55分02秒  all   53.71    0.00   10.49    2.81    1.53    3.07    0.00    0.00    0.00   28.39
13時55分03秒  all   54.64    0.00   12.53    3.76    1.75    3.51    0.00    0.00    0.00   23.81
13時55分04秒  all   54.71    0.00   12.21    2.80    1.27    3.31    0.00    0.00    0.00   25.70
13時55分05秒  all   53.57    0.00   11.99    3.32    1.79    3.32    0.00    0.00    0.00   26.02
13時55分06秒  all   54.06    0.00   11.17    3.30    1.27    3.05    0.00    0.00    0.00   27.16
