Linux 4.18.0-425.3.1.el8.x86_64 (l-dbm-labroom-1) 	西元2026年06月22日 	_x86_64_	(4 CPU)

14時00分14秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14時00分15秒  all    6.36    0.00    6.87    0.00    0.51    1.78    0.00    0.00    0.00   84.48
14時00分16秒  all    2.25    0.00    3.25    0.00    1.00    1.75    0.00    0.00    0.00   91.75
14時00分17秒  all    2.54    0.00    2.54    0.00    0.76    1.78    0.00    0.00    0.00   92.37
14時00分18秒  all    2.26    0.00    2.76    0.00    0.75    1.76    0.00    0.00    0.00   92.46
14時00分19秒  all    2.03    0.00    2.79    0.00    0.51    1.27    0.00    0.00    0.00   93.40
14時00分20秒  all    8.54    0.00    5.03    0.00    0.75    1.76    0.00    0.00    0.00   83.92
14時00分21秒  all    2.51    0.00    3.01    0.00    1.00    1.75    0.00    0.00    0.00   91.73
14時00分22秒  all    1.53    0.00    2.29    0.00    0.51    1.27    0.00    0.00    0.00   94.40
14時00分23秒  all    2.51    0.00    2.76    0.00    1.00    2.01    0.00    0.00    0.00   91.73
14時00分24秒  all    1.78    0.00    2.54    0.00    0.25    1.52    0.00    0.00    0.00   93.91
14時00分25秒  all    2.28    0.00    2.28    0.00    0.76    1.52    0.00    0.00    0.00   93.15
14時00分26秒  all    2.26    0.00    3.01    0.00    1.00    1.50    0.00    0.00    0.00   92.23
14時00分27秒  all    2.27    0.00    2.78    0.00    0.76    1.52    0.00    0.00    0.00   92.68
14時00分28秒  all    2.03    0.00    2.28    0.00    0.51    1.52    0.00    0.00    0.00   93.67
14時00分29秒  all    2.02    0.00    2.52    0.00    0.76    1.76    0.00    0.00    0.00   92.95
14時00分30秒  all    2.53    0.00    2.53    0.00    0.51    1.27    0.00    0.00    0.00   93.16
14時00分31秒  all    1.78    0.00    1.78    0.00    0.76    1.78    0.00    0.00    0.00   93.91
14時00分32秒  all    1.77    0.00    2.78    0.00    0.76    1.52    0.00    0.00    0.00   93.18
14時00分33秒  all    2.28    0.00    2.28    0.00    0.51    1.78    0.00    0.00    0.00   93.15
14時00分34秒  all    2.03    0.00    2.79    0.00    0.51    1.52    0.00    0.00    0.00   93.15
14時00分35秒  all    2.25    0.00    3.50    0.00    1.00    1.50    0.00    0.00    0.00   91.75
14時00分36秒  all    1.52    0.00    3.04    0.00    0.76    1.77    0.00    0.00    0.00   92.91
14時00分37秒  all    2.03    0.00    2.28    0.00    0.76    1.27    0.00    0.00    0.00   93.67
14時00分38秒  all    2.27    0.00    2.27    0.00    0.50    1.26    0.00    0.00    0.00   93.70
14時00分39秒  all    2.00    0.00    2.99    0.00    0.50    1.25    0.00    0.00    0.00   93.27
