procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0      0 12413020   3040 3406016    0    0     6   343   20  234  3  2 94  1  0
 0  0      0 12415856   3040 3406072    0    0     0     0 9907 13694 12  8 80  0  0
 0  0      0 12413168   3040 3406072    0    0     0     0 10544 15049 10  6 84  0  0
 0  0      0 12415760   3040 3406072    0    0     0     0 9135 12142  6  5 89  0  0
 0  0      0 12414704   3040 3406072    0    0     0     0 7469 10213  4  3 93  0  0
 0  0      0 12412112   3040 3406072    0    0     0     0 4288 6009  3  2 95  0  0
 1  0      0 12412528   3040 3406072    0    0     0     0 2684 4178  1  2 98  0  0
 0  0      0 12412784   3040 3406072    0    0     0     0 2340 3274  1  1 98  0  0
 0  0      0 12413040   3040 3406072    0    0     0     0 1566 2317  1  1 99  0  0
 2  0      0 12413200   3040 3406072    0    0     0     0 1832 2610  1  1 98  0  0
 0  0      0 12413392   3040 3406072    0    0     0     0 1572 2277  0  1 99  0  0
 0  0      0 12413364   3040 3406072    0    0     0     0 1546 2298  1  1 98  0  0
 0  0      0 12413396   3040 3406072    0    0     0     0 1701 2585  1  1 98  0  0
 0  0      0 12413524   3040 3406072    0    0     0     0 1405 2204  1  1 99  0  0
 0  0      0 12413652   3040 3406076    0    0     0     0 1687 2366  1  1 98  0  0
 0  0      0 12413876   3040 3406076    0    0     0     0 1473 2241  1  1 99  0  0
 0  0      0 12414036   3040 3406076    0    0     0     0 1645 2638  1  1 99  0  0
 0  0      0 12414100   3040 3406076    0    0     0    20 2013 3274  1  1 99  0  0
 0  0      0 12414292   3040 3406076    0    0     0     0 1481 2374  0  1 99  0  0
 0  0      0 12414356   3040 3406080    0    0     0     0 2073 3127  1  1 99  0  0
 0  0      0 12414612   3040 3406080    0    0     0     0 1675 2561  1  1 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 12414772   3040 3406080    0    0     0     0 1553 2297  1  1 99  0  0
 0  0      0 12414836   3040 3406080    0    0     0     0 1608 2475  1  1 98  0  0
 0  0      0 12414932   3040 3406080    0    0     0     0 1375 2177  1  1 99  0  0
 0  0      0 12415124   3040 3406080    0    0     0     0 2026 2999  1  1 98  0  0
 0  0      0 12415412   3040 3406080    0    0     0     0 1589 2342  1  1 99  0  0
 0  0      0 12415476   3040 3406080    0    0     0     0 1441 2245  0  1 99  0  0
 0  0      0 12415636   3040 3406080    0    0     0    15 2096 3362  1  1 98  0  0
 0  0      0 12415732   3040 3406080    0    0     0     4 1560 2518  1  1 99  0  0
 0  0      0 12415956   3040 3406080    0    0     0     0 2547 3419  1  2 98  0  0
 2  0      0 12416148   3040 3406084    0    0     0   131 1623 2407  1  1 99  0  0
 3  0      0 12416308   3040 3406084    0    0     0     0 1771 2801  0  1 99  0  0
 0  0      0 12416532   3040 3406084    0    0     0     0 1629 2476  1  1 98  0  0
 0  0      0 12416596   3040 3406084    0    0     0    24 1364 2051  1  1 99  0  0
 0  0      0 12416820   3040 3406088    0    0     0     0 1994 3036  1  1 98  0  0
 0  0      0 12416980   3040 3406088    0    0     0     0 1502 2234  1  1 99  0  0
 0  0      0 12417108   3040 3406088    0    0     0     0 1544 2389  1  1 99  0  0
 0  0      0 12417204   3040 3406088    0    0     0     0 1566 2482  0  1 99  0  0
 0  0      0 12417364   3040 3406088    0    0     0     0 1371 2148  0  1 99  0  0
 0  0      0 12417524   3040 3406088    0    0     0     0 2099 3182  1  1 98  0  0
 0  0      0 12414612   3040 3406088    0    0     0     0 1543 2221  1  1 99  0  0
 0  0      0 12414676   3040 3406088    0    0     0     0 1823 2758  1  1 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 12414900   3040 3406088    0    0     0     0 1823 2888  1  1 99  0  0
 2  0      0 12414932   3040 3406088    0    0     0     0 1364 2121  0  1 99  0  0
 0  0      0 12415156   3040 3406088    0    0     0     0 2059 3132  1  1 98  0  0
 0  0      0 12415252   3040 3406088    0    0     0     0 1640 2445  1  1 99  0  0
 0  0      0 12415476   3040 3406088    0    0     0     0 1610 2525  1  1 99  0  0
 0  0      0 12415540   3040 3406088    0    0     0     0 1723 2731  1  1 99  0  0
 0  0      0 12415732   3040 3406088    0    0     0     0 1463 2329  1  1 99  0  0
 0  0      0 12415732   3040 3406088    0    0     0     0 1790 2612  1  1 99  0  0
 0  0      0 12416084   3040 3406096    0    0     0     0 1619 2381  1  1 99  0  0
 0  0      0 12416116   3040 3406096    0    0     0     0 1847 2913  1  1 99  0  0
 0  0      0 12416276   3040 3406096    0    0     0     0 1760 2718  1  1 98  0  0
 0  0      0 12416404   3040 3406096    0    0     0    24 1504 2363  1  1 99  0  0
 0  0      0 12416628   3040 3406096    0    0     0     0 2374 3711  1  1 98  0  0
