Linux 4.18.0-553.124.1.el8_10.x86_64 (l-test-poc-2) 	西元2026年06月23日 	_x86_64_	(4 CPU)

00時20分04秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
00時20分05秒  all    1.75    0.00    1.50    0.00    0.25    0.25    0.00    0.00    0.00   96.24
00時20分06秒  all    1.02    0.00    0.51    0.00    0.25    0.25    0.00    0.00    0.00   97.97
00時20分07秒  all    1.52    0.00    1.77    1.77    0.25    0.51    0.00    0.00    0.00   94.19
00時20分08秒  all    4.55    0.00    5.05    7.32    0.76    0.76    0.00    0.00    0.00   81.57
00時20分09秒  all   12.15    0.00   10.13   17.22    1.52    2.03    0.00    0.00    0.00   56.96
00時20分10秒  all   12.08    0.00   10.28   20.31    1.80    2.06    0.00    0.00    0.00   53.47
00時20分11秒  all   12.08    0.00   10.03   19.79    1.54    2.06    0.00    0.00    0.00   54.50
00時20分12秒  all   12.72    0.00   11.45   21.12    1.78    2.04    0.00    0.00    0.00   50.89
00時20分13秒  all   13.33    0.00   11.03   23.59    1.54    2.05    0.00    0.00    0.00   48.46
00時20分14秒  all   12.82    0.00   11.28   21.28    1.54    2.31    0.00    0.00    0.00   50.77
00時20分15秒  all   13.92    0.00   11.90   22.28    1.77    2.03    0.00    0.00    0.00   48.10
00時20分16秒  all   11.79    0.00   10.77   20.51    1.54    2.05    0.00    0.00    0.00   53.33
00時20分17秒  all   12.53    0.00   10.23   20.97    1.79    2.05    0.00    0.00    0.00   52.43
00時20分18秒  all   12.21    0.00   10.65   20.00    1.30    2.08    0.00    0.00    0.00   53.77
00時20分19秒  all   12.08    0.00   10.80   20.31    1.80    1.80    0.00    0.00    0.00   53.21
00時20分20秒  all   12.95    0.00   11.40   21.50    2.07    2.33    0.00    0.00    0.00   49.74
00時20分21秒  all   12.05    0.00   10.00   20.77    1.54    2.31    0.00    0.00    0.00   53.33
00時20分22秒  all   10.91    0.00   10.65   21.04    1.56    1.82    0.00    0.00    0.00   54.03
00時20分23秒  all   10.68    0.00    9.11   19.53    1.30    1.82    0.00    0.00    0.00   57.55
00時20分24秒  all   11.70    0.00   10.43   19.59    1.53    1.78    0.00    0.00    0.00   54.96
00時20分25秒  all   13.08    0.00   10.26   20.00    1.54    2.56    0.00    0.00    0.00   52.56
00時20分26秒  all   12.50    0.00    9.38   20.83    1.82    1.56    0.00    0.00    0.00   53.91
00時20分27秒  all   10.65    0.00    8.57   20.78    1.56    1.82    0.00    0.00    0.00   56.62
00時20分28秒  all   11.93    0.00   10.41   19.29    1.52    2.28    0.00    0.00    0.00   54.57
00時20分29秒  all   12.37    0.00   11.86   18.56    1.55    1.55    0.00    0.00    0.00   54.12
00時20分30秒  all   11.57    0.00   10.03   19.28    1.54    2.31    0.00    0.00    0.00   55.27
00時20分31秒  all   11.57    0.00   11.31   20.31    1.54    2.06    0.00    0.00    0.00   53.21
00時20分32秒  all   10.26    0.00    9.74   20.77    1.54    1.79    0.00    0.00    0.00   55.90
00時20分33秒  all   11.05    0.00    9.51   19.79    1.29    1.80    0.00    0.00    0.00   56.56
00時20分34秒  all   11.40    0.00   10.62   19.43    1.55    1.81    0.00    0.00    0.00   55.18
