procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 12614212   3132 3205172    0    0     8   351  271  184  4  3 92  1  0
 0  0      0 12616124   3132 3205184    0    0     0   166 1889 2566  1  2 96  1  0
 0  0      0 12616220   3132 3205184    0    0     0     0 1631 2454  1  2 97  0  0
 0  0      0 12616568   3132 3205184    0    0     0     0 2263 3470  1  1 97  0  0
 0  0      0 12616856   3132 3205184    0    0     0    28 2204 3270  1  2 97  0  0
 0  0      0 12616952   3132 3205184    0    0     0     0 2010 3140  1  1 98  0  0
 0  0      0 12617112   3132 3205184    0    0     0     0 1367 2035  1  1 98  0  0
 0  0      0 12617208   3132 3205184    0    0     0     0 1521 2371  1  1 98  0  0
 0  0      0 12617272   3132 3205184    0    0     0     0 1403 2119  1  1 98  0  0
 0  0      0 12617592   3132 3205188    0    0     0    40 2125 3077  1  2 97  0  0
 0  0      0 12617624   3132 3205188    0    0     0     0 1558 2324  1  1 98  0  0
 0  0      0 12617816   3132 3205188    0    0     0     0 1349 1950  1  2 98  0  0
 0  0      0 12617912   3132 3205188    0    0     0     0 1434 2170  1  1 98  0  0
 0  0      0 12618040   3132 3205188    0    0     0     0 1685 2286  1  1 98  0  0
 0  0      0 12618232   3132 3205192    0    0     0     0 1914 2800  1  2 97  0  0
 0  0      0 12618424   3132 3205192    0    0     0     0 2007 3142  1  2 97  0  0
 0  0      0 12618488   3132 3205192    0    0     0     0 1380 2081  1  1 98  0  0
 0  0      0 12618648   3132 3205192    0    0     0     0 1537 2380  1  2 98  0  0
 0  0      0 12618680   3132 3205192    0    0     0     0 1471 2276  1  1 98  0  0
 0  0      0 12618936   3132 3205192    0    0     0     0 2169 3218  1  2 97  0  0
 0  0      0 12619032   3132 3205192    0    0     0     0 1507 2051  1  2 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 12619192   3132 3205192    0    0     0     0 1544 2341  1  1 98  0  0
 0  0      0 12619256   3132 3205192    0    0     0     0 1553 2292  1  1 98  0  0
 0  0      0 12619448   3132 3205192    0    0     0     0 1398 2056  1  1 98  0  0
 0  0      0 12619512   3132 3205196    0    0     0     0 2135 3186  1  2 97  0  0
 0  0      0 12619704   3132 3205196    0    0     0     0 1696 2531  1  1 98  0  0
 0  0      0 12619832   3132 3205196    0    0     0     0 1288 1882  1  1 98  0  0
 0  0      0 12619992   3132 3205200    0    0     0     0 1839 2790  1  1 98  0  0
 0  0      0 12616984   3132 3205200    0    0     0     0 1733 2540  1  2 98  0  0
 0  0      0 12617336   3132 3205208    0    0     0     0 2238 3150  1  2 97  0  0
 0  0      0 12617400   3132 3205208    0    0     0     0 1693 2371  1  2 98  0  0
 0  0      0 12617656   3132 3205208    0    0     0     0 1609 2250  1  2 97  0  0
 0  0      0 12617720   3132 3205208    0    0     0    46 1516 2195  1  1 98  0  0
 0  0      0 12617848   3132 3205208    0    0     0     0 1517 2352  1  1 98  0  0
 0  0      0 12617880   3132 3205208    0    0     0     0 1354 2073  1  1 98  0  0
 0  0      0 12618040   3132 3205208    0    0     0     0 1239 1944  1  1 99  0  0
 1  0      0 12618104   3132 3205208    0    0     0     0 1140 1814  0  1 99  0  0
 0  0      0 12618136   3132 3205208    0    0     0     0 1134 1760  1  1 98  0  0
 0  0      0 12618264   3132 3205208    0    0     0     0 1736 2599  1  1 98  0  0
 0  0      0 12618456   3132 3205208    0    0     0     0 1941 2801  1  2 97  0  0
 0  0      0 12618616   3132 3205208    0    0     0     0 1785 2871  1  1 98  0  0
 0  0      0 12618808   3132 3205208    0    0     0     0 1456 2159  0  2 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 12618620   3132 3205208    0    0     0     0 1455 2210  1  1 98  0  0
 0  0      0 12615676   3132 3205208    0    0     0     0 1735 2512  1  2 98  0  0
 1  0      0 12616028   3132 3205212    0    0     0    32 2239 2919  1  1 97  0  0
 0  0      0 12616220   3132 3205212    0    0     0     0 1879 2658  1  2 98  0  0
 0  0      0 12616412   3132 3205212    0    0     0     0 1432 2021  1  1 98  0  0
 0  0      0 12616508   3132 3205212    0    0     0     0 1442 2119  1  1 98  0  0
 0  0      0 12616636   3132 3205216    0    0     0     0 1669 2358  1  1 97  0  0
 0  0      0 12616892   3132 3205216    0    0     0     0 2153 3153  1  2 97  0  0
 0  0      0 12617116   3132 3205216    0    0     0     0 1869 2742  1  2 97  0  0
 1  0      0 12617180   3132 3205220    0    0     0     0 1579 2300  1  1 98  0  0
 0  0      0 12617340   3132 3205220    0    0     0     0 1660 2462  1  1 98  0  0
 0  0      0 12617468   3132 3205220    0    0     0     0 1755 2609  1  1 97  0  0
 0  0      0 12617692   3132 3205220    0    0     0     0 1969 2871  1  1 98  0  0
 0  0      0 12617788   3132 3205220    0    0     0     8 1714 2551  1  1 98  0  0
