procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0   2560 879708   5796 6537364    0    0     0     1    0    0  0  0 100  0  0
 1  0   2560 841316   5796 6537576    0    0     0     0 7397 5777 10  6 84  0  0
 2  0   2560 841200   5796 6537592    0    0     0     0 1929 1707  0  0 99  0  0
 0  0   2560 841424   5796 6537592    0    0     0     0 1527 1488  0  0 100  0  0
 0  0   2560 837996   5796 6537592    0    0     0     0 8397 9154  1  2 97  0  0
 0  0   2560 838024   5796 6537592    0    0     0   152 14973 16230  2  3 95  0  0
 0  0   2560 838376   5796 6537592    0    0     0     0 16656 17806  2  3 95  0  0
 0  0   2560 838672   5796 6537592    0    0     0     0 16513 17842  1  3 96  0  0
 0  0   2560 836572   5796 6537592    0    0     0     0 17238 18670  2  3 96  0  0
 0  0   2560 836604   5796 6537592    0    0     0     0 16417 17613  1  3 96  0  0
 1  0   2560 835616   5796 6537592    0    0     0     0 17084 18310  2  3 95  0  0
 0  0   2560 835368   5796 6537596    0    0     0     0 17415 18709  1  3 96  0  0
 2  0   2560 835088   5796 6537604    0    0     0     0 15904 17114  1  3 96  0  0
 1  0   2560 853880   5796 6537556    0    0     0    44 18058 19346  3  4 93  0  0
 0  0   2560 857136   5796 6537580    0    0     0   224 17488 18783  6  4 90  0  0
 0  0   2560 857552   5796 6537600    0    0     0     0 17055 18214  1  3 96  0  0
 0  0   2560 857040   5796 6537600    0    0     0     0 17498 18786  1  3 96  0  0
 0  0   2560 857140   5796 6537600    0    0     0     0 16823 18379  2  3 95  0  0
 1  0   2560 857336   5796 6537600    0    0     0     0 16601 18015  2  3 95  0  0
 1  0   2560 857368   5796 6537600    0    0     0     0 17366 18964  1  3 96  0  0
 0  0   2560 857576   5796 6537600    0    0     0     0 18629 20006  2  3 95  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0   2560 857388   5796 6537600    0    0     0     0 18145 19509  2  4 95  0  0
 1  0   2560 857680   5796 6537612    0    0     0     0 19113 20367  2  3 95  0  0
 1  0   2560 857744   5796 6537612    0    0     0     0 17444 18536  2  4 95  0  0
 1  0   2560 858160   5796 6537612    0    0     0     0 18329 19531  2  4 95  0  0
 2  0   2560 857776   5796 6537612    0    0     0     0 18360 19481  2  4 94  0  0
 2  0   2560 857712   5796 6537612    0    0     0     0 17305 18354  2  3 95  0  0
 1  0   2560 857296   5796 6537628    0    0     0     0 18104 19320  2  4 94  0  0
