Linux 4.18.0-425.3.1.el8.x86_64 (l-dbm-labroom-1) 	西元2026年07月03日 	_x86_64_	(4 CPU)

11時23分27秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11時23分28秒  all   18.70    0.00   17.71    0.00    0.25    0.75    0.00    0.00    0.00   62.59
11時23分29秒  all   10.89    0.00   21.01    0.00    0.51    0.25    0.00    0.00    0.00   67.34
11時23分30秒  all   10.97    0.00   21.70    0.00    0.50    0.75    0.00    0.00    0.00   66.08
11時23分31秒  all    9.09    0.00   13.38    0.00    0.25    0.25    0.00    0.00    0.00   77.02
11時23分32秒  all   10.75    0.00   21.00    0.00    0.75    0.75    0.00    0.00    0.00   66.75
11時23分33秒  all   10.58    0.00   21.66    0.00    0.25    0.25    0.00    0.00    0.00   67.25
11時23分34秒  all   10.30    0.00   21.61    0.00    0.75    0.75    0.00    0.00    0.00   66.58
11時23分35秒  all   10.55    0.00   22.11    0.00    0.00    0.25    0.00    0.00    0.00   67.09
11時23分36秒  all   11.19    0.00   21.39    0.00    1.00    0.75    0.00    0.00    0.00   65.67
11時23分37秒  all   10.35    0.00   21.97    0.00    0.00    0.25    0.00    0.00    0.00   67.42
11時23分38秒  all   10.70    0.00   21.39    0.00    0.50    0.75    0.00    0.00    0.00   66.67
11時23分39秒  all   11.31    0.00   21.36    0.00    0.50    0.25    0.00    0.00    0.00   66.58
11時23分40秒  all   11.06    0.00   20.85    0.00    0.25    0.75    0.00    0.00    0.00   67.09
11時23分41秒  all   10.83    0.00   21.66    0.00    0.76    0.00    0.00    0.00    0.00   66.75
11時23分42秒  all   10.00    0.00   18.75    0.00    0.00    0.75    0.00    0.00    0.00   70.50
11時23分43秒  all    8.77    0.00   15.54    0.00    0.75    0.25    0.00    0.00    0.00   74.69
11時23分44秒  all   10.86    0.00   21.21    0.00    0.25    0.51    0.00    0.00    0.00   67.17
11時23分45秒  all   11.25    0.00   21.50    0.00    0.25    0.50    0.00    0.00    0.00   66.50
11時23分46秒  all   10.86    0.00   21.21    0.00    0.76    0.51    0.00    0.00    0.00   66.67
11時23分47秒  all   10.50    0.00   21.50    0.00    0.25    0.75    0.00    0.00    0.00   67.00
11時23分48秒  all   10.75    0.00   21.75    0.00    0.75    0.25    0.00    0.00    0.00   66.50
11時23分49秒  all   10.00    0.00   23.00    0.00    0.25    0.50    0.00    0.00    0.00   66.25
11時23分50秒  all   10.08    0.00   21.66    0.00    0.76    0.50    0.00    0.00    0.00   67.00
11時23分51秒  all   10.63    0.00   21.77    0.00    0.00    0.51    0.00    0.00    0.00   67.09
11時23分52秒  all   11.47    0.00   20.70    0.00    0.50    0.50    0.00    0.00    0.00   66.83
11時23分53秒  all   11.31    0.00   21.11    0.00    0.50    0.50    0.00    0.00    0.00   66.58
11時23分54秒  all   10.22    0.00   22.19    0.00    0.50    0.75    0.00    0.00    0.00   66.33
11時23分55秒  all   11.06    0.00   21.11    0.00    0.50    0.25    0.00    0.00    0.00   67.09
11時23分56秒  all    8.04    0.00   13.07    0.00    0.25    0.50    0.00    0.00    0.00   78.14
11時23分57秒  all   10.55    0.00   20.60    0.00    0.50    0.50    0.00    0.00    0.00   67.84
11時23分58秒  all   11.28    0.00   21.30    0.00    0.25    0.50    0.00    0.00    0.00   66.67
11時23分59秒  all   10.86    0.00   21.72    0.00    0.51    0.00    0.00    0.00    0.00   66.92
11時24分00秒  all   10.28    0.00   21.55    0.00    0.50    1.00    0.00    0.00    0.00   66.67
11時24分01秒  all   13.03    0.00   22.06    0.00    0.50    0.00    0.00    0.00    0.00   64.41
11時24分02秒  all   11.03    0.00   21.30    0.00    0.50    1.00    0.00    0.00    0.00   66.17
11時24分03秒  all   10.94    0.00   21.88    0.00    0.25    0.00    0.00    0.00    0.00   66.92
11時24分04秒  all   10.97    0.00   20.95    0.00    0.75    1.00    0.00    0.00    0.00   66.33
11時24分05秒  all    5.04    0.00    7.05    0.00    0.00    0.25    0.00    0.00    0.00   87.66
11時24分06秒  all   10.61    0.00   21.46    0.00    0.51    0.51    0.00    0.00    0.00   66.92
11時24分07秒  all   11.00    0.00   20.75    0.00    0.50    0.50    0.00    0.00    0.00   67.25
11時24分08秒  all    9.52    0.00   23.06    0.00    0.25    0.50    0.00    0.00    0.00   66.67
11時24分09秒  all   10.33    0.00   21.91    0.00    0.76    0.25    0.00    0.00    0.00   66.75
11時24分10秒  all   11.08    0.00   21.16    0.00    0.00    0.76    0.00    0.00    0.00   67.00
11時24分11秒  all   10.28    0.00   22.06    0.00    1.00    0.25    0.00    0.00    0.00   66.42
11時24分12秒  all   11.08    0.00   21.16    0.00    0.00    0.50    0.00    0.00    0.00   67.25
11時24分13秒  all   11.56    0.00   20.60    0.00    0.50    0.50    0.00    0.00    0.00   66.83
11時24分14秒  all   11.03    0.00   21.55    0.00    0.50    0.25    0.00    0.00    0.00   66.67
11時24分15秒  all   11.03    0.00   21.05    0.00    0.50    0.75    0.00    0.00    0.00   66.67
11時24分16秒  all   11.03    0.00   21.55    0.00    0.50    0.50    0.00    0.00    0.00   66.42
11時24分17秒  all    3.50    0.00    4.25    0.00    0.00    0.25    0.00    0.00    0.00   92.00
11時24分18秒  all   11.11    0.00   20.20    0.00    0.51    0.25    0.00    0.00    0.00   67.93
11時24分19秒  all   10.86    0.00   21.21    0.00    0.51    0.76    0.00    0.00    0.00   66.67
11時24分20秒  all   15.96    0.00   23.94    0.00    0.50    0.25    0.00    0.00    0.00   59.35
11時24分21秒  all   10.78    0.00   21.55    0.00    0.50    0.75    0.00    0.00    0.00   66.42
11時24分22秒  all   11.28    0.00   21.55    0.00    0.00    0.25    0.00    0.00    0.00   66.92
11時24分23秒  all   10.75    0.00   20.75    0.00    1.00    0.50    0.00    0.00    0.00   67.00
11時24分24秒  all   11.56    0.00   21.11    0.00    0.00    0.75    0.00    0.00    0.00   66.58
11時24分25秒  all   10.83    0.00   21.41    0.00    0.76    0.25    0.00    0.00    0.00   66.75
11時24分26秒  all   10.83    0.00   21.16    0.00    0.25    0.76    0.00    0.00    0.00   67.00
11時24分27秒  all    6.30    0.00    9.82    0.00    0.25    0.00    0.00    0.00    0.00   83.63
11時24分28秒  all    6.48    0.00   10.72    0.00    0.50    0.75    0.00    0.00    0.00   81.55
11時24分29秒  all    9.00    0.00   20.00    0.00    0.25    0.25    0.00    0.00    0.00   70.50
11時24分30秒  all    9.02    0.00   19.80    0.00    0.75    0.25    0.00    0.00    0.00   70.18
11時24分31秒  all    9.50    0.00   19.00    0.00    0.25    0.75    0.00    0.00    0.00   70.50
11時24分32秒  all    9.14    0.00   19.29    0.00    0.25    0.00    0.00    0.00    0.00   71.32
11時24分33秒  all    9.27    0.00   19.30    0.00    0.75    0.50    0.00    0.00    0.00   70.18
11時24分34秒  all    9.30    0.00   19.35    0.00    0.00    0.50    0.00    0.00    0.00   70.85
11時24分35秒  all    8.98    0.00   19.70    0.00    0.75    0.50    0.00    0.00    0.00   70.07
11時24分36秒  all    7.79    0.00   16.58    0.00    0.25    0.25    0.00    0.00    0.00   75.13
11時24分37秒  all    2.51    0.00    3.76    0.00    0.00    0.25    0.00    0.00    0.00   93.48
11時24分38秒  all    2.26    0.00    3.52    0.00    0.00    0.00    0.00    0.00    0.00   94.22
11時24分39秒  all    4.50    0.00    7.75    0.00    0.75    0.75    0.00    0.00    0.00   86.25
11時24分40秒  all    2.51    0.00    3.01    0.00    0.50    1.75    0.00    0.00    0.00   92.23
11時24分41秒  all    1.27    0.00    2.29    0.00    0.76    1.02    0.00    0.00    0.00   94.66
11時24分42秒  all    2.26    0.00    2.76    0.00    0.50    1.51    0.00    0.00    0.00   92.96
11時24分43秒  all    1.76    0.00    2.77    0.00    0.50    1.76    0.00    0.00    0.00   93.20
11時24分44秒  all    1.79    0.00    2.04    0.00    0.77    1.02    0.00    0.00    0.00   94.39
11時24分45秒  all    2.27    0.00    2.77    0.00    0.76    1.76    0.00    0.00    0.00   92.44
11時24分46秒  all    2.03    0.00    2.28    0.00    0.51    1.27    0.00    0.00    0.00   93.91
11時24分47秒  all    2.00    0.00    2.50    0.00    0.50    1.75    0.00    0.00    0.00   93.25
11時24分48秒  all    1.02    0.00    2.04    0.00    0.76    1.02    0.00    0.00    0.00   95.17
11時24分49秒  all    2.27    0.00    3.02    0.00    0.76    1.51    0.00    0.00    0.00   92.44
11時24分50秒  all    2.03    0.00    2.78    0.00    0.51    1.77    0.00    0.00    0.00   92.91
11時24分51秒  all    2.03    0.00    2.28    0.00    0.76    1.01    0.00    0.00    0.00   93.92
11時24分52秒  all    2.27    0.00    2.52    0.00    0.50    1.51    0.00    0.00    0.00   93.20
11時24分53秒  all    2.26    0.00    3.27    0.00    0.75    1.76    0.00    0.00    0.00   91.96
11時24分54秒  all    2.53    0.00    2.78    0.00    0.51    1.77    0.00    0.00    0.00   92.42
11時24分55秒  all    2.53    0.00    3.28    0.00    0.76    1.77    0.00    0.00    0.00   91.67
11時24分56秒  all    2.03    0.00    2.53    0.00    0.51    1.77    0.00    0.00    0.00   93.16
11時24分57秒  all    2.02    0.00    2.52    0.00    1.01    1.01    0.00    0.00    0.00   93.45
11時24分58秒  all    1.77    0.00    2.78    0.00    0.51    1.52    0.00    0.00    0.00   93.42
11時24分59秒  all    2.02    0.00    2.78    0.00    0.76    1.77    0.00    0.00    0.00   92.68
11時25分00秒  all    2.28    0.00    2.28    0.00    0.25    1.27    0.00    0.00    0.00   93.91
11時25分01秒  all    2.02    0.00    2.77    0.00    1.01    1.51    0.00    0.00    0.00   92.70
11時25分02秒  all    3.77    0.00    2.76    0.00    0.75    1.51    0.00    0.00    0.00   91.21
11時25分03秒  all    1.78    0.00    2.54    0.00    0.25    1.02    0.00    0.00    0.00   94.42
11時25分04秒  all    2.27    0.00    2.27    0.00    1.01    1.76    0.00    0.00    0.00   92.70
11時25分05秒  all    1.79    0.00    1.54    0.00    0.51    1.28    0.00    0.00    0.00   94.87
11時25分06秒  all    2.27    0.00    3.03    0.00    0.25    1.52    0.00    0.00    0.00   92.93
11時25分07秒  all    2.02    0.00    2.02    0.00    1.26    1.52    0.00    0.00    0.00   93.18
11時25分08秒  all    1.26    0.00    3.03    0.00    0.25    1.52    0.00    0.00    0.00   93.94
11時25分09秒  all    2.27    0.00    2.27    0.00    0.76    1.52    0.00    0.00    0.00   93.18
11時25分10秒  all    2.26    0.00    2.26    0.00    0.50    1.51    0.00    0.00    0.00   93.47
11時25分11秒  all    1.76    0.00    2.26    0.00    0.50    1.01    0.00    0.00    0.00   94.47
11時25分12秒  all    1.52    0.00    2.53    0.00    0.51    1.52    0.00    0.00    0.00   93.92
11時25分13秒  all    1.51    0.00    2.52    0.00    0.76    1.51    0.00    0.00    0.00   93.70
11時25分14秒  all    2.77    0.00    2.52    0.00    0.76    1.26    0.00    0.00    0.00   92.70
11時25分15秒  all    2.03    0.00    2.54    0.00    0.51    1.78    0.00    0.00    0.00   93.15
