procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0   2560 852048   5796 6591628    0    0     0     1    0    0  0  0 100  0  0
 2  0   2560 690152   5796 6591896    0    0     0    59 11724 12333 35 19 46  0  0
 2  0   2560 818432   5796 6591964    0    0     0     0 12934 13743 31 23 46  0  0
 1  0   2560 764924   5796 6592012    0    0     0     4 12742 13325 32 22 45  0  0
 3  0   2560 750576   5796 6592020    0    0     0     0 12306 12200 28 17 55  0  0
 8  0   2560 596820   5796 6592024    0    0     0     0 13677 14312 34 22 44  0  0
 6  0   2560 668436   5796 6592036    0    0     0   200 11689 12995 30 23 48  0  0
 1  0   2560 793556   5796 6592040    0    0     0     0 10965 11088 29 16 55  0  0
 5  0   2560 765832   5796 6592040    0    0     0     0 13673 13853 30 23 47  0  0
 2  0   2560 757652   5796 6592056    0    0     0     0 12651 14447 30 23 48  0  0
 3  0   2560 699312   5796 6592052    0    0     0     0 10836 11312 30 15 55  0  0
 3  0   2560 668428   5796 6592088    0    0     0   152 12859 13098 30 22 48  0  0
 1  0   2560 792452   5796 6592088    0    0     0     0 12437 14160 32 23 45  0  0
 3  0   2560 759368   5796 6592088    0    0     0     0 10937 12657 29 17 54  0  0
 4  0   2560 765988   5796 6592112    0    0     0     0 10316 11040 27 16 58  0  0
 5  0   2560 674704   5796 6592124    0    0     0     0 13578 13615 33 22 45  0  0
 4  0   2560 701032   5796 6592120    0    0     0   156 12462 12529 29 24 47  0  0
 1  0   2560 656824   5796 6592116    0    0     0     0 10349 11423 31 17 53  0  0
 3  0   2560 566936   5796 6592120    0    0     0     0 10609 10481 26 13 61  0  0
 2  0   2560 792904   5796 6592120    0    0     0   154 12278 13856 30 22 48  0  0
 5  0   2560 727008   5796 6592120    0    0     0     0 13006 14345 33 23 44  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0   2560 722060   5796 6592136    0    0     0   196 12019 11613 32 17 51  0  0
 1  0   2560 816860   5796 6592156    0    0     0    76 10560 11077 31 15 54  0  0
 2  0   2560 785936   5796 6592156    0    0     0     0 12479 13619 30 22 47  0  0
 3  0   2560 774496   5796 6592160    0    0     0     0 12663 13802 30 23 47  0  0
 5  0   2560 596192   5796 6592164    0    0     0     0 10047 10637 28 14 58  0  0
 1  0   2560 622316   5796 6592164    0    0     0   180 10113 10395 26 12 62  0  0
 1  0   2560 816616   5796 6592188    0    0     0     0 9831 9802 26 11 63  0  0
 2  0   2560 751224   5796 6592204    0    0     0     0 38257 29462 30 14 56  0  0
 0  0   2560 532216   5796 6592204    0    0     0     0 27945 27427 22  9 69  0  0
 2  0   2560 702232   5796 6592204    0    0     0     0 32191 29721 20 11 69  0  0
 4  0   2560 577940   5796 6592204    0    0     0     0 31856 30087 27 10 63  0  0
 2  0   2560 703392   5796 6592232    0    0     0   160 25429 23453 21  9 70  0  0
 1  0   2560 728008   5796 6592232    0    0     0     0 26438 25318 22  9 69  0  0
 1  0   2560 554732   5796 6592232    0    0     0     0 27502 26941 20  9 71  0  0
 3  0   2560 684508   5796 6592232    0    0     0     0 28777 27350 20  9 72  0  0
 2  0   2560 700316   5796 6592232    0    0     0     0 28706 26645 24 11 65  0  0
