procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0      0 376368     24 9617224    0    0   160  4260  243   71 15  4 76  5  0
 0  0      0 377636     24 9617224    0    0     0   544 4037 6997  1  1 97  0  0
 0  0      0 377636     24 9617224    0    0     0   516 4210 7115  1  1 98  0  0
 2  0      0 377700     24 9617224    0    0     0   116 3708 6667  1  1 98  0  0
 0  0      0 377700     24 9617224    0    0     0    60 3150 5735  1  1 98  0  0
 2  0      0 377732     24 9617224    0    0     0    68 3617 6249  1  1 98  0  0
 3  0      0 376556     24 9617240    0    0     0  1018 4924 7702  2  2 96  0  0
 1  0      0 377100     24 9617248    0    0     0    72 4322 7172  1  2 97  0  0
 0  0      0 376972     24 9617248    0    0     0    56 3480 6232  1  0 99  0  0
 0  0      0 377560     24 9617252    0    0     0    90 4307 6970  2  2 96  0  0
 0  0      0 377604     24 9617256    0    0     0   976 3903 6716  1  1 98  0  0
 0  0      0 377668     24 9617256    0    0     0   516 4368 7250  1  1 98  0  0
 0  0      0 377604     24 9617256    0    0     0   520 4242 7212  1  1 98  0  0
 0  0      0 377572     24 9617256    0    0     0    48 3673 6435  1  1 98  0  0
 0  0      0 377508     24 9617256    0    0     0    56 4041 6631  1  1 97  0  0
 0  0      0 377476     24 9617256    0    0     0    84 4113 6898  1  1 98  0  0
 0  0      0 377412     24 9617256    0    0     0   984 4442 7245  2  1 96  0  0
 1  0      0 377316     24 9617256    0    0     0    44 3813 6481  1  1 98  0  0
 0  0      0 377156     24 9617256    0    0     0    68 4319 7253  1  1 98  0  0
 1  0      0 377060     24 9617256    0    0     0    52 3674 6379  1  1 98  0  0
 0  0      0 377156     24 9617256    0    0     0  1000 4521 7567  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 377188     24 9617256    0    0     0   516 4381 7318  1  1 98  0  0
 0  0      0 377124     24 9617256    0    0     0   512 4013 6772  1  1 99  0  0
 0  0      0 377124     24 9617256    0    0     0    48 3819 6400  1  1 98  0  0
 1  0      0 377060     24 9617256    0    0     0   264 4165 6841  1  1 97  0  0
 0  0      0 376932     24 9617256    0    0     0   228 4197 7030  1  1 98  0  0
 1  0      0 376868     24 9617256    0    0     0   980 4561 7279  2  1 97  0  0
 5  1      0 377640     24 9617284    0    0    28 10348 22265 22275 22  7 64  7  0
 0  0      0 371360     24 9626476    0    0   224 43691 29963 29828 39  8 41 11  0
 0  1      0 373452     24 9622964    0    0   112 14920 23759 25456 27  7 56 10  0
 0  1      0 372948     24 9623164    0    0   200 16640 26969 30093 28  7 54 11  0
 0  1      0 372424     24 9623296    0    0   132 16400 25334 26065 28  8 54 11  0
 0  1      0 372864     24 9623460    0    0   164 15756 26127 26184 31  7 51 11  0
 0  0      0 372184     24 9623604    0    0   144 13530 23453 23225 35  6 50  9  0
 3  1      0 355484     24 9642164    0    0   216 41728 25108 22386 43  8 36 13  0
 1  1      0 370068     24 9624252    0    0  2100 83195 22933 22101 42  9 36 13  0
 2  1      0 368940     24 9624484    0    0   224 16696 24196 21326 37  7 44 11  0
 0  1      0 368084     24 9624776    0    0   312 13624 21836 22377 30  7 53 10  0
