procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 13614612   1624 1630528    0    0   207  1290  243  378  5  3 88  3  0
 0  0      0 13616960   1624 1630608    0    0     0   532 4830 7847  3  3 93  1  0
 1  0      0 13617184   1624 1630608    0    0     0   532 4597 7532  3  2 94  0  0
 0  0      0 13617600   1624 1630608    0    0     0    36 4174 7117  2  3 95  0  0
 0  0      0 13614944   1624 1630608    0    0     0    92 4713 7811  2  3 95  1  0
 2  0      0 13612224   1624 1630608    0    0     0    72 4600 7663  3  3 94  1  0
 0  0      0 13612320   1624 1630608    0    0     0    40 4200 7333  2  2 96  0  0
 0  0      0 13612672   1624 1630608    0    0     0  1008 4911 8224  2  2 95  1  0
 0  0      0 13613120   1624 1630608    0    0     0    60 4323 7439  2  2 96  0  0
 2  0      0 13614240   1624 1630608    0    0     0   180 6355 9480  4  3 92  1  0
 1  0      0 13615744   1624 1630608    0    0     0  1288 7543 10840  5  3 90  2  0
 0  0      0 13616160   1624 1630608    0    0     0   560 4748 8071  2  2 95  1  0
 1  0      0 13616544   1624 1630628    0    0     0   492 4545 7770  2  3 95  1  0
 0  0      0 13616768   1624 1630628    0    0     0    60 4554 7816  2  2 96  0  0
 0  0      0 13617152   1624 1630628    0    0     0   139 4433 7452  3  3 95  0  0
 0  0      0 13614496   1624 1630628    0    0     0    64 4884 8346  2  2 96  1  0
 0  0      0 13614516   1624 1630628    0    0     0   102 4606 7791  3  2 95  0  0
 0  0      0 13614952   1624 1630652    0    0     0  1048 6410 9359  4  6 89  1  0
 1  0      0 13615048   1624 1630652    0    0     0    28 3972 7004  2  1 97  0  0
 0  0      0 13615432   1624 1630652    0    0     0    56 4411 7703  2  2 96  0  0
 0  0      0 13616536   1624 1630660    0    0     0  1016 5986 9027  4  4 91  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 13617056   1624 1630664    0    0     0   552 4932 8174  2  2 95  1  0
 0  0      0 13614368   1624 1630664    0    0     0   528 4723 7969  2  2 95  1  0
 1  0      0 13614688   1624 1630664    0    0     0    64 4496 7724  2  2 96  0  0
 0  0      0 13614944   1624 1630664    0    0     0    44 4408 7716  2  2 96  0  0
 1  0      0 13615296   1624 1630664    0    0     0    88 4548 7583  2  2 96  1  0
 0  0      0 13615680   1624 1630664    0    0     0    84 4530 7621  2  2 96  1  0
 0  0      0 13616000   1624 1630664    0    0     0   968 4456 7590  2  2 95  1  0
 0  0      0 13616416   1624 1630664    0    0     0    56 4307 7410  2  2 96  0  0
 0  0      0 13616704   1624 1630664    0    0     0    64 4241 7332  2  2 96  1  0
 0  1      0 13614192   1624 1635712    0    0     0  6327 6752 11409  6  3 90  2  0
 0  0      0 13616532   1624 1630048    0    0     0  3288 6291 10352  4  4 90  2  0
 0  0      0 13617016   1624 1630048    0    0     0   520 4489 7535  2  2 96  1  0
 0  0      0 13615144   1624 1630048    0    0     0    32 4185 7272  2  2 96  0  0
 1  0      0 13615464   1624 1630048    0    0     0    72 4352 7553  2  2 96  1  0
 0  0      0 13617540   1624 1630048    0    0     0    72 4433 7466  3  2 95  0  0
 0  0      0 13617892   1624 1630048    0    0     0    60 4595 7652  2  2 95  0  0
 0  0      0 13618372   1624 1630048    0    0     0  1004 4710 7942  3  2 94  1  0
 0  0      0 13618692   1624 1630048    0    0     0    60 4293 7381  2  2 96  1  0
 0  0      0 13618948   1624 1630048    0    0     0    28 4162 7280  2  2 96  0  0
 0  0      0 13619396   1624 1630048    0    0     0  1000 4718 7748  3  2 94  1  0
 0  0      0 13620036   1624 1630048    0    0     0   548 4847 8028  2  3 95  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 13620332   1624 1630048    0    0     0   508 4404 7489  2  2 95  0  0
 2  0      0 13620644   1624 1630048    0    0     0    56 4552 7821  2  2 95  1  0
 0  0      0 13617924   1624 1630048    0    0     0   272 4298 7334  2  2 96  0  0
 0  0      0 13614948   1624 1630048    0    0     0    32 4289 7468  2  2 96  0  0
 0  0      0 13615428   1624 1630048    0    0     0    92 4929 8102  3  2 95  0  0
 0  0      0 13615972   1624 1630048    0    0     0  1038 4674 7858  2  2 95  1  0
 0  0      0 13616068   1624 1630048    0    0     0    28 4053 7140  2  2 96  0  0
 0  0      0 13616452   1624 1630048    0    0     0    64 4269 7264  2  2 95  1  0
