procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 13120088   3132 1642688    0    0    21   408  221  462  3  2 93  2  0
 0  0      0 13121704   3132 1642696    0    0     0   544 4636 7635  2  3 95  1  0
 2  0      0 13118284   3132 1643872    0    0     0  4366 5671 9324  5  2 92  1  0
 0  0      0 13119364   3132 1642236    0    0     0  9230 8807 15464  7  3 87  3  0
 0  0      0 13119620   3132 1642236    0    0     0   337 3855 6691  1  1 98  0  0
 0  0      0 13119908   3132 1642236    0    0     0    80 3783 6544  1  1 98  1  0
 1  0      0 13120100   3132 1642236    0    0     0    44 3696 6458  1  1 98  0  0
 0  0      0 13120740   3132 1642236    0    0     0  3180 4133 6792  2  1 96  1  0
 0  0      0 13121028   3132 1642236    0    0     0    76 3732 6575  1  1 98  0  0
 0  0      0 13121316   3132 1642236    0    0     0   256 4304 7412  1  1 97  1  0
 0  0      0 13122372   3132 1642236    0    0     0  3100 6630 10431  4  2 92  2  0
 1  0      0 13122692   3132 1642252    0    0     0  1088 3993 6796  1  1 97  1  0
 0  0      0 13123332   3132 1642252    0    0     0  2688 3979 6580  2  1 96  1  0
 0  0      0 13123524   3132 1642252    0    0     0    64 3706 6402  1  1 98  0  0
 0  0      0 13123844   3132 1642252    0    0     0    76 3997 6958  1  1 98  0  0
 0  0      0 13124100   3132 1642252    0    0     0   108 4088 7119  1  1 97  0  0
 0  0      0 13124356   3132 1642252    0    0     0    64 3659 6338  1  1 98  0  0
 0  0      0 13124964   3132 1642252    0    0     0  3219 4334 7226  2  1 96  1  0
 0  0      0 13125060   3132 1642252    0    0     0    40 3643 6389  1  1 98  0  0
 0  0      0 13125476   3132 1642252    0    0     0    68 3593 6277  1  1 98  0  0
 0  0      0 13126084   3132 1642252    0    0     0  3224 4399 7174  3  1 95  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
