Linux 4.18.0-553.139.1.el8_10.x86_64 (g-test-poc-3) 	07/11/26 	_x86_64_	(4 CPU)

20:40:29     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20:40:30     all    1.24    0.00    1.00    0.50    0.75    0.00    0.00    0.00    0.00   96.52
20:40:31     all    1.01    0.00    0.25    0.00    0.25    0.00    0.00    0.00    0.00   98.48
20:40:32     all    0.50    0.00    1.00    0.50    0.00    0.25    0.00    0.00    0.00   97.75
20:40:33     all    1.26    0.00    0.50    0.50    0.50    0.00    0.00    0.00    0.00   97.23
20:40:34     all    1.50    0.00    0.50    0.25    0.50    0.25    0.00    0.00    0.00   97.00
20:40:35     all    0.51    0.00    0.51    0.51    0.00    0.25    0.00    0.00    0.00   98.23
20:40:36     all    0.75    0.00    0.75    0.25    0.50    0.00    0.00    0.00    0.00   97.76
20:40:37     all    2.53    0.00    0.25    0.76    0.51    0.00    0.00    0.00    0.00   95.96
20:40:38     all    2.01    0.00    1.00    1.75    0.25    0.00    0.00    0.00    0.00   94.99
20:40:39     all    3.26    0.00    1.25    2.01    0.75    0.50    0.00    0.00    0.00   92.23
20:40:40     all    1.77    0.00    1.01    1.52    0.51    0.25    0.00    0.00    0.00   94.95
20:40:41     all    1.25    0.00    0.25    0.25    0.50    0.25    0.00    0.00    0.00   97.49
20:40:42     all    0.50    0.00    0.75    0.75    0.25    0.25    0.00    0.00    0.00   97.51
20:40:43     all    1.51    0.00    0.50    0.76    0.50    0.00    0.00    0.00    0.00   96.73
20:40:44     all    1.25    0.00    1.00    0.25    0.25    0.00    0.00    0.00    0.00   97.25
20:40:45     all    1.25    0.00    0.50    0.00    0.25    0.00    0.00    0.00    0.00   97.99
20:40:46     all    0.76    0.00    0.25    0.25    0.25    0.00    0.00    0.00    0.00   98.49
20:40:47     all    2.51    0.00    0.75    1.01    0.50    0.00    0.00    0.00    0.00   95.23
20:40:48     all    1.51    0.00    0.50    0.50    0.25    0.00    0.00    0.00    0.00   97.23
20:40:49     all    1.74    0.00    1.00    0.75    0.50    0.25    0.00    0.00    0.00   95.77
20:40:50     all    1.01    0.00    0.50    0.50    0.25    0.25    0.00    0.00    0.00   97.49
20:40:51     all    2.51    0.00    2.51    0.00    0.75    0.25    0.00    0.00    0.00   93.97
20:40:52     all    0.75    0.00    0.50    0.75    0.25    0.25    0.00    0.00    0.00   97.50
20:40:53     all    1.77    0.00    0.25    1.01    0.00    0.00    0.00    0.00    0.00   96.96
20:40:54     all    2.73    0.00    2.48    0.25    0.74    0.25    0.00    0.00    0.00   93.55
20:40:55     all    1.01    0.00    0.00    0.00    0.25    0.00    0.00    0.00    0.00   98.74
20:40:56     all    0.00    0.00    0.51    0.25    0.25    0.00    0.00    0.00    0.00   98.98
20:40:57     all    3.23    0.00    0.75    1.00    0.50    0.00    0.50    0.00    0.00   94.03
20:40:58     all    1.00    0.00    0.75    0.50    0.50    0.00    0.00    0.00    0.00   97.25
20:40:59     all    5.51    0.00    0.25    1.00    0.50    0.25    0.00    0.00    0.00   92.48
20:41:00     all    0.76    0.00    0.76    0.25    0.00    0.00    0.00    0.00    0.00   98.24
20:41:01     all    0.75    0.00    0.25    0.00    0.50    0.50    0.00    0.00    0.00   97.99
20:41:02     all    1.00    0.00    0.75    0.25    0.25    0.00    0.00    0.00    0.00   97.74
20:41:03     all    1.74    0.00    0.75    1.00    0.75    0.00    0.25    0.00    0.00   95.52
20:41:04     all    1.76    0.00    0.50    0.25    0.25    0.00    0.00    0.00    0.00   97.24
20:41:05     all    1.01    0.00    0.25    0.25    0.00    0.00    0.00    0.00    0.00   98.48
20:41:06     all    0.50    0.00    0.50    0.50    0.75    0.00    0.00    0.00    0.00   97.74
20:41:07     all    2.74    0.00    1.24    0.75    0.25    0.50    0.00    0.00    0.00   94.53
20:41:08     all    1.01    0.00    0.25    0.25    0.00    0.25    0.00    0.00    0.00   98.23
20:41:09     all    2.26    0.00    0.75    1.00    0.75    0.00    0.00    0.00    0.00   95.24
20:41:10     all    0.50    0.00    0.50    0.00    0.25    0.00    0.00    0.00    0.00   98.74
20:41:11     all    1.00    0.00    0.75    0.50    0.25    0.00    0.00    0.00    0.00   97.50
20:41:12     all    1.01    0.00    0.76    0.00    0.25    0.25    0.00    0.00    0.00   97.73
