ts_ns,query_type,latency_ms
1783784160770853477,select,10.209
1783784160784251715,update,38.111
1783784160927779241,select,9.051
1783784160939895784,update,20.889
1783784161065315528,select,10.180
1783784161079312160,update,26.402
1783784161211302442,select,8.532
1783784161223038514,update,21.029
1783784161348710084,select,7.728
1783784161359328330,update,21.506
1783784161485475788,select,7.342
1783784161496158455,update,20.158
1783784161620735435,select,6.922
1783784161630448762,update,20.715
1783784161755560018,select,7.150
1783784161765932940,update,20.545
1783784161892578554,select,8.694
1783784161904838199,update,20.057
1783784162029959117,select,8.027
1783784162040968679,update,20.402
1783784162166083096,select,9.641
1783784162179043132,update,20.533
1783784162304589844,select,7.844
1783784162315597054,update,20.424
1783784162441355528,select,8.260
1783784162452865800,update,20.037
1783784162577349594,select,8.047
1783784162588364018,update,23.442
1783784162716390802,select,8.419
1783784162728888027,update,19.478
1783784162852493322,select,9.351
1783784162864993180,update,19.432
1783784162988581169,select,7.418
1783784163000191520,update,19.431
1783784163123911555,select,7.827
1783784163134951681,update,21.373
1783784163261032133,select,8.927
1783784163273152322,update,26.218
1783784163404753030,select,8.123
1783784163416053994,update,20.505
1783784163541425351,select,8.698
1783784163553994884,update,18.064
1783784163677617297,select,8.420
1783784163690237718,update,19.712
1783784163815706825,select,8.126
1783784163827091040,update,20.177
1783784163953112611,select,9.063
1783784163965350986,update,21.328
1783784164091494709,select,7.651
1783784164102461512,update,20.763
1783784164229580436,select,8.018
1783784164240654891,update,20.764
1783784164365955368,select,8.754
1783784164378419483,update,20.171
1783784164503945278,select,7.384
1783784164514854013,update,20.660
1783784164640360092,select,9.287
1783784164653109560,update,20.017
1783784164778086686,select,10.573
1783784164792837915,update,18.393
1783784164915883106,select,7.726
1783784164926632007,update,21.081
1783784165052154956,select,7.739
1783784165063376409,update,20.085
1783784165189385654,select,8.957
1783784165201433867,update,19.872
1783784165325902602,select,8.037
1783784165337463537,update,20.163
1783784165462659906,select,8.454
1783784165474827313,update,19.788
1783784165598865861,select,8.836
1783784165610948433,update,18.911
1783784165734372383,select,7.493
1783784165745268464,update,21.114
1783784165871195852,select,7.700
1783784165882748065,update,19.722
1783784166008053104,select,7.365
1783784166018850961,update,20.388
1783784166144773368,select,9.172
1783784166157582776,update,24.342
1783784166286580040,select,7.630
1783784166297389296,update,20.463
1783784166422367771,select,8.267
1783784166434169110,update,20.007
1783784166558871489,select,8.344
1783784166570196529,update,19.877
1783784166694863638,select,8.170
1783784166706208098,update,20.172
1783784166832250479,select,7.638
1783784166843142643,update,20.781
1783784166969317102,select,7.240
1783784166979580475,update,20.624
1783784167105384734,select,7.385
1783784167115685641,update,20.585
1783784167241406879,select,7.558
1783784167251955164,update,24.590
1783784167380933083,select,7.712
1783784167391987577,update,20.294
1783784167516587307,select,8.340
1783784167528919483,update,19.875
1783784167653093204,select,6.994
1783784167663710653,update,20.018
1783784167787921342,select,8.714
1783784167799932426,update,19.324
1783784167924100137,select,8.545
1783784167937269573,update,18.921
1783784168061742800,select,9.249
1783784168074214709,update,19.598
1783784168198284950,select,7.508
1783784168208759181,update,20.369
1783784168333953606,select,7.978
1783784168345177652,update,21.255
