procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 1448996   5080 8089020    0    0    81  1374  423  864  5  2 91  1  0
 0  0      0 1451452   5080 8089128    0    0     0    36 3573 5887  1  1 98  0  0
 0  0      0 1451516   5080 8089128    0    0     0    24 3292 5537  1  1 99  0  0
 0  0      0 1451452   5080 8089128    0    0     0    24 3734 5825  1  1 98  0  0
 0  0      0 1451388   5080 8089128    0    0     0     0 2657 4508  1  1 98  0  0
 1  0      0 1451356   5080 8089128    0    0     0     0 3086 5350  1  1 98  0  0
 0  0      0 1451452   5080 8089128    0    0     0     0 3597 5730  1  1 98  0  0
 0  0      0 1451372   5080 8089128    0    0     0    24 3729 5884  1  1 98  0  0
 0  0      0 1451308   5080 8089128    0    0     0    24 3138 5380  1  1 98  0  0
 0  0      0 1451244   5080 8089128    0    0     0     0 2979 5207  1  1 98  0  0
 0  0      0 1451276   5080 8089128    0    0     0     0 3160 5310  1  1 98  0  0
 1  0      0 1451340   5080 8089128    0    0     0     0 3666 5807  1  1 98  0  0
 0  0      0 1451372   5080 8089128    0    0     0    48 3114 5317  1  1 98  0  0
 0  0      0 1451308   5080 8089128    0    0     0     0 2882 5007  1  0 99  0  0
 0  0      0 1451308   5080 8089128    0    0     0    24 3045 5463  1  1 98  0  0
 0  0      0 1451212   5080 8089128    0    0     0     0 3695 5970  1  1 98  0  0
 0  0      0 1449732   5080 8089180    0    0     0    60 4881 7080  3  3 95  0  0
 0  0      0 1449636   5080 8089184    0    0     0   130 3863 6287  1  1 97  0  0
 0  0      0 1449668   5080 8089184    0    0     0     0 3776 6138  1  1 98  0  0
 1  0      0 1449604   5080 8089184    0    0     0     0 3657 5898  1  1 98  0  0
 1  0      0 1449540   5080 8089184    0    0     0    30 3633 5996  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 1449508   5080 8089184    0    0     0     0 3015 5152  1  1 98  0  0
 0  0      0 1449792   5080 8089184    0    0     0   148 2976 5078  1  1 99  0  0
 0  0      0 1449792   5080 8089184    0    0     0    24 3548 5866  1  1 98  0  0
 0  0      0 1449824   5080 8089184    0    0     0     0 2948 5094  1  1 98  0  0
 0  0      0 1449760   5080 8089184    0    0     0     0 2923 5052  1  1 98  0  0
 0  0      0 1449760   5080 8089184    0    0     0     0 3583 5654  1  1 98  0  0
 0  0      0 1449696   5080 8089184    0    0     0    48 3730 5950  1  1 98  0  0
 0  0      0 1450064   5080 8089184    0    0     0     0 3858 6196  2  2 97  0  0
 0  0      0 1450168   5080 8089184    0    0     0     0 3050 5522  1  1 98  0  0
 0  0      0 1450136   5080 8089184    0    0     0     0 3299 5696  1  1 98  0  0
 0  0      0 1450104   5080 8089184    0    0     0     0 3450 5540  1  1 98  0  0
 0  0      0 1450104   5080 8089184    0    0     0    48 3307 5486  1  1 98  0  0
 0  0      0 1450200   5080 8089184    0    0     0    24 3227 5331  1  1 98  0  0
 0  0      0 1450200   5080 8089184    0    0     0     0 2908 4920  1  1 98  0  0
 0  0      0 1450264   5080 8089184    0    0     0     0 3758 6051  1  1 98  0  0
 0  0      0 1450232   5080 8089184    0    0     0    24 3574 5694  1  1 98  0  0
 0  0      0 1450200   5080 8089184    0    0     0    24 2939 5151  1  1 98  0  0
 0  0      0 1450200   5080 8089184    0    0     0     0 3410 5654  1  1 98  0  0
 0  0      0 1450232   5080 8089184    0    0     0     0 3484 5609  1  1 98  0  0
 0  0      0 1450168   5080 8089184    0    0     0    24 3268 5387  1  1 98  0  0
 0  0      0 1450072   5080 8089184    0    0     0     0 3728 6088  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 1450040   5080 8089184    0    0     0    24 3348 5620  1  1 98  0  0
 0  0      0 1450040   5080 8089184    0    0     0    52 3767 5749  1  1 98  0  0
 0  0      0 1450136   5080 8089184    0    0     0     0 3222 5194  1  1 98  0  0
 0  0      0 1450104   5080 8089184    0    0     0     0 3217 5199  1  1 98  0  0
 0  0      0 1450104   5080 8089184    0    0     0     0 3637 5615  1  1 98  0  0
 0  0      0 1450072   5080 8089188    0    0     0   133 4548 7177  1  1 97  0  0
