procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 696840   4272 7034380    0    0   521  2938 1205  603 12  3 82  2  0
 0  0      0 698748   4272 7034428    0    0     0    60 3264 4770  1  1 98  0  0
 0  0      0 698780   4272 7034428    0    0     0    24 2217 3409  0  1 99  0  0
 0  0      0 698780   4272 7034428    0    0     0    24 2376 3677  1  0 99  0  0
 0  0      0 699000   4272 7034428    0    0     0     0 1941 3105  1  1 98  0  0
 0  0      0 699032   4272 7034428    0    0     0     0 2176 3303  1  1 99  0  0
 0  0      0 699064   4272 7034428    0    0     0    24 2076 3293  1  1 99  0  0
 0  0      0 699032   4272 7034428    0    0     0     0 1937 3298  1  1 99  0  0
 0  0      0 698968   4272 7034428    0    0     0     4 1836 3057  0  1 99  0  0
 0  0      0 699000   4272 7034428    0    0     0     0 2194 3410  1  0 99  0  0
 0  0      0 698968   4272 7034428    0    0     0     0 2158 3238  1  1 99  0  0
 0  0      0 699000   4272 7034428    0    0     0    59 2526 3744  1  1 98  0  0
 0  0      0 698904   4272 7034432    0    0     0     0 1668 2838  1  0 99  0  0
 0  0      0 698936   4272 7034432    0    0     0     0 2043 3298  1  1 99  0  0
 0  0      0 698808   4272 7034432    0    0     0     0 1974 3251  1  1 99  0  0
 0  0      0 698840   4272 7034432    0    0     0     0 1878 3028  1  1 99  0  0
 0  0      0 698744   4272 7034432    0    0     0    24 2020 3116  1  1 99  0  0
 0  0      0 698840   4272 7034432    0    0     0     0 2160 3194  1  0 99  0  0
 0  0      0 698744   4272 7034432    0    0     0     0 2287 3484  1  1 99  0  0
 0  0      0 698744   4272 7034432    0    0     0     0 1752 2991  0  0 99  0  0
 0  0      0 698712   4272 7034432    0    0     0     0 1890 3041  1  1 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 698712   4272 7034432    0    0     0   132 2859 4169  1  1 98  0  0
 0  0      0 698680   4272 7034432    0    0     0     0 1917 3037  1  0 99  0  0
 0  0      0 698876   4272 7034432    0    0     0     0 2144 3502  1  1 99  0  0
 0  0      0 698932   4272 7034432    0    0     0     0 1770 2983  1  1 99  0  0
 0  0      0 698932   4272 7034432    0    0     0     0 2026 3265  1  1 99  0  0
 0  0      0 698932   4272 7034432    0    0     0    24 2154 3305  1  1 99  0  0
 0  0      0 698964   4272 7034432    0    0     0     0 1903 3185  1  1 99  0  0
 0  0      0 697804   4272 7034464    0    0     0    22 3062 4347  2  2 96  0  0
 0  0      0 698208   4272 7034468    0    0     0     0 2044 3230  1  1 99  0  0
 1  0      0 698144   4272 7034468    0    0     0     0 1847 3065  1  1 99  0  0
 0  0      0 698240   4272 7034468    0    0     0    96 3231 4667  1  1 98  0  0
 0  0      0 698272   4272 7034468    0    0     0    20 1626 2873  1  0 99  0  0
 0  0      0 698240   4272 7034468    0    0     0    28 2356 3684  1  1 99  0  0
 0  0      0 698372   4272 7034468    0    0     0     0 2421 3780  1  1 98  0  0
 0  0      0 698492   4272 7034468    0    0     0     0 1874 3063  0  1 99  0  0
 0  0      0 698144   4272 7034472    0    0     0    40 2395 3669  1  2 97  0  0
 0  0      0 698412   4272 7034496    0    0     0     0 2039 3315  1  1 99  0  0
 0  0      0 698348   4272 7034496    0    0     0     0 2310 3632  1  1 99  0  0
 1  0      0 698632   4272 7034496    0    0     0     0 1872 3181  1  1 99  0  0
 0  0      0 698568   4272 7034496    0    0     0    32 2045 3215  1  1 99  0  0
 0  0      0 698600   4272 7034500    0    0     0    24 2699 4036  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 698568   4272 7034500    0    0     0     0 2050 3186  1  1 98  0  0
 0  0      0 698504   4272 7034500    0    0     0     0 2129 3449  1  0 99  0  0
 0  0      0 698668   4272 7034500    0    0     0     0 1884 2938  1  1 99  0  0
 0  0      0 698852   4272 7034500    0    0     0     0 2261 3406  1  1 99  0  0
 0  0      0 698852   4272 7034500    0    0     0    24 2015 3193  1  1 99  0  0
