2026/07/12 01:15:15 maxprocs: Leaving GOMAXPROCS=4: CPU quota undefined
[Current] DELIVERY - Takes(s): 9.3, Count: 99, TPM: 642.1, Sum(ms): 53570.0, Avg(ms): 541.1, 50th(ms): 520.1, 90th(ms): 604.0, 95th(ms): 738.2, 99th(ms): 1040.2, 99.9th(ms): 1073.7, Max(ms): 1073.7
[Current] NEW_ORDER - Takes(s): 9.6, Count: 1144, TPM: 7187.2, Sum(ms): 360836.3, Avg(ms): 315.6, 50th(ms): 318.8, 90th(ms): 402.7, 95th(ms): 436.2, 99th(ms): 604.0, 99.9th(ms): 671.1, Max(ms): 738.2
[Current] ORDER_STATUS - Takes(s): 9.7, Count: 110, TPM: 681.4, Sum(ms): 9305.8, Avg(ms): 84.7, 50th(ms): 88.1, 90th(ms): 96.5, 95th(ms): 104.9, 99th(ms): 109.1, 99.9th(ms): 318.8, Max(ms): 318.8
[Current] PAYMENT - Takes(s): 9.6, Count: 1108, TPM: 6906.9, Sum(ms): 186543.7, Avg(ms): 168.2, 50th(ms): 167.8, 90th(ms): 192.9, 95th(ms): 243.3, 99th(ms): 402.7, 99.9th(ms): 469.8, Max(ms): 570.4
[Current] STOCK_LEVEL - Takes(s): 9.7, Count: 93, TPM: 575.8, Sum(ms): 5670.2, Avg(ms): 60.9, 50th(ms): 60.8, 90th(ms): 65.0, 95th(ms): 71.3, 99th(ms): 71.3, 99.9th(ms): 79.7, Max(ms): 79.7
[Current] DELIVERY - Takes(s): 9.7, Count: 102, TPM: 633.1, Sum(ms): 54332.0, Avg(ms): 533.2, 50th(ms): 503.3, 90th(ms): 671.1, 95th(ms): 671.1, 99th(ms): 939.5, 99.9th(ms): 973.1, Max(ms): 973.1
[Current] NEW_ORDER - Takes(s): 10.0, Count: 1208, TPM: 7251.2, Sum(ms): 378491.2, Avg(ms): 313.5, 50th(ms): 318.8, 90th(ms): 402.7, 95th(ms): 402.7, 99th(ms): 520.1, 99.9th(ms): 704.6, Max(ms): 771.8
[Current] ORDER_STATUS - Takes(s): 9.9, Count: 98, TPM: 593.9, Sum(ms): 8130.9, Avg(ms): 82.9, 50th(ms): 88.1, 90th(ms): 92.3, 95th(ms): 96.5, 99th(ms): 109.1, 99.9th(ms): 218.1, Max(ms): 218.1
[Current] PAYMENT - Takes(s): 10.0, Count: 1140, TPM: 6842.9, Sum(ms): 191334.9, Avg(ms): 168.1, 50th(ms): 167.8, 90th(ms): 201.3, 95th(ms): 251.7, 99th(ms): 352.3, 99.9th(ms): 469.8, Max(ms): 486.5
[Current] STOCK_LEVEL - Takes(s): 10.0, Count: 125, TPM: 752.2, Sum(ms): 7640.9, Avg(ms): 61.1, 50th(ms): 60.8, 90th(ms): 67.1, 95th(ms): 71.3, 99th(ms): 75.5, 99.9th(ms): 75.5, Max(ms): 75.5
[Current] DELIVERY - Takes(s): 10.0, Count: 107, TPM: 644.6, Sum(ms): 54895.1, Avg(ms): 512.3, 50th(ms): 503.3, 90th(ms): 570.4, 95th(ms): 604.0, 99th(ms): 738.2, 99.9th(ms): 738.2, Max(ms): 738.2
