Linux 4.18.0-425.3.1.el8.x86_64 (l-dbm-labroom-1) 	西元2026年07月12日 	_x86_64_	(4 CPU)

06時51分41秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06時51分42秒  all   16.92    0.00   17.91    0.00    0.50    0.75    0.00    0.00    0.00   63.93
06時51分43秒  all   11.08    0.00   20.15    0.00    0.50    0.50    0.00    0.00    0.00   67.76
06時51分44秒  all    8.02    0.00   14.79    0.00    0.25    0.50    0.00    0.00    0.00   76.44
06時51分45秒  all    9.80    0.00   19.10    0.00    0.75    0.50    0.00    0.00    0.00   69.85
06時51分46秒  all   10.58    0.00   20.91    0.00    0.00    0.25    0.00    0.00    0.00   68.26
06時51分47秒  all   10.67    0.00   20.60    0.00    0.99    0.50    0.00    0.00    0.00   67.25
06時51分48秒  all   10.61    0.00   20.20    0.00    0.00    0.51    0.00    0.00    0.00   68.69
06時51分49秒  all   10.72    0.00   20.95    0.00    0.25    0.50    0.00    0.00    0.00   67.58
06時51分50秒  all    7.02    0.00   12.53    0.00    0.75    0.50    0.00    0.00    0.00   79.20
06時51分51秒  all   10.78    0.00   20.80    0.00    0.00    0.25    0.00    0.00    0.00   68.17
06時51分52秒  all   10.05    0.00   20.60    0.00    0.75    0.50    0.00    0.00    0.00   68.09
06時51分53秒  all   10.30    0.00   20.85    0.00    0.25    0.50    0.00    0.00    0.00   68.09
06時51分54秒  all   11.34    0.00   19.40    0.00    0.25    0.76    0.00    0.00    0.00   68.26
06時51分55秒  all   10.72    0.00   20.70    0.00    0.75    0.25    0.00    0.00    0.00   67.58
06時51分56秒  all   10.63    0.00   20.51    0.00    0.25    0.51    0.00    0.00    0.00   68.10
06時51分57秒  all   10.22    0.00   20.95    0.00    0.75    0.25    0.00    0.00    0.00   67.83
06時51分58秒  all   11.14    0.00   19.75    0.00    0.00    0.76    0.00    0.00    0.00   68.35
06時51分59秒  all    7.23    0.00   12.97    0.00    0.50    0.25    0.00    0.00    0.00   79.05
06時52分00秒  all    9.75    0.00   21.50    0.00    0.50    0.75    0.00    0.00    0.00   67.50
06時52分01秒  all   12.18    0.00   21.07    0.00    0.25    0.00    0.00    0.00    0.00   66.50
06時52分02秒  all   10.67    0.00   20.60    0.00    0.74    0.74    0.00    0.00    0.00   67.25
06時52分03秒  all   10.61    0.00   20.45    0.00    0.25    0.25    0.00    0.00    0.00   68.43
06時52分04秒  all    9.50    0.00   21.50    0.00    0.75    0.75    0.00    0.00    0.00   67.50
06時52分05秒  all    7.04    0.00   11.81    0.00    0.00    0.25    0.00    0.00    0.00   80.90
06時52分06秒  all    8.04    0.00   15.58    0.00    0.25    0.00    0.00    0.00    0.00   76.13
06時52分07秒  all   10.22    0.00   20.45    0.00    0.75    1.00    0.00    0.00    0.00   67.58
06時52分08秒  all   11.08    0.00   20.65    0.00    0.25    0.00    0.00    0.00    0.00   68.01
06時52分09秒  all    9.45    0.00   21.39    0.00    0.50    1.00    0.00    0.00    0.00   67.66
06時52分10秒  all    3.53    0.00    3.78    0.00    0.25    0.00    0.00    0.00    0.00   92.44
06時52分11秒  all   10.50    0.00   21.25    0.00    0.25    0.50    0.00    0.00    0.00   67.50
06時52分12秒  all    9.73    0.00   20.95    0.25    0.75    0.50    0.00    0.00    0.00   67.83
06時52分13秒  all   11.11    0.00   19.95    0.00    0.25    0.25    0.00    0.00    0.00   68.43
06時52分14秒  all    8.23    0.00   14.71    0.00    0.50    0.75    0.00    0.00    0.00   75.81
06時52分15秒  all    6.25    0.00   10.00    0.00    0.25    0.00    0.00    0.00    0.00   83.50
06時52分16秒  all   10.38    0.00   20.25    0.00    0.25    0.76    0.00    0.00    0.00   68.35
06時52分17秒  all   10.53    0.00   20.30    0.00    0.50    0.25    0.00    0.00    0.00   68.42
06時52分18秒  all   10.35    0.00   20.71    0.00    0.25    0.25    0.00    0.00    0.00   68.43
06時52分19秒  all    2.51    0.00    4.01    0.00    0.25    0.75    0.00    0.00    0.00   92.48
06時52分20秒  all    9.48    0.00    9.23    0.00    0.50    0.00    0.00    0.00    0.00   80.80
06時52分21秒  all    5.28    0.00    8.29    0.00    0.25    0.25    0.00    0.00    0.00   85.93
06時52分22秒  all    1.75    0.00    2.76    0.00    0.25    1.50    0.00    0.00    0.00   93.73
06時52分23秒  all    2.76    0.00    2.76    0.00    0.75    1.00    0.00    0.00    0.00   92.73
06時52分24秒  all    2.28    0.00    3.30    0.00    0.25    1.27    0.00    0.00    0.00   92.89
06時52分25秒  all    2.51    0.00    3.02    0.00    0.75    0.75    0.00    0.00    0.00   92.96
06時52分26秒  all    2.00    0.00    3.24    0.00    0.75    1.75    0.00    0.00    0.00   92.27
06時52分27秒  all    2.26    0.00    2.51    0.00    0.25    1.01    0.00    0.00    0.00   93.97
06時52分28秒  all    2.78    0.00    2.53    0.00    0.51    1.01    0.00    0.00    0.00   93.18
06時52分29秒  all    2.25    0.00    3.25    0.00    0.75    1.50    0.00    0.00    0.00   92.25
06時52分30秒  all    2.51    0.00    3.02    0.00    0.50    1.26    0.00    0.00    0.00   92.71
06時52分31秒  all    2.01    0.00    3.27    0.00    0.50    1.26    0.00    0.00    0.00   92.96
06時52分32秒  all    2.28    0.00    2.54    0.00    0.51    1.02    0.00    0.00    0.00   93.65
06時52分33秒  all    2.26    0.00    2.51    0.00    0.75    1.25    0.00    0.00    0.00   93.23
06時52分34秒  all    2.52    0.00    3.27    0.00    0.25    1.26    0.00    0.00    0.00   92.70
06時52分35秒  all    2.01    0.00    3.02    0.00    0.75    1.26    0.00    0.00    0.00   92.96
06時52分36秒  all    2.29    0.00    2.80    0.00    0.51    1.02    0.00    0.00    0.00   93.38
06時52分37秒  all    3.20    0.00    3.69    0.00    0.74    1.48    0.00    0.00    0.00   90.89
06時52分38秒  all    2.27    0.00    3.53    0.00    0.25    1.01    0.00    0.00    0.00   92.95
06時52分39秒  all    2.51    0.00    3.26    0.00    0.75    1.50    0.00    0.00    0.00   91.98
06時52分40秒  all    2.51    0.00    3.02    0.00    0.50    1.26    0.00    0.00    0.00   92.71
06時52分41秒  all    2.27    0.00    2.27    0.00    0.76    1.01    0.00    0.00    0.00   93.69
06時52分42秒  all    3.80    0.00    2.78    0.00    0.25    1.52    0.00    0.00    0.00   91.65
06時52分43秒  all    2.02    0.00    2.27    0.00    0.50    1.01    0.00    0.00    0.00   94.21
06時52分44秒  all    2.49    0.00    2.24    0.00    0.75    1.24    0.00    0.00    0.00   93.28
06時52分45秒  all    1.52    0.00    2.28    0.00    0.51    1.27    0.00    0.00    0.00   94.43
06時52分46秒  all    1.52    0.00    2.53    0.00    0.25    1.27    0.00    0.00    0.00   94.43
06時52分47秒  all    2.26    0.00    2.26    0.00    0.75    1.50    0.00    0.00    0.00   93.23
06時52分48秒  all    2.01    0.00    2.26    0.00    0.50    1.25    0.00    0.00    0.00   93.98
06時52分49秒  all    1.52    0.00    2.28    0.00    0.51    1.52    0.00    0.00    0.00   94.16
06時52分50秒  all    2.27    0.00    2.02    0.00    0.76    1.01    0.00    0.00    0.00   93.94
06時52分51秒  all    1.52    0.00    2.28    0.00    0.51    1.02    0.00    0.00    0.00   94.67
06時52分52秒  all    1.74    0.00    3.23    0.00    0.50    1.74    0.00    0.00    0.00   92.80
06時52分53秒  all    1.77    0.00    1.77    0.00    0.76    1.01    0.00    0.00    0.00   94.68
06時52分54秒  all    2.27    0.00    2.27    0.00    0.50    1.51    0.00    0.00    0.00   93.45
06時52分55秒  all    2.03    0.00    2.28    0.00    0.25    1.27    0.00    0.00    0.00   94.18
06時52分56秒  all    2.52    0.00    2.02    0.00    1.01    1.26    0.00    0.00    0.00   93.20
06時52分57秒  all    1.75    0.00    2.76    0.00    0.50    1.50    0.00    0.00    0.00   93.48
06時52分58秒  all    2.26    0.00    2.76    0.00    0.50    1.00    0.00    0.00    0.00   93.48
06時52分59秒  all    1.52    0.00    2.27    0.00    0.51    1.52    0.00    0.00    0.00   94.19
06時53分00秒  all    2.51    0.00    1.76    0.00    0.75    1.01    0.00    0.00    0.00   93.97
06時53分01秒  all    3.58    0.00    2.81    0.00    0.26    1.28    0.00    0.00    0.00   92.07
06時53分02秒  all    2.50    0.00    2.25    0.00    1.00    1.25    0.00    0.00    0.00   93.00
06時53分03秒  all    1.76    0.00    2.27    0.00    0.25    1.26    0.00    0.00    0.00   94.46
06時53分04秒  all    1.75    0.00    2.51    0.00    0.75    1.50    0.00    0.00    0.00   93.48
06時53分05秒  all    1.77    0.00    2.27    0.00    0.51    1.01    0.00    0.00    0.00   94.44
06時53分06秒  all    2.04    0.00    1.53    0.00    0.51    1.27    0.00    0.00    0.00   94.66
06時53分07秒  all    2.00    0.00    2.74    0.00    0.75    1.00    0.00    0.00    0.00   93.52
06時53分08秒  all    1.76    0.00    2.26    0.00    0.50    1.76    0.00    0.00    0.00   93.72
06時53分09秒  all    1.78    0.00    2.03    0.00    0.51    0.76    0.00    0.00    0.00   94.92
06時53分10秒  all    2.27    0.00    2.77    0.00    0.25    1.26    0.00    0.00    0.00   93.45
06時53分11秒  all    1.52    0.00    2.03    0.00    0.76    1.01    0.00    0.00    0.00   94.68
06時53分12秒  all    1.51    0.00    1.76    0.00    0.50    1.76    0.00    0.00    0.00   94.46
06時53分13秒  all    2.04    0.00    1.78    0.00    0.51    0.76    0.00    0.00    0.00   94.91
06時53分14秒  all    2.02    0.00    2.02    0.00    0.50    1.26    0.00    0.00    0.00   94.21
06時53分15秒  all    1.76    0.00    2.27    0.00    0.76    1.26    0.00    0.00    0.00   93.95
06時53分16秒  all    1.76    0.00    2.76    0.00    0.50    1.51    0.00    0.00    0.00   93.47
06時53分17秒  all    2.02    0.00    2.02    0.00    0.50    1.26    0.00    0.00    0.00   94.21
06時53分18秒  all    2.02    0.00    2.02    0.00    0.76    0.76    0.00    0.00    0.00   94.46
06時53分19秒  all    7.85    0.00    4.05    0.00    0.25    1.27    0.00    0.00    0.00   86.58
06時53分20秒  all    1.76    0.00    2.01    0.00    0.75    1.51    0.00    0.00    0.00   93.97
06時53分21秒  all    1.76    0.00    2.26    0.00    0.50    1.26    0.00    0.00    0.00   94.22
06時53分22秒  all    1.02    0.00    2.54    0.00    0.51    1.02    0.00    0.00    0.00   94.91
06時53分23秒  all    2.02    0.00    1.77    0.00    0.51    1.52    0.00    0.00    0.00   94.19
06時53分24秒  all    2.50    0.00    2.75    0.00    0.50    1.25    0.00    0.00    0.00   93.00
06時53分25秒  all    1.78    0.00    1.78    0.00    0.76    1.02    0.00    0.00    0.00   94.67
06時53分26秒  all    2.03    0.00    2.03    0.00    0.51    1.52    0.00    0.00    0.00   93.91
06時53分27秒  all    1.52    0.00    2.02    0.00    0.76    1.01    0.00    0.00    0.00   94.70
06時53分28秒  all    2.03    0.00    2.28    0.00    0.25    1.52    0.00    0.00    0.00   93.91
06時53分29秒  all    2.26    0.00    2.51    0.00    0.75    1.25    0.00    0.00    0.00   93.23
06時53分30秒  all    2.02    0.00    2.27    0.00    0.50    1.51    0.00    0.00    0.00   93.70
06時53分31秒  all    1.52    0.00    2.27    0.00    0.76    1.26    0.00    0.00    0.00   94.19
06時53分32秒  all    2.26    0.00    2.51    0.00    0.50    1.26    0.00    0.00    0.00   93.47
06時53分33秒  all    2.03    0.00    2.03    0.00    0.51    1.27    0.00    0.00    0.00   94.18
06時53分34秒  all    2.02    0.00    2.77    0.00    0.76    1.01    0.00    0.00    0.00   93.45
06時53分35秒  all    2.02    0.00    2.02    0.00    0.25    1.51    0.00    0.00    0.00   94.21
06時53分36秒  all    1.77    0.00    2.03    0.00    1.01    1.27    0.00    0.00    0.00   93.92
06時53分37秒  all    1.52    0.00    2.53    0.00    0.25    1.27    0.00    0.00    0.00   94.43
06時53分38秒  all    1.77    0.00    1.77    0.00    0.51    1.52    0.00    0.00    0.00   94.44
