Linux 4.18.0-553.124.1.el8_10.x86_64 (l-test-poc-1) 	西元2026年07月12日 	_x86_64_	(4 CPU)

08時06分36秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08時06分37秒  all    4.02    0.00    3.52    0.00    0.25    0.50    0.00    0.00    0.00   91.71
08時06分38秒  all    3.77    0.00    3.27    0.25    0.50    0.25    0.00    0.00    0.00   91.96
08時06分39秒  all    4.79    0.00    5.29    0.50    0.00    1.01    0.00    0.00    0.00   88.41
08時06分40秒  all    3.52    0.00    4.52    0.25    0.75    0.00    0.00    0.00    0.00   90.95
08時06分41秒  all    3.99    0.00    3.74    0.25    0.25    0.75    0.00    0.00    0.00   91.02
08時06分42秒  all    3.54    0.00    3.28    0.51    0.00    0.25    0.00    0.00    0.00   92.42
08時06分43秒  all    4.26    0.00    4.26    0.00    0.50    0.25    0.00    0.00    0.00   90.73
08時06分44秒  all    4.49    0.00    3.49    0.50    0.50    1.00    0.00    0.00    0.00   90.02
08時06分45秒  all    5.49    0.00    4.24    0.25    0.25    0.00    0.00    0.00    0.00   89.78
08時06分46秒  all    3.78    0.00    3.27    0.00    0.25    0.76    0.00    0.00    0.00   91.94
08時06分47秒  all    3.77    0.00    4.27    0.50    0.50    0.25    0.00    0.00    0.00   90.70
08時06分48秒  all    4.27    0.00    3.52    0.00    0.25    0.75    0.00    0.00    0.00   91.21
08時06分49秒  all    4.50    0.00    3.75    0.25    0.50    0.25    0.00    0.00    0.00   90.75
08時06分50秒  all    3.52    0.00    3.52    0.50    0.25    0.50    0.00    0.00    0.00   91.71
08時06分51秒  all    4.04    0.00    3.28    0.25    0.25    0.51    0.00    0.00    0.00   91.67
08時06分52秒  all    3.53    0.00    3.78    0.25    0.50    0.50    0.00    0.00    0.00   91.44
08時06分53秒  all    4.47    0.00    4.22    0.50    0.25    0.50    0.00    0.00    0.00   90.07
08時06分54秒  all    3.76    0.00    3.76    0.25    0.25    0.50    0.00    0.00    0.00   91.48
08時06分55秒  all    3.99    0.00    4.49    0.25    0.50    0.50    0.00    0.00    0.00   90.27
08時06分56秒  all    4.52    0.00    3.77    0.25    0.25    0.50    0.00    0.00    0.00   90.70
08時06分57秒  all    3.81    0.00    3.81    0.00    0.25    0.25    0.00    0.00    0.00   91.88
08時06分58秒  all    3.95    0.00    3.95    0.74    0.49    0.74    0.00    0.00    0.00   90.12
08時06分59秒  all    4.03    0.00    3.27    0.00    0.25    0.25    0.00    0.00    0.00   92.19
08時07分00秒  all    3.79    0.00    4.29    0.25    0.00    0.51    0.00    0.00    0.00   91.16
08時07分01秒  all    4.00    0.00    3.50    0.25    1.00    0.50    0.00    0.00    0.00   90.75
08時07分02秒  all    3.54    0.00    3.28    0.51    0.00    0.25    0.00    0.00    0.00   92.42
08時07分03秒  all    4.27    0.00    4.27    0.25    0.00    0.75    0.00    0.00    0.00   90.45
08時07分04秒  all    3.99    0.00    3.49    0.25    1.00    0.25    0.00    0.00    0.00   91.02
08時07分05秒  all    4.26    0.00    3.51    0.25    0.00    0.75    0.00    0.00    0.00   91.23
08時07分06秒  all    3.54    0.00    4.05    0.25    0.25    0.25    0.00    0.00    0.00   91.65
08時07分07秒  all    4.26    0.00    4.01    0.25    0.75    0.50    0.00    0.00    0.00   90.23
08時07分08秒  all    4.24    0.00    4.24    0.50    0.00    0.75    0.00    0.00    0.00   90.27
08時07分09秒  all    4.30    0.00    3.80    0.00    0.25    0.25    0.00    0.00    0.00   91.39
08時07分10秒  all    3.73    0.00    4.23    0.50    0.75    0.50    0.00    0.00    0.00   90.30
08時07分11秒  all    4.29    0.00    3.28    0.51    0.00    0.51    0.00    0.00    0.00   91.41
08時07分12秒  all    4.76    0.00    4.01    0.00    0.25    0.50    0.00    0.00    0.00   90.48
