Linux 4.18.0-553.139.1.el8_10.x86_64 (g-test-poc-3) 	07/12/26 	_x86_64_	(4 CPU)

10:20:44     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:20:45     all    5.50    0.00    1.75    0.25    0.75    0.00    0.25    0.00    0.00   91.50
10:20:46     all    5.76    0.00    0.75    0.00    0.75    0.50    0.00    0.00    0.00   92.23
10:20:47     all    5.05    0.00    1.01    0.00    0.76    0.00    0.00    0.00    0.00   93.18
10:20:48     all    6.30    0.00    0.76    0.00    0.50    0.76    0.00    0.00    0.00   91.69
10:20:49     all    5.01    0.00    1.25    0.00    0.75    0.00    0.00    0.00    0.00   92.98
10:20:50     all    5.03    0.00    1.01    0.50    0.75    0.25    0.00    0.00    0.00   92.46
10:20:51     all    5.49    0.00    1.25    0.00    0.50    0.75    0.00    0.00    0.00   92.02
10:20:52     all    5.54    0.00    0.76    0.00    0.76    0.25    0.00    0.00    0.00   92.70
10:20:53     all    6.00    0.00    1.25    0.00    0.75    0.00    0.00    0.00    0.00   92.00
10:20:54     all    4.56    0.00    1.27    0.00    0.51    0.51    0.00    0.00    0.00   93.16
10:20:55     all    5.50    0.00    1.75    0.00    0.75    0.25    0.00    0.00    0.00   91.75
10:20:56     all    5.05    0.00    0.76    0.00    0.76    0.25    0.00    0.00    0.00   93.18
10:20:57     all    6.28    0.00    1.01    0.00    0.50    0.25    0.25    0.00    0.00   91.71
10:20:58     all    5.96    0.00    1.49    0.74    0.74    0.74    0.00    0.00    0.00   90.32
10:20:59     all    4.83    0.00    0.51    0.00    0.76    0.00    0.00    0.00    0.00   93.89
10:21:00     all    5.53    0.00    1.26    0.00    0.50    0.25    0.00    0.00    0.00   92.46
10:21:01     all    6.25    0.00    1.25    0.00    1.00    0.50    0.00    0.00    0.00   91.00
10:21:02     all    5.26    0.00    1.00    0.00    0.50    0.50    0.00    0.00    0.00   92.73
10:21:03     all    5.78    0.00    1.26    0.00    0.50    0.00    0.00    0.00    0.00   92.46
10:21:04     all    4.76    0.00    1.50    0.00    1.00    0.50    0.00    0.00    0.00   92.23
10:21:05     all    5.53    0.00    1.26    0.00    0.25    0.00    0.00    0.00    0.00   92.96
10:21:06     all    6.52    0.00    1.00    0.00    0.75    0.75    0.00    0.00    0.00   90.98
10:21:07     all    5.56    0.00    0.76    0.00    1.01    0.00    0.25    0.00    0.00   92.42
10:21:08     all    5.00    0.00    1.50    0.00    0.75    0.50    0.00    0.00    0.00   92.25
10:21:09     all    4.56    0.00    1.01    0.00    0.25    0.25    0.00    0.00    0.00   93.92
10:21:10     all    6.77    0.00    1.25    0.00    0.75    0.25    0.50    0.00    0.00   90.48
10:21:11     all    5.51    0.00    1.00    0.00    1.00    0.25    0.00    0.00    0.00   92.23
10:21:12     all    5.28    0.00    1.26    0.00    0.50    0.50    0.00    0.00    0.00   92.46
10:21:13     all    5.51    0.00    1.50    0.00    0.50    0.25    0.00    0.00    0.00   92.23
10:21:14     all    5.28    0.00    1.26    0.00    1.01    0.25    0.00    0.00    0.00   92.21
10:21:15     all    6.31    0.00    1.01    0.00    0.76    0.25    0.00    0.00    0.00   91.67
10:21:16     all    5.25    0.00    1.75    0.00    0.25    0.75    0.00    0.00    0.00   92.00
10:21:17     all    5.25    0.00    1.25    0.00    1.00    0.00    0.00    0.00    0.00   92.50
10:21:18     all    5.53    0.00    1.01    0.00    0.50    0.25    0.00    0.00    0.00   92.71
10:21:19     all    7.00    0.00    1.25    0.25    0.75    0.50    0.00    0.00    0.00   90.25
10:21:20     all    5.99    0.00    1.75    0.00    0.75    0.25    0.00    0.00    0.00   91.27
10:21:21     all    5.01    0.00    1.00    0.00    1.00    0.75    0.00    0.00    0.00   92.23
10:21:22     all    5.06    0.00    0.76    0.00    0.25    0.00    0.00    0.00    0.00   93.92
10:21:23     all    5.47    0.00    1.24    0.00    1.00    0.50    0.25    0.00    0.00   91.54
10:21:24     all    6.62    0.00    1.02    0.00    0.76    0.00    0.00    0.00    0.00   91.60
10:21:25     all    6.05    0.00    1.76    0.00    0.25    0.50    0.00    0.00    0.00   91.44
10:21:26     all    4.98    0.00    1.74    0.50    1.00    0.50    0.00    0.00    0.00   91.29
10:21:27     all    6.00    0.00    1.50    0.00    1.00    0.25    0.00    0.00    0.00   91.25
10:21:28     all    7.81    0.00    1.76    0.25    1.01    0.50    0.00    0.00    0.00   88.66
10:21:29     all    5.28    0.00    1.76    0.00    0.75    0.25    0.00    0.00    0.00   91.96
10:21:30     all    5.28    0.00    1.26    0.00    0.75    0.75    0.25    0.00    0.00   91.71
10:21:31     all    5.30    0.00    1.26    0.00    0.51    0.00    0.25    0.00    0.00   92.68
10:21:32     all    6.68    0.00    1.49    0.00    0.99    0.50    0.25    0.00    0.00   90.10
10:21:33     all    5.79    0.00    1.01    0.00    0.50    0.25    0.00    0.00    0.00   92.44
10:21:34     all    5.51    0.00    1.50    0.00    0.75    0.75    0.00    0.00    0.00   91.48
10:21:35     all    6.03    0.00    1.01    0.00    1.01    0.00    0.00    0.00    0.00   91.96
10:21:36     all    6.00    0.00    2.00    0.00    0.50    0.50    0.00    0.00    0.00   91.00
10:21:37     all    6.06    0.00    1.01    0.00    0.76    0.00    0.00    0.00    0.00   92.17
10:21:38     all    5.51    0.00    1.00    0.00    0.75    0.50    0.00    0.00    0.00   92.23
10:21:39     all    5.49    0.00    1.25    0.00    0.75    0.50    0.00    0.00    0.00   92.02
