procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 9013744   2572 4517612    0    0   176  1949  252  994  8  4 84  3  0
 0  0      0 9015920   2572 4517612    0    0     0     0 3752 5536  2  2 96  0  0
 0  0      0 9013168   2572 4517612    0    0     0    48 4258 6543  2  2 96  0  0
 0  0      0 9013708   2572 4517612    0    0     0     0 3713 5759  2  2 96  0  0
 1  0      0 9013964   2572 4517612    0    0     0     0 3087 4752  2  2 96  0  0
 0  0      0 9014188   2572 4517612    0    0     0     0 3053 4715  2  2 97  0  0
 0  0      0 9014796   2572 4517612    0    0     0    24 4442 6374  3  2 95  0  0
 0  0      0 9014988   2572 4517612    0    0     0    28 3469 5305  2  2 96  0  0
 0  0      0 9015212   2572 4517612    0    0     0     0 3129 4900  2  2 96  0  0
 0  0      0 9012364   2572 4517612    0    0     0     0 3225 4956  2  2 96  0  0
 1  0      0 9012684   2572 4517612    0    0     0     0 3418 4997  2  2 96  0  0
 0  0      0 9012940   2572 4517612    0    0     0     0 3394 5206  2  1 97  0  0
 0  0      0 9010092   2572 4517612    0    0     0    24 3082 4718  2  2 96  0  0
 0  0      0 9010096   2572 4517612    0    0     0     0 2955 4652  2  2 96  0  0
 0  0      0 9010668   2572 4517612    0    0     0    24 3824 5632  2  2 96  0  0
 0  0      0 9010956   2572 4517612    0    0     0     0 3436 5341  2  2 96  0  0
 0  0      0 9011372   2572 4517728    0    0   116     0 3713 5503  2  2 96  0  0
 0  0      0 9011628   2572 4517728    0    0     0    24 3228 5022  2  2 96  0  0
 0  0      0 9011916   2572 4517728    0    0     0    28 3562 5296  2  2 96  0  0
 0  0      0 9012172   2572 4517728    0    0     0    36 3551 5502  2  2 96  0  0
 0  0      0 9012396   2572 4517728    0    0     0     0 3121 4926  2  2 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 9012620   2572 4517728    0    0     0     0 3369 5250  2  2 96  0  0
 0  0      0 9012972   2572 4517728    0    0     0   154 4270 6334  2  2 96  0  0
 0  0      0 9013260   2572 4517728    0    0     0     0 3322 5173  2  2 96  0  0
 0  0      0 9013452   2572 4517728    0    0     0     0 3306 5286  2  2 97  0  0
 0  0      0 9013708   2572 4517728    0    0     0     0 3299 5068  2  2 96  0  0
 0  0      0 9014252   2572 4517728    0    0     0    36 4321 6241  2  2 95  0  0
 1  0      0 9014508   2572 4517728    0    0     0    24 3507 5449  2  2 96  0  0
 0  0      0 9014700   2572 4517728    0    0     0     0 3214 5064  2  2 97  0  0
 1  0      0 9015052   2572 4517732    0    0     0    71 3565 5522  2  2 96  0  0
 1  0      0 9015372   2572 4517732    0    0     0    32 4364 6567  3  2 95  0  0
 0  0      0 9015692   2572 4517732    0    0     0    24 3402 5279  2  2 97  0  0
 0  0      0 9012844   2572 4517732    0    0     0    24 3603 5690  2  2 96  0  0
 0  0      0 9013132   2572 4517732    0    0     0    24 3615 5643  2  2 96  0  0
 0  0      0 9013452   2572 4517732    0    0     0     0 3537 5277  2  2 96  0  0
 0  0      0 9013644   2572 4517732    0    0     0     0 2978 4639  2  2 97  0  0
 1  0      0 9013800   2572 4517760    0    0     0    20 5364 6947  4  5 90  0  0
 0  0      0 9015500   2572 4517776    0    0     0    24 3481 5070  3  3 94  0  1
 0  0      0 9015788   2572 4517776    0    0     0    24 3297 4842  2  2 96  0  0
 0  0      0 9016044   2572 4517776    0    0     0    24 3771 5757  2  2 96  0  0
 1  0      0 9016268   2572 4517776    0    0     0     0 3188 5029  2  2 96  0  0
 0  0      0 9016524   2572 4517776    0    0     0     0 3219 5018  2  2 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 9016812   2572 4517776    0    0     0    48 4185 6396  2  2 96  0  0
 0  0      0 9017132   2572 4517776    0    0     0     0 3535 5536  2  2 96  0  0
 0  0      0 9017356   2572 4517776    0    0     0     0 3035 4759  2  2 96  0  0
 0  0      0 9017612   2572 4517776    0    0     0     0 3526 5540  2  2 96  0  0
 0  0      0 9018156   2572 4517776    0    0     0    24 4446 6435  2  2 95  0  0
 0  0      0 9018380   2572 4517776    0    0     0    24 3092 4810  2  2 97  0  0
 0  0      0 9017092   2572 4517804    0    0     0    25 3392 4984  2  3 95  0  0
 0  0      0 9017616   2572 4517804    0    0     0     0 3414 4967  2  3 95  0  0
 0  0      0 9011696   2572 4517804    0    0     0     0 3702 5483  2  2 96  0  0
 0  0      0 9011920   2572 4517804    0    0     0     0 3382 5184  2  1 97  0  0
 0  0      0 9012208   2572 4517804    0    0     0    69 3157 4852  2  2 96  0  0
 0  0      0 9012432   2572 4517804    0    0     0    28 3119 4896  2  2 96  0  0
 0  0      0 9012752   2572 4517804    0    0     0     0 3891 5905  2  2 96  0  0
 0  0      0 9012976   2572 4517804    0    0     0     0 2944 4554  2  2 96  0  0
 0  0      0 9013488   2572 4517804    0    0     0    24 3960 5862  2  2 96  0  0
 0  0      0 9013712   2572 4517804    0    0     0    24 3362 5308  2  2 96  0  0
 0  0      0 9014096   2572 4517804    0    0     0    24 3788 5526  2  2 96  0  0
 1  0      0 9014448   2572 4517808    0    0     0    93 3856 5924  2  2 95  0  0
 0  0      0 9014736   2572 4517808    0    0     0    44 3690 5603  2  2 96  0  0
 0  0      0 9016064   2572 4517828    0    0     0    26 4425 6204  3  3 93  0  0
 0  0      0 9016448   2572 4517828    0    0     0    28 4052 6003  2  2 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 9016800   2572 4517828    0    0     0    20 3669 5740  2  2 96  0  0
 0  0      0 9013888   2572 4517828    0    0     0     0 3284 5077  2  2 96  0  0
 0  0      0 9014396   2572 4517828    0    0     0     0 3387 5332  2  2 96  0  0
 0  0      0 9014940   2572 4517828    0    0     0    40 4338 6299  2  2 96  0  0
 0  0      0 9015100   2572 4517828    0    0     0    24 3209 5081  2  2 96  0  0
 0  0      0 9015356   2572 4517828    0    0     0     0 3051 4858  2  2 97  0  0
 0  0      0 9015580   2572 4517828    0    0     0     0 3231 4964  2  2 96  0  0
 0  0      0 9015932   2572 4517828    0    0     0     0 3565 5192  2  2 95  0  0
 0  0      0 9016124   2572 4517828    0    0     0     0 2964 4478  2  2 96  0  0
 0  0      0 9016412   2572 4517828    0    0     0    24 3369 5250  2  2 96  0  0
 0  0      0 9016384   2572 4517828    0    0     0    24 2979 4625  2  2 97  0  0
 0  0      0 9014376   2572 4518824    0    0     0  1301 7228 10492  5  5 86  4  0
 0  0      0 9010752   2572 4519796    0    0     0  2598 7310 10872  6  5 84  5  0
 1  0      0 9009460   2572 4521156    0    0     0  1465 7482 10851  7  6 83  4  1
 1  0      0 9008856   2572 4522444    0    0     0  3299 7697 11524  6  5 85  5  0
 0  0      0 9005492   2572 4523472    0    0     0  1457 8196 12030  6  5 84  5  0
 1  0      0 9004416   2572 4524576    0    0     0  2781 7311 10980  5  5 86  4  0
 0  0      0 9004064   2572 4525740    0    0     0  1454 7551 11441  6  5 84  5  0
 1  0      0 8994208   2572 4527096    0    0     0  1614 7471 11183  6  5 85  4  0
 0  0      0 8994296   2572 4528044    0    0     0  2886 7983 11825  6  5 85  4  0
 3  0      0 8993564   2572 4529108    0    0     0  1591 7472 11174  6  5 85  4  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  1      0 8990516   2572 4530168    0    0     0  2551 7531 11432  6  5 85  5  0
 0  0      0 8987972   2572 4530964    0    0     0  1211 6990 10164  7  5 83  4  0
 0  0      0 8988072   2572 4532068    0    0     0  2479 8358 11829  8  6 79  6  1
 0  0      0 8988668   2572 4533084    0    0     0  1358 7236 10680  8  4 83  5  0
 1  0      0 8988948   2572 4533940    0    0     0  2686 7067 10591  6  5 85  4  0
 0  0      0 8986316   2572 4534952    0    0     0  1416 7412 11031  6  5 84  5  0
 0  0      0 8982644   2572 4536148    0    0     0  2563 8537 12658  6  5 84  5  0
 0  0      0 8982324   2572 4537308    0    0     0  1494 7426 11106  6  5 85  4  0
 0  0      0 8982756   2572 4538164    0    0     0  2961 7179 10586  6  6 83  5  1
 0  0      0 8977408   2572 4539132    0    0     0  1266 7121 10607  6  5 83  5  1
 0  0      0 8971064   2572 4540092    0    0     0  2026 7330 10458  7  8 76  7  2
 1  0      0 8971336   2572 4540940    0    0     0  1321 6819 10061  6  5 83  6  1
 0  1      0 8971424   2572 4541908    0    0     0  2400 7583 10800  7  7 77  7  1
 1  1      0 8968120   2572 4543076    0    0     0  1257 6866 9877  7  7 77  6  2
 1  0      0 8968112   2572 4543908    0    0     0  2508 7300 10297  8  7 75  7  3
 1  0      0 8968584   2572 4544880    0    0     0  1271 7746 11280  7  7 81  5  1
 0  1      0 8968196   2572 4545608    0    0     0  2384 6893 10089  7  6 80  6  1
 0  0      0 8965268   2572 4546596    0    0     0  1287 6912 10190  6  5 83  5  1
 1  0      0 8964884   2572 4547680    0    0     0  2385 7990 11700  7  6 81  6  1
 1  0      0 8963968   2572 4548804    0    0     0  1499 7208 10640  6  5 83  6  1
 0  0      0 8963612   2572 4549812    0    0     0  2435 6084 8887  5  6 83  5  1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  1      0 8956000   2572 4550964    0    0     0  1336 6705 9745  7  6 82  5  1
 0  0      0 8955784   2572 4552352    0    0     0  2923 8707 12109  8  6 79  6  1
 0  0      0 8952448   2572 4553192    0    0     0  1290 7045 10368  7  5 82  5  1
 0  0      0 8948316   2572 4554276    0    0     0  2739 7173 10600  7  5 83  5  1
 0  1      0 8948180   2572 4555192    0    0     0  1428 6945 10305  5  5 84  5  0
 0  0      0 8948208   2572 4556244    0    0     0  2456 7546 10996  6  5 84  5  1
 0  0      0 8948012   2572 4557224    0    0     0  1542 7958 11788  6  6 83  5  0
 1  0      0 8944552   2572 4558324    0    0     0  2740 7518 11214  6  6 82  6  1
 0  0      0 8944384   2572 4559020    0    0     0  1503 7118 10557  5  5 85  5  0
 0  0      0 8943624   2572 4560232    0    0     0  2515 7845 11711  6  5 85  4  0
 0  0      0 8940928   2572 4561456    0    0     0  1595 7287 10772  6  5 84  5  1
 1  0      0 8938448   2572 4562228    0    0     0  2577 7949 11646  6  6 83  5  1
 0  0      0 8938848   2572 4563084    0    0     0  1241 6827 9846  8  5 81  6  1
 0  1      0 8938184   2572 4564380    0    0     0  2460 7654 11141  7  6 82  5  1
 0  0      0 8935040   2572 4565152    0    0     0  1367 7970 11644  7  6 81  5  1
 0  0      0 8931408   2572 4565712    0    0     0  1808 5444 8234  4  3 91  2  0
 5  0      0 8929064   2572 4566388    0    0     0   852 7040 9984  7  6 83  3  1
 0  1      0 8930316   2572 4567404    0    0     0  2038 7796 11208  8  7 78  6  2
 0  1      0 8930972   2572 4568400    0    0     0  2146 8017 11838  7  5 83  5  0
 0  0      0 8927352   2572 4569164    0    0     0  1634 6764 9903  6  5 85  4  1
 0  0      0 8927780   2572 4569900    0    0     0  1060 6307 9415  6  4 86  4  1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 8925272   2572 4570832    0    0     0  2204 8571 12362  7  5 83  5  0
 0  0      0 8921752   2572 4571956    0    0     0  1213 6986 10298  7  5 81  6  2
 1  0      0 8915004   2572 4573128    0    0     0  1665 6490 9436  6  6 83  5  1
 0  0      0 8908628   2572 4573848    0    0     0  4762 7389 10800  8  5 82  5  0
 0  0      0 8909368   2572 4574276    0    0     0   889 5588 8166  4  4 90  2  0
 0  0      0 8909168   2572 4575124    0    0     0  1224 6891 9908  7  5 80  6  1
 0  0      0 8902784   2572 4576116    0    0    16  2185 7082 10098  7  8 75  7  3
 1  0      0 8906556   2572 4576876    0    0     0  1128 6847 9870  7  6 77  7  2
 0  0      0 8909136   2572 4577828    0    0     0  1348 7065 10042  7  6 77  7  3
 0  0      0 8917444   2572 4578688    0    0     0  1632 6653 9538  7  6 78  7  2
 0  0      0 8923744   2572 4579672    0    0     0  2477 7003 9868  7  6 79  6  2
 0  1      0 8924808   2572 4580328    0    0     0   871 5745 8367  5  6 82  6  2
 0  0      0 8926032   2572 4581312    0    0     0  2317 7129 10285  6  6 82  5  1
