procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0   2560 756708   5796 6654324    0    0     0     1    0    0  0  0 100  0  0
 2  0   2560 723764   5796 6654488    0    0     0    64 9221 9193 18 19 63  0  0
 3  0   2560 722672   5796 6654504    0    0     0     0 9299 10563 11 21 67  0  0
 3  0   2560 723148   5796 6654560    0    0     0     0 7073 7628  8 15 77  0  0
 1  0   2560 723964   5796 6654576    0    0     0     0 9221 10410 11 22 67  0  0
 2  0   2560 743552   5796 6654580    0    0     0   196 9339 10633 16 23 61  0  0
 1  0   2560 746968   5796 6654580    0    0     0    76 9477 10918 12 22 66  0  0
 1  0   2560 747472   5796 6654580    0    0     0     0 9279 10602 10 22 68  0  0
 1  0   2560 745728   5796 6654580    0    0     0     0 9197 10475 11 23 67  0  0
 2  0   2560 746972   5796 6654584    0    0     0     0 9095 10168 11 22 67  0  0
 1  0   2560 747008   5796 6654584    0    0     0     0 8562 9219 10 22 68  0  0
 1  0   2560 746992   5796 6654584    0    0     0     0 8879 9687 11 22 67  0  0
 1  0   2560 746868   5796 6654604    0    0     0     0 8881 9680 11 23 67  0  0
 1  0   2560 746820   5796 6654608    0    0     0     0 8938 9906 10 23 67  0  0
 1  0   2560 746948   5796 6654628    0    0     0     0 8773 9587 10 23 67  0  0
 0  0   2560 745712   5796 6654624    0    0     0     0 8190 8820 10 20 70  0  0
 2  0   2560 747300   5796 6654640    0    0     0     0 7182 7411  9 16 76  0  0
 2  0   2560 747092   5796 6654640    0    0     0     0 9225 10323  9 23 68  0  0
 2  0   2560 746964   5796 6654644    0    0     0     0 9385 10722 11 23 66  0  0
 1  0   2560 747420   5796 6654660    0    0     0     8 9030 9984 10 23 67  0  0
 2  0   2560 747056   5796 6654660    0    0     0     0 8758 9483 10 22 67  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0   2560 747108   5796 6654660    0    0     0     0 9037 9993 11 23 66  0  0
 1  0   2560 747080   5796 6654660    0    0     0     0 8968 9928 11 22 67  0  0
 1  0   2560 746920   5796 6654660    0    0     0     0 9081 10089 11 23 67  0  0
 1  0   2560 746504   5796 6654676    0    0     0   336 9074 10102 11 22 67  0  0
 1  0   2560 747448   5796 6654680    0    0     0     0 9072 10031 11 22 67  0  0
 1  0   2560 747260   5796 6654688    0    0     0     0 9141 10060 11 22 67  0  0
 1  0   2560 746528   5796 6654700    0    0     0     0 6709 6764  8 15 78  0  0
 2  0   2560 747304   5796 6654712    0    0     0    99 9359 10538 11 22 67  0  0
 2  0   2560 747684   5796 6654716    0    0     0   180 9334 10443 11 22 67  0  0
 2  0   2560 746608   5796 6654716    0    0     0     0 9086 9733 11 23 66  0  0
 1  0   2560 747140   5796 6654716    0    0     0     0 9006 9689 10 23 67  0  0
 1  0   2560 747180   5796 6654716    0    0     0     0 9309 10107 11 22 67  0  0
 1  0   2560 746616   5796 6654716    0    0     0     0 9299 10200 12 22 67  0  0
 1  0   2560 747356   5796 6654720    0    0     0     0 9139 9866 11 22 67  0  0
 0  0   2560 746792   5796 6654712    0    0     0     0 6156 6030  7 13 81  0  0
 2  0   2560 746952   5796 6654740    0    0     0     0 7788 8249  9 18 73  0  0
 1  0   2560 747024   5796 6654748    0    0     0     0 9411 10578 11 21 68  0  0
 1  0   2560 746688   5796 6654748    0    0     0     0 9453 10553 11 22 67  0  0
 2  0   2560 747344   5796 6654748    0    0     0     0 9154 9926 11 23 66  0  0
 2  0   2560 746464   5796 6654780    0    0     0     0 8813 9335 11 22 67  0  0
 2  0   2560 747452   5796 6654788    0    0     0     0 9164 9909 11 22 67  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0   2560 747508   5796 6654808    0    0     0     0 9112 9918 11 22 67  0  0
 3  0   2560 746384   5796 6654812    0    0     0     0 9175 10006 10 23 67  0  0
 1  0   2560 746980   5796 6654836    0    0     0     0 9025 9756 10 22 67  0  0
 3  0   2560 747736   5796 6654840    0    0     0     0 8835 9381 11 22 67  0  0
 1  0   2560 746208   5796 6654840    0    0     0     0 9008 9788 10 23 67  0  0
 0  0   2560 746876   5796 6654828    0    0     0     0 7987 8465  9 20 71  0  0
 1  0   2560 722584   5796 6654840    0    0     0     4 4144 3516  7  8 85  0  0
 1  0   2560 721304   5796 6654872    0    0     0     0 8911 9490 11 22 67  0  0
 2  0   2560 722176   5796 6654872    0    0     0   280 8806 9295 10 23 67  0  0
 1  0   2560 722296   5796 6654876    0    0     0     0 8819 9501 11 22 67  0  0
 1  0   2560 722916   5796 6654880    0    0     0     0 8915 9742 11 22 67  0  0
 1  0   2560 722284   5796 6654896    0    0     0     0 9128 9995 11 23 67  0  0
 2  0   2560 722304   5796 6654900    0    0     0     0 8782 9295 11 22 67  0  0
 1  0   2560 723088   5796 6654908    0    0     0     0 8789 9219 11 22 67  0  0
 2  0   2560 721044   5796 6654908    0    0     0     0 8971 9638 11 22 67  0  0
 1  0   2560 722160   5796 6654908    0    0     0     0 9061 9801 11 23 67  0  0
