procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 8989540   2324 4422204    0    0   144  1663  490  136  7  4 85  3  0
 0  0      0 8991800   2324 4422204    0    0     0    39 3786 5824  2  2 95  0  0
 0  0      0 8992280   2324 4422212    0    0     0     0 3064 4663  2  2 96  0  0
 0  0      0 8992312   2324 4422212    0    0     0    54 3284 5123  2  2 96  0  0
 0  0      0 8993108   2324 4422212    0    0     0     0 3759 5533  2  2 96  0  0
 0  0      0 8990196   2324 4422212    0    0     0     0 3118 4806  2  2 96  0  0
 0  0      0 8990452   2324 4422212    0    0     0     0 3143 4571  4  2 94  0  0
 0  0      0 8990676   2324 4422212    0    0     0    24 3661 5419  2  2 96  0  0
 0  0      0 8991220   2324 4422212    0    0     0    24 3665 5360  2  2 96  0  0
 0  0      0 8991316   2324 4422212    0    0     0     0 2970 4655  2  2 96  0  0
 0  0      0 8991636   2324 4422212    0    0     0    24 3322 5204  2  2 97  0  0
 0  0      0 8991892   2324 4422212    0    0     0    72 4262 6511  2  2 96  0  0
 1  0      0 8992404   2324 4422212    0    0     0     0 3306 4848  2  2 96  0  0
 1  0      0 8992532   2324 4422212    0    0     0    24 3212 5048  2  2 97  0  0
 0  0      0 8993012   2324 4422212    0    0     0     0 3927 6194  2  2 95  0  0
 0  0      0 8990132   2324 4422212    0    0     0    24 3463 5339  2  2 96  0  0
 0  0      0 8990420   2324 4422212    0    0     0   115 3417 5132  2  2 97  0  0
 1  0      0 8987572   2324 4422212    0    0     0     0 4061 6010  2  2 96  0  0
 0  0      0 8988052   2324 4422212    0    0     0    24 3168 4824  2  2 96  0  0
 0  0      0 8988084   2324 4422212    0    0     0     0 2922 4551  1  1 98  0  0
 0  0      0 8988628   2324 4422212    0    0     0    24 3961 5745  2  2 95  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 8988472   2324 4422212    0    0     0    24 3362 5327  2  2 96  0  0
 0  0      0 8988984   2324 4422212    0    0     0    24 3359 5049  2  2 96  0  0
 0  0      0 8989488   2324 4422212    0    0     0    24 3378 5204  2  2 97  0  0
 0  0      0 8990064   2324 4422212    0    0     0     0 3908 5926  2  2 96  0  0
 0  0      0 8990096   2324 4422212    0    0     0     0 2793 4267  2  1 97  0  0
 0  0      0 8987504   2324 4422212    0    0     0     0 3658 5598  3  2 95  0  0
 0  0      0 8987504   2324 4422212    0    0     0     0 3859 5711  2  2 96  0  0
 0  0      0 8988272   2324 4422216    0    0     0    29 3585 5393  2  2 96  0  0
 0  0      0 8988336   2324 4422216    0    0     0    32 3410 5268  2  2 96  0  0
 0  0      0 8988720   2324 4422216    0    0     0     0 2910 4493  2  2 96  0  0
 0  0      0 8988784   2324 4422216    0    0     0     0 3308 5076  1  2 97  0  0
 0  0      0 8989232   2324 4422216    0    0     0     0 3650 5306  2  2 96  0  0
 0  0      0 8989360   2324 4422216    0    0     0    24 3233 5049  2  2 96  0  0
 0  0      0 8989776   2324 4422216    0    0     0     8 3272 5236  2  2 97  0  0
 0  0      0 8989840   2324 4422216    0    0     0     0 3157 4849  2  2 97  0  0
 0  0      0 8989628   2324 4422236    0    0     0    16 5477 6821  5  7 88  0  1
 0  0      0 8990044   2324 4422236    0    0     0    24 4109 6043  2  3 95  0  1
 0  0      0 8990332   2324 4422236    0    0     0    24 3367 5276  2  2 96  0  0
 0  0      0 8990556   2324 4422236    0    0     0     0 3234 4884  2  2 97  0  0
 0  0      0 8990972   2324 4422236    0    0     0    48 3989 5865  2  2 96  0  0
 0  0      0 8991260   2324 4422236    0    0     0    64 4533 7066  3  2 95  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 8991548   2324 4422236    0    0     0     0 2861 4335  2  2 97  0  0
 0  0      0 8988924   2324 4422236    0    0     0    48 3439 5255  2  2 96  0  0
 0  0      0 8989116   2324 4422236    0    0     0     0 4448 6773  2  2 96  0  0
 0  0      0 8989340   2324 4422236    0    0     0     0 3118 4864  2  2 97  0  0
 0  0      0 8989628   2324 4422236    0    0     0     6 3091 4791  2  2 97  0  0
 0  0      0 8986716   2324 4422236    0    0     0     0 3834 5535  3  2 95  0  0
 0  0      0 8986496   2324 4422252    0    0     0    46 3982 5706  2  2 95  0  0
