ts_ns,query_type,latency_ms
1784030843971969950,select,80.057
1784030844057418250,update,543.785
1784030844709594891,select,73.169
1784030844788137140,update,542.735
1784030845438887442,select,73.934
1784030845518456582,update,536.072
1784030846162758555,select,74.089
1784030846242288512,update,570.440
1784030846920521578,select,74.930
1784030847000715518,update,545.408
1784030847654638323,select,74.119
1784030847734483407,update,531.911
1784030848374854256,select,74.384
1784030848454971027,update,549.119
1784030849112591970,select,73.195
1784030849191290560,update,542.769
1784030849842220486,select,74.092
1784030849921755379,update,755.864
1784030850785800699,select,74.688
1784030850866035373,update,546.262
1784030851520808272,select,73.970
1784030851600676679,update,537.683
1784030852247115835,select,73.565
1784030852326214338,update,543.363
1784030852977763319,select,75.588
1784030853058796824,update,536.901
1784030853703924824,select,72.801
1784030853781940960,update,544.888
1784030854434797233,select,72.645
1784030854512857315,update,535.693
1784030855157064315,select,74.614
1784030855236870341,update,532.308
1784030855877775553,select,72.853
1784030855956090572,update,545.027
1784030856609206460,select,75.130
1784030856689968274,update,555.410
1784030857353781487,select,78.652
1784030857438092831,update,555.348
1784030858101923729,select,74.862
1784030858182464984,update,540.866
1784030858831398503,select,76.130
1784030858913076982,update,544.269
1784030859565370024,select,73.799
1784030859644553134,update,546.895
1784030860299657107,select,77.954
1784030860383176749,update,545.381
1784030861036791334,select,76.580
1784030861119423071,update,543.095
1784030861770674400,select,73.769
1784030861849941304,update,539.285
1784030862497710264,select,74.846
1784030862578152047,update,535.531
1784030863222062477,select,74.014
1784030863301862434,update,755.116
1784030864165283545,select,75.661
1784030864246395884,update,535.776
1784030864890790805,select,74.500
1784030864971004127,update,541.774
1784030865621299790,select,73.673
1784030865700285376,update,608.080
1784030866416197207,select,75.794
1784030866497085780,update,540.671
1784030867145947069,select,76.198
1784030867227498979,update,541.409
1784030867876880329,select,74.243
1784030867956503010,update,536.864
1784030868601544559,select,74.444
1784030868681845375,update,542.217
1784030869332590558,select,72.640
1784030869410731802,update,543.045
1784030870061721490,select,72.899
1784030870140484063,update,535.246
1784030870783353692,select,74.000
1784030870862600226,update,556.991
1784030871527797490,select,73.798
1784030871607356086,update,530.558
1784030872246165944,select,72.749
1784030872324262208,update,545.889
1784030872978547647,select,73.892
1784030873058162625,update,536.638
1784030873702760239,select,73.885
1784030873781817846,update,538.982
1784030874429052630,select,74.014
1784030874508133814,update,528.469
1784030875144580762,select,81.954
1784030875232025491,update,554.837
1784030875894625456,select,72.700
1784030875972658182,update,584.157
1784030876664878388,select,75.679
1784030876745858066,update,566.707
1784030877420408492,select,74.791
1784030877500493862,update,544.161
1784030878152727007,select,74.574
1784030878232628553,update,531.509
1784030878872418025,select,74.177
1784030878952247214,update,530.015
1784030879590518531,select,74.637
1784030879670537231,update,534.135
1784030880312794603,select,73.412
1784030880391915418,update,542.188
1784030881042854286,select,74.053
1784030881122749542,update,535.512
1784030881766290455,select,74.661
1784030881846412368,update,532.707
1784030882487461508,select,75.138
1784030882568247152,update,530.708
1784030883207066247,select,73.589
1784030883285795662,update,529.939
1784030883923782105,select,74.639
1784030884003735110,update,575.125
1784030884686897839,select,74.254
1784030884766527722,update,566.236
1784030885440598255,select,70.764
1784030885516604340,update,579.920
1784030886204200316,select,73.260
1784030886282930930,update,577.846
1784030886968753597,select,73.947
1784030887047900207,update,540.650
1784030887696296157,select,73.772
1784030887775363191,update,534.454
1784030888417754574,select,73.840
1784030888497139562,update,537.532
1784030889142550755,select,74.660
1784030889222411011,update,536.781
1784030889866860788,select,73.924
1784030889946121512,update,542.142
1784030890596541176,select,73.290
1784030890675054933,update,533.939
1784030891316682850,select,73.871
1784030891395845552,update,533.398
1784030892037814767,select,73.825
1784030892117229667,update,543.782
1784030892769047349,select,73.401
1784030892847813061,update,537.955
1784030893494001704,select,73.978
1784030893573141699,update,528.902
1784030894210107097,select,74.369
1784030894289820922,update,535.083
1784030894932894851,select,73.470
1784030895012053539,update,533.962
1784030895654218490,select,74.211
1784030895734072156,update,531.401
1784030896373433636,select,72.701
1784030896451289731,update,558.201
1784030897117826417,select,72.797
1784030897196060927,update,538.782
1784030897842699851,select,73.181
1784030897921420826,update,524.758
1784030898553941097,select,72.060
1784030898631747521,update,526.975
1784030899266878452,select,76.136
1784030899348390693,update,547.445
1784030900003903272,select,74.923
1784030900085057227,update,576.022
1784030900769089294,select,72.910
1784030900847383124,update,542.447
1784030901498169371,select,73.709
1784030901577275555,update,532.913
1784030902218235354,select,74.458
1784030902298040472,update,536.682
1784030902942851052,select,75.015
1784030903023041322,update,539.089
