Linux 4.18.0-553.139.1.el8_10.x86_64 (g-test-poc-1) 	07/14/26 	_x86_64_	(4 CPU)

11:59:50     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:59:51     all    3.47    0.00    3.47    0.50    0.99    0.50    0.25    0.00    0.00   90.84
11:59:52     all    2.78    0.00    2.03    0.25    0.00    0.00    0.00    0.00    0.00   94.94
11:59:53     all    2.49    0.00    1.75    0.25    1.00    0.75    0.00    0.00    0.00   93.77
11:59:54     all    2.53    0.00    2.78    0.51    0.00    0.00    0.00    0.00    0.00   94.19
11:59:55     all    2.02    0.00    1.26    0.00    0.76    0.50    0.00    0.00    0.00   95.47
11:59:56     all    3.26    0.00    2.26    0.25    0.25    0.50    0.00    0.00    0.00   93.48
11:59:57     all    2.51    0.00    2.26    0.50    0.50    0.00    0.00    0.00    0.00   94.24
11:59:58     all    2.78    0.00    1.77    0.00    0.51    0.25    0.00    0.00    0.00   94.70
11:59:59     all    3.25    0.00    2.75    0.25    0.25    0.75    0.00    0.00    0.00   92.75
12:00:00     all    2.52    0.00    1.51    0.25    0.50    0.25    0.00    0.00    0.00   94.96
12:00:01     all    3.03    0.00    2.78    0.51    0.51    0.25    0.00    0.00    0.00   92.93
12:00:02     all    2.76    0.00    2.51    0.00    0.75    0.25    0.00    0.00    0.00   93.73
12:00:03     all    2.26    0.00    1.76    0.50    0.25    0.50    0.00    0.00    0.00   94.72
12:00:04     all    2.27    0.00    2.27    0.00    0.50    0.25    0.00    0.00    0.00   94.71
12:00:05     all    3.04    0.00    1.77    0.25    0.51    0.25    0.00    0.00    0.00   94.18
12:00:06     all    2.27    0.00    1.77    0.25    0.25    0.25    0.00    0.00    0.00   95.20
12:00:07     all    3.26    0.00    2.01    0.25    0.75    0.25    0.00    0.00    0.00   93.48
12:00:08     all    2.51    0.00    2.26    0.00    0.00    0.50    0.00    0.00    0.00   94.74
12:00:09     all    2.27    0.00    1.26    0.50    1.01    0.25    0.00    0.00    0.00   94.71
12:00:10     all    3.27    0.00    2.51    0.25    0.00    0.25    0.00    0.00    0.00   93.72
12:00:11     all    2.25    0.00    2.00    0.25    0.75    0.25    0.00    0.00    0.00   94.50
12:00:12     all    2.50    0.00    1.75    0.50    0.25    0.25    0.00    0.00    0.00   94.75
12:00:13     all    2.52    0.00    2.02    0.00    0.76    0.50    0.00    0.00    0.00   94.21
12:00:14     all    2.03    0.00    2.03    0.00    0.25    0.25    0.00    0.00    0.00   95.43
12:00:15     all    2.98    0.00    1.99    0.25    0.74    0.50    0.00    0.00    0.00   93.55
12:00:16     all    1.77    0.00    1.77    0.51    0.25    0.00    0.00    0.00    0.00   95.71
12:00:17     all    2.02    0.00    1.77    0.25    0.25    0.25    0.00    0.00    0.00   95.45
